Parliamentary Constituency Codes,Parliamentary Constituency,Self-employment income: Median (Lower 95% CI),Self-employment income: Median (Central Estimate),Self-employment income: Median (Upper 95% CI),Employment income: Median (Lower 95% CI),Employment income: Median (Central Estimate),Employment income: Median (Upper 95% CI),Pension income: Median (Lower 95% CI),Pension income: Median (Central Estimate),Pension income: Median (Upper 95% CI),Total income: Median (Lower 95% CI),Total income: Median (Central Estimate),Total income: Median (Upper 95% CI),Total tax: Median (Lower 95% CI),Total tax: Median (Central Estimate),Total tax: Median (Upper 95% CI)
E14001088,Bexhill and Battle,12600,14600,18000,24300,26500,27900,17100,18400,19400,25500,27100,28400,2380,2640,2890
E14001090,Bicester and Woodstock,13000,15300,18100,30000,32600,34200,18100,19800,21200,31000,33000,34700,3300,3650,3990
E14001108,Bognor Regis and Littlehampton,13800,15200,17700,23400,24700,26300,15600,16100,17600,24200,25300,26400,2100,2310,2470
E14001117,Bracknell,14200,16700,20500,29600,32500,34100,16000,17600,19100,29900,31800,33500,3160,3530,3820
E14001129,Brighton Kemptown and Peacehaven,15800,17400,18900,24700,26400,28000,15800,17000,17900,25200,26700,28200,2280,2550,2810
E14001130,Brighton Pavilion,13500,17100,19100,27000,29300,31200,14300,17300,20100,29500,31400,32800,2940,3180,3580
E14001141,Buckingham and Bletchley,14100,17600,20400,29900,32600,34800,15700,17000,18100,30000,31800,34000,3200,3420,3860
E14001151,Canterbury,14800,15100,16800,27400,29900,33200,17200,19600,21000,28000,30400,32900,2810,3130,3530
E14001157,Chatham and Aylesford,18400,21200,23300,26400,27900,30000,15200,17000,18400,26300,27400,29300,2500,2760,2950
E14001162,Chesham and Amersham,13700,17000,19300,32100,35900,39500,18300,19500,22100,35900,39000,41600,4010,4540,4970
E14001166,Chichester,12200,14000,15500,24000,25300,26900,15800,17200,20200,25400,26900,29000,2300,2580,2910
E14001184,Crawley,15400,17300,20200,27900,28900,30200,14700,16400,18000,28000,29100,30200,2840,3040,3310
E14001191,Dartford,14900,17100,20900,31300,33800,36000,16900,18400,19500,30300,32400,34300,3290,3540,3930
E14001197,Didcot and Wantage,14500,15800,18500,32000,33500,36300,16300,17600,19700,32300,33500,35400,3540,3880,4110
E14001201,Dorking and Horley,14500,17500,19200,29000,31100,32500,16200,17700,19600,32200,34000,36100,3470,3760,4050
E14001202,Dover and Deal,13000,14300,15600,24700,26500,28300,14600,16000,17800,24300,25800,27200,2080,2370,2650
E14001210,Earley and Woodley,15200,17100,20400,28600,31000,34100,16800,20000,22700,31100,33700,35400,3240,3580,4030
E14001212,East Grinstead and Uckfield,12800,14600,18000,27200,29400,31000,19600,21200,23500,30100,31800,34000,3170,3410,3730
E14001214,East Hampshire,14400,16400,20000,26200,29000,31700,16400,17500,18900,28800,31400,33300,2830,3120,3570
E14001215,East Surrey,13700,18900,23200,32600,36400,37900,17300,19700,21300,33200,35700,37300,3590,4090,4430
E14001216,East Thanet,14100,16100,18000,24300,25900,27600,14900,17000,18800,24100,25700,27100,2080,2300,2640
E14001218,East Worthing and Shoreham,13600,16700,18500,25100,26800,29000,15000,16100,17100,25400,26800,28100,2280,2510,2920
E14001219,Eastbourne,13100,15300,18600,24100,26000,27600,16400,17800,19200,25400,26700,27900,2280,2560,2800
E14001220,Eastleigh,14500,17800,21200,27800,29900,31100,16500,18000,20400,28700,30300,31400,2880,3150,3440
E14001227,Epsom and Ewell,16200,18500,21500,31900,33900,35100,17400,20600,21400,33000,34700,36100,3580,3940,4190
E14001230,Esher and Walton,13800,16300,19200,37200,40400,44800,18600,21100,24800,40100,43300,46100,4650,5170,5840
E14001233,Fareham and Waterlooville,16400,19900,22800,27000,29600,31600,15700,16800,17600,26900,29200,30800,2600,2940,3200
E14001234,Farnham and Bordon,13900,17000,19700,28200,30700,33700,17300,19600,21200,32100,34100,36100,3370,3730,4080
E14001235,Faversham and Mid Kent,16100,19400,21000,26500,28800,31900,15400,16700,18700,28000,29500,32700,2730,3000,3470
E14001239,Folkestone and Hythe,13400,15200,17800,24700,26500,28000,16300,17900,19000,23900,25400,27100,2100,2390,2610
E14001246,Gillingham and Rainham,15300,17900,19400,26600,28600,31000,15300,16700,18400,26500,28200,29900,2640,2860,3120
E14001249,Godalming and Ash,13000,15900,18300,29400,32100,34000,18700,21700,24000,33900,36300,38800,3740,4040,4510
E14001252,Gosport,14900,18600,22100,26300,27600,29200,15900,17100,18700,25700,27000,27900,2450,2620,2820
E14001254,Gravesham,19400,21300,24700,26000,28200,29300,15500,16600,18400,27400,28400,29800,2560,2890,3060
E14001258,Guildford,13300,17300,21200,27100,29400,33300,17900,20900,23700,33400,34900,36600,3480,3920,4290
E14001263,Hamble Valley,14600,16500,19900,29500,31700,33900,18100,19800,22300,31200,32700,34300,3350,3650,3890
E14001274,Hastings and Rye,14100,15800,18100,23600,25100,26600,14300,15400,16200,24700,26100,27100,2190,2400,2670
E14001275,Havant,16500,19000,21200,24900,26400,28400,16800,18000,19100,25100,26500,28000,2270,2510,2830
E14001280,Henley and Thame,11700,14800,18100,29600,32400,34400,17900,19500,22300,33700,36200,38400,3540,4000,4230
E14001282,Herne Bay and Sandwich,14200,15800,17600,23700,25200,27500,16100,16900,17700,24800,26000,27600,2160,2420,2640
E14001294,Horsham,12800,17200,19600,30300,32500,34700,16600,18400,20000,31600,34000,35600,3440,3720,4090
E14001296,Hove and Portslade,15100,17200,20100,25900,28300,30000,14500,15700,18800,29000,31000,32400,2900,3150,3470
E14001303,Isle of Wight East,11500,14500,16500,20900,22400,24700,16200,17000,19300,22100,23500,25600,1690,1900,2320
E14001304,Isle of Wight West,15400,18000,20600,22600,24400,26700,15900,18000,20200,24500,25900,27000,2180,2450,2640
E14001330,Lewes,16200,18500,20800,23600,25600,27500,17400,18700,19900,26600,27700,28700,2440,2750,2930
E14001348,Maidenhead,12700,14000,18100,35100,37300,39900,18600,20100,21900,36400,38300,40900,4290,4570,4900
E14001349,Maidstone and Malling,13700,15600,18900,28500,30700,32300,15900,16700,18100,29100,31100,32700,3020,3290,3580
E14001360,Mid Buckinghamshire,13800,16000,18800,29500,32100,34800,16500,18600,20500,32000,34200,36300,3410,3770,4120
E14001366,Mid Sussex,13200,15600,18900,29100,32100,34600,17700,21400,22400,32000,33800,36300,3210,3640,3960
E14001369,Milton Keynes Central,13200,14500,16900,27000,28600,30200,15500,17800,19600,28100,29700,30700,2890,3100,3330
E14001370,Milton Keynes North,13000,16400,20200,28600,30700,32300,16200,17600,18300,28600,30600,31900,2890,3210,3560
E14001373,New Forest East,13400,15000,17000,25300,27800,29500,17900,19300,20700,27200,28500,30300,2620,2880,3130
E14001374,New Forest West,15300,18000,21500,24100,26300,28200,16200,18500,19800,26300,28200,29600,2490,2760,3020
E14001376,Newbury,14800,16800,19200,30200,32300,34500,15400,17000,18700,31600,33100,34900,3410,3680,3990
E14001392,North East Hampshire,11600,14000,17000,32600,34800,37300,17100,18600,19800,34300,36100,38100,3800,4190,4560
E14001403,North West Hampshire,12900,16200,19400,28900,30400,32800,17000,18100,20500,30400,31900,34100,3160,3410,3780
E14001419,Oxford East,12800,16300,20700,28900,31200,33600,15900,16700,18400,29100,31200,33300,3060,3420,3690
E14001420,Oxford West and Abingdon,12400,15000,20100,29400,31400,33900,19500,22000,24000,31100,33300,35400,3400,3760,4080
E14001431,Portsmouth North,16000,18700,21500,26600,28000,29500,16300,17500,19100,26500,27800,28800,2530,2770,2980
E14001432,Portsmouth South,12900,15000,19600,26000,27300,28500,14400,15900,17900,26500,27900,29400,2560,2780,3020
E14001438,Reading Central,14400,17400,19600,29700,32400,34100,16900,18900,21300,31200,33000,34500,3370,3610,3940
E14001439,Reading West and Mid Berkshire,12500,16900,18400,27100,29400,31600,16600,19300,21800,29800,32000,33000,3020,3460,3830
E14001442,Reigate,14000,16200,19000,31000,33800,36400,18900,20200,22100,34000,36200,37800,3590,3980,4450
E14001447,Rochester and Strood,16600,19700,22900,27700,29700,31900,15800,17300,18400,27900,29500,31700,2770,3020,3380
E14001449,Romsey and Southampton North,13800,16700,19400,27500,29000,31400,16900,19600,21600,30300,32500,34300,3090,3490,3810
E14001456,Runnymede and Weybridge,14400,17900,20000,33700,35700,38500,16500,17600,21000,33900,35800,38000,3800,4090,4590
E14001465,Sevenoaks,14900,17800,21400,30600,32800,35500,18200,20100,23300,32500,34600,36600,3430,3860,4160
E14001474,Sittingbourne and Sheppey,17800,20900,24200,24400,26600,28000,15300,16200,17200,25100,26500,27900,2230,2450,2780
E14001477,Slough,14900,16000,18400,28900,29700,31100,13300,14700,15900,28900,29700,31200,2960,3130,3420
E14001499,Southampton Itchen,15000,17900,20100,25000,26600,28000,14700,16000,17800,24800,25900,27200,2290,2490,2750
E14001500,Southampton Test,13500,15000,18000,24600,25700,27200,13700,15300,16900,24600,25700,26900,2240,2440,2640
E14001505,Spelthorne,13200,15800,18300,28300,30200,31600,17200,18200,20400,28800,30300,31700,2980,3210,3440
E14001532,Surrey Heath,14200,16900,19100,29600,32000,34900,17100,19400,21300,32400,34600,36400,3470,3840,4180
E14001533,Sussex Weald,14900,16300,18200,26000,28000,29600,15300,16500,18300,28200,29900,31200,2880,3080,3310
E14001549,Tonbridge,14100,16100,18600,29200,31000,34000,16500,18300,20200,30300,32600,34900,3100,3480,3910
E14001555,Tunbridge Wells,12800,16300,18800,27900,30000,31600,16300,17800,18800,30000,31400,34000,3010,3290,3540
E14001570,Weald of Kent,14700,17200,20700,26700,28100,30500,17200,18200,21200,29700,31300,32900,2910,3190,3610
E14001587,Winchester,8030,14600,17500,29400,31100,33700,19000,23200,26800,34500,36200,38300,3680,4050,4520
E14001588,Windsor,14400,17300,21200,30700,34500,37200,17000,19000,20200,33400,36100,38200,3490,4030,4430
E14001591,Witney,13100,16400,20800,29000,30900,32600,16200,17500,20000,30000,31200,32500,3070,3360,3570
E14001592,Woking,14200,15400,18600,33200,34900,37200,18600,21000,24600,33900,35700,38200,3840,4160,4510
E14001593,Wokingham,13300,18000,21800,35500,38900,41100,19300,22100,24400,36900,38900,40900,4240,4580,5040
E14001599,Worthing West,13300,14900,19400,24100,26800,28800,16500,18100,19600,26200,28000,29600,2500,2800,3060
E14001600,Wycombe,12100,14000,15200,28400,31000,32600,15600,17400,19100,29100,31100,32800,2980,3360,3630
E12000009,South West,15000,15200,15500,26100,26300,26500,17100,17300,17600,27200,27400,27600,2630,2660,2690
E14001080,Bath,12900,16000,19200,27100,29500,31500,17800,20300,21400,29500,31500,33300,2990,3350,3670
E14001115,Bournemouth East,13900,16200,18700,25200,26300,27800,14200,15900,17800,26300,27400,29100,2500,2750,3050
E14001116,Bournemouth West,13800,15400,17400,23500,24400,25900,14700,16700,17800,24500,25500,26600,2140,2350,2650
E14001126,Bridgwater,13900,15100,17100,24000,25100,26400,14200,15900,16600,24500,25700,26600,2110,2400,2670
E14001131,Bristol Central,10600,13800,17500,28500,30200,32500,14900,16600,26100,32300,33900,35500,3510,3740,4010
E14001132,Bristol East,14200,17200,19200,26500,28000,29300,15200,16700,18700,26400,27700,29000,2490,2730,2930
E14001133,Bristol North East,14500,17100,18500,26100,27600,29000,15200,16900,19400,25600,27300,28700,2360,2620,2920
E14001134,Bristol North West,13300,16300,20500,27900,29800,32300,15500,16500,17800,28700,29900,32500,2910,3130,3390
E14001135,Bristol South,14200,16400,18400,26700,28100,29700,15700,17200,18500,25900,27300,28300,2420,2680,2930
E14001148,Camborne and Redruth,12800,14800,18200,22500,23600,24300,14100,14800,15700,23600,24300,25400,1890,2100,2290
E14001155,Central Devon,9720,13600,15100,23600,25400,27700,15100,16700,17700,26000,27700,29300,2370,2680,2980
E14001161,Cheltenham,14200,15600,18100,25900,27500,30400,16600,18300,20000,27800,29900,32300,2740,2990,3420
E14001168,Chippenham,14800,16500,18800,27500,29600,31500,17200,18000,20300,29100,30700,32600,2870,3120,3480
E14001171,Christchurch,13400,15200,18900,24100,26000,28700,17400,18100,19900,25600,27100,28300,2270,2590,2850
E14001217,East Wiltshire,14200,16900,20400,27200,28800,31100,16000,16900,18300,28400,30600,32500,2860,3150,3470
E14001231,Exeter,14500,16200,21100,24000,25200,26600,15400,17400,19600,25300,26600,27700,2340,2540,2800
E14001232,Exmouth and Exeter East,10200,13300,16000,24000,25300,27900,15300,17600,18900,26000,27400,29100,2500,2720,2900
E14001237,Filton and Bradley Stoke,11500,15200,18100,27600,29100,30900,15800,16800,18900,27300,28400,30100,2650,2890,3140
E14001240,Forest of Dean,14200,15800,17200,24500,26000,27500,15400,16900,18600,25900,26900,28300,2350,2600,2840
E14001241,Frome and East Somerset,12300,14600,16400,23200,24800,26200,15400,17200,18600,25700,26900,28100,2330,2600,2810
E14001247,Glastonbury and Somerton,11600,15100,17500,22800,24700,26800,17000,18600,20400,26200,27600,28800,2390,2710,2960
E14001248,Gloucester,14500,18300,19500,24400,25500,26700,15000,16400,18000,24900,26000,27200,2290,2440,2640
E14001291,Honiton and Sidmouth,13500,15400,16400,22900,24600,26100,18800,19800,21000,24800,26200,27300,2190,2450,2640
E14001356,Melksham and Devizes,8830,12600,15200,25700,27300,28900,16800,18000,19700,27300,28700,30200,2580,2870,3090
E14001363,Mid Dorset and North Poole,8780,14500,17000,25400,26900,28100,16000,17900,20500,26800,28000,29000,2600,2810,3010
E14001381,Newton Abbot,13100,15800,19700,23700,24300,26300,15500,17300,18500,24200,25500,26700,2160,2360,2590
E14001385,North Cornwall,13600,14700,16700,22800,24000,25000,15200,17500,19500,24600,25500,26400,2180,2370,2580
E14001386,North Cotswolds,13300,15300,16900,25500,27700,29900,17000,19200,21300,29900,31200,32900,2910,3170,3510
E14001387,North Devon,13200,15300,17600,22500,23700,25400,15700,17100,19000,23700,24900,26600,2060,2230,2520
E14001388,North Dorset,15000,18200,20600,24000,25700,27400,15600,17500,18800,26600,28200,29900,2470,2710,3060
E14001394,North East Somerset and Hanham,12800,15500,17800,27500,28800,31700,16600,18000,19100,28100,29400,31300,2750,3030,3300
E14001399,North Somerset,11300,14500,16300,28000,30100,32300,17800,19800,21600,29400,31200,33300,3010,3250,3570
E14001426,Plymouth Moor View,13200,15600,20700,23900,25700,26700,14900,16300,17600,23100,24200,25800,1880,2130,2400
E14001427,Plymouth Sutton and Devonport,14000,17000,20400,23600,24700,25900,14100,15200,16400,24100,25500,26900,2160,2340,2560
E14001429,Poole,12800,15300,17100,25400,27200,29200,16000,17300,19600,27200,29100,30300,2550,2890,3180
E14001460,Salisbury,13000,15300,19600,25200,26600,28400,17000,18800,20400,27300,28500,30400,2630,2840,3120
E14001482,South Cotswolds,13500,15700,18700,26800,28800,31600,18800,20000,21900,29600,32000,34000,3030,3280,3690
E14001484,South Devon,13000,15100,17500,21800,23400,24900,15800,16800,18100,24400,25400,26800,2040,2330,2530
E14001485,South Dorset,9790,14500,17400,24000,25800,26700,16600,17900,19400,25500,26400,27600,2300,2540,2700
E14001486,South East Cornwall,11800,13700,15200,23600,25300,26300,16000,17900,18900,25000,25900,27500,2110,2360,2620
E14001495,South West Devon,13400,16200,19800,24500,26400,27800,16500,19000,21100,26300,27300,28400,2480,2670,2860
E14001498,South West Wiltshire,12600,14800,16700,25900,26800,28300,15800,18200,18700,26200,27200,28500,2460,2670,2860
E14001508,St Austell and Newquay,14800,16800,20400,21900,23000,24300,15200,16400,18600,23200,24300,25600,1910,2080,2360
E14001511,St Ives,11200,14000,16800,21300,23000,24400,14200,17000,18300,23800,25200,26800,2010,2250,2560
E14001529,Stroud,12600,14400,16000,24300,26000,27700,15000,16300,18100,24600,26500,27700,2170,2480,2670
E14001536,Swindon North,16300,19300,22600,26500,28700,30900,14300,16000,17500,27100,28700,30500,2680,3030,3320
E14001537,Swindon South,13900,16100,18300,25700,27100,28200,15800,17300,19100,25600,26600,27600,2430,2560,2700
E14001540,Taunton and Wellington,12600,14500,16200,24600,25900,27100,16000,17200,18500,25300,26600,27600,2260,2500,2710
E14001542,Tewkesbury,16800,19000,21000,27200,30200,31800,15800,17200,18900,27500,30000,31500,2660,3070,3470
E14001545,Thornbury and Yate,13200,15000,17400,28300,31100,32300,16900,18700,20600,31000,32300,33600,3050,3420,3690
E14001548,Tiverton and Minehead,11900,14200,16400,21500,23200,24900,15900,17300,19200,24100,25500,26900,2080,2270,2430
E14001551,Torbay,11000,14000,16700,22600,23800,24900,14500,15300,16400,24100,25200,26100,2030,2310,2510
E14001552,Torridge and Tavistock,12000,13300,15700,23000,24800,26700,15500,16600,17800,23300,24800,25900,1920,2180,2440
E14001554,Truro and Falmouth,13500,14800,17600,21800,23000,24900,14600,17000,18800,24000,25200,26600,2050,2270,2480
E14001572,Wells and Mendip Hills,12200,15200,17800,24200,26500,28100,15400,16600,18300,27200,28900,30900,2570,2880,3180
E14001575,West Dorset,8710,13200,15400,23800,26000,28200,17300,18900,21100,26800,28600,30000,2450,2740,3050
E14001581,Weston-Super-Mare,11600,14800,19400,24400,25800,27200,15300,16600,17500,25600,26800,28200,2370,2630,2830
E14001603,Yeovil,13600,16400,19500,25100,26600,27800,14500,16500,18600,26100,27300,28100,2430,2660,2840
W92000004,Wales,14300,14700,15100,25900,26200,26400,16600,17000,17200,26200,26400,26600,2450,2500,2550
W07000081,Aberafan Maesteg,13300,15900,18200,24900,26500,28200,15100,16500,18300,25100,26500,28200,2260,2580,2870
W07000082,Alyn and Deeside,13000,17400,21200,25100,26500,27900,16200,18000,19300,24800,26300,27200,2190,2440,2670
W07000083,Bangor Aberconwy,11600,14400,15700,22500,23500,25000,16500,17100,18700,23400,24700,25800,1870,2120,2370
W07000084,Blaenau Gwent and Rhymney,15500,17500,19300,24800,26300,27500,12700,14000,16100,24200,25600,27000,2130,2380,2700
W07000085,"Brecon, Radnor and Cwm Tawe",13100,15600,17100,24000,26500,28400,15300,16200,18000,25000,26700,27900,2200,2500,2820
W07000086,Bridgend,13600,15200,18600,25500,27000,28200,16000,17000,18700,25400,26900,28200,2290,2560,2850
W07000087,Caerfyrddin,8620,12700,14500,24000,25600,26400,14900,17000,19400,25400,26100,27300,2270,2480,2660
W07000088,Caerphilly,14600,17400,19700,24700,27000,28300,14300,15400,17100,24300,25700,27100,2200,2370,2690
W07000089,Cardiff East,14100,15800,19800,24400,26700,28000,18000,20000,22900,26200,27600,29100,2430,2730,2950
W07000090,Cardiff North,9020,14100,18300,28100,30400,32700,19400,21800,23500,29800,31500,33500,3000,3400,3720
W07000091,Cardiff South and Penarth,8880,13600,15100,27400,28500,30800,17900,20100,22400,27800,29000,30600,2720,2980,3230
W07000092,Cardiff West,10900,15000,19300,26400,28100,30100,15900,17400,20800,27800,29000,31000,2770,2980,3380
W07000093,Ceredigion Preseli,12400,14300,15500,22000,23400,25100,15600,18000,19200,23800,24600,25500,1990,2210,2380
W07000094,Clwyd East,12200,14700,19800,25500,27300,29100,16300,17600,19500,25700,27200,28500,2330,2590,2900
W07000095,Clwyd North,13700,17800,19800,24100,25700,27100,16300,19100,20200,25100,26200,27400,2260,2460,2720
W07000096,Dwyfor Meirionnydd,9980,13000,15500,23100,24500,26100,14600,15700,18300,24200,25100,26600,2080,2270,2540
W07000097,Gower,12900,13800,15100,25600,26900,28300,15500,17700,19200,26000,27200,28500,2390,2630,2870
W07000098,Llanelli,8450,12900,14600,23100,24100,25200,15700,16600,18400,23100,24100,25200,1970,2130,2330
W07000099,Merthyr Tydfil and Aberdare,13800,16400,17500,24400,25900,27100,14200,15300,16400,23500,25000,26000,2060,2260,2470
W07000100,Mid and South Pembrokeshire,8200,14200,15800,22600,24000,26000,15900,16900,18600,23900,24700,25900,2040,2260,2420
W07000101,Monmouthshire,14400,16600,19200,25700,27100,30600,16000,17700,20000,27500,29600,32100,2660,2960,3310
W07000102,Montgomeryshire and Glyndwr,10000,14300,16900,23000,24400,26200,13400,14400,16000,23800,25000,26600,1970,2230,2430
W07000103,Neath and Swansea East,9870,15100,19100,26500,28100,29500,16100,18000,19200,25600,26900,28500,2340,2570,2920
W07000104,Newport East,13900,15000,16400,23400,24700,26400,14600,16300,17300,23600,24400,25400,2040,2200,2370
W07000105,Newport West and Islwyn,12100,13400,15400,26400,27600,29100,14800,16400,17400,26800,27700,29100,2590,2800,3000
W07000106,Pontypridd,14300,17000,19900,25900,27400,28900,15000,16300,18700,25300,27000,28800,2350,2640,2940
W07000107,Rhondda and Ogmore,14600,16400,19300,24600,25400,26700,13800,14500,16100,23800,25000,26200,1980,2240,2460
W07000108,Swansea West,11500,14500,20300,23900,25000,26400,15200,17300,19900,24300,25800,26700,2160,2350,2570
W07000109,Torfaen,13000,15800,18400,24500,26600,28000,15900,17200,18900,24300,26100,27300,2160,2510,2720
W07000110,Vale of Glamorgan,8610,15400,17800,25200,27200,29000,15900,17500,19700,26500,28200,29700,2530,2850,3150
W07000111,Wrexham,12800,14300,16500,23700,25200,26400,15100,16100,17500,24200,25700,26700,2040,2340,2670
W07000112,Ynys M�n,8910,13300,16600,23000,24500,27100,15900,17600,19300,23600,25200,27500,2080,2310,2660
S92000003,Scotland,15200,15500,15800,28000,28200,28400,16900,17200,17400,27900,28100,28300,2780,2820,2860
S14000060,Aberdeen North,12800,15300,17900,26200,27500,29000,15600,17600,19800,26200,27400,28700,2510,2710,3000
S14000061,Aberdeen South,7210,14800,17400,28400,30000,31900,15300,16600,17800,28700,30400,32700,2950,3180,3470
S14000062,Aberdeenshire North and Moray East,7960,14400,16600,24800,26800,28700,15300,16600,18100,25200,26800,28200,2170,2500,2830
S14000063,Airdrie and Shotts,14900,17100,20200,26500,28000,30000,13300,14800,16600,26500,28000,30000,2490,2880,3160
S14000064,Alloa and Grangemouth,12700,17300,21700,27100,29500,31800,15300,16100,17600,26400,28400,30300,2570,2980,3320
S14000065,Angus and Perthshire Glens,15500,18500,20500,24600,27300,29200,16200,17700,19000,25500,27300,29000,2240,2610,2910
S14000066,Arbroath and Broughty Ferry,11600,14600,17300,24800,27000,29000,15600,17100,18300,26000,27200,29000,2360,2690,2970
S14000067,"Argyll, Bute and South Lochaber",10300,13400,16600,25400,27600,29800,15400,16100,18100,27300,28900,30400,2540,2940,3190
S14000107,"Ayr, Carrick and Cumnock",13700,18300,22100,23700,25600,28000,15400,16900,19600,25100,26800,28900,2210,2560,2870
S14000068,Bathgate and Linlithgow,10900,13200,16600,27400,28800,30600,14500,15600,17700,26400,27900,29300,2520,2790,3120
S14000108,"Berwickshire, Roxburgh and Selkirk",11900,15700,17500,23300,25800,27700,15900,16900,18100,24300,25800,27400,2090,2360,2590
S14000069,"Caithness, Sutherland and Easter Ross",5110,8890,16000,25100,26900,28500,15000,16300,17100,26100,27100,28600,2280,2600,2810
S14000109,Central Ayrshire,12300,14700,18700,26000,28800,30700,15800,17400,19000,25400,27800,30000,2320,2690,3260
S14000070,Coatbridge and Bellshill,15300,18000,20800,27600,29300,31000,14100,15800,17400,27300,28600,30000,2740,2970,3250
S14000071,Cowdenbeath and Kirkcaldy,11500,15500,18200,26400,27800,28900,15800,17600,19400,25100,27000,28300,2290,2640,2880
S14000072,Cumbernauld and Kirkintilloch,13100,15300,18900,26500,28800,30800,15000,16500,19000,26200,27900,29600,2450,2810,3110
S14000073,Dumfries and Galloway,11500,14000,15500,23400,25000,26200,15700,16800,17800,23000,24400,25500,1870,2080,2330
S14000074,"Dumfriesshire, Clydesdale and Tweeddale",13300,16900,20100,24900,26600,27900,14800,15600,16900,24700,26100,27900,2050,2370,2570
S14000075,Dundee Central,7390,13300,15300,24600,26100,27900,16400,17700,19200,24800,26000,27700,2150,2420,2710
S14000076,Dunfermline and Dollar,12000,14800,16200,28300,30300,32600,17400,19100,21600,27400,29000,30500,2760,3090,3430
S14000077,East Kilbride and Strathaven,11900,14600,17500,27800,29500,31500,16400,17700,20000,26500,28000,29500,2590,2850,3150
S14000021,East Renfrewshire,14700,17300,20200,30400,32700,35000,17500,18900,20500,30500,32400,34600,3100,3420,3810
S14000078,Edinburgh East and Musselburgh,14500,17200,20400,27200,28400,29900,15500,16700,18600,27300,28300,29400,2670,2910,3170
S14000079,Edinburgh North and Leith,11900,14300,16200,28300,30100,31800,15900,18700,21700,28800,30300,31900,2960,3240,3550
S14000080,Edinburgh South,13700,15700,19000,28100,30400,34100,18800,22100,24000,30100,32600,34700,3140,3550,3930
S14000081,Edinburgh South West,9830,14200,16600,27900,29900,31600,18200,19400,22200,29300,30900,32500,3040,3300,3730
S14000082,Edinburgh West,13900,15900,23100,28300,30700,32200,18800,20900,22500,29700,31300,33000,3090,3350,3700
S14000083,Falkirk,14200,16700,20200,26700,28400,29800,16000,17900,19000,25900,27100,28500,2460,2720,2990
S14000084,Glasgow East,15000,17300,21500,25900,27100,28500,13800,15400,17300,26100,27100,28300,2430,2640,2880
S14000085,Glasgow North,8460,13100,17100,26900,28800,31000,13600,16800,19200,27300,28900,31000,2700,3170,3480
S14000086,Glasgow North East,14900,16700,19400,25300,26500,28300,11700,14600,16700,24700,26400,27600,2230,2550,2780
S14000087,Glasgow South,13600,15500,19300,28700,30900,32300,16100,18300,20400,28800,30500,32200,3090,3430,3690
S14000088,Glasgow South West,15600,18800,23200,24100,25200,26600,14100,15100,18100,24300,25100,26200,2100,2280,2520
S14000089,Glasgow West,13500,15700,19000,26900,28600,30300,14800,16800,18400,27700,29100,30800,2790,3000,3360
S14000090,Glenrothes and Mid Fife,10500,19700,22600,24400,25800,27300,14200,15200,16100,23500,25000,26500,2010,2270,2660
S14000091,Gordon and Buchan,12800,15200,20100,27100,30000,32100,14900,17900,19600,28700,30600,32700,2860,3230,3520
S14000092,Hamilton and Clyde Valley,9380,13900,15200,27800,29100,31000,15400,17500,19900,27300,28500,30000,2640,2910,3150
S14000093,Inverclyde and Renfrewshire West,10700,13500,17400,25800,27300,29200,15400,17000,19700,26100,27400,29500,2440,2730,3040
S14000094,"Inverness, Skye and West Ross-shire",9390,12800,15100,23800,25000,26600,16000,16800,18700,25200,26900,28200,2200,2500,2720
S14000110,Kilmarnock and Loudoun,13100,15300,17400,27300,28900,30700,14400,15700,16900,25500,27600,29500,2330,2710,3030
S14000095,Livingston,12800,15700,17000,26600,28000,29600,14600,15800,16600,26400,27600,28800,2500,2780,3040
S14000096,Lothian East,13700,15700,17600,27400,28900,30900,16500,17700,19200,27900,29500,31200,2720,3020,3380
S14000097,Mid Dunbartonshire,12500,14600,17300,28600,31000,33300,17900,20400,22500,29600,31200,33200,3000,3340,3710
S14000045,Midlothian,14400,17900,20500,27000,28800,30600,15800,17200,18400,26500,27900,29200,2540,2790,3100
S14000098,"Moray West, Nairn and Strathspey",8220,13500,15800,23500,25000,26800,15200,16300,17500,25700,26900,28100,2340,2560,2780
S14000099,"Motherwell, Wishaw and Carluke",15200,19100,21300,26300,27900,29200,14100,16400,17700,26400,28000,29300,2540,2800,3070
S14000027,Na h-Eileanan an Iar,4360,14900,18300,22200,27000,29200,13900,17700,21600,24400,27100,29500,2140,2630,3060
S14000048,North Ayrshire and Arran,11300,14400,16200,24000,25200,27100,16400,17800,20000,24400,25600,27100,2130,2450,2630
S14000100,North East Fife,13200,15800,18600,24800,26100,28100,16800,18300,19500,25100,26200,28000,2250,2460,2700
S14000051,Orkney and Shetland,1710,6740,9600,26400,29600,33200,13600,14700,16400,25700,28300,31600,2430,2820,3310
S14000101,Paisley and Renfrewshire North,10600,15900,21400,27800,29200,30800,15500,16800,18300,26100,27600,29300,2480,2740,3100
S14000102,Paisley and Renfrewshire South,11200,15900,20500,27400,28500,29900,15300,16300,17800,26900,27900,29100,2590,2840,3050
S14000103,Perth and Kinross-shire,13700,17400,20800,26400,27500,28800,16400,17500,19200,26600,27800,29100,2520,2760,2960
S14000104,Rutherglen,14500,17600,20800,27300,29400,30600,16400,18200,20000,27300,29000,30500,2670,3090,3340
