Parliamentary Constituency Codes,Parliamentary Constituency,Self-employment income: Median (Lower 95% CI),Self-employment income: Median (Central Estimate),Self-employment income: Median (Upper 95% CI),Employment income: Median (Lower 95% CI),Employment income: Median (Central Estimate),Employment income: Median (Upper 95% CI),Pension income: Median (Lower 95% CI),Pension income: Median (Central Estimate),Pension income: Median (Upper 95% CI),Total income: Median (Lower 95% CI),Total income: Median (Central Estimate),Total income: Median (Upper 95% CI),Total tax: Median (Lower 95% CI),Total tax: Median (Central Estimate),Total tax: Median (Upper 95% CI)
E14001547,Tipton and Wednesbury,14600,17800,20800,23200,24300,25400,13100,13500,14100,22500,23700,24800,1810,2050,2270
E14001562,Walsall and Bloxwich,13700,15500,18700,23100,24700,25900,13700,15800,16900,22900,24200,25200,1820,2110,2330
E14001566,Warwick and Leamington,13200,14800,18000,27200,29200,32000,15600,16900,18000,28600,30000,32200,2860,3140,3460
E14001574,West Bromwich,14500,17800,20400,23800,25000,26400,13800,15000,17100,23200,24300,25500,1940,2150,2360
E14001579,West Worcestershire,13500,17600,21300,24400,26600,28800,16600,18400,19900,26800,28600,30500,2530,2800,3150
E14001594,Wolverhampton North East,12900,17200,23400,23200,24500,26100,13400,14300,15600,23500,24900,26100,2020,2260,2490
E14001595,Wolverhampton South East,15700,18100,20500,23600,24600,26100,13800,15600,16600,22800,23800,24700,1830,2080,2280
E14001596,Wolverhampton West,13400,15800,18000,24500,25700,27900,14900,16000,17700,25000,26200,27600,2220,2390,2720
E14001597,Worcester,7630,13400,15600,24200,26000,28000,14700,16000,17600,25300,26900,28300,2280,2570,2850
E14001601,Wyre Forest,13700,15100,17600,24600,26300,27500,14900,16200,17700,24600,26000,27200,2160,2340,2620
E12000006,East of England,16400,16800,17200,29000,29300,29500,17200,17400,17600,29500,29700,29900,3040,3070,3100
E14001077,Basildon and Billericay,16200,19300,22600,27300,29500,31600,15200,17000,18300,28800,30300,31900,2830,3180,3530
E14001084,Bedford,16000,19000,21700,26600,27500,28900,15500,17100,18100,26600,27500,28500,2550,2760,3000
