PCON24CD,PCON24NM,MP,Gender,ID,TheyWorkForYou ID,TheyWorkForYou URI,Start date,Party,Party name,Party bg,Party fg,Thumbnail
E14001063,Aldershot,Alex Baker,F,5173,26444,https://www.theyworkforyou.com/mp/26444/alex_baker/aldershot,2024-07-04T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/5173/Thumbnail
E14001064,Aldridge-Brownhills,Wendy Morton,F,4358,25342,https://www.theyworkforyou.com/mp/25342/wendy_morton/aldridge-brownhills,2015-05-07T00:00:00,Con,Conservative,#0063ba,#ffffff,https://members-api.parliament.uk/api/Members/4358/Thumbnail
E14001065,Altrincham and Sale West,Mr Connor Rand,M,5159,26473,https://www.theyworkforyou.com/mp/26473/connor_rand/altrincham_and_sale_west,2024-07-04T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/5159/Thumbnail
E14001066,Amber Valley,Linsey Farnsworth,F,5107,26356,https://www.theyworkforyou.com/mp/26356/linsey_farnsworth/amber_valley,2024-07-04T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/5107/Thumbnail
E14001067,Arundel and South Downs,Andrew Griffith,M,4874,25927,https://www.theyworkforyou.com/mp/25927/andrew_griffith/arundel_and_south_downs,2019-12-12T00:00:00,Con,Conservative,#0063ba,#ffffff,https://members-api.parliament.uk/api/Members/4874/Thumbnail
E14001068,Ashfield,Lee Anderson,M,4743,25894,https://www.theyworkforyou.com/mp/25894/lee_anderson/ashfield,2019-12-12T00:00:00,RUK,Reform UK,#12b6cf,#ffffff,https://members-api.parliament.uk/api/Members/4743/Thumbnail
E14001069,Ashford,Sojan Joseph,M,5247,26578,https://www.theyworkforyou.com/mp/26578/sojan_joseph/ashford,2024-07-04T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/5247/Thumbnail
E14001070,Ashton-under-Lyne,Angela Rayner,F,4356,25429,https://www.theyworkforyou.com/mp/25429/angela_rayner/ashton-under-lyne,2015-05-07T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/4356/Thumbnail
E14001071,Aylesbury,Laura Kyrke-Smith,F,5341,26629,https://www.theyworkforyou.com/mp/26629/laura_kyrke-smith/aylesbury,2024-07-04T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/5341/Thumbnail
E14001072,Banbury,Sean Woodcock,M,5328,26552,https://www.theyworkforyou.com/mp/26552/sean_woodcock/banbury,2024-07-04T00:00:00,Lab,Labour,#d50000,#ffffff,https://members-api.parliament.uk/api/Members/5328/Thumbnail
