PCON22CD,LA23CD,overlap
E14000530,E07000092,0.736
E14000531,E08000030,0.999
E14000532,E08000009,0.998
E14000533,E07000032,0.999
E14000534,E07000227,0.42
E14000535,E07000170,0.866
E14000536,E07000105,0.999
E14000537,E08000008,0.744
E14000538,E06000060,1
E14000539,E07000177,0.999
E14000540,E09000002,0.94
E14000541,E08000016,0.999
E14000542,E08000016,0.999
E14000543,E06000064,0.707
E14000544,E07000066,0.999
E14000545,E07000084,1
E14000546,E07000171,0.998
E14000547,E06000022,1
E14000548,E08000034,0.998
E14000549,E09000032,0.936
E14000550,E06000060,0.999
E14000551,E09000006,0.999
E14000552,E06000055,1
E14000553,E09000028,0.904
E14000554,E06000057,0.983
E14000555,E09000030,0.998
E14000556,E06000011,0.933
E14000557,E07000064,0.687
E14000558,E09000004,0.945
E14000559,E08000015,0.897
E14000560,E08000025,0.999
E14000561,E08000025,1
E14000562,E08000025,1
E14000563,E08000025,0.999
E14000564,E08000025,1
E14000565,E08000025,0.998
E14000566,E08000025,0.999
E14000567,E08000025,0.999
E14000568,E08000025,0.999
E14000569,E06000047,1
E14000570,E06000008,0.999
E14000571,E08000003,0.792
E14000572,E06000009,0.519
E14000573,E06000009,0.81
E14000574,E08000037,0.993
E14000575,E06000057,0.979
E14000576,E07000224,0.959
E14000577,E07000033,0.707
E14000578,E08000001,0.999
E14000579,E08000001,0.998
E14000580,E08000001,0.933
E14000581,E08000014,0.926
E14000582,E07000136,0.465
E14000583,E07000132,0.999
E14000584,E06000058,0.972
E14000585,E06000058,0.996
E14000586,E06000036,0.611
E14000587,E08000032,0.999
E14000588,E08000032,0.997
E14000589,E08000032,1
E14000590,E07000067,0.999
E14000591,E09000005,0.997
E14000592,E09000005,0.998
E14000593,E09000018,0.974
E14000594,E07000072,0.516
E14000595,E06000066,0.961
E14000596,E06000013,0.747
E14000597,E06000043,0.7
E14000598,E06000043,0.997
E14000599,E06000023,0.996
E14000600,E06000023,0.259
E14000601,E06000023,0.993
E14000602,E06000023,0.988
E14000603,E07000144,0.69
E14000604,E09000006,0.999
E14000605,E07000234,0.999
E14000606,E07000095,0.768
E14000607,E07000172,0.998
E14000608,E06000060,0.999
E14000609,E07000117,0.999
E14000610,E07000193,0.999
E14000611,E08000002,0.998
E14000612,E08000002,0.999
E14000613,E07000203,0.683
E14000614,E08000033,0.999
E14000615,E09000028,0.997
E14000616,E06000052,0.985
E14000617,E07000008,0.999
E14000618,E07000192,0.999
E14000619,E07000106,0.967
E14000620,E06000063,0.992
E14000621,E09000029,0.998
E14000622,E07000069,0.699
E14000623,E07000042,0.332
E14000624,E07000203,0.663
