PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000540,UKPARL.2025.BKG,19133197.63,20438131.84,0.94,0.92,130085.0,141127.0,1027
E14000540,UKPARL.2025.DAR,1303415.01,20438131.84,0.06,0.08,11042.0,141127.0,185
E14000541,UKPARL.2025.BNN,45552654.06,48368144.99,0.94,0.88,81512.27,92178.39,1041
E14000541,UKPARL.2025.BNS,2790693.51,48368144.99,0.06,0.12,10666.12,92178.39,163
E14000542,UKPARL.2025.BNN,29565636.2,86802541.9,0.34,0.26,25207.9,95579.09,576
E14000542,UKPARL.2025.BNS,57222433.45,86802541.9,0.66,0.74,70371.19,95579.09,781
E14000543,UKPARL.2025.BRW,281311756.07,281320994.16,1.0,1.0,86783.0,86783.0,1300
E14000544,UKPARL.2025.BAB,60210924.64,60231876.55,1.0,1.0,96910.0,96910.0,1221
E14000545,UKPARL.2025.BSK,28945858.85,58916336.57,0.49,0.85,97674.21,115116.07,677
E14000545,UKPARL.2025.NEH,27438810.26,58916336.57,0.47,0.07,8398.0,115116.07,661
E14000545,UKPARL.2025.NWH,2529353.47,58916336.57,0.04,0.08,9043.86,115116.07,124
E14000546,UKPARL.2025.BSL,398006273.7,479521123.86,0.83,0.96,103806.0,108065.0,907
E14000546,UKPARL.2025.NWK,81430514.99,479521123.86,0.17,0.04,4259.0,108065.0,408
E14000547,UKPARL.2025.BTH,28672738.68,28676042.66,1.0,1.0,97523.0,97523.0,1274
E14000548,UKPARL.2025.DAB,12214093.66,55060181.79,0.22,0.35,39168.62,112437.01,466
E14000548,UKPARL.2025.SPV,42819118.26,55060181.79,0.78,0.65,73268.39,112437.01,873
E14000549,UKPARL.2025.BAT,9207743.89,10276536.04,0.9,0.91,109880.3,120172.0,981
E14000549,UKPARL.2025.PUT,1057839.98,10276536.04,0.1,0.09,10291.7,120172.0,284
E14000550,UKPARL.2025.BCF,165556782.96,176258330.47,0.94,0.92,94604.53,102703.0,1035
E14000550,UKPARL.2025.CAA,10665373.44,176258330.47,0.06,0.08,8098.47,102703.0,175
E14000551,UKPARL.2025.BAP,15337189.93,34483434.37,0.44,0.64,59914.0,93247.0,657
E14000551,UKPARL.2025.BBH,19134028.09,34483434.37,0.55,0.36,33333.0,93247.0,700
E14000552,UKPARL.2025.BED,29201234.03,33940086.27,0.86,0.98,105162.8,106874.0,943
E14000552,UKPARL.2025.MBD,2590246.16,33940086.27,0.08,0.0,194.32,106874.0,222
E14000552,UKPARL.2025.NBD,2148606.08,33940086.27,0.06,0.01,1516.88,106874.0,182
E14000553,UKPARL.2025.BOS,8177661.51,10433188.99,0.78,0.76,113643.08,148887.0,880
E14000553,UKPARL.2025.PKM,1536393.75,10433188.99,0.15,0.15,21683.5,148887.0,373
E14000553,UKPARL.2025.VCG,718190.79,10433188.99,0.07,0.09,13560.42,148887.0,202
E14000554,UKPARL.2025.HEX,287045268.94,2385464469.07,0.12,0.05,3467.89,76340.0,324
E14000554,UKPARL.2025.NNU,2098392033.59,2385464469.07,0.88,0.95,72872.11,76340.0,961
E14000555,UKPARL.2025.BGS,5954947.89,9168685.84,0.65,0.77,118481.0,153003.0,776
E14000555,UKPARL.2025.SAB,3209498.92,9168685.84,0.35,0.23,34522.0,153003.0,582
E14000556,UKPARL.2025.BEV,708505362.29,774551647.4,0.91,0.9,89947.0,100491.0,1004
E14000556,UKPARL.2025.BRD,66024766.09,774551647.4,0.09,0.1,10544.0,100491.0,250
E14000557,UKPARL.2025.BEX,410046262.4,529034571.78,0.78,0.8,85315.03,107015.0,871
E14000557,UKPARL.2025.HAR,19691649.34,529034571.78,0.04,0.02,1639.0,107015.0,104
E14000557,UKPARL.2025.LWS,9484077.77,529034571.78,0.02,0.05,5712.03,107015.0,37
E14000557,UKPARL.2025.SXW,89783680.1,529034571.78,0.17,0.13,14348.93,107015.0,407
E14000558,UKPARL.2025.BXC,19066228.58,21626614.92,0.88,0.86,81971.86,95295.0,963
E14000558,UKPARL.2025.OBS,2433996.54,21626614.92,0.11,0.12,11623.47,95295.0,307
E14000559,UKPARL.2025.BKH,25111091.01,25121368.29,1.0,1.0,90335.71,90335.71,1205
E14000560,UKPARL.2025.BEB,27648659.39,28317089.62,0.98,0.96,101846.78,106035.9,1095
E14000560,UKPARL.2025.BNF,537093.55,28317089.62,0.02,0.02,2635.2,106035.9,39
E14000561,UKPARL.2025.BER,22021093.12,22050413.08,1.0,1.0,104384.3,104384.3,1152
E14000562,UKPARL.2025.BHG,17647609.32,19724923.05,0.89,0.88,104662.22,118355.31,979
E14000562,UKPARL.2025.BLA,1466677.86,19724923.05,0.07,0.1,11389.41,118355.31,212
E14000562,UKPARL.2025.BSO,444252.88,19724923.05,0.02,0.02,1795.74,118355.31,54
E14000563,UKPARL.2025.BLA,3223839.86,20514325.54,0.16,0.25,31755.29,128784.73,392
E14000563,UKPARL.2025.BSN,15743240.79,20514325.54,0.77,0.62,79954.33,128784.73,862
