UKPARL.2025,PCON24CD,PCON24NM
UKPARL.2025.AAD,W07000082,"Alyn and Deeside"
UKPARL.2025.AAG,S14000064,"Alloa and Grangemouth"
UKPARL.2025.AAS,S14000063,"Airdrie and Shotts"
UKPARL.2025.ABF,S14000066,"Arbroath and Broughty Ferry"
UKPARL.2025.ABH,E14001064,"Aldridge-Brownhills"
UKPARL.2025.ABL,S14000067,"Argyll, Bute and South Lochaber"
UKPARL.2025.ABM,S14000062,"Aberdeenshire North and Moray East"
UKPARL.2025.ABN,S14000060,"Aberdeen North"
UKPARL.2025.ABS,S14000061,"Aberdeen South"
UKPARL.2025.ABV,E14001066,"Amber Valley"
UKPARL.2025.ACC,S14000107,"Ayr, Carrick and Cumnock"
UKPARL.2025.AFM,W07000081,"Aberafan Maesteg"
UKPARL.2025.AHT,E14001063,"Aldershot"
UKPARL.2025.APG,S14000065,"Angus and Perthshire Glens"
UKPARL.2025.ASD,E14001067,"Arundel and South Downs"
UKPARL.2025.ASF,E14001068,"Ashfield"
UKPARL.2025.ASH,E14001069,"Ashford"
UKPARL.2025.ASW,E14001065,"Altrincham and Sale West"
UKPARL.2025.AUL,E14001070,"Ashton-under-Lyne"
UKPARL.2025.AYS,E14001071,"Aylesbury"
UKPARL.2025.BAA,E14001107,"Blyth and Ashington"
UKPARL.2025.BAB,E14001077,"Basildon and Billericay"
UKPARL.2025.BAC,E14001106,"Blaydon and Consett"
UKPARL.2025.BAF,E14001136,"Broadland and Fakenham"
UKPARL.2025.BAI,E14001124,"Brentford and Isleworth"
UKPARL.2025.BAL,S14000068,"Bathgate and Linlithgow"
UKPARL.2025.BAN,E14001072,"Banbury"
UKPARL.2025.BAO,E14001125,"Brentwood and Ongar"
UKPARL.2025.BAP,E14001083,"Beckenham and Penge"
UKPARL.2025.BAS,E14001114,"Boston and Skegness"
UKPARL.2025.BAT,E14001081,"Battersea"
UKPARL.2025.BAU,E14001143,"Burton and Uttoxeter"
UKPARL.2025.BBH,E14001137,"Bromley and Biggin Hill"
UKPARL.2025.BBN,E14001102,"Blackburn"
UKPARL.2025.BCF,E14001082,"Beaconsfield"
UKPARL.2025.BDE,E14001118,"Bradford East"
UKPARL.2025.BDS,E14001119,"Bradford South"
UKPARL.2025.BDW,E14001120,"Bradford West"
UKPARL.2025.BEA,E14001122,"Brent East"
UKPARL.2025.BEB,E14001092,"Birmingham Edgbaston"
UKPARL.2025.BED,E14001084,"Bedford"
UKPARL.2025.BER,E14001093,"Birmingham Erdington"
UKPARL.2025.BES,E14001146,"Bury St Edmunds and Stowmarket"
UKPARL.2025.BEV,E14001087,"Beverley and Holderness"
UKPARL.2025.BEX,E14001088,"Bexhill and Battle"
UKPARL.2025.BGA,W07000083,"Bangor Aberconwy"
UKPARL.2025.BGN,W07000086,"Bridgend"
UKPARL.2025.BGR,W07000084,"Blaenau Gwent and Rhymney"
UKPARL.2025.BGS,E14001086,"Bethnal Green and Stepney"
UKPARL.2025.BHE,E14001115,"Bournemouth East"
UKPARL.2025.BHG,E14001094,"Birmingham Hall Green and Moseley"
UKPARL.2025.BHW,E14001116,"Bournemouth West"
UKPARL.2025.BIA,E14001101,"Bishop Auckland"
UKPARL.2025.BIM,E14001128,"Brigg and Immingham"
UKPARL.2025.BKG,E14001073,"Barking"
UKPARL.2025.BKH,E14001091,"Birkenhead"
UKPARL.2025.BKP,E14001129,"Brighton Kemptown and Peacehaven"
UKPARL.2025.BLA,E14001096,"Birmingham Ladywood"
UKPARL.2025.BLN,E14001110,"Bolton North East"
UKPARL.2025.BLS,E14001111,"Bolton South and Walkden"
UKPARL.2025.BLW,E14001112,"Bolton West"
UKPARL.2025.BMS,E14001103,"Blackley and Middleton South"
UKPARL.2025.BNE,E14001133,"Bristol North East"
UKPARL.2025.BNF,E14001097,"Birmingham Northfield"
UKPARL.2025.BNN,E14001074,"Barnsley North"
UKPARL.2025.BNS,E14001075,"Barnsley South"
UKPARL.2025.BNW,E14001134,"Bristol North West"
UKPARL.2025.BOL,E14001109,"Bolsover"
UKPARL.2025.BOS,E14001085,"Bermondsey and Old Southwark"
UKPARL.2025.BPB,E14001098,"Birmingham Perry Barr"
UKPARL.2025.BPN,E14001104,"Blackpool North and Fleetwood"
UKPARL.2025.BPS,E14001105,"Blackpool South"
UKPARL.2025.BPV,E14001130,"Brighton Pavilion"
UKPARL.2025.BRC,W07000085,"Brecon, Radnor and Cwm Tawe"
UKPARL.2025.BRD,E14001127,"Bridlington and The Wolds"
UKPARL.2025.BRG,E14001138,"Bromsgrove"
UKPARL.2025.BRK,E14001117,"Bracknell"
UKPARL.2025.BRL,E14001108,"Bognor Regis and Littlehampton"
UKPARL.2025.BRS,S14000108,"Berwickshire, Roxburgh and Selkirk"
UKPARL.2025.BRW,E14001076,"Barrow and Furness"
UKPARL.2025.BSC,E14001131,"Bristol Central"
UKPARL.2025.BSE,E14001132,"Bristol East"
UKPARL.2025.BSK,E14001078,"Basingstoke"
UKPARL.2025.BSL,E14001079,"Bassetlaw"
UKPARL.2025.BSN,E14001095,"Birmingham Hodge Hill and Solihull North"
UKPARL.2025.BSO,E14001099,"Birmingham Selly Oak"
UKPARL.2025.BSS,E14001135,"Bristol South"
UKPARL.2025.BTE,N05000001,"Belfast East"
UKPARL.2025.BTH,E14001080,"Bath"
UKPARL.2025.BTL,E14001113,"Bootle"
UKPARL.2025.BTN,N05000002,"Belfast North"
UKPARL.2025.BTR,E14001121,"Braintree"
UKPARL.2025.BTS,N05000003,"Belfast South and Mid Down"
UKPARL.2025.BTW,N05000004,"Belfast West"
UKPARL.2025.BUC,E14001141,"Buckingham and Bletchley"
UKPARL.2025.BUN,E14001144,"Bury North"
UKPARL.2025.BUR,E14001142,"Burnley"
UKPARL.2025.BUS,E14001145,"Bury South"
UKPARL.2025.BWE,E14001123,"Brent West"
UKPARL.2025.BWS,E14001090,"Bicester and Woodstock"
UKPARL.2025.BWT,E14001126,"Bridgwater"
UKPARL.2025.BXB,E14001139,"Broxbourne"
UKPARL.2025.BXC,E14001089,"Bexleyheath and Crayford"
UKPARL.2025.BXT,E14001140,"Broxtowe"
UKPARL.2025.BYA,E14001100,"Birmingham Yardley"
UKPARL.2025.CAA,E14001162,"Chesham and Amersham"
UKPARL.2025.CAB,S14000070,"Coatbridge and Bellshill"
UKPARL.2025.CAE,W07000088,"Caerphilly"
UKPARL.2025.CAF,E14001160,"Chelsea and Fulham"
UKPARL.2025.CAN,W07000087,"Caerfyrddin"
UKPARL.2025.CAR,E14001152,"Carlisle"
UKPARL.2025.CAV,E14001147,"Calder Valley"
UKPARL.2025.CAW,E14001153,"Carshalton and Wallington"
UKPARL.2025.CAY,S14000109,"Central Ayrshire"
UKPARL.2025.CBG,E14001149,"Cambridge"
UKPARL.2025.CBH,E14001175,"Clapham and Brixton Hill"
UKPARL.2025.CCH,E14001166,"Chichester"
UKPARL.2025.CDL,E14001158,"Cheadle"
UKPARL.2025.CDP,W07000093,"Ceredigion Preseli"
UKPARL.2025.CDV,E14001155,"Central Devon"
UKPARL.2025.CEA,E14001180,"Coventry East"
UKPARL.2025.CFE,W07000089,"Cardiff East"
UKPARL.2025.CFN,W07000090,"Cardiff North"
UKPARL.2025.CFP,W07000091,"Cardiff South and Penarth"
UKPARL.2025.CFW,W07000092,"Cardiff West"
UKPARL.2025.CHD,E14001165,"Chesterfield"
UKPARL.2025.CHM,E14001159,"Chelmsford"
UKPARL.2025.CHN,E14001163,"Chester North and Neston"
UKPARL.2025.CHR,E14001171,"Christchurch"
UKPARL.2025.CHS,E14001164,"Chester South and Eddisbury"
UKPARL.2025.CKC,E14001150,"Cannock Chase"
UKPARL.2025.CKH,S14000072,"Cumbernauld and Kirkintilloch"
UKPARL.2025.CKY,S14000071,"Cowdenbeath and Kirkcaldy"
UKPARL.2025.CLE,W07000094,"Clwyd East"
UKPARL.2025.CLN,W07000095,"Clwyd North"
UKPARL.2025.CLT,E14001174,"Clacton"
UKPARL.2025.CLW,E14001172,"Cities of London and Westminster"
UKPARL.2025.CNG,E14001178,"Congleton"
UKPARL.2025.CNM,E14001161,"Cheltenham"
UKPARL.2025.CNW,E14001181,"Coventry North West"
UKPARL.2025.COL,E14001176,"Colchester"
UKPARL.2025.COR,E14001179,"Corby and East Northamptonshire"
UKPARL.2025.COV,E14001177,"Colne Valley"
UKPARL.2025.CPB,E14001169,"Chipping Barnet"
UKPARL.2025.CPM,E14001168,"Chippenham"
UKPARL.2025.CPT,E14001154,"Castle Point"
UKPARL.2025.CRA,E14001184,"Crawley"
UKPARL.2025.CRE,E14001186,"Croydon East"
UKPARL.2025.CRK,E14001183,"Cramlington and Killingworth"
UKPARL.2025.CRL,E14001170,"Chorley"
UKPARL.2025.CRR,E14001148,"Camborne and Redruth"
UKPARL.2025.CRS,E14001187,"Croydon South"
UKPARL.2025.CRW,E14001188,"Croydon West"
UKPARL.2025.CSI,E14001156,"Central Suffolk and North Ipswich"
UKPARL.2025.CSO,E14001182,"Coventry South"
UKPARL.2025.CSR,S14000069,"Caithness, Sutherland and Easter Ross"
UKPARL.2025.CTB,E14001151,"Canterbury"
UKPARL.2025.CTM,E14001157,"Chatham and Aylesford"
UKPARL.2025.CWG,E14001167,"Chingford and Woodford Green"
UKPARL.2025.CWN,E14001185,"Crewe and Nantwich"
UKPARL.2025.DAB,E14001196,"Dewsbury and Batley"
UKPARL.2025.DAD,E14001202,"Dover and Deal"
UKPARL.2025.DAE,E14001203,"Droitwich and Evesham"
UKPARL.2025.DAG,S14000073,"Dumfries and Galloway"
UKPARL.2025.DAH,E14001201,"Dorking and Horley"
UKPARL.2025.DAR,E14001189,"Dagenham and Rainham"
UKPARL.2025.DAV,E14001192,"Daventry"
UKPARL.2025.DAW,E14001197,"Didcot and Wantage"
UKPARL.2025.DCT,S14000074,"Dumfriesshire, Clydesdale and Tweeddale"
UKPARL.2025.DED,E14001195,"Derbyshire Dales"
UKPARL.2025.DEN,E14001193,"Derby North"
UKPARL.2025.DES,E14001194,"Derby South"
UKPARL.2025.DFD,E14001191,"Dartford"
UKPARL.2025.DFR,S14000076,"Dunfermline and Dollar"
UKPARL.2025.DHM,E14001173,"City of Durham"
UKPARL.2025.DLB,E14001206,"Dunstable and Leighton Buzzard"
UKPARL.2025.DMD,W07000096,"Dwyfor Meirionnydd"
UKPARL.2025.DNC,E14001198,"Doncaster Central"
UKPARL.2025.DNE,E14001199,"Doncaster East and the Isle of Axholme"
UKPARL.2025.DNN,E14001200,"Doncaster North"
UKPARL.2025.DRL,E14001190,"Darlington"
UKPARL.2025.DUD,E14001204,"Dudley"
UKPARL.2025.DUN,S14000075,"Dundee Central"
UKPARL.2025.DWN,E14001205,"Dulwich and West Norwood"
UKPARL.2025.EAC,E14001223,"Eltham and Chislehurst"
UKPARL.2025.EAE,E14001227,"Epsom and Ewell"
UKPARL.2025.EAN,N05000005,"East Antrim"
UKPARL.2025.EAR,E14001210,"Earley and Woodley"
UKPARL.2025.EAS,E14001211,"Easington"
UKPARL.2025.EAT,E14001229,"Erith and Thamesmead"
UKPARL.2025.EAW,E14001230,"Esher and Walton"
UKPARL.2025.EBN,E14001219,"Eastbourne"
UKPARL.2025.ECA,E14001207,"Ealing Central and Acton"
UKPARL.2025.EEC,E14001224,"Ely and East Cambridgeshire"
UKPARL.2025.EEM,S14000078,"Edinburgh East and Musselburgh"
UKPARL.2025.EGU,E14001212,"East Grinstead and Uckfield"
UKPARL.2025.EHA,E14001214,"East Hampshire"
UKPARL.2025.EHM,E14001213,"East Ham"
UKPARL.2025.EKS,S14000077,"East Kilbride and Strathaven"
UKPARL.2025.ELD,N05000006,"East Londonderry"
UKPARL.2025.ELN,E14001208,"Ealing North"
UKPARL.2025.ELP,E14001222,"Ellesmere Port and Bromborough"
UKPARL.2025.ELS,E14001209,"Ealing Southall"
UKPARL.2025.ENF,E14001225,"Enfield North"
UKPARL.2025.ENL,S14000079,"Edinburgh North and Leith"
UKPARL.2025.EPF,E14001226,"Epping Forest"
UKPARL.2025.ERF,S14000021,"East Renfrewshire"
UKPARL.2025.ERW,E14001228,"Erewash"
UKPARL.2025.ESL,E14001220,"Eastleigh"
UKPARL.2025.ESO,S14000080,"Edinburgh South"
UKPARL.2025.ESU,E14001215,"East Surrey"
UKPARL.2025.ESW,S14000081,"Edinburgh South West"
UKPARL.2025.ETH,E14001216,"East Thanet"
UKPARL.2025.EWE,S14000082,"Edinburgh West"
UKPARL.2025.EWH,E14001221,"Edmonton and Winchmore Hill"
UKPARL.2025.EWS,E14001218,"East Worthing and Shoreham"
UKPARL.2025.EWT,E14001217,"East Wiltshire"
UKPARL.2025.EXM,E14001232,"Exmouth and Exeter East"
UKPARL.2025.EXT,E14001231,"Exeter"
UKPARL.2025.FAB,E14001234,"Farnham and Bordon"
UKPARL.2025.FAH,E14001239,"Folkestone and Hythe"
UKPARL.2025.FAV,E14001235,"Faversham and Mid Kent"
UKPARL.2025.FAW,E14001233,"Fareham and Waterlooville"
UKPARL.2025.FBS,E14001237,"Filton and Bradley Stoke"
UKPARL.2025.FEL,E14001236,"Feltham and Heston"
UKPARL.2025.FES,E14001241,"Frome and East Somerset"
UKPARL.2025.FGG,E14001238,"Finchley and Golders Green"
UKPARL.2025.FLK,S14000083,"Falkirk"
UKPARL.2025.FOD,E14001240,"Forest of Dean"
UKPARL.2025.FOY,N05000008,"Foyle"
UKPARL.2025.FST,N05000007,"Fermanagh and South Tyrone"
UKPARL.2025.FYL,E14001242,"Fylde"
UKPARL.2025.GAA,E14001249,"Godalming and Ash"
UKPARL.2025.GAB,E14001253,"Grantham and Bourne"
UKPARL.2025.GAD,E14001251,"Gorton and Denton"
UKPARL.2025.GAP,E14001250,"Goole and Pocklington"
UKPARL.2025.GAR,E14001246,"Gillingham and Rainham"
UKPARL.2025.GAS,E14001247,"Glastonbury and Somerton"
UKPARL.2025.GAW,E14001257,"Greenwich and Woolwich"
UKPARL.2025.GCW,E14001244,"Gateshead Central and Whickham"
UKPARL.2025.GDB,S14000091,"Gordon and Buchan"
UKPARL.2025.GEA,S14000084,"Glasgow East"
UKPARL.2025.GED,E14001245,"Gedling"
UKPARL.2025.GGC,E14001255,"Great Grimsby and Cleethorpes"
UKPARL.2025.GLO,E14001248,"Gloucester"
UKPARL.2025.GMF,S14000090,"Glenrothes and Mid Fife"
UKPARL.2025.GNB,E14001243,"Gainsborough"
UKPARL.2025.GNE,S14000086,"Glasgow North East"
UKPARL.2025.GNO,S14000085,"Glasgow North"
UKPARL.2025.GOS,E14001252,"Gosport"
UKPARL.2025.GRV,E14001254,"Gravesham"
UKPARL.2025.GSO,S14000087,"Glasgow South"
UKPARL.2025.GSW,S14000088,"Glasgow South West"
UKPARL.2025.GUI,E14001258,"Guildford"
UKPARL.2025.GWE,S14000089,"Glasgow West"
UKPARL.2025.GWR,W07000097,"Gower"
UKPARL.2025.GYM,E14001256,"Great Yarmouth"
UKPARL.2025.HAB,E14001268,"Harpenden and Berkhamsted"
UKPARL.2025.HAC,E14001264,"Hammersmith and Chiswick"
UKPARL.2025.HAE,E14001270,"Harrow East"
UKPARL.2025.HAH,E14001265,"Hampstead and Highgate"
UKPARL.2025.HAL,E14001261,"Halesowen"
UKPARL.2025.HAP,E14001296,"Hove and Portslade"
UKPARL.2025.HAR,E14001274,"Hastings and Rye"
UKPARL.2025.HAS,E14001283,"Hertford and Stortford"
UKPARL.2025.HAT,E14001280,"Henley and Thame"
UKPARL.2025.HAU,E14001292,"Hornchurch and Upminster"
UKPARL.2025.HAV,E14001275,"Havant"
UKPARL.2025.HAW,E14001271,"Harrow West"
UKPARL.2025.HAY,E14001276,"Hayes and Harlington"
UKPARL.2025.HAZ,E14001277,"Hazel Grove"
UKPARL.2025.HBS,E14001282,"Herne Bay and Sandwich"
UKPARL.2025.HBV,E14001263,"Hamble Valley"
UKPARL.2025.HCV,S14000092,"Hamilton and Clyde Valley"
UKPARL.2025.HEN,E14001279,"Hendon"
UKPARL.2025.HEX,E14001285,"Hexham"
UKPARL.2025.HFB,E14001293,"Hornsey and Friern Barnet"
UKPARL.2025.HFX,E14001262,"Halifax"
UKPARL.2025.HGK,E14001269,"Harrogate and Knaresborough"
UKPARL.2025.HIT,E14001289,"Hitchin"
UKPARL.2025.HKB,E14001288,"Hinckley and Bosworth"
UKPARL.2025.HLW,E14001267,"Harlow"
UKPARL.2025.HML,E14001278,"Hemel Hempstead"
UKPARL.2025.HMN,E14001286,"Heywood and Middleton North"
UKPARL.2025.HMR,E14001284,"Hertsmere"
UKPARL.2025.HNE,E14001393,"North East Hertfordshire"
UKPARL.2025.HNS,E14001291,"Honiton and Sidmouth"
UKPARL.2025.HOW,E14001266,"Harborough, Oadby and Wigston"
UKPARL.2025.HPK,E14001287,"High Peak"
UKPARL.2025.HPL,E14001272,"Hartlepool"
UKPARL.2025.HRH,E14001294,"Horsham"
UKPARL.2025.HRS,E14001281,"Hereford and South Herefordshire"
UKPARL.2025.HSD,E14001260,"Hackney South and Shoreditch"
UKPARL.2025.HSN,E14001259,"Hackney North and Stoke Newington"
UKPARL.2025.HSP,E14001290,"Holborn and St Pancras"
UKPARL.2025.HSS,E14001295,"Houghton and Sunderland South"
UKPARL.2025.HTD,E14001298,"Huntingdon"
UKPARL.2025.HUD,E14001297,"Huddersfield"
UKPARL.2025.HUE,E14001313,"Kingston upon Hull East"
UKPARL.2025.HUN,E14001314,"Kingston upon Hull North and Cottingham"
UKPARL.2025.HUW,E14001315,"Kingston upon Hull West and Haltemprice"
UKPARL.2025.HWC,E14001273,"Harwich and North Essex"
UKPARL.2025.HYB,E14001299,"Hyndburn"
UKPARL.2025.ILN,E14001300,"Ilford North"
UKPARL.2025.ILS,E14001301,"Ilford South"
UKPARL.2025.IPS,E14001302,"Ipswich"
UKPARL.2025.IRW,S14000093,"Inverclyde and Renfrewshire West"
UKPARL.2025.ISN,E14001305,"Islington North"
UKPARL.2025.ISS,E14001306,"Islington South and Finsbury"
UKPARL.2025.ISW,S14000094,"Inverness, Skye and West Ross-shire"
UKPARL.2025.IWE,E14001303,"Isle of Wight East"
UKPARL.2025.IWW,E14001304,"Isle of Wight West"
UKPARL.2025.JGE,E14001307,"Jarrow and Gateshead East"
UKPARL.2025.KAB,E14001310,"Kensington and Bayswater"
UKPARL.2025.KAI,E14001308,"Keighley and Ilkley"
UKPARL.2025.KAL,S14000110,"Kilmarnock and Loudoun"
UKPARL.2025.KAS,E14001312,"Kingston and Surbiton"
UKPARL.2025.KET,E14001311,"Kettering"
UKPARL.2025.KLW,E14001309,"Kenilworth and Southam"
UKPARL.2025.KNW,E14001317,"Knowsley"
UKPARL.2025.KSS,E14001316,"Kingswinford and South Staffordshire"
UKPARL.2025.LAA,E14001329,"Leigh and Atherton"
UKPARL.2025.LAH,E14001343,"Louth and Horncastle"
UKPARL.2025.LAN,E14001318,"Lancaster and Wyre"
UKPARL.2025.LAW,E14001334,"Leyton and Wanstead"
UKPARL.2025.LBO,E14001342,"Loughborough"
UKPARL.2025.LCH,E14001319,"Leeds Central and Headingley"
UKPARL.2025.LEA,E14001320,"Leeds East"
UKPARL.2025.LEE,E14001326,"Leicester East"
UKPARL.2025.LES,E14001327,"Leicester South"
UKPARL.2025.LEW,E14001328,"Leicester West"
UKPARL.2025.LGT,E14001337,"Liverpool Garston"
UKPARL.2025.LGV,N05000009,"Lagan Valley"
UKPARL.2025.LIC,E14001335,"Lichfield"
UKPARL.2025.LLE,W07000098,"Llanelli"
UKPARL.2025.LNC,E14001336,"Lincoln"
UKPARL.2025.LNE,E14001321,"Leeds North East"
UKPARL.2025.LNW,E14001322,"Leeds North West"
UKPARL.2025.LOE,S14000096,"Lothian East"
UKPARL.2025.LRV,E14001338,"Liverpool Riverside"
UKPARL.2025.LSO,E14001323,"Leeds South"
UKPARL.2025.LSW,E14001324,"Leeds South West and Morley"
UKPARL.2025.LUN,E14001345,"Luton North"
UKPARL.2025.LUS,E14001346,"Luton South and South Bedfordshire"
UKPARL.2025.LVG,S14000095,"Livingston"
UKPARL.2025.LWD,E14001341,"Liverpool West Derby"
UKPARL.2025.LWE,E14001331,"Lewisham East"
UKPARL.2025.LWL,E14001339,"Liverpool Walton"
UKPARL.2025.LWN,E14001332,"Lewisham North"
UKPARL.2025.LWP,E14001325,"Leeds West and Pudsey"
UKPARL.2025.LWS,E14001330,"Lewes"
UKPARL.2025.LWT,E14001344,"Lowestoft"
UKPARL.2025.LWV,E14001340,"Liverpool Wavertree"
UKPARL.2025.LWW,E14001333,"Lewisham West and East Dulwich"
UKPARL.2025.MAC,E14001347,"Macclesfield"
UKPARL.2025.MAG,W07000102,"Montgomeryshire and Glyndŵr"
UKPARL.2025.MAI,E14001348,"Maidenhead"
UKPARL.2025.MAL,E14001351,"Maldon"
UKPARL.2025.MAM,E14001371,"Mitcham and Morden"
UKPARL.2025.MAN,E14001355,"Mansfield"
UKPARL.2025.MAS,E14001357,"Melton and Syston"
UKPARL.2025.MBD,E14001359,"Mid Bedfordshire"
UKPARL.2025.MBU,E14001360,"Mid Buckinghamshire"
UKPARL.2025.MCH,E14001361,"Mid Cheshire"
UKPARL.2025.MCL,E14001368,"Middlesbrough South and East Cleveland"
UKPARL.2025.MCT,E14001352,"Manchester Central"
UKPARL.2025.MDB,S14000097,"Mid Dunbartonshire"
UKPARL.2025.MDE,E14001362,"Mid Derbyshire"
UKPARL.2025.MDP,E14001363,"Mid Dorset and North Poole"
UKPARL.2025.MDS,E14001349,"Maidstone and Malling"
UKPARL.2025.MID,S14000045,"Midlothian"
UKPARL.2025.MKC,E14001369,"Milton Keynes Central"
UKPARL.2025.MKF,E14001350,"Makerfield"
UKPARL.2025.MKM,E14001356,"Melksham and Devizes"
UKPARL.2025.MKN,E14001370,"Milton Keynes North"
UKPARL.2025.MLE,E14001364,"Mid Leicestershire"
UKPARL.2025.MMS,W07000101,"Monmouthshire"
UKPARL.2025.MNF,E14001365,"Mid Norfolk"
UKPARL.2025.MNS,S14000098,"Moray West, Nairn and Strathspey"
UKPARL.2025.MOR,E14001372,"Morecambe and Lunesdale"
UKPARL.2025.MRH,E14001353,"Manchester Rusholme"
UKPARL.2025.MSE,E14001358,"Meriden and Solihull East"
UKPARL.2025.MSP,W07000100,"Mid and South Pembrokeshire"
UKPARL.2025.MSU,E14001366,"Mid Sussex"
UKPARL.2025.MTA,W07000099,"Merthyr Tydfil and Aberdare"
UKPARL.2025.MTE,E14001367,"Middlesbrough and Thornaby East"
UKPARL.2025.MUL,N05000010,"Mid Ulster"
UKPARL.2025.MWC,S14000099,"Motherwell, Wishaw and Carluke"
UKPARL.2025.MWI,E14001354,"Manchester Withington"
UKPARL.2025.NAA,S14000048,"North Ayrshire and Arran"
UKPARL.2025.NAH,E14001383,"Normanton and Hemsworth"
UKPARL.2025.NAN,N05000012,"North Antrim"
UKPARL.2025.NAR,N05000011,"Newry and Armagh"
UKPARL.2025.NAS,E14001382,"Newton Aycliffe and Spennymoor"
UKPARL.2025.NBD,E14001384,"North Bedfordshire"
UKPARL.2025.NBY,E14001376,"Newbury"
UKPARL.2025.NCE,E14001378,"Newcastle upon Tyne East and Wallsend"
UKPARL.2025.NCL,E14001377,"Newcastle upon Tyne Central and West"
UKPARL.2025.NCN,E14001379,"Newcastle upon Tyne North"
UKPARL.2025.NCR,E14001385,"North Cornwall"
UKPARL.2025.NCT,E14001386,"North Cotswolds"
UKPARL.2025.NDH,E14001389,"North Durham"
UKPARL.2025.NDS,E14001388,"North Dorset"
UKPARL.2025.NDV,E14001387,"North Devon"
UKPARL.2025.NDW,N05000013,"North Down"
UKPARL.2025.NEC,E14001390,"North East Cambridgeshire"
UKPARL.2025.NED,E14001391,"North East Derbyshire"
UKPARL.2025.NEF,S14000100,"North East Fife"
UKPARL.2025.NEH,E14001392,"North East Hampshire"
UKPARL.2025.NES,E14001394,"North East Somerset and Hanham"
UKPARL.2025.NFE,E14001373,"New Forest East"
UKPARL.2025.NFW,E14001374,"New Forest West"
UKPARL.2025.NGE,E14001410,"Nottingham East"
UKPARL.2025.NGN,E14001411,"Nottingham North and Kimberley"
UKPARL.2025.NGS,E14001412,"Nottingham South"
UKPARL.2025.NHI,S14000027,"Na h-Eileanan an Iar"
UKPARL.2025.NHN,E14001406,"Northampton North"
UKPARL.2025.NHR,E14001395,"North Herefordshire"
UKPARL.2025.NHS,E14001407,"Northampton South"
UKPARL.2025.NNF,E14001396,"North Norfolk"
UKPARL.2025.NNU,E14001397,"North Northumberland"
UKPARL.2025.NPE,W07000104,"Newport East"
UKPARL.2025.NPI,W07000105,"Newport West and Islwyn"
UKPARL.2025.NRN,E14001408,"Norwich North"
UKPARL.2025.NRS,E14001409,"Norwich South"
UKPARL.2025.NSO,E14001398,"North Shropshire"
UKPARL.2025.NSS,E14001399,"North Somerset"
UKPARL.2025.NSW,W07000103,"Neath and Swansea East"
UKPARL.2025.NTA,E14001381,"Newton Abbot"
UKPARL.2025.NUL,E14001380,"Newcastle-under-Lyme"
UKPARL.2025.NUN,E14001413,"Nuneaton"
UKPARL.2025.NWB,E14001400,"North Warwickshire and Bedworth"
UKPARL.2025.NWC,E14001401,"North West Cambridgeshire"
UKPARL.2025.NWE,E14001402,"North West Essex"
UKPARL.2025.NWH,E14001403,"North West Hampshire"
UKPARL.2025.NWK,E14001375,"Newark"
UKPARL.2025.NWL,E14001404,"North West Leicestershire"
UKPARL.2025.NWN,E14001405,"North West Norfolk"
UKPARL.2025.OAS,S14000051,"Orkney and Shetland"
UKPARL.2025.OBS,E14001414,"Old Bexley and Sidcup"
UKPARL.2025.ODB,E14001418,"Ossett and Denby Dale"
UKPARL.2025.OLE,E14001415,"Oldham East and Saddleworth"
UKPARL.2025.OLW,E14001416,"Oldham West, Chadderton and Royton"
UKPARL.2025.ORP,E14001417,"Orpington"
UKPARL.2025.OXE,E14001419,"Oxford East"
UKPARL.2025.OXW,E14001420,"Oxford West and Abingdon"
UKPARL.2025.PAL,E14001430,"Poplar and Limehouse"
UKPARL.2025.PAS,E14001423,"Penistone and Stocksbridge"
