PCON24CD,2025-03,2025-05
E14001063,10,8
E14001064,13,10
E14001065,6,6
E14001066,29,18
E14001067,11,7
E14001068,29,19
E14001069,9,8
E14001070,3,3
E14001071,8,6
E14001072,19,11
E14001073,11,9
E14001074,16,9
E14001075,0,4
E14001076,20,12
E14001077,3,3
E14001078,2,2
E14001079,14,8
E14001080,24,13
E14001081,2,2
E14001082,14,10
E14001083,14,11
E14001084,13,13
E14001085,15,10
E14001086,14,8
E14001087,11,9
E14001088,19,11
E14001089,14,8
E14001090,10,8
E14001091,6,6
E14001092,9,8
E14001093,20,15
E14001094,10,7
E14001095,7,6
E14001096,6,6
E14001097,10,9
E14001098,9,8
E14001099,5,3
E14001100,5,4
E14001101,22,21
E14001102,8,5
E14001103,7,7
E14001104,26,25
E14001105,75,65
E14001106,15,13
E14001107,23,16
E14001108,15,14
E14001109,23,16
E14001110,27,15
E14001111,19,10
E14001112,0,9
E14001113,1,1
E14001114,29,29
E14001115,17,16
E14001116,20,13
E14001117,5,5
E14001118,5,3
E14001119,13,9
E14001120,4,3
E14001121,7,5
E14001122,6,5
E14001123,3,3
E14001124,8,6
E14001125,5,4
E14001126,25,15
E14001127,36,31
E14001128,11,9
E14001129,18,13
E14001130,21,20
E14001131,0,12
E14001132,25,13
E14001133,18,10
E14001134,0,16
E14001135,0,10
E14001136,23,15
E14001137,13,9
E14001138,14,13
E14001139,9,6
E14001140,0,15
E14001141,5,5
E14001142,2,2
E14001143,10,7
E14001144,4,4
E14001145,5,4
E14001146,22,17
E14001147,30,18
E14001148,22,16
E14001149,4,3
E14001150,7,6
E14001151,27,15
E14001152,16,14
E14001153,11,10
E14001154,6,4
E14001155,5,5
E14001156,12,9
E14001157,10,10
E14001158,3,2
E14001159,15,9
E14001160,13,8
E14001161,19,14
E14001162,7,6
E14001163,6,5
E14001164,7,4
E14001165,23,17
E14001166,11,10
E14001167,15,8
E14001168,7,6
E14001169,3,3
E14001170,17,16
E14001171,13,9
E14001172,18,11
E14001173,22,16
E14001174,52,28
E14001175,2,2
E14001176,12,7
E14001177,22,13
E14001178,17,12
E14001179,4,4
E14001180,17,10
E14001181,6,7
E14001182,24,13
E14001183,13,12
E14001184,8,5
E14001185,23,17
E14001186,11,10
E14001187,12,10
E14001188,4,3
E14001189,0,8
E14001190,11,11
E14001191,17,10
E14001192,11,8
E14001193,23,13
E14001194,21,16
E14001195,20,18
E14001196,17,12
E14001197,11,6
E14001198,12,8
E14001199,11,8
E14001200,4,3
E14001201,5,5
