ONSConstID,ConstituencyName,RegNationID,RegNationName,Con_num,Con_pc / Electric only,Con_pc / Mains gas only,Con_pc / No central heating,Con_pc / Oil only,Con_pc / Other,Con_pc / Tank or bottled gas only,Con_pc / Two or more types of central heating
E14001063,Aldershot,E12000008,South East,3967,0.102207013,0.780359966,0.011912239,0.001061272,0.013688246,0.00485153,0.085919733
E14001064,Aldridge-Brownhills,E12000005,West Midlands,3089,0.048870071,0.845176759,0.011044228,0.001071265,0.010942203,0.004106514,0.078788961
E14001065,Altrincham & Sale West,E12000002,North West,2851,0.071414553,0.834453658,0.009788529,0.001717286,0.010524508,0.002158873,0.069942594
E14001066,Amber Valley,E12000004,East Midlands,3877,0.045498404,0.822286548,0.009747891,0.006877953,0.015091912,0.004577055,0.095920236
E14001067,Arundel & South Downs,E12000008,South East,4980,0.08019973,0.596469224,0.011666706,0.137184372,0.024611307,0.032018364,0.117850297
E14001068,Ashfield,E12000004,East Midlands,3663,0.031659949,0.837522902,0.006522536,0.005789667,0.024673262,0.004348357,0.089483327
E14001069,Ashford,E12000008,South East,4193,0.071915949,0.736371149,0.011002243,0.052673828,0.016928344,0.012111911,0.098996577
E14001070,Ashton-under-Lyne,E12000002,North West,3879,0.059965896,0.811671088,0.016104585,0.001136794,0.016530883,0.00272357,0.091867185
E14001071,Aylesbury,E12000008,South East,3749,0.09739099,0.742651551,0.010589912,0.035955921,0.016789989,0.011789197,0.08483244
E14001072,Banbury,E12000008,South East,4067,0.101180676,0.633096571,0.01154805,0.120443106,0.023401853,0.014676137,0.095653606
E14001073,Barking,E12000007,London,4063,0.134617109,0.691041966,0.022170911,0.001008788,0.053331241,0.006747669,0.091082317
E14001074,Barnsley North,E12000003,Yorkshire and The Humber,4301,0.035854841,0.826009437,0.00713183,0.001761214,0.0312235,0.004500881,0.093518297
E14001075,Barnsley South,E12000003,Yorkshire and The Humber,4280,0.03537205,0.825669389,0.007417412,0.002315261,0.033078226,0.004394709,0.091752953
E14001076,Barrow & Furness,E12000002,North West,4460,0.036976884,0.78063052,0.026542372,0.030302356,0.015996618,0.01032327,0.09922798
E14001077,Basildon & Billericay,E12000006,East of England,3499,0.073735471,0.811228006,0.009280103,0.00209032,0.01582671,0.007465429,0.080373961
E14001078,Basingstoke,E12000008,South East,3871,0.089915985,0.781560533,0.009739619,0.01443394,0.014104898,0.005330467,0.084914559
E14001079,Bassetlaw,E12000004,East Midlands,4055,0.03962954,0.781183631,0.008057277,0.041315438,0.029338997,0.011691809,0.088783307
E14001080,Bath,E12000009,South West,3390,0.121784365,0.752820732,0.012090548,0.0087413,0.019335376,0.0047032,0.080524478
E14001081,Battersea,E12000007,London,4234,0.175695492,0.633588906,0.023336685,0.00159209,0.072272499,0.004818167,0.088696162
E14001082,Beaconsfield,E12000008,South East,3409,0.065167053,0.798061019,0.008320822,0.018092063,0.013308227,0.010305606,0.08674521
E14001083,Beckenham & Penge,E12000007,London,3281,0.090526996,0.795193448,0.016898373,0.000948378,0.022653303,0.003060675,0.070718827
E14001084,Bedford,E12000006,East of England,3587,0.131438127,0.747023411,0.015050167,0.003946488,0.017658863,0.00490524,0.079977703
E14001085,Bermondsey & Old Southwark,E12000007,London,4015,0.270535733,0.472712865,0.035388818,0.001146956,0.127541551,0.00894626,0.083727817
E14001086,Bethnal Green & Stepney,E12000007,London,4052,0.233134018,0.551757009,0.030373933,0.001624854,0.089280298,0.006044456,0.087785433
E14001087,Beverley & Holderness,E12000003,Yorkshire and The Humber,3972,0.043513034,0.748294219,0.009422409,0.059933518,0.02021944,0.01934468,0.0992727
E14001088,Bexhill & Battle,E12000008,South East,4285,0.097820401,0.659310001,0.013625607,0.086835222,0.018757006,0.016913688,0.106738074
E14001089,Bexleyheath & Crayford,E12000007,London,2882,0.073829041,0.815308785,0.016447455,0.000474446,0.014760537,0.003215688,0.075964048
E14001090,Bicester & Woodstock,E12000008,South East,3889,0.079422645,0.69389038,0.009477527,0.083484442,0.024322429,0.015376804,0.094025773
E14001091,Birkenhead,E12000002,North West,3753,0.059781815,0.821697503,0.017396383,0.00102209,0.018293319,0.003525166,0.078283724
E14001092,Birmingham Edgbaston,E12000005,West Midlands,3561,0.116666667,0.74549675,0.021982358,0.000812442,0.027228412,0.005153203,0.082660167
E14001093,Birmingham Erdington,E12000005,West Midlands,4123,0.101323994,0.760709369,0.025973763,0.000303668,0.023301482,0.004919427,0.083468297
E14001094,Birmingham Hall Green & Moseley,E12000005,West Midlands,3253,0.081138094,0.77837518,0.023487343,0.001440626,0.027397613,0.00447623,0.083684915
E14001095,Birmingham Hodge Hill & Solihull North,E12000005,West Midlands,3670,0.067474615,0.786884095,0.02131393,0.000444528,0.032754668,0.005264143,0.085864021
E14001096,Birmingham Ladywood,E12000005,West Midlands,4574,0.327620476,0.494018376,0.035758485,0.000675042,0.049240578,0.006919182,0.08576786
E14001097,Birmingham Northfield,E12000005,West Midlands,3771,0.084341058,0.788004046,0.019392287,0.000307814,0.020909371,0.004133503,0.082911921
E14001098,Birmingham Perry Barr,E12000005,West Midlands,3922,0.073286352,0.760824376,0.024082336,0.000811194,0.035768607,0.005805111,0.099422024
E14001099,Birmingham Selly Oak,E12000005,West Midlands,3400,0.083683829,0.793449359,0.019651922,0.000386754,0.017065506,0.003577472,0.082185158
E14001100,Birmingham Yardley,E12000005,West Midlands,3284,0.070454372,0.789424225,0.025321921,0.000380972,0.026693419,0.00431768,0.083407411
E14001101,Bishop Auckland,E12000001,North East,5668,0.037980015,0.692790115,0.008330798,0.078183137,0.03849484,0.011583554,0.13263754
E14001102,Blackburn,E12000002,North West,4046,0.049279174,0.805712017,0.017716682,0.00166249,0.021612367,0.003622739,0.100394531
E14001103,Blackley & Middleton South,E12000002,North West,4113,0.082605714,0.766262857,0.018605714,0.000617143,0.032297143,0.0056,0.094011429
E14001104,Blackpool North & Fleetwood,E12000002,North West,3531,0.063326279,0.826222495,0.01467677,0.00213894,0.009374929,0.003913805,0.080346781
E14001105,Blackpool South,E12000002,North West,4289,0.099241861,0.769722686,0.025680214,0.00096527,0.01506224,0.003076799,0.08625093
E14001106,Blaydon & Consett,E12000001,North East,4401,0.028728196,0.836520031,0.00553479,0.006565076,0.013561434,0.00364194,0.105448534
E14001107,Blyth & Ashington,E12000001,North East,4774,0.030220074,0.822400924,0.006309216,0.009132322,0.022456531,0.007378574,0.102102359
E14001108,Bognor Regis & Littlehampton,E12000008,South East,3652,0.113701267,0.770587862,0.016224906,0.003215366,0.012184545,0.006832653,0.0772534
E14001109,Bolsover,E12000004,East Midlands,3993,0.028744738,0.827192069,0.006156353,0.011497895,0.029061609,0.006971165,0.090376171
E14001110,Bolton North East,E12000002,North West,3805,0.075381457,0.803525702,0.015829683,0.002497196,0.019025247,0.003216727,0.080523988
E14001111,Bolton South & Walkden,E12000002,North West,4384,0.075159101,0.789053882,0.014531184,0.000912176,0.02297412,0.004369962,0.092999576
E14001112,Bolton West,E12000002,North West,3322,0.04969456,0.840565306,0.011635799,0.002666537,0.012023659,0.002884709,0.080529429
E14001113,Bootle,E12000002,North West,3386,0.056298476,0.822769011,0.019813676,0.000534902,0.021128644,0.00398948,0.075465811
E14001114,Boston & Skegness,E12000004,East Midlands,4797,0.105403152,0.574953353,0.013081107,0.149291357,0.030013101,0.032037794,0.095220136
E14001115,Bournemouth East,E12000009,South West,3538,0.126487618,0.757643741,0.018674017,0.000769181,0.018289426,0.002542572,0.075593445
E14001116,Bournemouth West,E12000009,South West,3364,0.152880814,0.730087513,0.019279463,0.001288259,0.018213318,0.003531607,0.074719026
E14001117,Bracknell,E12000008,South East,3096,0.112405001,0.783696985,0.009757293,0.001250306,0.012650159,0.004339299,0.075900956
E14001118,Bradford East,E12000003,Yorkshire and The Humber,3813,0.063406059,0.783918509,0.024394355,0.001059577,0.03171507,0.003684439,0.091821991
E14001119,Bradford South,E12000003,Yorkshire and The Humber,3915,0.040772385,0.821471929,0.021302426,0.001007857,0.022218659,0.003550404,0.089676341
E14001120,Bradford West,E12000003,Yorkshire and The Humber,3581,0.125353152,0.713762122,0.02601237,0.00167986,0.037847744,0.004199649,0.091145104
E14001121,Braintree,E12000006,East of England,4173,0.09620998,0.629847565,0.010749201,0.138604457,0.017119956,0.010795534,0.096673308
E14001122,Brent East,E12000007,London,4661,0.130597015,0.695226314,0.022671966,0.00105451,0.047432674,0.008496918,0.094520604
E14001123,Brent West,E12000007,London,3463,0.148708729,0.684750128,0.019824591,0.000971794,0.055780958,0.005830762,0.084133039
E14001124,Brentford & Isleworth,E12000007,London,3539,0.177937447,0.652557058,0.022590871,0.001077768,0.064708369,0.006339814,0.074788673
E14001125,Brentwood & Ongar,E12000006,East of England,3421,0.076874128,0.767835728,0.010132407,0.03411733,0.015345456,0.011967987,0.083726963
E14001126,Bridgwater,E12000009,South West,4089,0.110481388,0.644533072,0.019754641,0.091682993,0.018401903,0.019777964,0.095368038
E14001127,Bridlington & The Wolds,E12000003,Yorkshire and The Humber,4313,0.065330784,0.704925771,0.013051996,0.069909604,0.027189691,0.01779603,0.101796125
E14001128,Brigg & Immingham,E12000003,Yorkshire and The Humber,3524,0.025273293,0.81604152,0.007872831,0.033672651,0.018303079,0.010480393,0.088356233
E14001129,Brighton Kemptown & Peacehaven,E12000008,South East,3418,0.10291918,0.762098914,0.019903498,0.002750302,0.024487334,0.005379976,0.082460796
E14001130,Brighton Pavilion,E12000008,South East,3215,0.130302892,0.7480385,0.024450324,0.001163215,0.019888696,0.002828209,0.073328163
E14001131,Bristol Central,E12000009,South West,2604,0.225570011,0.647522316,0.02476375,0.001204157,0.029685087,0.003088924,0.068165755
E14001132,Bristol East,E12000009,South West,3534,0.132563389,0.741864084,0.017575771,0.001117661,0.026122592,0.003309154,0.077447349
E14001133,Bristol North East,E12000009,South West,3153,0.093464248,0.790011493,0.01361615,0.002823165,0.017713486,0.003597662,0.078773797
E14001134,Bristol North West,E12000009,South West,3217,0.080808318,0.811322083,0.010843289,0.001642923,0.016828221,0.003051142,0.075504025
E14001135,Bristol South,E12000009,South West,3222,0.105821445,0.774965486,0.012586286,0.001449609,0.027956742,0.003083295,0.074137138
E14001136,Broadland & Fakenham,E12000006,East of England,4505,0.075726014,0.565788506,0.008871462,0.19080995,0.029163093,0.019237839,0.110403137
E14001137,Bromley & Biggin Hill,E12000007,London,2988,0.063134849,0.827932079,0.010412159,0.002062066,0.016521983,0.003869555,0.07606731
E14001138,Bromsgrove,E12000005,West Midlands,3864,0.049121532,0.80147825,0.008821035,0.021567915,0.009136072,0.01623652,0.093638677
E14001139,Broxbourne,E12000006,East of England,3518,0.115942029,0.762603643,0.01430901,0.005925722,0.013688877,0.006729599,0.080801121
E14001140,Broxtowe,E12000004,East Midlands,3293,0.053534743,0.842223565,0.010175227,0.00118429,0.009861027,0.003432024,0.079589124
E14001141,Buckingham & Bletchley,E12000008,South East,4017,0.063834396,0.73332531,0.009844747,0.056950295,0.020531953,0.018822963,0.096690336
E14001142,Burnley,E12000002,North West,4358,0.041066442,0.820353708,0.017441603,0.004631887,0.01606755,0.003856212,0.096582598
E14001143,Burton & Uttoxeter,E12000005,West Midlands,4014,0.068847446,0.760573693,0.016754242,0.036846412,0.019123094,0.011413558,0.086441554
E14001144,Bury North,E12000002,North West,3583,0.052895735,0.834882968,0.012697752,0.003145527,0.01068554,0.002821723,0.082870756
E14001145,Bury South,E12000002,North West,3077,0.083241726,0.814477839,0.013589054,0.001099287,0.01267688,0.002947024,0.071968191
E14001146,Bury St Edmunds & Stowmarket,E12000006,East of England,4056,0.092084293,0.653510714,0.009474057,0.127412786,0.01932442,0.008411546,0.089782185
E14001147,Calder Valley,E12000003,Yorkshire and The Humber,4706,0.057572244,0.778117196,0.019443453,0.015630574,0.016410988,0.007893329,0.104932215
E14001148,Camborne & Redruth,E12000009,South West,5237,0.153527263,0.469060334,0.035787896,0.130621135,0.041924302,0.04642121,0.12265786
E14001149,Cambridge,E12000006,East of England,3459,0.124772824,0.740088402,0.016715654,0.001884718,0.035248715,0.003679688,0.077609998
E14001150,Cannock Chase,E12000005,West Midlands,3587,0.061924705,0.82980486,0.009595913,0.001840943,0.010792526,0.003497791,0.082543262
E14001151,Canterbury,E12000008,South East,3965,0.090502661,0.757752809,0.012300414,0.018876404,0.014429332,0.012347723,0.093790656
E14001152,Carlisle,E12000002,North West,5089,0.0649118,0.729288288,0.013593543,0.051697612,0.021581066,0.011675694,0.107251997
E14001153,Carshalton & Wallington,E12000007,London,3052,0.111507517,0.762837389,0.018133504,0.000639717,0.027999902,0.00378909,0.075092882
E14001154,Castle Point,E12000006,East of England,2981,0.069669229,0.821184062,0.010912048,0.001390237,0.009233271,0.009416887,0.078194266
E14001155,Central Devon,E12000009,South West,5928,0.090886778,0.483469553,0.028495693,0.17220136,0.037159758,0.042289473,0.145497386
E14001156,Central Suffolk & North Ipswich,E12000006,East of England,4104,0.068595439,0.616498342,0.012402865,0.156149543,0.024755107,0.017718379,0.103880325
E14001157,Chatham & Aylesford,E12000008,South East,3453,0.067387549,0.811253342,0.016089724,0.003762156,0.014599058,0.005205499,0.081702671
E14001158,Cheadle,E12000002,North West,2623,0.057651027,0.85513135,0.00822856,0.001098845,0.009174077,0.001686599,0.067029541
E14001159,Chelmsford,E12000006,East of England,3332,0.119867726,0.766101469,0.013116428,0.007013183,0.015779662,0.0041724,0.073949132
E14001160,Chelsea & Fulham,E12000007,London,5068,0.130508319,0.674253148,0.026417869,0.002334773,0.066825995,0.006489567,0.093170328
E14001161,Cheltenham,E12000009,South West,3484,0.107072823,0.786366878,0.013303325,0.002139228,0.011297798,0.002183795,0.077636153
E14001162,Chesham & Amersham,E12000008,South East,3300,0.060112073,0.811283749,0.007335711,0.01673459,0.013143148,0.007335711,0.084055018
E14001163,Chester North & Neston,E12000002,North West,3214,0.094108315,0.781159107,0.011081464,0.015624624,0.013437177,0.007331555,0.077257758
E14001164,Chester South & Eddisbury,E12000002,North West,4497,0.045223986,0.611691442,0.009416432,0.153173965,0.023704299,0.043868019,0.112921856
E14001165,Chesterfield,E12000004,East Midlands,3523,0.044653349,0.844358425,0.008525149,0.000829474,0.017787609,0.002672749,0.081173245
E14001166,Chichester,E12000008,South East,4678,0.093463076,0.71438299,0.011465975,0.03597944,0.022624434,0.019329614,0.10275447
E14001167,Chingford & Woodford Green,E12000007,London,3247,0.086690656,0.785648769,0.016980644,0.000446859,0.029610292,0.00425692,0.07636586
E14001168,Chippenham,E12000009,South West,3682,0.094960484,0.716606498,0.009708264,0.060688848,0.01673334,0.011488926,0.08981364
E14001169,Chipping Barnet,E12000007,London,3239,0.091877099,0.791798905,0.015362679,0.000850927,0.021664137,0.00395566,0.074490594
E14001170,Chorley,E12000002,North West,4219,0.047744146,0.814871502,0.012061679,0.009069103,0.014780126,0.005094232,0.096379212
E14001171,Christchurch,E12000009,South West,3268,0.080538256,0.799954979,0.008353968,0.009904705,0.009904705,0.009604562,0.081738826
E14001172,Cities of London & Westminster,E12000007,London,5065,0.222661397,0.493142124,0.039525692,0.005759941,0.145721428,0.007634877,0.085554542
E14001173,City of Durham,E12000001,North East,3947,0.042660372,0.812226224,0.005572861,0.017862358,0.01813005,0.007495376,0.09605276
E14001174,Clacton,E12000006,East of England,3774,0.110998524,0.712888517,0.014516378,0.046302619,0.017600282,0.014560434,0.083133247
E14001175,Clapham & Brixton Hill,E12000007,London,4213,0.103352643,0.70664937,0.023842008,0.001498513,0.063228288,0.007201807,0.094227371
E14001176,Colchester,E12000006,East of England,4070,0.140287389,0.740016507,0.012359004,0.007406937,0.00979832,0.003999746,0.086132097
E14001177,Colne Valley,E12000003,Yorkshire and The Humber,3815,0.042098049,0.815160193,0.018283281,0.009227305,0.016007049,0.005849671,0.093374452
E14001178,Congleton,E12000002,North West,3525,0.039028186,0.800190749,0.006977386,0.035715182,0.014481841,0.015134403,0.088472254
E14001179,Corby & East Northamptonshire,E12000004,East Midlands,4302,0.052338435,0.769047619,0.009608844,0.047130102,0.019770408,0.01065051,0.091454082
E14001180,Coventry East,E12000005,West Midlands,3823,0.087016515,0.785865206,0.020094002,0.000452762,0.018757277,0.005390022,0.082424216
