PCON22CD,all,slow (3-6 KW),fast (7-22 KW),rapid (25-100 KW),ultra (>100 KW)
E14000530,24,2,8,14,0
E14000531,23,2,12,9,0
E14000532,25,0,23,2,0
E14000533,23,0,21,2,0
E14000534,60,2,46,12,0
E14000535,57,0,53,4,0
E14000536,52,3,45,4,0
E14000537,35,0,31,4,0
E14000538,60,10,34,16,0
E14000539,134,7,103,18,6
E14000540,65,4,53,8,0
E14000541,50,0,42,8,0
E14000542,32,2,30,0,0
E14000543,22,0,17,5,0
E14000544,20,2,18,0,0
E14000545,90,4,63,23,0
E14000546,66,1,35,26,4
E14000547,76,3,57,16,0
E14000548,48,0,25,23,0
E14000549,556,320,220,16,0
E14000550,64,9,36,17,2
E14000551,55,2,43,10,0
E14000552,96,5,78,13,0
E14000553,617,505,85,27,0
E14000554,89,3,56,30,0
E14000555,151,114,34,3,0
E14000556,36,0,32,4,0
E14000557,9,0,2,7,0
E14000558,58,6,25,16,11
E14000559,26,2,18,4,2
E14000560,30,2,26,2,0
E14000561,17,1,9,6,1
E14000562,10,2,8,0,0
E14000563,2,0,2,0,0
E14000564,143,7,129,7,0
E14000565,24,0,22,2,0
E14000566,0,0,0,0,0
E14000567,17,0,15,2,0
E14000568,19,4,7,8,0
E14000569,77,5,45,23,4
E14000570,51,0,31,12,8
E14000571,27,4,21,2,0
E14000572,34,0,28,6,0
E14000573,16,0,12,4,0
E14000574,106,4,60,42,0
E14000575,78,5,41,32,0
E14000576,26,7,15,4,0
E14000577,53,2,38,13,0
E14000578,26,0,20,6,0
E14000579,29,0,29,0,0
E14000580,22,4,14,4,0
E14000581,8,0,8,0,0
E14000582,61,6,42,13,0
E14000583,97,0,95,2,0
E14000584,23,3,13,7,0
E14000585,54,4,14,36,0
E14000586,90,2,81,7,0
E14000587,37,0,25,12,0
E14000588,48,2,31,15,0
E14000589,34,0,16,18,0
E14000590,29,0,20,9,0
E14000591,370,277,77,16,0
E14000592,116,65,35,16,0
E14000593,279,90,180,9,0
E14000594,36,0,28,8,0
E14000595,35,0,25,10,0
E14000596,23,0,21,2,0
E14000597,66,46,17,3,0
E14000598,187,113,71,3,0
E14000599,33,5,15,13,0
E14000600,52,5,26,21,0
E14000601,15,1,10,4,0
E14000602,190,33,129,26,2
E14000603,43,0,35,8,0
E14000604,40,0,30,10,0
E14000605,55,0,15,40,0
E14000606,74,2,67,5,0
E14000607,86,2,67,17,0
E14000608,59,6,44,9,0
E14000609,47,0,33,12,2
E14000610,52,0,23,27,2
E14000611,36,0,32,4,0
E14000612,21,2,14,5,0
E14000613,112,25,77,10,0
E14000614,55,0,25,30,0
