PCON22CD,Cycle once a month 2016,Cycle once a month 2017,Cycle once a month 2018,Cycle once a month 2019,Cycle once a month 2020,Cycle once a month 2021,Cycle once a month 2022,Cycle once a week 2016,Cycle once a week 2017,Cycle once a week 2018,Cycle once a week 2019,Cycle once a week 2020,Cycle once a week 2021,Cycle once a week 2022,Cycle three times a week 2016,Cycle three times a week 2017,Cycle three times a week 2018,Cycle three times a week 2019,Cycle three times a week 2020,Cycle three times a week 2021,Cycle three times a week 2022,Cycle five times a week 2016,Cycle five times a week 2017,Cycle five times a week 2018,Cycle five times a week 2019,Cycle five times a week 2020,Cycle five times a week 2021,Cycle five times a week 2022,Walk once a month 2016,Walk once a month 2017,Walk once a month 2018,Walk once a month 2019,Walk once a month 2020,Walk once a month 2021,Walk once a month 2022,Walk once a week 2016,Walk once a week 2017,Walk once a week 2018,Walk once a week 2019,Walk once a week 2020,Walk once a week 2021,Walk once a week 2022,Walk three times a week 2016,Walk three times a week 2017,Walk three times a week 2018,Walk three times a week 2019,Walk three times a week 2020,Walk three times a week 2021,Walk three times a week 2022,Walk five times a week 2016,Walk five times a week 2017,Walk five times a week 2018,Walk five times a week 2019,Walk five times a week 2020,Walk five times a week 2021,Walk five times a week 2022
E14000530,15.2,18.4,15.1,15.5,13.8,11.0,11.7,10.9,14.2,9.9,12.2,10.3,8.2,8.9,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.8,77.6,74.9,77.8,69.5,75.1,80.5,63.3,65.8,65.8,66.1,57.9,66.7,73.3,37.2,39.0,40.9,40.4,33.7,41.4,40.5,28.4,28.7,27.6,31.1,24.0,32.2,28.6
E14000531,11.7,8.6,8.4,8.1,8.6,8.0,4.5,7.7,5.6,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.9,69.6,74.5,70.9,63.1,65.0,63.6,59.8,59.6,65.0,62.2,53.1,55.0,56.7,34.1,36.0,36.6,38.0,29.2,30.1,32.4,25.2,27.9,28.0,27.3,19.2,20.2,25.6
E14000532,18.4,17.0,18.4,15.1,22.2,16.8,14.6,12.0,13.2,11.1,10.1,14.8,10.2,10.9,6.6,4.6,5.3,5.3,7.5,4.2,4.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,79.5,79.0,79.4,82.3,77.6,76.8,78.5,65.5,69.5,69.7,72.9,70.5,69.9,69.6,41.9,42.3,43.5,43.3,43.6,40.0,44.1,29.1,30.6,29.8,30.7,28.8,26.9,32.0
E14000533,13.7,11.5,15.8,14.7,14.6,8.1,9.3,10.2,7.5,12.4,9.3,9.3,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,78.6,82.4,80.0,82.6,81.5,72.7,66.5,67.8,75.8,71.1,74.9,73.3,64.9,37.4,37.7,47.3,40.0,43.1,47.1,37.0,24.2,29.6,35.4,28.6,33.5,34.2,27.5
E14000534,21.1,22.6,19.8,19.0,18.7,15.0,13.8,15.1,14.2,13.0,13.3,12.8,11.1,10.0,0.8,5.3,4.2,5.1,3.8,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,81.4,81.3,85.0,78.5,83.9,79.6,71.4,72.8,74.1,76.1,70.6,77.8,71.8,45.5,45.0,48.4,49.9,45.4,48.2,45.4,32.8,32.6,35.1,37.6,34.4,35.4,31.6
E14000535,13.0,15.1,13.7,15.3,14.0,9.6,10.4,10.1,10.9,7.6,11.2,9.1,7.2,1.7,1.4,0.0,0.0,1.2,1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,78.5,76.1,77.2,74.1,76.4,76.7,67.0,68.1,66.4,67.1,67.9,68.0,63.0,37.3,43.4,40.5,39.7,43.0,43.1,37.8,26.8,32.4,30.8,29.5,28.4,27.6,27.9
E14000536,22.6,19.0,15.6,17.0,19.1,16.5,13.8,15.3,14.5,10.4,10.8,15.2,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7,82.2,78.4,78.6,77.9,76.7,77.8,63.9,70.3,66.6,70.0,68.3,70.1,68.1,39.7,45.5,40.8,42.6,39.8,42.4,37.5,28.7,34.5,31.3,29.9,31.5,30.7,29.0
E14000537,9.6,10.4,8.9,11.1,8.9,6.8,7.9,6.7,7.5,6.2,7.9,6.9,3.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,71.1,71.8,75.5,69.1,70.4,69.0,66.0,63.3,62.3,66.5,60.6,60.9,60.5,35.5,38.2,34.4,37.8,35.0,33.7,34.1,27.4,28.7,25.8,27.6,25.9,24.9,23.6
E14000538,16.8,20.6,15.7,17.6,16.6,11.7,12.9,10.9,13.4,9.8,11.4,11.5,8.5,8.1,4.6,5.2,5.0,4.9,5.1,0.0,0.0,2.5,2.2,3.1,2.0,2.6,0.0,0.0,79.8,83.4,79.9,82.8,81.6,81.9,79.1,70.3,72.4,70.4,73.3,71.7,76.0,71.6,41.9,42.8,43.5,45.1,43.1,43.5,42.8,30.6,31.9,28.4,33.4,31.6,31.6,29.7
E14000539,18.6,17.8,19.3,17.7,17.2,17.0,16.3,12.8,13.5,10.1,11.4,13.2,11.5,10.2,7.2,6.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.2,79.6,82.1,83.5,69.7,78.8,80.7,67.4,66.6,70.6,73.9,63.0,71.9,70.3,37.5,36.5,43.7,43.0,39.4,45.2,42.8,26.5,26.1,32.8,30.0,27.2,31.9,30.9
