PCON22CD,workplace-2023-04,home-2022,public-2023-04,total
E14000733,43,70,27,140
E14000819,46,52,31,130
E14000820,68,121,67,257
E14000891,12,32,17,62
E14000970,140,148,73,362
E14000971,98,103,51,253
E14000658,15,15,11,42
E14000915,120,136,83,340
E14000725,74,91,33,199
E14001024,89,147,35,272
E14001017,146,202,62,411
E14001018,143,197,61,401
E14000570,27,39,13,81
E14000902,124,185,50,360
E14000572,28,28,14,71
E14000573,37,34,17,89
E14000771,79,41,24,145
E14000772,68,35,21,125
E14000773,49,27,15,92
E14000556,71,171,39,283
E14000596,65,138,35,239
E14000683,97,233,53,385
E14000724,39,96,22,158
E14000643,128,117,35,281
E14000716,18,13,4,37
E14000914,19,39,10,69
E14001061,13,21,13,48
E14001062,139,230,140,511
E14000662,65,88,37,191
E14000663,69,94,39,202
E14000814,80,125,35,241
E14000782,49,45,36,130
E14000783,44,40,32,118
E14000784,61,55,44,161
E14000909,108,261,52,423
E14000865,47,39,59,146
E14000866,59,49,73,182
E14000867,82,68,102,254
E14000743,61,71,28,161
E14000847,123,144,57,324
E14000989,22,40,6,70
E14000992,113,208,36,358
E14000972,53,48,16,119
E14000973,60,56,19,136
E14000974,58,53,17,129
E14000547,8,20,7,36
E14000846,98,223,88,409
E14000599,60,59,32,152
E14000600,113,110,59,283
E14000601,63,61,33,158
E14000602,44,43,23,110
E14000850,112,211,59,384
E14001038,72,136,38,246
E14000702,51,72,29,154
E14000774,27,38,16,82
E14000994,240,335,138,713
E14000879,57,53,65,176
E14000880,36,34,41,113
E14000950,72,83,75,231
E14000999,20,43,16,80
E14001001,57,96,49,204
E14000851,83,107,52,243
E14000947,97,125,61,284
E14000855,334,296,72,703
E14000878,156,87,38,281
E14000800,63,44,20,128
E14000801,90,79,31,200
E14000899,30,136,25,191
E14000957,18,77,13,109
E14000933,118,131,53,303
E14000995,49,54,23,126
E14000626,36,56,19,111
E14000711,21,32,16,70
E14000898,102,158,81,343
E14000586,78,154,44,278
E14001042,154,233,87,475
E14000830,173,248,133,555
E14000890,57,69,66,194
E14001048,80,229,74,384
E14000889,51,73,61,186
E14000930,148,77,61,288
E14000803,112,311,108,532
E14000821,266,316,354,937
E14000822,92,110,123,326
E14000597,31,62,147,241
E14000598,28,57,142,228
E14000755,23,47,117,188
E14000883,55,46,56,158
E14000884,27,23,28,79
E14000901,86,151,47,286
E14000955,43,36,36,115
E14000956,46,39,39,125
E14000762,92,123,79,294
E14000569,156,220,99,476
E14000641,31,44,20,96
E14000677,20,28,12,61
E14000840,17,25,11,54
E14000856,118,167,75,362
E14000646,46,168,27,243
E14000653,30,109,17,157
E14000686,211,527,90,829
E14000802,66,240,39,346
E14000987,86,252,42,382
E14000640,46,93,16,156
E14000688,43,86,15,144
E14000799,72,220,71,364
E14000849,43,132,43,219
E14000926,28,85,27,141
E14000616,28,34,28,91
E14000837,120,147,123,391
E14000938,72,89,74,235
E14000961,40,49,40,130
E14000964,51,63,52,168
E14001003,44,54,45,145
E14000635,19,34,10,65
E14000665,119,214,65,400
E14000860,83,149,45,279
E14000912,71,128,39,239
E14000954,86,154,47,288
E14000552,9,17,7,34
E14000813,103,302,64,470
E14000841,142,310,100,553
E14000949,27,87,15,130
E14000554,109,219,125,454
E14000575,3,6,3,13
E14000746,112,225,128,465
E14001014,6,12,7,25
E14000584,26,50,19,96
E14000585,28,53,20,102
E14000638,56,107,42,206
E14000815,40,77,30,147
E14000881,32,61,23,117
E14000839,68,134,55,258
E14000936,28,56,23,108
E14001031,79,158,64,302
E14000538,56,131,27,214
E14000550,53,125,25,205
E14000608,264,616,126,1007
E14000631,59,139,28,227
E14001056,42,99,20,161
E14000648,227,261,77,567
E14000660,255,315,96,667
E14000769,96,110,32,239
E14001025,68,78,23,169
E14000861,7,9,2,19
E14000862,11,13,4,29
E14000942,205,255,78,540
E14000617,50,72,79,203
E14000934,301,252,70,623
E14000842,75,140,12,227
E14000937,184,215,42,442
E14000757,106,123,20,250
E14000647,29,73,46,149
E14000877,100,126,131,358
E14001053,23,34,25,83
E14000543,30,47,44,123
E14000620,16,21,17,54
E14001037,77,109,139,325
E14000533,58,89,13,161
E14000664,111,207,58,377
E14000577,95,136,49,281
E14000632,80,77,45,203
E14000843,92,127,31,252
E14000695,37,67,12,116
E14000748,46,128,28,202
E14000935,53,223,33,311
E14000623,73,171,68,313
E14000678,69,89,56,215
E14000996,76,148,65,290
E14000698,108,64,99,272
E14000838,53,92,70,215
E14000835,21,44,14,80
E14001000,38,94,50,183
E14000684,21,60,32,114
E14000735,17,73,41,132
E14000786,61,128,43,233
E14000557,31,121,24,177
E14001023,77,184,21,283
E14000544,81,91,35,208
E14000888,32,87,21,141
E14000590,80,148,62,291
E14001045,82,153,42,278
E14000594,94,228,25,348
E14000622,26,94,3,123
E14000628,13,39,5,58
E14000806,80,199,27,308
E14000910,130,358,52,541
E14000644,17,32,8,58
E14000734,98,202,57,358
