PCON22CD,workplace-2023-04,home-2022,public-2023-04,total
E14000693,37,79,14,131
E14000729,95,107,23,226
E14000642,17,43,14,75
E14000630,76,125,23,225
E14000990,141,175,34,351
E14000991,157,223,97,478
E14000705,46,123,20,191
E14000712,104,116,54,274
E14000980,107,192,36,336
E14000545,12,28,8,50
E14000844,103,332,78,514
E14000857,117,254,73,446
E14000680,105,237,36,380
E14000811,83,151,79,314
E14000685,82,198,68,349
E14001041,69,118,72,259
E14000699,60,164,17,243
E14000713,23,75,21,120
E14000530,63,99,42,204
E14000736,37,111,26,175
E14000827,55,115,54,226
E14000828,50,104,49,203
E14000606,62,122,61,247
E14000739,65,138,8,213
E14000951,147,307,40,496
E14000745,122,270,45,437
E14000749,135,326,46,508
E14000845,134,305,66,505
E14000968,106,76,23,206
E14000960,51,153,22,227
E14001021,93,129,68,291
E14000536,47,131,44,223
E14000704,60,121,135,317
E14000619,70,123,45,239
E14000852,43,104,36,183
E14000659,140,133,85,358
E14000670,19,83,62,165
E14000948,18,65,38,122
E14000715,41,87,51,179
E14000700,135,212,67,415
E14000804,67,134,37,239
E14000918,58,146,22,227
E14000997,133,229,56,419
E14000927,73,90,41,205
E14001004,46,133,38,218
E14000609,41,58,34,133
E14000637,65,163,35,264
E14000943,110,191,59,361
E14000706,51,134,28,214
E14000758,92,63,31,187
E14000776,71,136,67,275
E14000825,41,63,36,142
E14000875,59,76,19,154
E14000885,21,23,10,56
E14001057,112,167,69,349
E14000894,82,231,58,372
E14001033,77,126,49,253
E14000625,83,177,30,290
E14000940,173,218,68,460
E14000797,54,134,19,208
E14000728,61,136,61,259
E14000583,80,178,44,303
E14000858,243,219,35,497
E14000582,106,67,50,224
E14000707,2,3,1,6
E14000798,70,90,49,209
E14000792,74,74,74,223
E14000929,151,250,28,429
E14000939,81,102,34,218
E14000714,81,181,36,298
E14000816,63,103,36,203
E14000952,94,123,58,275
E14000603,102,195,86,384
E14000863,48,26,28,103
E14000717,45,61,49,155
E14000859,45,62,32,141
E14000848,36,82,74,193
E14000864,98,43,58,200
E14000941,56,234,38,329
E14000928,189,288,128,606
E14000895,126,136,73,336
E14000993,111,121,82,315
E14000730,20,33,12,66
E14000917,95,214,32,342
E14000913,28,47,29,104
E14000535,86,131,42,260
E14000924,82,170,56,308
E14000546,50,116,38,205
E14000829,103,245,61,410
E14000607,65,119,33,218
E14000710,15,42,15,73
E14000810,63,122,35,220
E14000908,29,244,46,320
E14000539,181,218,136,536
E14000742,115,299,101,516
E14000874,53,90,72,216
E14000873,46,64,99,210
E14001015,126,299,101,527
E14001046,125,203,85,413
E14000932,86,177,90,354
E14001026,54,116,61,231
E14000595,94,150,76,321
E14001060,38,68,32,138
E14000618,68,100,41,211
E14000610,87,116,30,234
E14000791,115,199,31,346
E14000986,122,204,26,353
E14000834,44,50,19,114
E14000966,23,113,10,146
E14000975,169,248,91,509
E14000945,42,131,38,212
E14000965,58,122,41,222
E14000946,90,122,63,276
E14000624,166,169,53,389
E14000761,132,62,50,245
E14000613,92,97,36,226
E14000697,91,280,60,432
E14000907,135,189,69,395
E14000694,24,165,23,213
E14000719,57,149,50,257
E14000824,114,263,92,470
E14000983,90,216,37,344
E14001047,65,184,44,294
E14000681,40,167,29,237
E14000893,63,225,30,319
E14000959,58,107,52,219
E14000953,46,175,37,259
E14000854,109,122,47,279
E14000868,47,102,23,174
E14000905,75,165,57,298
E14000767,236,411,125,772
E14000977,156,210,77,444
E14001019,61,113,29,203
E14000682,63,107,24,194
E14000534,115,300,78,494
E14000576,12,36,7,56
E14001055,28,70,16,114
E14000633,49,132,51,233
E14000652,148,84,55,289
E14000753,78,193,53,325
E14000817,70,158,57,287
E14000605,126,248,50,426
E14001035,78,178,32,289
E14000892,112,159,27,300
E14001052,52,119,29,202
E14000818,75,180,32,288
E14001058,38,120,24,184
E14001027,132,125,123,381
E14000744,27,92,24,144
E14000981,138,143,63,345
E14001022,45,47,20,113
E14001034,190,154,124,468
E14000988,33,49,26,108
E14000578,38,69,7,115
E14000579,39,71,7,118
E14000580,76,138,15,230
E14000611,68,138,14,221
E14000612,64,131,14,210
E14000571,69,60,36,165
E14000807,71,59,38,169
E14000808,43,36,23,102
E14000809,48,40,25,114
E14001059,92,95,44,231
E14000537,33,51,8,93
E14000870,102,128,41,271
E14000871,30,37,12,80
E14000747,75,86,16,178
E14000897,89,101,19,210
E14000911,71,71,34,177
E14001054,134,134,64,333
E14000627,71,166,15,253
E14000661,36,66,8,111
E14000738,106,246,23,375
E14000969,39,92,8,140
E14000967,82,129,18,230
E14000532,131,219,43,393
E14000979,120,201,39,362
E14000785,63,132,16,212
E14000805,52,110,13,176
E14001039,57,119,15,191
E14000708,61,113,76,251
E14000775,33,93,18,145
E14000963,58,97,16,172
E14000793,38,61,55,155
E14000794,31,50,45,128
E14000795,27,44,39,110
E14000796,32,52,47,133
E14000962,81,123,20,224
E14000581,9,49,6,66
E14000916,32,161,20,214
E14000958,17,89,11,119
E14000559,21,53,5,81
E14001010,20,49,5,75
E14001043,56,137,15,209
E14001044,42,102,11,156
E14000541,27,42,9,79
E14000542,50,77,16,143
E14000876,232,306,82,621
E14001028,58,92,25,175
E14000667,78,130,37,246
E14000668,18,31,8,59
E14000669,79,133,37,251
E14000903,109,176,49,335
E14000904,29,47,13,90
E14000919,22,25,8,57
E14000920,49,56,18,124
E14000921,30,34,11,76
E14000922,151,173,57,382
E14000923,28,32,10,71
E14000831,32,50,32,115
E14000832,26,40,25,92
E14000833,97,148,95,341
E14000853,71,129,26,227
E14001006,61,111,23,196
E14000765,67,71,40,179
E14000944,36,39,21,97
E14000754,86,112,81,280
E14000982,38,49,35,123
E14001020,56,72,52,181
E14000560,55,85,48,188
E14000561,42,66,37,146
E14000562,38,59,33,131
E14000563,39,61,34,135
E14000564,49,77,43,170
E14000565,47,73,41,162
E14000566,48,74,42,165
E14000567,42,66,37,146
E14000568,43,67,38,149
E14000985,111,173,98,382
E14000649,69,67,301,438
E14000650,97,95,425,619
E14000651,83,81,363,528
E14000671,41,74,27,143
E14000672,45,82,30,158
E14000722,58,78,28,165
E14000976,49,89,32,170
E14001050,56,58,21,135
E14001016,43,30,11,84
E14001029,62,43,15,121
E14001030,61,42,15,120
E14000812,202,347,110,660
E14000931,45,77,24,148
E14000531,64,94,13,173
E14001011,39,57,8,105
E14001012,48,70,10,129
E14001049,57,55,19,132
E14001051,53,51,18,123
E14000587,24,35,12,71
E14000588,37,53,18,108
E14000589,30,43,14,88
E14000766,141,201,68,412
E14000925,81,116,39,238
E14000614,189,185,62,436
E14000723,35,34,11,82
E14000548,44,65,11,121
E14000645,146,215,37,399
E14000666,102,150,26,279
E14000756,38,56,9,104
E14000689,358,421,184,965
E14000777,59,70,30,160
E14000778,49,57,25,132
E14000779,57,67,29,153
E14000780,91,107,46,245
E14000781,44,52,22,119
E14000826,86,105,41,234
E14000886,79,93,41,214
E14000740,137,185,49,372
E14000836,79,106,28,214
E14001009,71,96,25,193
E14000574,120,122,91,334
E14000709,26,27,20,74
E14000639,70,16,1435,1522
E14000764,18,5,220,244
E14000540,48,34,38,122
E14000657,56,83,43,183
E14000636,32,247,134,414
E14000703,19,149,81,250
E14000741,29,224,122,376
E14000558,34,88,16,139
E14000696,41,82,59,183
E14000869,38,100,18,157
E14000591,54,71,265,391
E14000592,61,81,301,444
E14000727,32,41,203,276
E14000551,19,102,24,146
E14000604,16,87,21,124
E14000788,10,44,59,114
E14000872,43,234,57,334
E14000750,30,39,218,288
E14000654,22,76,72,171
E14000655,15,52,49,117
E14000656,38,128,121,288
E14000674,60,59,108,228
E14000675,79,77,140,297
E14000676,48,47,86,183
E14000687,21,56,50,128
E14000691,41,106,95,243
E14000692,27,72,64,164
E14000690,44,57,118,220
E14000718,34,44,92,171
E14000720,5,5,179,190
E14000721,5,5,197,209
E14000629,31,9,387,427
E14000726,54,8,415,478
E14000752,17,42,55,115
E14001002,14,33,44,92
E14000731,25,150,29,205
E14000732,19,113,21,154
E14000906,73,147,74,295
E14000751,44,130,30,204
E14000900,22,66,15,104
E14000737,70,100,70,241
E14001007,47,66,47,161
E14000593,106,70,199,376
E14000701,121,80,228,429
E14000763,17,5,216,240
E14000768,18,14,558,591
E14000770,104,140,124,369
E14000896,64,149,230,445
E14000673,43,32,482,557
E14000978,32,23,125,181
E14001008,26,19,102,148
E14000787,11,39,95,146
E14000789,9,32,77,119
E14000823,20,67,145,233
E14001040,25,87,187,300
E14000679,55,9,104,169
E14001032,51,9,95,155
E14000634,18,59,125,202
E14000759,23,180,49,252
E14000760,12,97,26,137
E14000790,14,61,78,153
E14001005,32,109,197,339
E14000553,27,21,575,624
E14000615,30,23,628,682
E14000621,19,99,92,210
E14000984,13,71,66,151
E14000555,21,4,153,179
E14000882,24,5,178,208
E14001013,16,34,131,181
E14000549,19,23,230,273
E14000887,24,28,285,339
E14000998,21,25,251,298
E14001036,21,9,814,845
N06000002,41,54,24,119
N06000005,27,52,13,93
N06000010,52,39,17,109
N06000014,104,161,41,307
N06000007,41,50,30,122
N06000009,81,141,18,240
N06000011,52,91,25,169
N06000015,53,81,23,158
N06000017,25,47,13,86
N06000001,42,56,22,121
N06000003,37,50,20,108
N06000004,46,60,26,134
N06000013,10,37,4,52
N06000006,34,62,22,119
N06000012,52,103,29,185
N06000008,6,5,3,16
N06000018,42,44,30,118
N06000016,54,170,19,244
S14000050,64,131,92,288
S14000013,39,73,108,221
S14000014,118,317,186,621
S14000006,44,168,109,323
S14000040,15,71,48,135
S14000020,40,188,173,401
S14000021,12,254,28,294
S14000027,5,4,47,56
S14000028,51,132,46,230
S14000043,69,185,56,310
S14000009,36,76,104,218
S14000039,20,43,59,124
S14000055,53,112,152,318
S14000038,5,43,35,83
S14000045,66,157,71,294
S14000046,29,100,76,205
S14000010,6,24,16,47
S14000048,16,92,61,170
S14000051,26,70,80,178
S14000008,34,101,66,202
S14000019,36,106,45,188
S14000042,32,94,40,167
S14000056,4,13,5,23
S14000057,70,163,149,382
S14000001,33,50,36,120
S14000002,57,87,64,209
S14000037,73,165,78,317
S14000007,37,115,37,190
S14000058,77,236,77,390
S14000005,36,46,111,193
S14000022,20,48,29,98
S14000023,15,37,23,76
S14000024,22,54,33,109
S14000025,71,170,104,346
S14000026,77,185,114,377
S14000052,58,108,56,223
S14000053,65,121,62,249
S14000059,21,56,46,123
S14000044,56,158,41,256
S14000004,25,133,71,230
S14000015,50,53,85,189
S14000016,61,60,102,223
S14000012,48,200,55,304
S14000018,17,125,14,157
S14000017,27,67,28,122
S14000036,21,52,22,95
S14000041,17,43,18,80
S14000049,91,227,96,416
S14000054,100,215,137,452
S14000029,42,30,41,114
S14000030,80,57,79,218
S14000031,35,25,34,95
S14000032,58,41,57,157
S14000033,37,26,37,102
S14000034,56,40,55,151
S14000035,55,39,54,148
S14000003,68,157,90,316
S14000011,24,57,32,114
S14000047,17,39,23,80
W07000041,53,66,68,187
W07000057,12,11,19,44
W07000061,66,59,104,229
W07000058,18,64,28,111
W07000059,46,99,50,196
W07000060,16,23,13,53
W07000062,124,122,49,296
W07000042,97,158,29,285
W07000043,52,86,16,155
W07000044,27,25,9,62
W07000064,21,49,52,122
W07000065,60,48,120,228
W07000066,35,64,71,171
W07000045,5,18,10,35
W07000067,36,123,72,232
W07000046,87,185,94,367
W07000047,9,20,10,40
W07000048,14,30,15,60
W07000049,15,52,9,76
W07000069,23,77,13,115
W07000073,28,61,20,110
W07000074,64,134,44,243
W07000078,19,186,52,258
W07000080,50,90,28,170
W07000050,26,42,13,82
W07000051,66,108,34,209
W07000079,78,129,41,250
W07000052,23,37,11,72
W07000070,43,67,21,132
W07000075,24,39,12,76
W07000071,28,49,30,108
W07000076,23,51,22,97
W07000077,23,50,22,95
W07000072,17,22,69,108
W07000053,35,66,33,134
W07000054,47,142,67,256
W07000055,38,89,61,189
W07000056,37,87,61,185
W07000063,38,42,52,133
W07000068,53,58,72,184
