ONSConstID,ConstituencyName,RegNationID,RegNationName,NatComparator,con_pc→European Union,con_pc→Rest of world,con_pc→UK,rn_pc→European Union,rn_pc→Rest of world,rn_pc→UK,uk_pc→European Union,uk_pc→Rest of world,uk_pc→UK
E14001063,Aldershot,E12000008,South East,England & Wales,0.056,0.165,0.778,0.06,0.097,0.842,0.06,0.101,0.84
E14001064,Aldridge-Brownhills,E12000005,West Midlands,England & Wales,0.018,0.045,0.937,0.051,0.101,0.848,0.06,0.101,0.84
E14001065,Altrincham & Sale West,E12000002,North West,England & Wales,0.037,0.109,0.854,0.041,0.075,0.883,0.06,0.101,0.84
E14001066,Amber Valley,E12000004,East Midlands,England & Wales,0.021,0.015,0.964,0.058,0.08,0.863,0.06,0.101,0.84
E14001067,Arundel & South Downs,E12000008,South East,England & Wales,0.034,0.047,0.92,0.06,0.097,0.842,0.06,0.101,0.84
E14001068,Ashfield,E12000004,East Midlands,England & Wales,0.036,0.024,0.94,0.058,0.08,0.863,0.06,0.101,0.84
E14001069,Ashford,E12000008,South East,England & Wales,0.048,0.104,0.848,0.06,0.097,0.842,0.06,0.101,0.84
E14001070,Ashton-under-Lyne,E12000002,North West,England & Wales,0.043,0.103,0.854,0.041,0.075,0.883,0.06,0.101,0.84
E14001071,Aylesbury,E12000008,South East,England & Wales,0.069,0.114,0.818,0.06,0.097,0.842,0.06,0.101,0.84
E14001072,Banbury,E12000008,South East,England & Wales,0.082,0.078,0.84,0.06,0.097,0.842,0.06,0.101,0.84
E14001073,Barking,E12000007,London,England & Wales,0.137,0.296,0.566,0.128,0.279,0.594,0.06,0.101,0.84
E14001074,Barnsley North,E12000003,Yorkshire and The Humber,England & Wales,0.045,0.022,0.933,0.044,0.07,0.886,0.06,0.101,0.84
E14001075,Barnsley South,E12000003,Yorkshire and The Humber,England & Wales,0.051,0.021,0.928,0.044,0.07,0.886,0.06,0.101,0.84
E14001076,Barrow & Furness,E12000002,North West,England & Wales,0.014,0.024,0.962,0.041,0.075,0.883,0.06,0.101,0.84
E14001077,Basildon & Billericay,E12000006,East of England,England & Wales,0.047,0.074,0.879,0.066,0.083,0.851,0.06,0.101,0.84
E14001078,Basingstoke,E12000008,South East,England & Wales,0.067,0.111,0.822,0.06,0.097,0.842,0.06,0.101,0.84
E14001079,Bassetlaw,E12000004,East Midlands,England & Wales,0.049,0.023,0.928,0.058,0.08,0.863,0.06,0.101,0.84
E14001080,Bath,E12000009,South West,England & Wales,0.074,0.1,0.826,0.046,0.056,0.898,0.06,0.101,0.84
E14001081,Battersea,E12000007,London,England & Wales,0.147,0.251,0.602,0.128,0.279,0.594,0.06,0.101,0.84
E14001082,Beaconsfield,E12000008,South East,England & Wales,0.052,0.107,0.84,0.06,0.097,0.842,0.06,0.101,0.84
E14001083,Beckenham & Penge,E12000007,London,England & Wales,0.081,0.152,0.767,0.128,0.279,0.594,0.06,0.101,0.84
E14001084,Bedford,E12000006,East of England,England & Wales,0.134,0.147,0.719,0.066,0.083,0.851,0.06,0.101,0.84
E14001085,Bermondsey & Old Southwark,E12000007,London,England & Wales,0.161,0.294,0.545,0.128,0.279,0.594,0.06,0.101,0.84
E14001086,Bethnal Green & Stepney,E12000007,London,England & Wales,0.128,0.336,0.536,0.128,0.279,0.594,0.06,0.101,0.84
E14001087,Beverley & Holderness,E12000003,Yorkshire and The Humber,England & Wales,0.017,0.021,0.961,0.044,0.07,0.886,0.06,0.101,0.84
E14001088,Bexhill & Battle,E12000008,South East,England & Wales,0.028,0.045,0.927,0.06,0.097,0.842,0.06,0.101,0.84
E14001089,Bexleyheath & Crayford,E12000007,London,England & Wales,0.054,0.139,0.807,0.128,0.279,0.594,0.06,0.101,0.84
E14001090,Bicester & Woodstock,E12000008,South East,England & Wales,0.071,0.093,0.836,0.06,0.097,0.842,0.06,0.101,0.84
E14001091,Birkenhead,E12000002,North West,England & Wales,0.03,0.04,0.93,0.041,0.075,0.883,0.06,0.101,0.84
E14001092,Birmingham Edgbaston,E12000005,West Midlands,England & Wales,0.069,0.22,0.711,0.051,0.101,0.848,0.06,0.101,0.84
E14001093,Birmingham Erdington,E12000005,West Midlands,England & Wales,0.079,0.134,0.786,0.051,0.101,0.848,0.06,0.101,0.84
E14001094,Birmingham Hall Green & Moseley,E12000005,West Midlands,England & Wales,0.05,0.271,0.679,0.051,0.101,0.848,0.06,0.101,0.84
E14001095,Birmingham Hodge Hill & Solihull North,E12000005,West Midlands,England & Wales,0.046,0.17,0.784,0.051,0.101,0.848,0.06,0.101,0.84
E14001096,Birmingham Ladywood,E12000005,West Midlands,England & Wales,0.087,0.348,0.565,0.051,0.101,0.848,0.06,0.101,0.84
E14001097,Birmingham Northfield,E12000005,West Midlands,England & Wales,0.037,0.096,0.867,0.051,0.101,0.848,0.06,0.101,0.84
E14001098,Birmingham Perry Barr,E12000005,West Midlands,England & Wales,0.064,0.316,0.62,0.051,0.101,0.848,0.06,0.101,0.84
E14001099,Birmingham Selly Oak,E12000005,West Midlands,England & Wales,0.047,0.13,0.824,0.051,0.101,0.848,0.06,0.101,0.84
E14001100,Birmingham Yardley,E12000005,West Midlands,England & Wales,0.061,0.208,0.732,0.051,0.101,0.848,0.06,0.101,0.84
E14001101,Bishop Auckland,E12000001,North East,England & Wales,0.015,0.016,0.969,0.023,0.044,0.932,0.06,0.101,0.84
E14001102,Blackburn,E12000002,North West,England & Wales,0.046,0.182,0.771,0.041,0.075,0.883,0.06,0.101,0.84
E14001103,Blackley & Middleton South,E12000002,North West,England & Wales,0.081,0.188,0.731,0.041,0.075,0.883,0.06,0.101,0.84
E14001104,Blackpool North & Fleetwood,E12000002,North West,England & Wales,0.021,0.021,0.958,0.041,0.075,0.883,0.06,0.101,0.84
E14001105,Blackpool South,E12000002,North West,England & Wales,0.048,0.04,0.912,0.041,0.075,0.883,0.06,0.101,0.84
E14001106,Blaydon & Consett,E12000001,North East,England & Wales,0.018,0.016,0.965,0.023,0.044,0.932,0.06,0.101,0.84
E14001107,Blyth & Ashington,E12000001,North East,England & Wales,0.012,0.02,0.969,0.023,0.044,0.932,0.06,0.101,0.84
E14001108,Bognor Regis & Littlehampton,E12000008,South East,England & Wales,0.079,0.042,0.879,0.06,0.097,0.842,0.06,0.101,0.84
E14001109,Bolsover,E12000004,East Midlands,England & Wales,0.036,0.016,0.948,0.058,0.08,0.863,0.06,0.101,0.84
E14001110,Bolton North East,E12000002,North West,England & Wales,0.039,0.114,0.848,0.041,0.075,0.883,0.06,0.101,0.84
E14001111,Bolton South & Walkden,E12000002,North West,England & Wales,0.053,0.175,0.772,0.041,0.075,0.883,0.06,0.101,0.84
E14001112,Bolton West,E12000002,North West,England & Wales,0.026,0.074,0.9,0.041,0.075,0.883,0.06,0.101,0.84
E14001113,Bootle,E12000002,North West,England & Wales,0.033,0.033,0.935,0.041,0.075,0.883,0.06,0.101,0.84
E14001114,Boston & Skegness,E12000004,East Midlands,England & Wales,0.133,0.029,0.837,0.058,0.08,0.863,0.06,0.101,0.84
E14001115,Bournemouth East,E12000009,South West,England & Wales,0.107,0.106,0.788,0.046,0.056,0.898,0.06,0.101,0.84
E14001116,Bournemouth West,E12000009,South West,England & Wales,0.092,0.103,0.805,0.046,0.056,0.898,0.06,0.101,0.84
E14001117,Bracknell,E12000008,South East,England & Wales,0.064,0.113,0.823,0.06,0.097,0.842,0.06,0.101,0.84
E14001118,Bradford East,E12000003,Yorkshire and The Humber,England & Wales,0.054,0.2,0.746,0.044,0.07,0.886,0.06,0.101,0.84
E14001119,Bradford South,E12000003,Yorkshire and The Humber,England & Wales,0.045,0.1,0.855,0.044,0.07,0.886,0.06,0.101,0.84
E14001120,Bradford West,E12000003,Yorkshire and The Humber,England & Wales,0.063,0.262,0.675,0.044,0.07,0.886,0.06,0.101,0.84
E14001121,Braintree,E12000006,East of England,England & Wales,0.039,0.036,0.925,0.066,0.083,0.851,0.06,0.101,0.84
E14001122,Brent East,E12000007,London,England & Wales,0.173,0.362,0.466,0.128,0.279,0.594,0.06,0.101,0.84
E14001123,Brent West,E12000007,London,England & Wales,0.147,0.475,0.378,0.128,0.279,0.594,0.06,0.101,0.84
E14001124,Brentford & Isleworth,E12000007,London,England & Wales,0.136,0.357,0.507,0.128,0.279,0.594,0.06,0.101,0.84
E14001125,Brentwood & Ongar,E12000006,East of England,England & Wales,0.039,0.062,0.899,0.066,0.083,0.851,0.06,0.101,0.84
E14001126,Bridgwater,E12000009,South West,England & Wales,0.06,0.034,0.906,0.046,0.056,0.898,0.06,0.101,0.84
E14001127,Bridlington & The Wolds,E12000003,Yorkshire and The Humber,England & Wales,0.02,0.017,0.963,0.044,0.07,0.886,0.06,0.101,0.84
E14001128,Brigg & Immingham,E12000003,Yorkshire and The Humber,England & Wales,0.024,0.021,0.956,0.044,0.07,0.886,0.06,0.101,0.84
E14001129,Brighton Kemptown & Peacehaven,E12000008,South East,England & Wales,0.071,0.099,0.83,0.06,0.097,0.842,0.06,0.101,0.84
E14001130,Brighton Pavilion,E12000008,South East,England & Wales,0.085,0.114,0.801,0.06,0.097,0.842,0.06,0.101,0.84
E14001131,Bristol Central,E12000009,South West,England & Wales,0.088,0.155,0.757,0.046,0.056,0.898,0.06,0.101,0.84
E14001132,Bristol East,E12000009,South West,England & Wales,0.081,0.119,0.8,0.046,0.056,0.898,0.06,0.101,0.84
E14001133,Bristol North East,E12000009,South West,England & Wales,0.067,0.103,0.83,0.046,0.056,0.898,0.06,0.101,0.84
E14001134,Bristol North West,E12000009,South West,England & Wales,0.08,0.09,0.83,0.046,0.056,0.898,0.06,0.101,0.84
E14001135,Bristol South,E12000009,South West,England & Wales,0.066,0.06,0.874,0.046,0.056,0.898,0.06,0.101,0.84
E14001136,Broadland & Fakenham,E12000006,East of England,England & Wales,0.022,0.025,0.953,0.066,0.083,0.851,0.06,0.101,0.84
E14001137,Bromley & Biggin Hill,E12000007,London,England & Wales,0.065,0.128,0.807,0.128,0.279,0.594,0.06,0.101,0.84
E14001138,Bromsgrove,E12000005,West Midlands,England & Wales,0.018,0.031,0.952,0.051,0.101,0.848,0.06,0.101,0.84
E14001139,Broxbourne,E12000006,East of England,England & Wales,0.082,0.088,0.83,0.066,0.083,0.851,0.06,0.101,0.84
E14001140,Broxtowe,E12000004,East Midlands,England & Wales,0.041,0.066,0.893,0.058,0.08,0.863,0.06,0.101,0.84
E14001141,Buckingham & Bletchley,E12000008,South East,England & Wales,0.065,0.116,0.818,0.06,0.097,0.842,0.06,0.101,0.84
E14001142,Burnley,E12000002,North West,England & Wales,0.051,0.092,0.857,0.041,0.075,0.883,0.06,0.101,0.84
E14001143,Burton & Uttoxeter,E12000005,West Midlands,England & Wales,0.086,0.064,0.85,0.051,0.101,0.848,0.06,0.101,0.84
E14001144,Bury North,E12000002,North West,England & Wales,0.034,0.085,0.881,0.041,0.075,0.883,0.06,0.101,0.84
E14001145,Bury South,E12000002,North West,England & Wales,0.05,0.095,0.855,0.041,0.075,0.883,0.06,0.101,0.84
E14001146,Bury St Edmunds & Stowmarket,E12000006,East of England,England & Wales,0.041,0.06,0.899,0.066,0.083,0.851,0.06,0.101,0.84
E14001147,Calder Valley,E12000003,Yorkshire and The Humber,England & Wales,0.021,0.023,0.956,0.044,0.07,0.886,0.06,0.101,0.84
E14001148,Camborne & Redruth,E12000009,South West,England & Wales,0.027,0.023,0.95,0.046,0.056,0.898,0.06,0.101,0.84
E14001149,Cambridge,E12000006,East of England,England & Wales,0.165,0.217,0.618,0.066,0.083,0.851,0.06,0.101,0.84
E14001150,Cannock Chase,E12000005,West Midlands,England & Wales,0.02,0.015,0.964,0.051,0.101,0.848,0.06,0.101,0.84
E14001151,Canterbury,E12000008,South East,England & Wales,0.068,0.092,0.84,0.06,0.097,0.842,0.06,0.101,0.84
E14001152,Carlisle,E12000002,North West,England & Wales,0.041,0.028,0.931,0.041,0.075,0.883,0.06,0.101,0.84
E14001153,Carshalton & Wallington,E12000007,London,England & Wales,0.071,0.176,0.753,0.128,0.279,0.594,0.06,0.101,0.84
E14001154,Castle Point,E12000006,East of England,England & Wales,0.019,0.03,0.952,0.066,0.083,0.851,0.06,0.101,0.84
E14001155,Central Devon,E12000009,South West,England & Wales,0.025,0.032,0.943,0.046,0.056,0.898,0.06,0.101,0.84
