PCON24CD,PCON24NM,2025-05,2025-08
E14001063,Aldershot,7,7
E14001064,Aldridge-Brownhills,51,51
E14001065,Altrincham and Sale West,19,20
E14001066,Amber Valley,6,6
E14001067,Arundel and South Downs,80,80
E14001068,Ashfield,6,6
E14001069,Ashford,7,7
E14001070,Ashton-under-Lyne,4,4
E14001071,Aylesbury,8,8
E14001072,Banbury,20,20
E14001073,Barking,0,0
E14001074,Barnsley North,2,2
E14001075,Barnsley South,1,1
E14001076,Barrow and Furness,15,15
E14001077,Basildon and Billericay,0,0
E14001078,Basingstoke,3,3
E14001079,Bassetlaw,3,4
E14001080,Bath,495,496
E14001081,Battersea,244,244
E14001082,Beaconsfield,29,29
E14001083,Beckenham and Penge,249,252
E14001084,Bedford,2,2
E14001085,Bermondsey and Old Southwark,20,25
E14001086,Bethnal Green and Stepney,3,4
E14001087,Beverley and Holderness,4,4
E14001088,Bexhill and Battle,222,222
E14001089,Bexleyheath and Crayford,10,10
E14001090,Bicester and Woodstock,71,71
E14001091,Birkenhead,2,2
E14001092,Birmingham Edgbaston,14,14
E14001093,Birmingham Erdington,6,6
E14001094,Birmingham Hall Green and Moseley,13,13
E14001095,Birmingham Hodge Hill and Solihull North,0,0
E14001096,Birmingham Ladywood,32,32
E14001097,Birmingham Northfield,0,0
E14001098,Birmingham Perry Barr,15,15
E14001099,Birmingham Selly Oak,2,4
E14001100,Birmingham Yardley,2,2
E14001101,Bishop Auckland,2,2
E14001102,Blackburn,0,0
E14001103,Blackley and Middleton South,9,9
E14001104,Blackpool North and Fleetwood,28,28
E14001105,Blackpool South,0,0
E14001106,Blaydon and Consett,1,1
E14001107,Blyth and Ashington,32,34
E14001108,Bognor Regis and Littlehampton,37,37
E14001109,Bolsover,8,8
E14001110,Bolton North East,1,1
E14001111,Bolton South and Walkden,0,0
E14001112,Bolton West,0,0
E14001113,Bootle,5,5
E14001114,Boston and Skegness,20,20
E14001115,Bournemouth East,31,31
E14001116,Bournemouth West,30,30
E14001117,Bracknell,4,4
E14001118,Bradford East,0,0
E14001119,Bradford South,0,0
E14001120,Bradford West,0,0
E14001121,Braintree,5,19
E14001122,Brent East,6,6
E14001123,Brent West,6,6
E14001124,Brentford and Isleworth,6,6
E14001125,Brentwood and Ongar,2,2
E14001126,Bridgwater,103,103
E14001127,Bridlington and The Wolds,59,59
E14001128,Brigg and Immingham,1,1
E14001129,Brighton Kemptown and Peacehaven,113,136
E14001130,Brighton Pavilion,61,61
E14001131,Bristol Central,62,62
E14001132,Bristol East,11,11
E14001133,Bristol North East,14,14
E14001134,Bristol North West,25,25
E14001135,Bristol South,0,0
E14001136,Broadland and Fakenham,190,190
E14001137,Bromley and Biggin Hill,144,156
E14001138,Bromsgrove,17,17
E14001139,Broxbourne,57,58
E14001140,Broxtowe,47,47
E14001141,Buckingham and Bletchley,19,19
E14001142,Burnley,0,0
E14001143,Burton and Uttoxeter,33,33
E14001144,Bury North,3,3
E14001145,Bury South,0,0
E14001146,Bury St Edmunds and Stowmarket,32,32
E14001147,Calder Valley,10,10
E14001148,Camborne and Redruth,82,85
E14001149,Cambridge,132,132
E14001150,Cannock Chase,47,47
E14001151,Canterbury,225,225
E14001152,Carlisle,5,5
E14001153,Carshalton and Wallington,20,20
E14001154,Castle Point,1,1
E14001155,Central Devon,21,22
E14001156,Central Suffolk and North Ipswich,4,11
E14001157,Chatham and Aylesford,31,31
E14001158,Cheadle,103,103
E14001159,Chelmsford,5,5
E14001160,Chelsea and Fulham,103,103
E14001161,Cheltenham,59,62
E14001162,Chesham and Amersham,14,14
E14001163,Chester North and Neston,101,103
E14001164,Chester South and Eddisbury,143,156
E14001165,Chesterfield,16,16
E14001166,Chichester,49,49
E14001167,Chingford and Woodford Green,3,6
E14001168,Chippenham,11,12
E14001169,Chipping Barnet,7,7
E14001170,Chorley,19,19
E14001171,Christchurch,21,22
E14001172,Cities of London and Westminster,812,812
E14001173,City of Durham,111,111
E14001174,Clacton,107,108
E14001175,Clapham and Brixton Hill,7,7
E14001176,Colchester,48,48
E14001177,Colne Valley,10,10
E14001178,Congleton,207,229
E14001179,Corby and East Northamptonshire,1,7
E14001180,Coventry East,12,12
E14001181,Coventry North West,49,49
