Station name,Station code,Operator,PCON24CD,PCON24NM,Longitude,Latitude
Cynghordy,CYN,TfW Rail,W07000087,Caerfyrddin,-3.74821,52.0515
Dagenham Dock,DDK,c2c,E14001073,Barking,0.1461,51.52609
Daisy Hill,DSY,Northern Trains,E14001112,Bolton West,-2.51586,53.53946
Dalgety Bay,DAG,ScotRail,S14000071,Cowdenbeath and Kirkcaldy,-3.36772,56.0421
Dalmally,DAL,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-4.98355,56.4012
Dalmarnock,DAK,ScotRail,S14000084,Glasgow East,-4.21771,55.84209
Dalmeny,DAM,ScotRail,S14000082,Edinburgh West,-3.38162,55.98632
Dalmuir,DMR,ScotRail,S14000106,West Dunbartonshire,-4.42668,55.91193
Dalreoch,DLR,ScotRail,S14000106,West Dunbartonshire,-4.57786,55.94742
Dalry,DLY,ScotRail,S14000048,North Ayrshire and Arran,-4.71108,55.70623
Dalston (Cumbria),DLS,Northern Trains,E14001424,Penrith and Solway,-2.98885,54.84618
Dalston Junction,DLJ,London Overground,E14001260,Hackney South and Shoreditch,-0.07514,51.54611
Dalston Kingsland,DLK,London Overground,E14001260,Hackney South and Shoreditch,-0.0757,51.54815
Dalton (Cumbria),DLT,Northern Trains,E14001076,Barrow and Furness,-3.179,54.15424
Dalwhinnie,DLW,ScotRail,S14000098,"Moray West, Nairn and Strathspey",-4.2462,56.93517
Danby,DNY,Northern Trains,E14001461,Scarborough and Whitby,-0.91096,54.46615
Danescourt,DCT,TfW Rail,W07000092,Cardiff West,-3.23392,51.50051
Danzey,DZY,West Midlands Trains (West Midlands Railway),E14001526,Stratford-on-Avon,-1.82088,52.32481
Darlington,DAR,London North Eastern Railway,E14001190,Darlington,-1.54732,54.52045
Darnall,DAN,Northern Trains,E14001470,Sheffield South East,-1.41257,53.38458
Darsham,DSM,Greater Anglia,E14001530,Suffolk Coastal,1.52347,52.27299
Dartford,DFD,Southeastern,E14001191,Dartford,0.21925,51.44737
Darton,DRT,Northern Trains,E14001074,Barnsley North,-1.53166,53.58837
Darwen,DWN,Northern Trains,E14001450,Rossendale and Darwen,-2.46494,53.69804
Datchet,DAT,South Western Railway,E14001588,Windsor,-0.57942,51.48308
Davenport,DVN,Northern Trains,E14001158,Cheadle,-2.15296,53.3909
Dawlish,DWL,Great Western Railway,E14001381,Newton Abbot,-3.46463,50.58082
Dawlish Warren,DWW,Great Western Railway,E14001381,Newton Abbot,-3.44356,50.59871
Deal,DEA,Southeastern,E14001202,Dover and Deal,1.39885,51.22304
Dean (Wilts),DEN,Great Western Railway,E14001460,Salisbury,-1.63487,51.04246
Deansgate,DGT,Northern Trains,E14001352,Manchester Central,-2.25105,53.47419
Deganwy,DGY,TfW Rail,W07000083,Bangor Aberconwy,-3.83339,53.29475
Deighton,DHN,Northern Trains,E14001297,Huddersfield,-1.7519,53.66848
Delamere,DLM,Northern Trains,E14001164,Chester South and Eddisbury,-2.66656,53.22878
Denby Dale,DBD,Northern Trains,E14001418,Ossett and Denby Dale,-1.66321,53.57263
Denham,DNM,Chiltern Railways,E14001082,Beaconsfield,-0.49744,51.57884
Denham Golf Club,DGC,Chiltern Railways,E14001082,Beaconsfield,-0.51779,51.5806
Denmark Hill,DMK,Govia Thameslink Railway (Thameslink),E14001421,Peckham,-0.08936,51.4682
Dent,DNT,Northern Trains,E14001372,Morecambe and Lunesdale,-2.3636,54.28241
Denton,DTN,Northern Trains,E14001251,Gorton and Denton,-2.13166,53.45687
Deptford,DEP,Southeastern,E14001332,Lewisham North,-0.02627,51.47885
Derby,DBY,East Midlands Railway,E14001194,Derby South,-1.46335,52.91655
Derby Road (Ipswich),DBR,Greater Anglia,E14001302,Ipswich,1.18264,52.05055
Devonport,DPT,Great Western Railway,E14001427,Plymouth Sutton and Devonport,-4.17071,50.37854
Dewsbury,DEW,TransPennine Express,E14001196,Dewsbury and Batley,-1.63311,53.69213
Didcot Parkway,DID,Great Western Railway,E14001197,Didcot and Wantage,-1.24289,51.61095
Digby and Sowton,DIG,Great Western Railway,E14001232,Exmouth and Exeter East,-3.47356,50.71399
Dilton Marsh,DMH,Great Western Railway,E14001498,South West Wiltshire,-2.20792,51.24899
Dinas (Rhondda),DMG,TfW Rail,W07000107,Rhondda and Ogmore,-3.43754,51.61784
Dinas Powys,DNS,TfW Rail,W07000091,Cardiff South and Penarth,-3.21835,51.43167
Dingle Road,DGL,TfW Rail,W07000091,Cardiff South and Penarth,-3.18059,51.44006
Dingwall,DIN,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.4222,57.59424
Dinsdale,DND,Northern Trains,E14001519,Stockton West,-1.46707,54.51473
Dinting,DTG,Northern Trains,E14001287,High Peak,-1.9703,53.44933
Disley,DSL,Northern Trains,E14001347,Macclesfield,-2.04248,53.35818
Diss,DIS,Greater Anglia,E14001569,Waveney Valley,1.1237,52.37365
Dockyard (Devonport),DOC,Great Western Railway,E14001427,Plymouth Sutton and Devonport,-4.1759,50.38217
Dodworth,DOD,Northern Trains,E14001423,Penistone and Stocksbridge,-1.53169,53.54433
Dolau,DOL,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.26362,52.29535
Doleham,DLH,Govia Thameslink Railway (Southern),E14001088,Bexhill and Battle,0.60997,50.91859
Dolgarrog,DLG,TfW Rail,W07000083,Bangor Aberconwy,-3.82264,53.18635
Dolwyddelan,DWD,TfW Rail,W07000083,Bangor Aberconwy,-3.88513,53.05202
Doncaster,DON,London North Eastern Railway,E14001198,Doncaster Central,-1.13985,53.52215
Dorchester South,DCH,South Western Railway,E14001575,West Dorset,-2.43724,50.70929
Dorchester West,DCW,Great Western Railway,E14001575,West Dorset,-2.44254,50.71096
Dore and Totley,DOR,Northern Trains,E14001468,Sheffield Hallam,-1.5153,53.32764
Dorking,DKG,Govia Thameslink Railway (Southern),E14001201,Dorking and Horley,-0.32425,51.24093
Dorking (Deepdene),DPD,Great Western Railway,E14001201,Dorking and Horley,-0.32464,51.2388
Dorking West,DKT,Great Western Railway,E14001201,Dorking and Horley,-0.33998,51.23622
Dormans,DMS,Govia Thameslink Railway (Southern),E14001215,East Surrey,-0.00431,51.15579
Dorridge,DDG,Chiltern Railways,E14001358,Meriden and Solihull East,-1.7529,52.37207
Dove Holes,DVH,Northern Trains,E14001287,High Peak,-1.88975,53.30003
Dover Priory,DVP,Southeastern,E14001202,Dover and Deal,1.30529,51.1257
Dovercourt,DVC,Greater Anglia,E14001273,Harwich and North Essex,1.28061,51.93873
Dovey Junction,DVY,TfW Rail,W07000102,Montgomeryshire and Glyndwr,-3.9239,52.56436
Downham Market,DOW,Govia Thameslink Railway (Great Northern),E14001497,South West Norfolk,0.36568,52.60411
Drayton Green,DRG,Great Western Railway,E14001208,Ealing North,-0.33019,51.51662
Drayton Park,DYP,Govia Thameslink Railway (Great Northern),E14001305,Islington North,-0.10551,51.55277
Drem,DRM,ScotRail,S14000096,Lothian East,-2.78605,56.00513
Driffield,DRF,Northern Trains,E14001127,Bridlington and The Wolds,-0.43467,54.00153
Drigg,DRI,Northern Trains,E14001583,Whitehaven and Workington,-3.44341,54.37696
Droitwich Spa,DTW,West Midlands Trains (West Midlands Railway),E14001203,Droitwich and Evesham,-2.15836,52.2682
Dronfield,DRO,Northern Trains,E14001391,North East Derbyshire,-1.46878,53.30137
Drumchapel,DMC,ScotRail,S14000089,Glasgow West,-4.36288,55.90482
Drumfrochar,DFR,ScotRail,S14000093,Inverclyde and Renfrewshire West,-4.77477,55.94125
Drumgelloch,DRU,ScotRail,S14000063,Airdrie and Shotts,-3.94888,55.86736
Drumry,DMY,ScotRail,S14000106,West Dunbartonshire,-4.38547,55.9046
Duddeston,DUD,West Midlands Trains (West Midlands Railway),E14001096,Birmingham Ladywood,-1.87139,52.48836
Dudley Port,DDP,West Midlands Trains (West Midlands Railway),E14001547,Tipton and Wednesbury,-2.04948,52.52465
Duffield,DFI,East Midlands Railway,E14001362,Mid Derbyshire,-1.48597,52.9884
Duirinish,DRN,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.69132,57.31998
Duke Street,DST,ScotRail,S14000086,Glasgow North East,-4.21305,55.85844
Dullingham,DUL,Greater Anglia,E14001224,Ely and East Cambridgeshire,0.36666,52.20165
Dumbarton Central,DBC,ScotRail,S14000106,West Dunbartonshire,-4.56692,55.94666
Dumbarton East,DBE,ScotRail,S14000106,West Dunbartonshire,-4.55414,55.94225
Dumbreck,DUM,ScotRail,S14000088,Glasgow South West,-4.30124,55.84465
Dumfries,DMF,ScotRail,S14000073,Dumfries and Galloway,-3.6043,55.07256
Dumpton Park,DMP,Southeastern,E14001216,East Thanet,1.42582,51.3457
Dunbar,DUN,ScotRail,S14000096,Lothian East,-2.51335,55.9983
Dunblane,DBL,ScotRail,S14000105,Stirling and Strathallan,-3.96549,56.18589
Duncraig,DCG,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.63713,57.33701
Dundee,DEE,ScotRail,S14000075,Dundee Central,-2.97121,56.45649
Dunfermline City,DFE,ScotRail,S14000076,Dunfermline and Dollar,-3.45253,56.06819
Dunfermline Queen Margaret,DFL,ScotRail,S14000076,Dunfermline and Dollar,-3.42147,56.08058
Dunkeld and Birnam,DKD,ScotRail,S14000065,Angus and Perthshire Glens,-3.5784,56.55706
Dunlop,DNL,ScotRail,S14000110,Kilmarnock and Loudoun,-4.53239,55.71189
Dunrobin Castle,DNO,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-3.94892,57.98554
Dunston,DOT,Northern Trains,E14001244,Gateshead Central and Whickham,-1.64204,54.95006
Dunton Green,DNG,Southeastern,E14001465,Sevenoaks,0.17094,51.29649
Durham,DHM,London North Eastern Railway,E14001173,City of Durham,-1.58175,54.77939
Durrington-On-Sea,DUR,Govia Thameslink Railway (Southern),E14001599,Worthing West,-0.41147,50.81753
Dyce,DYC,ScotRail,S14000060,Aberdeen North,-2.19232,57.20565
Dyffryn Ardudwy,DYF,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.10464,52.78886
Eaglescliffe,EAG,Northern Trains,E14001519,Stockton West,-1.34944,54.52943
Ealing Broadway,EAL,TfL Rail,E14001207,Ealing Central and Acton,-0.30175,51.51484
Earlestown,ERL,Northern Trains,E14001509,St Helens North,-2.63766,53.45114
Earley,EAR,South Western Railway,E14001210,Earley and Woodley,-0.91799,51.4411
Earlsfield,EAD,South Western Railway,E14001550,Tooting,-0.18771,51.44234
Earlswood (Surrey),ELD,Govia Thameslink Railway (Southern),E14001442,Reigate,-0.17082,51.22733
Earlswood (West Midlands),EWD,West Midlands Trains (West Midlands Railway),E14001526,Stratford-on-Avon,-1.86117,52.36658
East Croydon,ECR,Govia Thameslink Railway (Southern),E14001188,Croydon West,-0.09278,51.37545
East Didsbury,EDY,Northern Trains,E14001354,Manchester Withington,-2.222,53.40931
East Dulwich,EDW,Govia Thameslink Railway (Southern),E14001205,Dulwich and West Norwood,-0.08057,51.46149
East Farleigh,EFL,Southeastern,E14001349,Maidstone and Malling,0.48473,51.25524
East Garforth,EGF,Northern Trains,E14001320,Leeds East,-1.37054,53.79198
East Grinstead,EGR,Govia Thameslink Railway (Southern),E14001212,East Grinstead and Uckfield,-0.0179,51.12627
East Kilbride,EKL,ScotRail,S14000077,East Kilbride and Strathaven,-4.18023,55.76601
East Linton,ELT,ScotRail,S14000096,Lothian East,-2.6579,55.9856
East Malling,EML,Southeastern,E14001349,Maidstone and Malling,0.43928,51.28581
East Midlands Parkway,EMD,East Midlands Railway,E14001457,Rushcliffe,-1.26323,52.8625
East Tilbury,ETL,c2c,E14001480,South Basildon and East Thurrock,0.41293,51.48483
East Worthing,EWR,Govia Thameslink Railway (Southern),E14001218,East Worthing and Shoreham,-0.35489,50.82164
Eastbourne,EBN,Govia Thameslink Railway (Southern),E14001219,Eastbourne,0.28125,50.76938
Eastbrook,EBK,TfW Rail,W07000091,Cardiff South and Penarth,-3.20614,51.43764
Easterhouse,EST,ScotRail,S14000084,Glasgow East,-4.10718,55.85976
Eastham Rake,ERA,Merseyrail,E14001222,Ellesmere Port and Bromborough,-2.98113,53.30754
Eastleigh,ESL,South Western Railway,E14001220,Eastleigh,-1.35008,50.96925
Eastrington,EGN,Northern Trains,E14001250,Goole and Pocklington,-0.78763,53.75516
Ebbsfleet International,EBD,HS1 Ltd,E14001191,Dartford,0.32092,51.44297
Ebbw Vale Parkway,EBV,TfW Rail,W07000084,Blaenau Gwent and Rhymney,-3.1961,51.75715
Ebbw Vale Town,EBB,TfW Rail,W07000084,Blaenau Gwent and Rhymney,-3.20258,51.77669
Eccles (Manchester),ECC,Northern Trains,E14001598,Worsley and Eccles,-2.33451,53.48536
Eccles Road,ECS,Greater Anglia,E14001365,Mid Norfolk,0.96992,52.47088
Eccleston Park,ECL,Northern Trains,E14001510,St Helens South and Whiston,-2.78004,53.43079
Edale,EDL,Northern Trains,E14001287,High Peak,-1.81663,53.36497
Eden Park,EDN,Southeastern,E14001083,Beckenham and Penge,-0.02636,51.39009
Edenbridge (Kent),EBR,Govia Thameslink Railway (Southern),E14001549,Tonbridge,0.06065,51.20843
Edenbridge Town,EBT,Govia Thameslink Railway (Southern),E14001549,Tonbridge,0.06717,51.20008
Edge Hill,EDG,Northern Trains,E14001340,Liverpool Wavertree,-2.94648,53.40262
Edinburgh,EDB,Network Rail,S14000078,Edinburgh East and Musselburgh,-3.18823,55.9524
Edinburgh Gateway,EGY,ScotRail,S14000082,Edinburgh West,-3.32025,55.94094
Edinburgh Park,EDP,ScotRail,S14000082,Edinburgh West,-3.30766,55.92755
Edmonton Green,EDR,London Overground,E14001221,Edmonton and Winchmore Hill,-0.06111,51.62493
Effingham Junction,EFF,South Western Railway,E14001258,Guildford,-0.41997,51.29149
Eggesford,EGG,Great Western Railway,E14001155,Central Devon,-3.87475,50.88774
Egham,EGH,South Western Railway,E14001456,Runnymede and Weybridge,-0.54651,51.42965
Egton,EGT,Northern Trains,E14001461,Scarborough and Whitby,-0.76146,54.43748
Elephant and Castle,EPH,Govia Thameslink Railway (Thameslink),E14001421,Peckham,-0.09873,51.49403
Elgin,ELG,ScotRail,S14000098,"Moray West, Nairn and Strathspey",-3.31125,57.64291
Ellesmere Port,ELP,Merseyrail,E14001222,Ellesmere Port and Bromborough,-2.89642,53.28219
Elmers End,ELE,Southeastern,E14001083,Beckenham and Penge,-0.04957,51.39849
Elmstead Woods,ESD,Southeastern,E14001223,Eltham and Chislehurst,0.04427,51.41712
Elmswell,ESW,Greater Anglia,E14001146,Bury St Edmunds and Stowmarket,0.91259,52.23804
Elsecar,ELR,Northern Trains,E14001075,Barnsley South,-1.42742,53.49866
Elsenham (Essex),ESM,Greater Anglia,E14001402,North West Essex,0.22807,51.92054
Elstree and Borehamwood,ELS,Govia Thameslink Railway (Thameslink),E14001284,Hertsmere,-0.28008,51.65307
Eltham,ELW,Southeastern,E14001223,Eltham and Chislehurst,0.05247,51.45564
Elton and Orston,ELO,East Midlands Railway,E14001375,Newark,-0.85551,52.95214
Ely,ELY,Greater Anglia,E14001224,Ely and East Cambridgeshire,0.26683,52.39123
Emerson Park,EMP,London Overground,E14001292,Hornchurch and Upminster,0.22011,51.56864
Emsworth,EMS,Govia Thameslink Railway (Southern),E14001275,Havant,-0.93843,50.85161
Energlyn and Churchill Park,ECP,TfW Rail,W07000088,Caerphilly,-3.2288,51.58322
Enfield Chase,ENC,Govia Thameslink Railway (Great Northern),E14001225,Enfield North,-0.0907,51.65325
Enfield Lock,ENL,Greater Anglia,E14001225,Enfield North,-0.02853,51.67092
Enfield Town,ENF,London Overground,E14001225,Enfield North,-0.07933,51.65202
Entwistle,ENT,Northern Trains,E14001450,Rossendale and Darwen,-2.41455,53.65598
Epsom,EPS,Govia Thameslink Railway (Southern),E14001227,Epsom and Ewell,-0.26878,51.33439
Epsom Downs,EPD,Govia Thameslink Railway (Southern),E14001442,Reigate,-0.23895,51.32369
Erdington,ERD,West Midlands Trains (West Midlands Railway),E14001093,Birmingham Erdington,-1.83951,52.52829
Eridge,ERI,Govia Thameslink Railway (Southern),E14001533,Sussex Weald,0.20143,51.08896
Erith,ERH,Southeastern,E14001229,Erith and Thamesmead,0.17505,51.48167
Esher,ESH,South Western Railway,E14001230,Esher and Walton,-0.35334,51.37989
Eskbank,EKB,ScotRail,S14000045,Midlothian,-3.08307,55.88181
Essex Road,EXR,Govia Thameslink Railway (Great Northern),E14001306,Islington South and Finsbury,-0.09628,51.5407
Etchingham,ETC,Southeastern,E14001088,Bexhill and Battle,0.44236,51.01054
Euston,EUS,Network Rail,E14001290,Holborn and St Pancras,-0.13392,51.52813
Euxton Balshaw Lane,EBA,Northern Trains,E14001491,South Ribble,-2.67202,53.66048
Evesham,EVE,Great Western Railway,E14001203,Droitwich and Evesham,-1.94731,52.0984
Ewell East,EWE,Govia Thameslink Railway (Southern),E14001227,Epsom and Ewell,-0.24153,51.3453
Ewell West,EWW,South Western Railway,E14001227,Epsom and Ewell,-0.25699,51.35004
Exeter Central,EXC,Great Western Railway,E14001231,Exeter,-3.53328,50.72649
Exeter St David's,EXD,Great Western Railway,E14001231,Exeter,-3.54329,50.72928
Exeter St Thomas,EXT,Great Western Railway,E14001231,Exeter,-3.53884,50.71715
Exhibition Centre (Glasgow),EXG,ScotRail,S14000085,Glasgow North,-4.28359,55.86156
Exmouth,EXM,Great Western Railway,E14001232,Exmouth and Exeter East,-3.41497,50.62164
Exton,EXN,Great Western Railway,E14001232,Exmouth and Exeter East,-3.4441,50.66831
Eynsford,EYN,Southeastern,E14001465,Sevenoaks,0.20439,51.36272
Fairbourne,FRB,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.04941,52.69605
Fairfield,FRF,Northern Trains,E14001070,Ashton-under-Lyne,-2.14578,53.4713
Fairlie,FRL,ScotRail,S14000048,North Ayrshire and Arran,-4.85327,55.75195
Fairwater,FRW,TfW Rail,W07000092,Cardiff West,-3.23384,51.49391
Falconwood,FCN,Southeastern,E14001414,Old Bexley and Sidcup,0.0793,51.45915
Falkirk Grahamston,FKG,ScotRail,S14000083,Falkirk,-3.78505,56.00262
Falkirk High,FKK,ScotRail,S14000083,Falkirk,-3.79224,55.99182
Falls Of Cruachan,FOC,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-5.11248,56.39389
Falmer,FMR,Govia Thameslink Railway (Southern),E14001129,Brighton Kemptown and Peacehaven,-0.08739,50.86213
Falmouth Docks,FAL,Great Western Railway,E14001554,Truro and Falmouth,-5.05603,50.15071
Falmouth Town,FMT,Great Western Railway,E14001554,Truro and Falmouth,-5.06494,50.14835
Fareham,FRM,South Western Railway,E14001233,Fareham and Waterlooville,-1.19204,50.85303
Farnborough (Main),FNB,South Western Railway,E14001063,Aldershot,-0.75573,51.2966
Farnborough North,FNN,Great Western Railway,E14001063,Aldershot,-0.74303,51.30204
Farncombe,FNC,South Western Railway,E14001249,Godalming and Ash,-0.60455,51.19715
Farnham,FNH,South Western Railway,E14001234,Farnham and Bordon,-0.79243,51.2119
Farningham Road,FNR,Southeastern,E14001465,Sevenoaks,0.23545,51.40166
Farnworth,FNW,Northern Trains,E14001111,Bolton South and Walkden,-2.38785,53.55001
Farringdon,ZFD,London Underground,E14001306,Islington South and Finsbury,-0.1052,51.52017
Fauldhouse,FLD,ScotRail,S14000095,Livingston,-3.71932,55.82248
Faversham,FAV,Southeastern,E14001235,Faversham and Mid Kent,0.89104,51.31171
Faygate,FGT,Govia Thameslink Railway (Southern),E14001294,Horsham,-0.26302,51.09589
Fazakerley,FAZ,Merseyrail,E14001339,Liverpool Walton,-2.93672,53.46909
Fearn,FRN,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-3.99394,57.77815
Featherstone,FEA,Northern Trains,E14001383,Normanton and Hemsworth,-1.35844,53.67907
Felixstowe,FLX,Greater Anglia,E14001530,Suffolk Coastal,1.35043,51.96707
Feltham,FEL,South Western Railway,E14001236,Feltham and Heston,-0.40984,51.4479
Fenchurch Street,FST,c2c,E14001172,Cities of London and Westminster,-0.0789,51.51164
Feniton,FNT,South Western Railway,E14001291,Honiton and Sidmouth,-3.28542,50.78668
Fenny Stratford,FEN,West Midlands Trains (London Northwestern Railway),E14001141,Buckingham and Bletchley,-0.716,52.00007
Fernhill,FER,TfW Rail,W07000106,Pontypridd,-3.39588,51.6865
Ferriby,FRY,Northern Trains,E14001250,Goole and Pocklington,-0.50783,53.71715
Ferryside,FYS,TfW Rail,W07000098,Llanelli,-4.36946,51.76837
Ffairfach,FFA,TfW Rail,W07000087,Caerfyrddin,-3.99286,51.87248
Filey,FIL,Northern Trains,E14001544,Thirsk and Malton,-0.29385,54.20986
Filton Abbey Wood,FIT,Great Western Railway,E14001237,Filton and Bradley Stoke,-2.56243,51.50494
Finchley Road and Frognal,FNY,London Overground,E14001265,Hampstead and Highgate,-0.18314,51.55026
Finsbury Park,FPK,Govia Thameslink Railway (Great Northern),E14001305,Islington North,-0.10628,51.5643
Finstock,FIN,Great Western Railway,E14001072,Banbury,-1.46934,51.85278
Fishbourne (Sussex),FSB,Govia Thameslink Railway (Southern),E14001166,Chichester,-0.81508,50.83905
Fishersgate,FSG,Govia Thameslink Railway (Southern),E14001218,East Worthing and Shoreham,-0.21942,50.83423
Fishguard and Goodwick,FGW,TfW Rail,W07000093,Ceredigion Preseli,-4.99484,52.00412
Fishguard Harbour,FGH,TfW Rail,W07000093,Ceredigion Preseli,-4.98564,52.01155
Fiskerton,FSK,East Midlands Railway,E14001375,Newark,-0.91219,53.06027
Fitzwilliam,FZW,Northern Trains,E14001383,Normanton and Hemsworth,-1.37427,53.6325
Five Ways,FWY,West Midlands Trains (West Midlands Railway),E14001092,Birmingham Edgbaston,-1.91295,52.4711
Fleet,FLE,South Western Railway,E14001392,North East Hampshire,-0.83081,51.29063
Flimby,FLM,Northern Trains,E14001583,Whitehaven and Workington,-3.52074,54.68969
Flint,FLN,TfW Rail,W07000082,Alyn and Deeside,-3.13299,53.24953
Flitwick,FLT,Govia Thameslink Railway (Thameslink),E14001359,Mid Bedfordshire,-0.49526,52.00364
Flixton,FLI,Northern Trains,E14001528,Stretford and Urmston,-2.38425,53.44381
Flowery Field,FLF,Northern Trains,E14001515,Stalybridge and Hyde,-2.08105,53.46186
Folkestone Central,FKC,Southeastern,E14001239,Folkestone and Hythe,1.16948,51.08288
Folkestone West,FKW,Southeastern,E14001239,Folkestone and Hythe,1.1539,51.08458
Ford,FOD,Govia Thameslink Railway (Southern),E14001108,Bognor Regis and Littlehampton,-0.57841,50.82939
Forest Gate,FOG,TfL Rail,E14001525,Stratford and Bow,0.02435,51.54943
Forest Hill,FOH,London Overground,E14001333,Lewisham West and East Dulwich,-0.05316,51.43928
Formby,FBY,Merseyrail,E14001463,Sefton Central,-3.07091,53.55348
Forres,FOR,ScotRail,S14000098,"Moray West, Nairn and Strathspey",-3.62595,57.6098
Forsinard,FRS,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-3.89688,58.3569
Fort Matilda,FTM,ScotRail,S14000093,Inverclyde and Renfrewshire West,-4.79527,55.95904
Fort William,FTW,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.10614,56.82045
Four Oaks,FOK,West Midlands Trains (West Midlands Railway),E14001535,Sutton Coldfield,-1.82803,52.57978
Foxfield,FOX,Northern Trains,E14001076,Barrow and Furness,-3.21606,54.25867
Foxton,FXN,Govia Thameslink Railway (Great Northern),E14001481,South Cambridgeshire,0.05631,52.11921
Frant,FRT,Southeastern,E14001533,Sussex Weald,0.29454,51.10403
Fratton,FTN,South Western Railway,E14001432,Portsmouth South,-1.07398,50.79634
Freshfield,FRE,Merseyrail,E14001463,Sefton Central,-3.07183,53.56606
Freshford,FFD,Great Western Railway,E14001241,Frome and East Somerset,-2.30101,51.34203
Frimley,FML,South Western Railway,E14001532,Surrey Heath,-0.74699,51.31186
Frinton-on-Sea,FRI,Greater Anglia,E14001174,Clacton,1.24317,51.83768
Frizinghall,FZH,Northern Trains,E14001472,Shipley,-1.769,53.82037
Frodsham,FRD,TfW Rail,E14001455,Runcorn and Helsby,-2.72357,53.29582
Frome,FRO,Great Western Railway,E14001241,Frome and East Somerset,-2.31,51.22727
Fulwell,FLW,South Western Railway,E14001556,Twickenham,-0.34947,51.43393
Furness Vale,FNV,Northern Trains,E14001287,High Peak,-1.98884,53.34875
Furze Platt,FZP,Great Western Railway,E14001348,Maidenhead,-0.72847,51.53302
Gainsborough Central,GNB,Northern Trains,E14001243,Gainsborough,-0.76969,53.39958
Gainsborough Lea Road,GBL,East Midlands Railway,E14001243,Gainsborough,-0.76858,53.38609
Galashiels,GAL,ScotRail,S14000108,"Berwickshire, Roxburgh and Selkirk",-2.8069,55.61835
Garelochhead,GCH,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-4.82572,56.07987
Garforth,GRF,Northern Trains,E14001320,Leeds East,-1.38231,53.79658
Gargrave,GGV,Northern Trains,E14001475,Skipton and Ripon,-2.10517,53.97842
Garrowhill,GAR,ScotRail,S14000084,Glasgow East,-4.12946,55.85524
Garscadden,GRS,ScotRail,S14000089,Glasgow West,-4.36501,55.8877
Garsdale,GSD,Northern Trains,E14001372,Morecambe and Lunesdale,-2.32635,54.32143
Garston (Hertfordshire),GSN,West Midlands Trains (London Northwestern Railway),E14001568,Watford,-0.38174,51.68661
Garswood,GSW,Northern Trains,E14001509,St Helens North,-2.67213,53.48852
Gartcosh,GRH,ScotRail,S14000070,Coatbridge and Bellshill,-4.0795,55.88567
Garth (Bridgend County),GMG,TfW Rail,W07000081,Aberafan Maesteg,-3.64145,51.59646
Garth (Powys),GTH,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.52991,52.13324
Garve,GVE,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.6884,57.61305
Gathurst,GST,Northern Trains,E14001585,Wigan,-2.69439,53.55941
Gatley,GTY,Northern Trains,E14001158,Cheadle,-2.23123,53.39291
Gatwick Airport,GTW,Govia Thameslink Railway (Gatwick Express),E14001184,Crawley,-0.16104,51.15649
Georgemas Junction,GGJ,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-3.45212,58.51363
Gerrards Cross,GER,Chiltern Railways,E14001162,Chesham and Amersham,-0.55528,51.58902
Gidea Park,GDP,TfL Rail,E14001448,Romford,0.20596,51.5819
Giffnock,GFN,ScotRail,S14000021,East Renfrewshire,-4.29302,55.804
Giggleswick,GIG,Northern Trains,E14001475,Skipton and Ripon,-2.30285,54.0618
Gilberdyke,GBD,Northern Trains,E14001250,Goole and Pocklington,-0.73224,53.74796
Gilfach Fargoed,GFF,TfW Rail,W07000084,Blaenau Gwent and Rhymney,-3.22657,51.68425
Gillingham (Dorset),GIL,South Western Railway,E14001388,North Dorset,-2.27262,51.03404
Gillingham (Kent),GLM,Southeastern,E14001246,Gillingham and Rainham,0.54985,51.38656
Gilshochill,GSC,ScotRail,S14000085,Glasgow North,-4.28269,55.89734
Gipsy Hill,GIP,Govia Thameslink Railway (Southern),E14001205,Dulwich and West Norwood,-0.08384,51.42445
Girvan,GIR,ScotRail,S14000107,"Ayr, Carrick and Cumnock",-4.84838,55.24632
Glaisdale,GLS,Northern Trains,E14001461,Scarborough and Whitby,-0.79379,54.43938
Glan Conwy,GCW,TfW Rail,W07000083,Bangor Aberconwy,-3.79773,53.26743
Glasgow Central,GLC,Network Rail,S14000085,Glasgow North,-4.25764,55.85976
Glasgow Queen Street,GLQ,ScotRail,S14000085,Glasgow North,-4.25146,55.86219
Glasshoughton,GLH,Northern Trains,E14001428,"Pontefract, Castleford and Knottingley",-1.34201,53.70904
Glazebrook,GLZ,Northern Trains,E14001564,Warrington North,-2.45966,53.42836
