Station name,Station code,Operator,PCON24CD,PCON24NM,Longitude,Latitude
Alexandra Palace,AAP,Govia Thameslink Railway (Great Northern),E14001503,Southgate and Wood Green,-0.12024,51.59792
Alexandra Parade,AXP,ScotRail,S14000086,Glasgow North East,-4.21065,55.86318
Alexandria,ALX,ScotRail,S14000106,West Dunbartonshire,-4.57749,55.98509
Alfreton,ALF,East Midlands Railway,E14001066,Amber Valley,-1.3697,53.10043
Allens West,ALW,Northern Trains,E14001519,Stockton West,-1.36112,54.52462
Alloa,ALO,ScotRail,S14000064,Alloa and Grangemouth,-3.79006,56.11779
Alness,ASS,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.24972,57.6944
Alnmouth,ALM,Northern Trains,E14001397,North Northumberland,-1.63664,55.39278
Alresford (Essex),ALR,Greater Anglia,E14001273,Harwich and North Essex,0.99744,51.854
Alsager,ASG,East Midlands Railway,E14001178,Congleton,-2.29906,53.09301
Althorne (Essex),ALN,Greater Anglia,E14001351,Maldon,0.75248,51.64787
Althorpe,ALP,Northern Trains,E14001199,Doncaster East and the Isle of Axholme,-0.73318,53.5855
Altnabreac,ABC,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-3.70628,58.38815
Alton,AON,South Western Railway,E14001214,East Hampshire,-0.96691,51.15197
Altrincham,ALT,Northern Trains,E14001065,Altrincham and Sale West,-2.34689,53.38772
Alvechurch,ALV,West Midlands Trains (West Midlands Railway),E14001138,Bromsgrove,-1.96766,52.34607
Ambergate,AMB,East Midlands Railway,E14001066,Amber Valley,-1.4807,53.06052
Amberley,AMY,Govia Thameslink Railway (Southern),E14001067,Arundel and South Downs,-0.54199,50.89668
Amersham,AMR,London Underground,E14001162,Chesham and Amersham,-0.6076,51.67421
Ammanford,AMF,TfW Rail,W07000087,Caerfyrddin,-3.99674,51.79598
Ancaster,ANC,East Midlands Railway,E14001253,Grantham and Bourne,-0.53562,52.98769
Anderston,AND,ScotRail,S14000085,Glasgow North,-4.27098,55.8599
Andover,ADV,South Western Railway,E14001403,North West Hampshire,-1.49223,51.21155
Anerley,ANZ,London Overground,E14001083,Beckenham and Penge,-0.06589,51.41215
Angel Road,AGR,Greater Anglia,E14001221,Edmonton and Winchmore Hill,-0.04879,51.6124
Angmering,ANG,Govia Thameslink Railway (Southern),E14001599,Worthing West,-0.48939,50.81657
Annan,ANN,ScotRail,S14000074,"Dumfriesshire, Clydesdale and Tweeddale",-3.26258,54.98384
Anniesland,ANL,ScotRail,S14000085,Glasgow North,-4.32196,55.88936
Ansdell and Fairhaven,AFV,Northern Trains,E14001242,Fylde,-2.99303,53.74147
Apperley Bridge,APY,Northern Trains,E14001118,Bradford East,-1.70583,53.84175
Appleby,APP,Northern Trains,E14001580,Westmorland and Lonsdale,-2.48669,54.58035
Appledore (Kent),APD,Govia Thameslink Railway (Southern),E14001570,Weald of Kent,0.81634,51.03323
Appleford,APF,Great Western Railway,E14001197,Didcot and Wantage,-1.24214,51.63964
Appley Bridge,APB,Northern Trains,E14001577,West Lancashire,-2.71925,53.57867
Apsley,APS,West Midlands Trains (London Northwestern Railway),E14001278,Hemel Hempstead,-0.46293,51.73252
Arbroath,ARB,ScotRail,S14000066,Arbroath and Broughty Ferry,-2.58893,56.55958
Ardgay,ARD,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.36209,57.88146
Ardlui,AUI,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-4.72166,56.30197
Ardrossan Harbour,ADS,ScotRail,S14000048,North Ayrshire and Arran,-4.82111,55.63988
Ardrossan South Beach,ASB,ScotRail,S14000048,North Ayrshire and Arran,-4.80121,55.64142
Ardrossan Town,ADN,ScotRail,S14000048,North Ayrshire and Arran,-4.81268,55.63971
Ardwick,ADK,Northern Trains,E14001353,Manchester Rusholme,-2.21388,53.47135
Argyle Street,AGS,ScotRail,S14000084,Glasgow East,-4.25069,55.85731
Arisaig,ARG,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.83908,56.91255
Arlesey,ARL,Govia Thameslink Railway (Great Northern),E14001289,Hitchin,-0.26632,52.02603
Armadale (West Lothian),ARM,ScotRail,S14000068,Bathgate and Linlithgow,-3.69541,55.88571
Armathwaite,AWT,Northern Trains,E14001424,Penrith and Solway,-2.77207,54.80947
Arnside,ARN,Northern Trains,E14001372,Morecambe and Lunesdale,-2.82824,54.20273
Arram,ARR,Northern Trains,E14001087,Beverley and Holderness,-0.42657,53.88434
Arrochar and Tarbet,ART,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-4.72277,56.20398
Arundel,ARU,Govia Thameslink Railway (Southern),E14001067,Arundel and South Downs,-0.54617,50.84821
Ascot (Berks),ACT,South Western Railway,E14001588,Windsor,-0.67583,51.40624
Ascott-Under-Wychwood,AUW,Great Western Railway,E14001591,Witney,-1.56405,51.86734
Ash,ASH,South Western Railway,E14001249,Godalming and Ash,-0.71281,51.2496
Ash Vale,AHV,South Western Railway,E14001249,Godalming and Ash,-0.72165,51.27225
Ashburys,ABY,Northern Trains,E14001353,Manchester Rusholme,-2.19444,53.47164
Ashchurch for Tewkesbury,ASC,Great Western Railway,E14001542,Tewkesbury,-2.10876,51.99891
Ashfield,ASF,ScotRail,S14000085,Glasgow North,-4.24922,55.88893
Ashford (Surrey),AFS,South Western Railway,E14001505,Spelthorne,-0.46807,51.43651
Ashford International,AFK,Southeastern,E14001069,Ashford,0.8762,51.1437
Ashley,ASY,Northern Trains,E14001539,Tatton,-2.34146,53.35573
