Time period,Station name,Scheduled stops,Recorded station stops,"Recorded station stops (percentage) [note 2]","Time to 3 (percentage) [note 3, 5]","Cancellations (percentage) [note 4, 5]"
Apr 2024 to Mar 2025 Period 11,Abbey Wood,14922,13933,100.0000,91.1720,6.6278
Apr 2024 to Mar 2025 Period 11,Aber,2721,1892,72.4627,85.9937,4.0426
Apr 2024 to Mar 2025 Period 11,Abercynon,3399,3253,100.0000,87.6422,4.2954
Apr 2024 to Mar 2025 Period 11,Aberdare,1707,1627,99.9386,92.3171,4.6280
Apr 2024 to Mar 2025 Period 11,Aberdeen,3170,3110,100.0000,82.2186,1.8927
Apr 2024 to Mar 2025 Period 11,Aberdour,1692,1655,100.0000,88.9426,2.1868
Apr 2024 to Mar 2025 Period 11,Aberdovey,375,321,86.7568,86.9159,1.3333
Apr 2024 to Mar 2025 Period 11,Abererch,375,62,16.8478,[u],1.8667
Apr 2024 to Mar 2025 Period 11,Abergavenny,1488,1436,100.0000,61.9081,3.4946
Apr 2024 to Mar 2025 Period 11,Abergele and Pensarn,1092,1063,99.9060,77.3283,2.5641
Apr 2024 to Mar 2025 Period 11,Aberystwyth,776,745,100.0000,84.8322,3.9948
Apr 2024 to Mar 2025 Period 11,Accrington,2748,2555,99.9218,80.8219,6.9505
Apr 2024 to Mar 2025 Period 11,Achanalt,184,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Achnasheen,184,182,98.9130,82.9670,0.0000
Apr 2024 to Mar 2025 Period 11,Achnashellach,184,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Acklington,69,68,100.0000,79.4118,1.4493
Apr 2024 to Mar 2025 Period 11,Acle,907,905,100.0000,99.1160,0.2205
Apr 2024 to Mar 2025 Period 11,Acocks Green,1683,1610,99.9379,92.2360,4.2781
Apr 2024 to Mar 2025 Period 11,Acton Bridge (Cheshire),920,857,99.6512,63.0105,6.5217
Apr 2024 to Mar 2025 Period 11,Acton Central,4039,3802,99.8949,83.7454,5.7688
Apr 2024 to Mar 2025 Period 11,Acton Main Line,3809,3477,100.0000,82.7150,8.7162
Apr 2024 to Mar 2025 Period 11,Adderley Park,1128,1111,100.0000,84.7885,1.5071
Apr 2024 to Mar 2025 Period 11,Addiewell,876,861,99.8840,88.1533,1.5982
Apr 2024 to Mar 2025 Period 11,Addlestone,1882,1829,100.0000,87.8075,2.8162
Apr 2024 to Mar 2025 Period 11,Adisham,1210,0,0.0000,[u],1.7355
Apr 2024 to Mar 2025 Period 11,Adlington (Cheshire),923,893,100.0000,80.9630,3.2503
Apr 2024 to Mar 2025 Period 11,Adlington (Lancashire),1224,1145,100.0000,58.6026,6.4542
Apr 2024 to Mar 2025 Period 11,Adwick,1816,1758,100.0000,86.8032,3.1938
Apr 2024 to Mar 2025 Period 11,Aigburth,3347,3146,100.0000,90.9727,6.0054
Apr 2024 to Mar 2025 Period 11,Ainsdale,3702,3503,98.7595,91.3788,4.1869
Apr 2024 to Mar 2025 Period 11,Aintree,3252,3093,99.9354,88.4255,4.8278
Apr 2024 to Mar 2025 Period 11,Airbles,1650,1562,99.2376,95.9027,4.6061
Apr 2024 to Mar 2025 Period 11,Airdrie,3563,3486,100.0000,84.6816,2.1611
Apr 2024 to Mar 2025 Period 11,Albany Park,4378,4305,99.9768,83.7631,1.6446
Apr 2024 to Mar 2025 Period 11,Albrighton,994,915,94.2327,84.3716,2.3139
Apr 2024 to Mar 2025 Period 11,Alderley Edge,2391,2337,100.0000,81.3008,2.2585
Apr 2024 to Mar 2025 Period 11,Aldermaston,1107,1080,99.6310,83.7037,2.0777
Apr 2024 to Mar 2025 Period 11,Aldershot,5278,5191,100.0000,90.9651,1.6484
Apr 2024 to Mar 2025 Period 11,Aldrington,1290,1266,99.8423,87.8357,1.7054
Apr 2024 to Mar 2025 Period 11,Alexandra Palace,6629,6493,99.9846,83.4591,2.0365
Apr 2024 to Mar 2025 Period 11,Alexandra Parade,1163,1137,99.3881,93.4916,1.6337
Apr 2024 to Mar 2025 Period 11,Alexandria,1526,0,0.0000,[u],2.4902
Apr 2024 to Mar 2025 Period 11,Alfreton,1625,1554,100.0000,71.8147,4.3692
Apr 2024 to Mar 2025 Period 11,Allens West,1708,1627,99.5107,89.7357,4.2740
Apr 2024 to Mar 2025 Period 11,Alloa,1515,1495,100.0000,97.0569,1.3201
Apr 2024 to Mar 2025 Period 11,Alness,370,0,0.0000,[u],4.5946
Apr 2024 to Mar 2025 Period 11,Alnmouth,1218,1174,100.0000,71.8058,3.6125
Apr 2024 to Mar 2025 Period 11,Alresford (Essex),1128,1125,100.0000,97.4222,0.2660
Apr 2024 to Mar 2025 Period 11,Alsager,1760,1655,99.9396,74.3202,5.9091
Apr 2024 to Mar 2025 Period 11,Althorne (Essex),1257,0,0.0000,[u],1.2729
Apr 2024 to Mar 2025 Period 11,Althorpe,353,346,100.0000,86.7052,1.9830
Apr 2024 to Mar 2025 Period 11,Altnabreac,,,[z],[z],[z]
Apr 2024 to Mar 2025 Period 11,Alton,1798,1782,100.0000,91.5264,0.8899
Apr 2024 to Mar 2025 Period 11,Altrincham,1000,964,100.0000,73.1328,3.6000
Apr 2024 to Mar 2025 Period 11,Alvechurch,1899,1848,99.8379,87.3377,2.5276
Apr 2024 to Mar 2025 Period 11,Ambergate,963,783,83.6538,79.9489,2.8037
Apr 2024 to Mar 2025 Period 11,Amberley,1763,1713,99.9417,81.2026,2.7794
Apr 2024 to Mar 2025 Period 11,Amersham,1713,1691,100.0000,88.1727,1.2843
Apr 2024 to Mar 2025 Period 11,Ammanford,208,129,64.8241,56.5891,4.3269
Apr 2024 to Mar 2025 Period 11,Ancaster,192,185,99.4624,69.1892,3.1250
Apr 2024 to Mar 2025 Period 11,Anderston,4618,4447,99.7085,87.4522,3.4214
Apr 2024 to Mar 2025 Period 11,Andover,1799,1767,100.0000,80.5886,1.7788
Apr 2024 to Mar 2025 Period 11,Anerley,3728,3534,99.7741,92.1053,4.9893
Apr 2024 to Mar 2025 Period 11,Angmering,5034,4884,99.9795,80.0983,2.9599
Apr 2024 to Mar 2025 Period 11,Annan,744,566,78.3934,89.0459,2.9570
Apr 2024 to Mar 2025 Period 11,Anniesland,6361,6175,99.8060,90.3320,2.7354
Apr 2024 to Mar 2025 Period 11,Ansdell and Fairhaven,899,698,82.1176,84.6705,5.4505
Apr 2024 to Mar 2025 Period 11,Apperley Bridge,1726,1643,100.0000,85.8186,4.8088
Apr 2024 to Mar 2025 Period 11,Appleby,400,387,100.0000,83.7209,3.2500
Apr 2024 to Mar 2025 Period 11,Appledore (Kent),910,864,100.0000,92.5926,5.0549
Apr 2024 to Mar 2025 Period 11,Appleford,496,492,100.0000,83.1301,0.8065
Apr 2024 to Mar 2025 Period 11,Appley Bridge,1592,637,42.2414,[u],5.2764
Apr 2024 to Mar 2025 Period 11,Apsley,2146,2104,100.0000,84.9810,1.9571
Apr 2024 to Mar 2025 Period 11,Arbroath,1852,1806,99.8894,73.3112,2.3758
Apr 2024 to Mar 2025 Period 11,Ardgay,272,155,60.0775,74.1935,5.1471
Apr 2024 to Mar 2025 Period 11,Ardlui,304,53,17.7852,[u],1.9737
Apr 2024 to Mar 2025 Period 11,Ardrossan Harbour,710,703,100.0000,85.2063,0.9859
Apr 2024 to Mar 2025 Period 11,Ardrossan South Beach,1628,1616,100.0000,88.0569,0.7371
Apr 2024 to Mar 2025 Period 11,Ardrossan Town,713,705,99.8584,83.9716,0.9818
Apr 2024 to Mar 2025 Period 11,Ardwick,44,36,90.0000,[u],[u]
Apr 2024 to Mar 2025 Period 11,Argyle Street,4618,4424,98.8162,87.6582,3.0533
Apr 2024 to Mar 2025 Period 11,Arisaig,199,0,0.0000,[u],2.0101
Apr 2024 to Mar 2025 Period 11,Arlesey,1818,1731,99.8846,80.1271,4.6755
Apr 2024 to Mar 2025 Period 11,Armadale (West Lothian),1757,1724,99.9420,88.9791,1.8213
Apr 2024 to Mar 2025 Period 11,Armathwaite,374,300,82.6446,85.0000,2.9412
Apr 2024 to Mar 2025 Period 11,Arnside,1013,963,100.0000,71.2357,4.9358
Apr 2024 to Mar 2025 Period 11,Arram,242,192,88.8889,85.4167,10.7438
Apr 2024 to Mar 2025 Period 11,Arrochar and Tarbet,304,5,1.6779,[u],1.9737
Apr 2024 to Mar 2025 Period 11,Arundel,1789,1731,99.9423,81.8024,3.1861
Apr 2024 to Mar 2025 Period 11,Ascot (Berks),4050,3952,100.0000,86.8927,2.4198
Apr 2024 to Mar 2025 Period 11,Ascott-Under-Wychwood,40,36,100.0000,[u],[u]
Apr 2024 to Mar 2025 Period 11,Ash,2834,2771,100.0000,84.9152,2.2230
Apr 2024 to Mar 2025 Period 11,Ash Vale,3574,3496,100.0000,89.2735,2.1824
Apr 2024 to Mar 2025 Period 11,Ashburys,3227,3145,100.0000,87.2496,2.5411
