PCON24CD,Aldi,Asda,Co-op,Lidl,Morrisons,Other,Sainsbury's,Tesco,Spar,M&S,Waitrose,All
E14001063,2,1,1,3,2,8,1,1,0,0,0,19
E14001064,1,0,6,0,1,1,0,1,1,0,0,11
E14001065,1,2,1,1,0,3,1,1,0,1,1,12
E14001066,2,1,6,3,0,3,1,2,0,0,0,18
E14001067,0,0,3,0,0,2,1,1,0,0,1,8
E14001068,3,1,4,1,1,2,0,0,0,0,0,12
E14001069,2,1,0,2,0,3,1,2,0,1,1,13
E14001070,1,2,0,1,1,3,1,1,0,0,0,10
E14001071,2,1,1,2,1,2,2,2,0,1,1,15
E14001072,2,0,6,1,1,9,2,1,0,1,1,24
E14001073,1,2,1,3,0,6,0,1,0,0,0,14
E14001074,4,3,4,2,1,5,0,0,0,1,0,20
E14001075,3,3,4,1,0,6,0,2,0,0,0,19
E14001076,3,1,8,0,1,2,0,3,1,1,0,20
E14001077,1,2,1,3,0,3,0,1,0,1,1,12
E14001078,2,1,2,3,1,7,2,1,0,1,1,21
E14001079,3,5,1,1,2,2,1,1,0,0,0,16
E14001080,0,0,5,1,2,4,2,0,1,1,1,17
E14001081,1,1,2,1,0,10,1,0,0,2,3,21
E14001082,0,0,3,1,0,0,3,1,0,1,1,10
E14001083,1,0,2,1,0,3,4,1,0,2,1,15
E14001084,3,0,3,3,1,9,2,2,0,0,1,24
E14001085,0,0,3,0,0,9,0,1,0,0,0,13
E14001086,1,1,1,0,0,10,1,0,0,0,0,13
E14001087,2,1,2,1,2,3,1,2,0,1,0,15
E14001088,1,0,1,1,0,2,1,1,1,0,0,8
E14001089,1,2,1,1,0,3,2,0,0,0,0,10
E14001090,1,0,5,1,0,4,2,2,0,1,0,16
E14001091,3,2,2,2,1,3,1,2,0,0,0,16
E14001092,1,1,4,1,1,3,0,1,1,1,1,15
E14001093,2,0,3,2,0,7,1,0,1,0,0,16
E14001094,2,1,4,1,0,24,1,0,0,1,1,35
E14001095,3,1,2,1,1,7,0,1,1,0,0,17
E14001096,1,1,2,3,1,31,0,1,1,1,0,42
E14001097,2,0,1,0,1,10,2,0,0,1,0,17
E14001098,0,2,1,1,0,11,0,1,0,0,0,16
E14001099,3,0,1,2,1,12,2,0,1,1,0,23
E14001100,2,1,2,2,2,10,0,2,0,1,0,22
E14001101,2,1,3,3,2,9,1,1,0,1,0,23
