Area Code,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024
E14000530,88.262,86.406,89.117,88.114,89.629,86.909,80.695,85.391,87.035,86.815,89.139,90.281,90.898,91.696,93.198,93.764,94.603,94.651
E14000531,87.097,87.633,88.591,89.971,89.733,88.671,87.392,88.799,89.744,92.335,91.523,88.110,89.756,90.521,90.020,92.316,91.233,91.419
E14000532,88.650,89.948,92.177,90.453,89.562,89.207,87.703,90.943,90.625,92.332,91.709,85.931,88.693,90.486,92.352,91.654,92.753,91.744
E14000533,80.225,82.978,84.453,83.836,84.242,80.732,76.391,77.352,77.069,76.842,79.996,75.353,78.728,78.549,80.939,80.989,80.214,79.416
E14000534,78.184,75.353,82.078,79.665,80.597,79.721,75.906,77.420,77.642,79.646,79.380,78.710,74.787,81.283,83.588,81.449,83.105,83.191
E14000535,81.431,82.655,84.066,83.369,83.890,81.415,80.295,82.038,82.019,82.198,81.217,78.501,81.953,82.056,82.976,81.752,80.671,80.035
E14000536,91.302,91.009,92.219,90.567,91.284,91.135,89.916,92.432,93.540,93.657,91.629,89.581,93.392,92.983,92.519,92.589,92.228,93.668
E14000537,83.443,83.649,84.567,85.697,84.155,82.182,81.429,84.315,83.577,83.180,84.068,82.516,81.113,83.680,85.242,85.059,84.734,84.091
E14000538,86.240,83.810,86.405,87.175,86.200,85.189,83.486,85.058,85.139,84.911,85.013,83.572,83.136,83.492,85.515,84.734,85.537,84.272
E14000539,91.412,90.588,91.170,90.307,89.765,89.194,88.091,89.283,90.736,92.643,92.063,93.549,92.594,93.009,92.292,91.845,91.933,91.534
E14000540,90.160,88.925,90.995,91.365,92.809,91.726,90.236,91.422,91.243,90.512,91.029,91.732,91.886,91.298,92.890,91.952,92.296,92.803
E14000541,80.211,79.904,82.521,77.195,77.319,75.005,74.205,75.664,75.277,78.176,78.448,76.527,82.366,82.923,84.776,89.166,87.375,87.719
E14000542,81.328,81.695,82.343,84.282,85.335,86.053,84.770,87.291,90.465,90.674,89.981,87.026,90.440,87.013,86.670,89.951,92.100,91.674
E14000543,91.648,89.783,90.046,90.167,89.053,86.666,83.497,84.264,86.579,89.572,89.755,89.242,86.070,87.815,89.357,91.776,89.262,88.413
E14000544,81.452,87.695,89.563,90.438,88.826,88.494,89.292,93.604,92.575,91.872,92.181,90.818,87.800,91.065,91.340,91.104,90.537,90.890
E14000545,85.853,82.876,86.118,83.257,82.069,80.532,81.834,83.012,83.323,84.555,82.343,84.797,83.898,86.468,86.772,87.760,86.708,85.259
E14000546,81.600,80.568,83.952,84.161,82.015,81.347,79.676,81.287,82.387,83.288,79.867,77.592,78.976,79.811,82.079,82.800,83.691,87.290
E14000547,77.462,76.507,77.126,75.054,73.945,71.975,66.629,68.231,69.541,72.344,75.309,72.804,73.624,74.117,74.312,73.117,71.190,71.308
E14000548,87.626,86.482,87.674,87.967,88.455,87.853,86.015,88.221,87.843,87.889,86.911,83.546,85.464,85.596,85.573,87.736,85.961,90.475
E14000549,87.454,86.788,89.541,87.514,87.368,87.197,86.980,86.165,87.516,88.036,86.508,86.763,86.097,87.442,89.499,88.403,91.272,91.838
E14000550,89.053,88.571,90.183,91.478,89.778,90.687,89.412,88.891,88.449,90.368,89.027,87.056,88.557,85.914,88.450,87.251,87.800,87.708
E14000551,79.684,79.062,82.779,82.869,83.614,82.240,82.497,82.564,82.804,84.665,84.290,79.032,82.549,84.969,86.571,84.464,84.587,83.315
E14000552,89.369,87.808,88.655,88.812,88.149,86.287,85.884,86.493,86.475,85.888,84.324,84.243,84.417,85.290,87.547,89.823,89.436,90.322
E14000553,84.300,84.122,85.678,88.139,85.675,83.292,82.321,84.328,88.163,90.153,90.410,90.906,89.874,89.591,89.962,88.511,87.847,85.310
E14000554,94.317,93.868,94.248,94.838,94.000,92.226,90.103,91.942,92.945,94.521,94.716,94.261,94.389,94.196,94.361,94.666,94.412,93.712
E14000555,92.926,93.147,93.453,93.133,94.489,94.427,93.674,93.985,93.765,93.255,92.981,93.191,93.547,93.138,93.752,93.620,93.896,93.551
E14000556,81.717,80.698,82.482,83.570,81.411,80.584,77.469,77.862,79.242,85.105,85.751,86.964,88.776,89.556,90.326,92.669,91.981,91.822
E14000557,84.094,86.037,87.997,87.507,87.553,86.679,83.597,87.288,88.517,89.501,88.221,87.521,87.591,87.512,88.802,88.035,87.310,87.286
E14000558,81.839,86.262,90.148,91.383,91.775,90.060,88.091,87.050,85.369,87.076,84.784,82.557,88.232,88.460,88.471,89.894,90.998,91.518
E14000559,90.054,88.057,90.001,89.934,88.765,86.981,86.143,88.184,88.555,89.660,88.281,88.801,91.818,90.442,90.793,89.999,90.073,88.661
E14000560,85.761,85.387,85.895,85.996,83.457,85.798,86.521,88.914,87.834,89.171,88.742,90.100,89.429,88.462,90.200,91.810,87.060,88.561
E14000561,93.585,92.939,93.732,93.050,92.320,91.253,89.153,90.584,90.830,90.436,88.950,90.785,91.103,91.258,91.531,91.799,90.907,90.545
E14000562,92.531,91.947,93.068,93.073,91.728,90.229,90.569,91.096,90.541,90.095,90.519,91.386,91.786,92.197,92.546,93.018,94.310,95.170
E14000563,96.723,96.603,96.234,96.824,96.687,96.271,95.715,96.113,96.467,96.139,95.563,95.422,95.844,96.108,95.979,96.045,96.020,96.217
E14000564,96.152,95.662,95.673,96.364,96.433,95.938,95.106,95.308,94.816,95.662,95.913,96.106,96.560,96.689,96.340,96.587,96.996,97.374
E14000565,91.420,89.581,91.535,90.961,89.838,88.202,86.219,87.697,88.840,88.631,88.766,88.758,89.970,88.969,90.051,88.718,88.195,87.237
E14000566,92.717,92.939,94.520,94.424,93.296,90.630,90.966,91.905,91.644,92.322,93.466,95.108,94.439,95.203,94.552,95.952,95.310,95.271
E14000567,89.684,88.663,88.290,88.926,87.174,86.061,84.905,86.775,87.807,87.415,86.438,87.251,86.442,86.436,87.051,87.510,89.355,89.310
E14000568,88.897,88.222,89.124,87.743,88.392,87.398,87.876,87.383,89.205,89.010,90.856,88.717,89.468,88.850,90.328,89.783,90.187,89.876
E14000569,87.060,86.847,88.185,87.912,87.312,85.907,84.562,83.004,84.325,85.008,84.280,82.221,80.198,85.892,86.575,87.078,85.418,85.120
E14000570,87.568,89.042,91.257,90.334,89.973,90.839,89.619,89.603,89.748,90.060,89.773,90.365,90.142,88.960,90.824,89.711,90.737,89.485
E14000571,91.063,90.387,90.853,90.142,89.561,87.436,87.233,88.202,88.556,88.609,88.899,87.205,85.957,88.549,89.896,89.847,92.514,91.765
E14000572,84.039,83.320,86.924,87.329,85.687,84.338,84.014,85.249,85.704,87.243,84.438,84.602,83.575,86.768,86.954,88.481,89.394,88.402
E14000573,83.745,84.188,85.534,84.270,83.810,82.781,78.447,80.283,82.847,83.126,81.579,81.919,80.239,85.313,85.588,84.942,85.973,85.989
E14000574,82.154,84.031,85.715,86.644,85.768,82.828,81.001,84.882,83.924,86.182,84.902,85.438,87.138,86.583,87.506,87.320,86.422,85.654
E14000575,84.323,82.888,86.139,87.006,86.024,83.950,83.211,83.856,84.162,85.540,86.489,86.081,86.677,86.531,86.955,87.975,86.933,93.353
