Area Code,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024
E14000530,49.040,52.449,60.099,55.337,51.984,51.574,50.365,52.155,50.333,49.617,50.436,46.685,46.092,53.132,56.784,56.095,53.971,54.762
E14000531,41.021,44.902,53.149,51.562,49.291,47.925,50.312,46.945,49.043,48.480,50.226,43.293,43.384,49.600,52.240,50.973,49.974,49.490
E14000532,48.310,55.304,62.333,59.905,54.582,54.207,52.569,53.071,51.477,50.928,50.093,39.802,46.937,50.858,53.907,52.521,55.718,59.038
E14000533,44.416,51.386,57.329,55.486,54.856,53.369,48.874,47.710,48.044,48.456,51.291,39.835,45.272,47.572,49.011,48.035,46.088,46.531
E14000534,38.147,40.524,50.373,44.481,42.309,42.360,40.748,41.759,40.270,39.143,41.894,37.590,35.094,40.966,44.130,43.619,41.755,41.881
E14000535,45.713,47.738,53.022,50.490,48.734,48.346,46.257,46.353,45.515,45.540,46.941,40.457,41.579,45.014,48.258,47.458,45.693,45.813
E14000536,52.816,53.741,57.858,55.092,53.056,53.036,52.981,52.900,53.492,53.721,51.425,46.571,48.289,51.372,53.801,52.333,50.640,50.994
E14000537,43.864,46.309,50.456,49.825,46.328,47.354,45.263,46.744,46.999,43.959,45.302,42.786,43.426,45.722,48.285,47.860,46.049,45.497
E14000538,46.313,51.465,59.568,56.798,56.167,55.445,55.987,55.040,55.424,53.795,54.813,52.742,44.171,52.165,56.590,57.075,55.294,55.959
E14000539,53.401,55.511,62.214,59.082,58.220,57.007,55.505,53.023,53.546,53.975,54.467,50.632,49.670,51.618,53.680,51.746,50.919,50.939
E14000540,46.112,48.669,51.950,50.681,49.803,49.891,50.096,54.111,54.685,54.602,55.803,55.059,52.818,56.322,59.010,58.670,58.509,57.814
E14000541,39.836,42.293,47.604,44.482,43.776,43.868,47.643,46.454,46.172,46.299,46.222,44.874,43.320,45.692,47.733,49.180,47.088,48.186
E14000542,42.013,46.404,51.213,50.192,51.070,52.032,52.645,54.295,55.281,54.002,53.427,45.384,51.474,51.710,52.221,50.372,51.199,50.980
E14000543,44.804,46.514,54.879,49.947,48.331,47.841,48.427,48.230,47.199,47.652,47.755,43.811,37.888,45.909,50.290,50.901,48.107,47.664
E14000544,48.154,57.599,62.977,59.433,58.824,58.455,60.363,64.033,64.937,64.026,64.006,59.169,54.947,64.253,65.620,62.010,60.672,61.262
E14000545,47.829,50.693,59.619,55.392,52.703,49.753,51.148,49.261,49.406,49.836,51.150,51.805,49.597,52.869,56.214,56.692,54.816,53.673
