Area Code,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024
E14000658,98.273,98.419,99.154,99.166,99.190,98.938,99.181,99.126,96.095,96.461,97.221,98.098,98.953
E14000659,95.448,92.423,95.498,95.514,94.580,95.547,95.407,93.695,93.126,91.543,92.793,95.409,94.694
E14000660,68.000,69.179,69.348,69.323,68.703,69.913,66.917,68.406,67.891,66.047,68.330,68.516,69.092
E14000661,96.136,96.877,97.681,97.864,96.914,97.027,98.216,98.283,97.287,96.144,98.033,95.007,97.060
E14000662,97.603,97.336,97.906,98.078,98.298,98.204,97.867,98.303,96.719,92.933,96.249,97.607,97.360
E14000663,95.052,95.586,95.397,94.892,95.239,94.985,95.293,95.141,92.261,92.644,94.399,94.429,94.544
E14000664,54.894,55.766,57.474,55.993,55.680,56.364,55.695,57.011,54.298,53.407,55.334,57.133,57.481
E14000665,71.383,71.570,72.601,71.792,71.627,71.897,71.677,72.310,68.187,66.044,70.314,71.563,71.216
E14000666,98.199,98.523,98.673,98.781,98.485,98.243,98.685,98.625,95.047,96.900,97.766,98.544,98.065
E14000667,91.635,93.124,92.458,93.000,93.366,93.047,92.481,93.336,92.427,90.920,91.192,92.353,92.630
E14000668,97.651,96.803,97.505,97.949,97.970,97.822,97.606,97.749,95.727,93.658,95.562,96.806,97.898
E14000669,96.484,98.022,96.975,97.923,97.836,97.533,97.488,97.180,95.845,94.154,95.793,97.281,96.927
E14000670,87.139,88.080,88.051,88.536,87.072,87.771,88.688,88.475,86.995,83.130,88.467,86.539,88.932
E14000671,96.195,96.353,96.704,97.382,97.594,97.327,97.674,97.559,94.029,93.352,96.433,96.495,97.718
E14000672,93.818,95.794,96.446,96.034,96.845,96.117,96.244,96.777,95.497,90.387,96.205,94.989,96.063
E14000673,96.335,98.190,97.109,98.435,97.927,98.377,98.297,96.537,97.600,96.193,97.943,96.765,98.308
E14000674,98.867,98.999,99.279,99.235,98.764,98.999,98.681,99.235,97.610,96.110,98.581,98.882,98.394
E14000675,98.493,98.176,99.000,98.853,98.930,99.016,99.041,98.874,95.325,96.845,97.586,98.346,98.486
E14000676,98.070,98.044,98.552,99.056,98.823,98.570,98.498,98.887,96.599,96.194,98.326,97.981,98.335
E14000677,98.752,98.769,99.196,99.021,98.917,98.611,99.094,99.077,98.425,96.808,97.932,98.304,98.122
E14000678,93.213,91.408,93.447,94.311,94.145,93.846,94.034,93.882,89.322,87.724,92.839,93.809,93.566
E14000679,98.175,98.520,98.976,98.843,98.926,98.794,98.734,98.608,97.686,96.574,97.838,97.904,98.855
E14000680,91.501,92.465,92.468,92.847,92.878,92.592,92.695,92.189,88.188,84.900,91.806,92.112,93.130
E14000681,95.251,95.969,96.423,96.275,95.981,96.255,95.956,96.953,95.159,89.968,95.159,95.881,96.092
E14000682,97.398,97.822,96.168,98.639,98.602,98.264,98.366,97.759,95.011,92.417,96.677,97.756,98.111
E14000683,78.473,80.611,82.381,82.630,83.247,82.925,83.743,83.000,78.613,79.791,81.720,83.247,82.865
E14000684,97.793,97.848,97.784,98.286,98.278,98.037,98.209,98.267,95.314,96.438,93.581,97.070,98.099
E14000685,91.420,95.537,96.675,98.174,97.780,95.881,98.408,98.097,93.817,89.337,96.561,92.049,97.323
E14000686,81.295,81.018,82.103,81.621,81.642,80.328,81.710,81.245,78.817,78.033,79.667,80.841,81.370
E14000687,95.972,96.221,96.639,97.682,97.620,97.357,97.249,97.697,96.407,93.717,94.519,96.700,97.594
E14000688,95.084,95.612,93.961,96.166,95.602,96.090,96.596,96.561,95.115,92.573,94.264,95.465,95.599
E14000689,86.392,86.245,86.701,86.006,87.246,86.348,85.959,87.164,83.417,82.178,87.060,87.075,87.001
E14000690,94.833,96.666,95.925,96.920,96.886,96.758,96.015,96.491,96.194,91.072,95.132,96.949,94.779
E14000691,93.804,95.638,95.092,95.425,95.279,96.258,95.136,96.400,91.458,88.407,91.790,92.601,95.332
E14000692,96.689,94.844,96.497,96.299,96.709,95.308,96.547,96.779,95.750,93.901,95.710,97.098,94.760
E14000693,97.041,98.928,98.585,99.266,99.133,99.224,98.620,99.368,97.789,95.453,98.199,96.784,98.720
E14000694,97.380,95.388,97.359,97.968,97.972,97.993,98.013,97.761,93.675,93.261,96.757,96.545,97.912
E14000695,97.842,98.196,98.394,98.421,98.503,98.416,98.250,98.455,93.749,94.458,96.807,98.144,98.609
E14000696,97.385,96.577,96.331,98.160,98.194,97.832,98.118,98.261,96.743,95.566,96.664,97.476,98.077
E14000697,97.806,97.039,97.992,98.716,98.659,98.550,98.380,98.267,93.868,95.266,96.639,97.811,98.000
E14000698,97.493,97.697,97.836,95.582,96.920,97.780,97.857,98.021,92.956,94.162,96.483,97.438,98.003
E14000699,98.476,98.465,98.822,99.020,98.926,98.925,98.845,98.903,92.637,91.741,97.971,97.963,98.652
E14000700,72.641,74.271,74.038,72.940,76.016,75.217,75.932,74.038,73.297,72.106,76.500,75.495,76.231
E14000701,97.729,98.773,98.643,98.913,98.427,98.719,98.508,98.851,97.377,95.909,97.148,97.642,98.722
E14000702,95.815,97.698,97.896,98.058,98.128,97.895,97.922,97.858,95.282,90.662,95.965,95.553,97.722
E14000703,97.140,96.771,96.910,97.163,97.221,97.760,98.111,98.338,95.673,95.212,97.287,96.371,98.189
E14000704,87.285,87.910,86.549,89.607,89.553,88.553,88.740,89.078,86.756,84.853,86.176,88.320,88.146
E14000705,67.423,68.397,67.880,67.819,69.620,69.188,69.896,70.489,68.846,67.064,67.725,70.428,70.474
E14000706,98.119,98.415,98.700,98.901,98.807,98.786,98.979,98.965,94.966,94.377,97.626,98.763,98.892
E14000707,62.070,63.432,64.189,63.164,62.751,64.208,64.168,62.351,63.531,63.406,65.426,63.412,67.629
E14000708,97.010,97.628,97.632,97.618,97.231,97.369,97.192,97.191,95.228,93.032,96.034,96.335,96.440
E14000709,96.916,97.451,97.317,97.740,97.804,97.805,97.938,98.247,95.853,94.764,96.938,97.782,97.112
E14000710,95.685,96.217,96.613,96.574,96.323,96.812,96.468,96.935,93.444,91.751,95.401,95.802,95.419
E14000711,92.773,92.010,93.217,94.019,93.344,93.771,93.100,93.483,91.666,91.637,92.326,90.596,92.530
E14000712,96.236,97.923,98.462,98.931,98.898,99.223,99.045,99.068,97.151,95.229,97.531,99.173,96.080
E14000713,98.884,99.024,98.562,99.081,98.969,98.971,98.737,99.123,95.022,96.668,98.050,98.476,98.768
E14000714,70.196,72.197,71.128,72.373,69.314,72.512,71.237,70.709,67.548,68.415,69.090,71.207,70.528
E14000715,91.760,88.978,92.413,91.651,92.993,92.285,91.328,92.459,88.961,87.904,91.616,90.913,91.952
E14000716,95.607,94.631,95.812,94.764,96.418,96.344,96.501,97.020,95.831,91.542,95.828,95.467,95.694
E14000717,93.555,93.867,93.921,93.916,93.728,94.505,94.274,94.328,90.412,90.581,92.154,93.753,93.967
E14000718,96.316,95.908,97.198,97.886,97.383,97.759,97.837,97.656,97.062,94.774,94.315,96.710,96.872
E14000719,95.914,95.199,95.593,95.906,96.397,95.983,95.151,96.234,92.184,88.337,95.199,95.868,95.253
E14000720,97.117,97.229,96.903,98.451,98.531,98.250,98.719,98.868,96.780,96.304,98.154,96.699,97.875
E14000721,95.383,97.065,98.292,98.136,98.447,98.607,98.532,97.987,96.779,97.875,97.328,97.886,96.054
E14000722,95.837,97.090,97.025,96.863,97.327,96.965,97.497,97.390,95.841,92.845,96.905,96.333,96.673
E14000723,98.682,99.098,98.769,99.204,99.043,99.279,99.148,99.249,98.435,95.736,98.552,98.725,98.945
E14000724,86.272,87.264,87.264,86.712,86.130,86.578,86.780,86.966,84.098,82.344,86.012,87.779,86.541
E14000725,94.851,95.736,95.825,96.479,96.329,96.018,96.582,96.046,94.007,92.710,95.931,95.919,96.348
E14000726,99.161,98.824,98.610,99.584,99.268,99.354,98.835,99.426,98.595,97.717,99.424,97.677,99.135
E14000727,96.692,96.774,97.908,97.072,97.657,97.770,97.720,98.373,96.002,96.464,97.871,97.012,97.741
E14000728,88.303,85.973,88.052,89.077,88.821,89.765,88.770,89.325,87.887,85.190,89.113,89.275,89.717
E14000729,97.413,97.146,97.774,97.414,97.510,97.650,97.522,97.421,95.755,95.407,96.711,97.107,97.076
E14000730,86.837,88.506,86.644,89.248,88.666,90.093,88.345,88.072,86.950,83.240,87.688,88.854,88.478
E14000731,98.224,96.934,95.522,98.314,98.369,97.678,97.840,98.662,96.949,95.440,95.519,94.854,98.011
E14000732,96.957,96.974,97.446,97.303,97.652,97.612,97.441,97.137,92.897,95.067,96.349,96.642,97.013
E14000733,99.107,99.416,99.267,98.946,99.077,99.299,99.342,99.362,96.215,95.579,98.458,99.094,99.269
E14000734,80.590,80.459,81.383,81.594,79.969,81.303,81.722,81.750,77.559,76.780,81.871,78.785,78.749
E14000735,90.208,91.286,90.717,90.707,91.696,91.563,91.021,91.788,90.797,89.529,90.516,90.369,90.802
E14000736,97.412,97.567,98.096,98.240,98.066,98.166,98.291,98.365,92.651,93.960,96.488,97.893,97.943
E14000737,96.441,97.320,95.778,97.101,97.590,96.916,96.651,96.987,95.609,96.274,97.174,96.777,97.204
E14000738,97.244,97.471,97.504,97.389,97.787,97.873,98.073,98.111,94.717,92.253,96.773,97.572,97.622
E14000739,95.018,96.442,97.089,97.829,97.290,96.778,97.487,97.632,96.544,94.826,94.759,97.510,95.290
E14000740,96.764,96.860,97.031,97.147,96.686,95.316,97.014,97.194,93.748,92.199,95.980,96.640,96.764
E14000741,98.045,97.370,98.131,98.681,98.565,98.552,98.588,98.722,96.998,95.824,96.866,97.837,98.026
E14000742,66.857,66.738,68.469,69.255,68.253,70.111,71.090,72.016,69.840,67.330,74.928,71.026,74.332
E14000743,79.059,80.847,81.522,80.883,81.614,81.742,79.566,80.951,75.047,73.103,78.953,80.594,78.070
E14000744,93.629,94.680,94.322,94.857,94.838,93.901,94.421,94.989,91.861,90.515,93.436,94.147,94.020
E14000745,95.728,96.382,96.259,97.918,97.624,97.590,97.462,97.916,90.035,94.234,97.676,97.897,98.061
E14000746,87.066,88.247,87.864,88.158,87.596,89.046,89.040,88.827,87.016,82.808,88.201,88.189,88.790
E14000747,94.661,95.805,95.894,96.683,96.928,96.840,96.845,96.879,93.357,94.734,96.268,95.418,96.814
E14000748,88.932,88.027,89.008,89.870,88.684,90.285,88.634,89.117,87.315,85.735,86.440,86.552,89.274
E14000749,93.194,92.426,92.765,93.912,93.019,91.199,94.355,95.427,90.342,88.749,95.131,94.632,93.964
E14000750,95.608,97.879,98.607,98.595,98.649,99.213,98.535,99.439,98.120,97.908,97.674,97.544,97.756
E14000751,96.310,96.579,96.526,97.400,97.202,97.227,97.538,97.462,94.872,92.497,95.931,96.072,96.568
E14000752,97.848,97.226,98.102,98.381,98.006,97.293,97.977,98.245,95.824,95.797,97.327,96.743,97.517
E14000753,81.750,82.615,82.935,83.018,83.543,81.482,84.116,82.985,80.191,74.285,80.671,81.217,83.731
E14000754,96.077,97.978,96.875,98.124,98.355,98.309,97.999,98.507,96.478,94.405,96.759,97.779,97.815
E14000755,98.815,98.333,98.262,99.150,99.101,99.099,99.243,98.943,98.167,93.320,98.786,98.123,98.783
E14000756,97.268,98.361,98.742,98.516,97.792,98.556,98.638,98.308,95.366,95.746,98.315,98.502,98.315
E14000757,82.670,84.520,84.837,84.914,83.766,84.810,84.594,84.595,80.166,81.694,84.492,84.468,84.019
E14000758,96.134,98.433,98.858,98.830,98.685,98.870,98.699,98.639,97.654,96.342,96.868,98.366,98.242
E14000759,95.496,94.683,94.851,91.247,94.847,95.014,92.836,97.455,93.834,93.057,96.873,96.546,96.138
E14000760,97.255,97.321,96.853,98.175,98.094,95.722,97.173,97.796,96.032,96.485,96.454,98.164,97.739
E14000761,99.091,99.265,99.312,99.368,99.183,99.438,99.457,99.211,95.052,96.016,97.157,98.281,98.840
E14000762,93.478,94.265,94.498,94.708,94.125,94.183,94.662,93.959,91.773,89.673,92.826,94.045,93.979
E14000763,96.505,96.382,98.124,98.442,97.696,97.916,98.242,97.383,97.894,97.275,96.832,98.154,98.440
E14000764,97.057,96.696,97.410,98.146,98.145,97.976,97.783,98.385,98.425,97.924,98.004,97.745,98.042
E14000765,98.447,97.881,98.771,98.490,98.856,98.797,98.863,98.822,96.556,95.314,97.103,97.755,98.735
E14000766,97.811,98.015,98.104,97.894,97.888,98.180,97.958,98.230,96.129,93.704,97.757,97.868,97.894
E14000767,61.650,57.909,61.795,60.933,62.596,61.583,61.719,61.813,60.719,57.891,60.079,61.700,61.375
E14000768,97.239,99.272,99.375,98.230,99.460,99.514,99.276,99.304,97.636,94.061,98.839,98.390,98.675
E14000769,95.113,95.498,95.132,95.235,95.795,95.296,95.147,94.748,94.374,91.097,95.449,96.471,99.128
E14000770,98.085,97.774,98.257,98.868,98.607,98.532,98.512,98.941,94.923,96.583,96.817,97.093,98.068
