Area Code,Area Name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E92000001,England,79.149,76.341,74.602,73.288,73.440,72.653,68.622,67.390,65.473,70.639,56.188,54.399
E14000530,Aldershot,84.782,81.921,80.206,78.769,78.408,74.205,72.098,70.931,71.212,74.127,58.902,56.121
E14000531,Aldridge-Brownhills,84.167,81.892,80.990,78.507,81.273,81.480,74.253,70.731,73.470,75.839,52.601,58.592
E14000532,Altrincham and Sale West,88.889,86.143,83.742,80.144,80.240,81.396,78.548,78.929,77.462,83.808,67.223,66.227
E14000533,Amber Valley,82.358,83.111,77.497,81.266,78.158,75.979,70.610,71.997,73.117,76.426,58.185,55.515
E14000534,Arundel and South Downs,84.359,80.152,76.404,78.400,80.698,83.257,81.788,76.239,75.193,74.811,63.586,60.248
E14000535,Ashfield,80.828,76.858,76.567,74.255,69.102,69.809,71.666,64.396,68.309,73.915,63.545,56.233
E14000536,Ashford,81.744,74.033,73.453,75.342,73.834,76.323,67.408,66.985,61.370,69.755,47.857,46.530
E14000537,Ashton-under-Lyne,77.118,74.275,69.723,66.063,64.364,61.426,54.938,57.159,42.511,52.333,41.711,39.566
E14000538,Aylesbury,75.872,72.431,69.487,74.896,70.539,69.382,64.243,57.949,50.757,62.884,39.036,32.752
E14000539,Banbury,81.918,80.114,77.773,77.055,75.125,77.403,74.679,74.407,70.537,73.111,59.444,51.849
E14000540,Barking,78.813,73.034,71.129,66.753,65.694,60.948,59.755,54.813,53.428,57.921,38.757,38.264
E14000541,Barnsley Central,81.226,76.580,73.995,73.663,72.458,71.817,60.656,58.827,57.150,61.522,43.696,45.885
E14000542,Barnsley East,79.148,75.954,70.319,68.244,65.346,65.468,65.583,67.379,57.140,66.237,51.905,48.707
E14000543,Barrow and Furness,82.341,79.818,81.386,77.991,76.818,79.136,75.322,76.403,72.408,76.158,63.323,62.364
E14000544,Basildon and Billericay,82.561,77.336,77.196,78.199,76.342,68.983,65.226,63.899,60.307,73.126,49.667,49.088
E14000545,Basingstoke,85.705,81.132,74.556,70.683,67.340,57.090,56.539,52.929,45.552,65.061,45.765,40.586
E14000546,Bassetlaw,82.307,81.553,82.848,80.877,81.284,77.659,69.099,68.836,66.433,69.741,50.134,45.600
E14000547,Bath,85.207,86.668,84.659,83.275,83.434,85.616,81.364,79.534,73.758,79.433,64.225,57.499
E14000548,Batley and Spen,79.195,74.848,72.467,71.243,70.573,74.264,68.458,67.103,71.212,70.992,57.688,54.053
E14000549,Battersea,75.463,77.894,77.262,75.631,80.589,77.541,75.371,73.052,75.006,76.485,63.009,61.051
E14000550,Beaconsfield,78.345,75.035,69.991,70.028,70.181,70.351,68.535,61.986,59.914,62.461,48.133,50.996
E14000551,Beckenham,83.031,80.663,77.893,78.342,76.375,75.686,77.585,76.611,70.613,74.007,56.985,53.720
E14000552,Bedford,82.782,83.039,82.511,76.845,81.347,74.589,72.149,69.246,57.112,67.660,45.345,44.336
E14000553,Bermondsey and Old Southwark,80.487,70.628,70.604,66.331,66.871,68.853,59.767,54.933,59.198,68.196,49.681,41.254
E14000554,Berwick-upon-Tweed,84.871,83.257,81.538,83.520,77.674,79.766,73.268,68.329,62.008,70.830,58.814,54.864
E14000555,Bethnal Green and Bow,72.528,71.568,69.397,63.757,62.485,65.553,64.221,60.692,61.336,62.276,49.395,44.818
E14000556,Beverley and Holderness,79.986,81.093,76.539,76.160,77.313,76.789,79.342,70.166,64.771,69.157,55.336,56.588
E14000557,Bexhill and Battle,87.922,85.960,87.664,84.693,87.011,84.541,76.664,76.690,76.898,80.104,71.085,62.232
E14000558,Bexleyheath and Crayford,74.510,75.318,68.547,69.919,68.771,63.336,66.546,63.472,62.795,62.101,48.791,48.652
E14000559,Birkenhead,85.891,81.371,84.508,82.467,82.846,74.708,72.996,72.122,69.676,72.199,57.427,58.665
E14000560,"Birmingham, Edgbaston",80.569,76.412,79.573,70.577,72.695,77.384,74.322,70.573,70.360,71.154,52.891,52.580
E14000561,"Birmingham, Erdington",72.906,62.680,61.133,63.552,61.869,61.523,57.350,56.859,51.996,57.591,47.146,41.484
E14000562,"Birmingham, Hall Green",66.069,58.404,58.162,55.799,55.080,56.847,48.488,51.344,50.522,59.610,43.566,44.755
E14000563,"Birmingham, Hodge Hill",69.203,67.650,71.421,67.307,61.419,61.001,55.156,55.917,51.400,56.870,42.075,44.055
E14000564,"Birmingham, Ladywood",72.623,67.398,64.843,60.495,61.475,60.586,55.253,53.120,55.337,60.167,43.762,40.805
E14000565,"Birmingham, Northfield",82.723,79.194,74.380,76.369,72.536,74.170,72.443,68.925,67.590,69.849,61.087,53.432
E14000566,"Birmingham, Perry Barr",69.495,64.547,65.444,61.224,60.831,61.400,53.427,53.674,52.859,61.638,43.353,39.461
E14000567,"Birmingham, Selly Oak",83.709,82.946,81.169,82.878,82.356,77.240,68.938,71.650,70.600,78.628,61.678,58.714
E14000568,"Birmingham, Yardley",69.598,64.527,60.877,61.015,64.618,64.481,62.701,62.500,61.845,65.958,47.448,47.293
E14000569,Bishop Auckland,85.511,82.093,80.029,82.748,79.944,79.703,77.043,74.346,74.216,75.287,61.978,67.324
E14000570,Blackburn,77.235,77.134,76.327,73.676,73.490,74.432,69.516,69.678,68.581,72.307,47.463,50.273
E14000571,Blackley and Broughton,76.307,71.345,71.638,71.194,71.019,68.861,65.965,68.907,63.758,67.266,53.811,47.559
E14000572,Blackpool North and Cleveleys,81.328,80.136,73.915,75.090,74.724,74.675,67.366,72.206,69.133,72.952,62.147,64.047
E14000573,Blackpool South,80.746,78.490,76.650,78.445,74.860,75.954,70.287,71.197,65.527,77.181,59.198,61.468
E14000574,Blaydon,79.294,74.813,74.380,69.746,73.349,72.000,71.811,60.575,61.791,69.589,59.320,62.333
E14000575,Blyth Valley,82.130,80.273,79.428,72.008,72.342,69.179,62.676,62.913,65.522,70.351,64.909,56.048
E14000576,Bognor Regis and Littlehampton,75.109,73.715,69.871,67.163,69.360,78.362,72.560,66.495,69.852,71.627,57.225,59.673
E14000577,Bolsover,76.531,78.824,78.222,75.946,77.165,78.835,73.932,77.808,74.438,76.085,61.797,59.843
E14000578,Bolton North East,83.836,81.445,78.081,79.926,80.382,78.705,74.368,74.826,72.063,72.494,58.855,59.255
E14000579,Bolton South East,77.880,75.768,73.599,75.080,75.163,74.674,70.874,69.689,64.058,66.812,52.257,52.968
E14000580,Bolton West,76.397,74.829,76.566,75.660,76.717,74.904,73.244,67.250,69.636,71.445,46.823,51.457
E14000581,Bootle,76.268,70.026,66.987,61.402,67.435,68.111,63.637,66.647,63.025,68.260,48.463,47.544
E14000582,Boston and Skegness,73.199,71.377,69.564,66.908,67.514,64.111,60.341,58.294,53.520,59.651,52.039,56.166
E14000583,Bosworth,80.033,75.562,74.737,69.431,70.079,66.729,61.648,63.669,65.705,70.045,58.393,60.597
E14000584,Bournemouth East,82.654,82.532,78.609,80.495,80.189,80.208,77.934,78.049,75.876,77.565,61.576,63.137
E14000585,Bournemouth West,84.803,82.215,83.764,79.483,80.157,80.933,72.261,68.077,71.623,74.861,65.941,57.384
E14000586,Bracknell,79.693,74.711,74.651,69.936,76.532,74.670,71.746,69.376,63.728,70.131,54.219,49.454
E14000587,Bradford East,68.518,61.221,62.682,54.602,57.306,56.244,56.455,59.031,57.450,62.717,48.526,46.626
E14000588,Bradford South,71.409,65.857,61.125,56.330,62.104,62.036,60.736,57.038,54.088,59.422,40.419,41.626
E14000589,Bradford West,65.594,62.739,59.757,59.178,57.065,60.991,57.895,54.213,56.913,58.891,43.486,45.780
E14000590,Braintree,73.681,65.084,62.571,59.335,60.846,50.667,48.198,54.955,53.057,59.002,46.925,47.158
E14000591,Brent Central,73.838,69.567,67.661,65.949,68.007,67.327,61.179,64.942,60.053,66.554,53.888,52.457
E14000592,Brent North,72.136,68.820,68.242,66.130,67.240,66.004,63.861,62.896,59.859,66.276,53.049,53.097
E14000593,Brentford and Isleworth,73.103,72.423,73.427,73.525,74.041,74.921,69.837,68.306,68.353,70.844,60.171,59.336
E14000594,Brentwood and Ongar,83.007,82.084,76.875,72.742,72.105,68.642,59.573,62.069,60.617,67.186,45.054,49.147
E14000595,Bridgwater and West Somerset,86.044,83.912,84.302,81.632,78.802,81.164,75.434,73.347,73.827,79.332,60.008,62.073
E14000596,Brigg and Goole,81.934,76.354,76.743,74.065,74.133,72.143,70.939,66.796,69.561,71.509,59.270,58.966
E14000597,"Brighton, Kemptown",81.136,80.106,75.615,75.094,78.115,68.845,69.006,73.499,68.662,70.018,53.524,54.591
E14000598,"Brighton, Pavilion",82.088,78.796,78.810,77.451,79.410,78.636,75.921,75.304,77.185,81.207,62.979,58.480
E14000599,Bristol East,78.775,68.656,70.716,74.570,73.116,73.316,71.025,73.312,68.772,73.603,60.952,60.805
E14000600,Bristol North West,82.986,82.675,80.741,78.281,82.964,78.236,77.484,77.964,77.590,79.426,69.151,63.616
E14000601,Bristol South,76.107,74.182,68.326,67.822,70.058,65.833,63.855,61.241,63.000,66.248,46.278,48.226
E14000602,Bristol West,78.277,75.981,71.676,66.573,70.873,71.201,67.838,69.754,63.324,71.866,50.186,51.288
E14000603,Broadland,84.829,78.351,71.967,74.899,77.141,77.755,70.925,70.795,70.528,75.426,59.580,57.167
E14000604,Bromley and Chislehurst,77.462,72.754,69.199,68.155,68.414,71.378,65.849,66.345,61.801,67.367,47.798,52.001
E14000605,Bromsgrove,84.612,83.193,80.542,81.869,82.693,81.893,76.208,74.896,71.440,77.845,66.898,66.706
E14000606,Broxbourne,72.075,69.971,65.112,64.420,63.194,65.469,59.624,53.638,56.284,65.422,43.595,46.577
E14000607,Broxtowe,82.706,85.302,84.570,83.478,86.351,86.587,86.058,86.718,82.837,83.856,72.880,68.625
