PCON24CD,PCON24NM,MP,Party,Party name,Share,Majority,Electorate,Turnout,Second
E14001063,"Aldershot","Alex Baker",Lab,"Labour Party",40.7,5683,76765,63.2,Con
E14001064,"Aldridge-Brownhills","Wendy Morton",Con,"Conservative and Unionist Party",38.9,4294,73122,56.0,Lab
E14001065,"Altrincham and Sale West","Connor Rand",Lab,"Labour Party",40.4,4174,73934,69.6,Con
E14001066,"Amber Valley","Linsey Farnsworth",Lab,"Labour Party",37.0,3554,70625,60.2,Ref
E14001067,"Arundel and South Downs","Andrew Griffith",Con,"Conservative and Unionist Party",40.2,12134,76974,71.1,LD
E14001068,"Ashfield","Lee Anderson",Ref,"Reform UK",42.8,5509,69819,57.1,Lab
E14001069,"Ashford","Sojan Joseph",Lab,"Labour Party",32.5,1779,73546,63.9,Con
E14001070,"Ashton-under-Lyne","Angela Rayner",Lab,"Labour Party",43.9,6789,71002,49.9,Ref
E14001071,"Aylesbury","Laura Elizabeth Kyrke-Smith",Lab,"Labour Party",30.2,630,75636,66.0,Con
E14001072,"Banbury","Sean Woodcock",Lab,"Labour Party",38.3,3256,69943,68.9,Con
E14001073,"Barking","Nesil Caliskan",Lab,"Labour Party",44.5,11054,71822,50.8,Ref
E14001074,"Barnsley North","Dan Jarvis",Lab,"Labour Party",50.4,7811,76794,48.0,Ref
E14001075,"Barnsley South","Stephanie Peacock",Lab,"Labour Party",46.7,4688,75853,46.2,Ref
E14001076,"Barrow and Furness","Michelle Scrogham",Lab,"Labour Party",43.9,5324,74980,56.3,Con
E14001077,"Basildon and Billericay","Richard John Holden",Con,"Conservative and Unionist Party",30.6,20,76993,54.7,Lab
E14001078,"Basingstoke","Luke Murphy",Lab,"Labour Party",42.7,6484,77050,63.6,Con
E14001079,"Bassetlaw","Jo White",Lab,"Labour Party",41.2,5768,75773,59.2,Con
E14001080,"Bath","Wera Hobhouse",LD,"Liberal Democrats",41.3,11218,73241,65.7,Lab
E14001081,"Battersea","Marsha de Cordova",Lab,"Labour Party",48.8,12039,71949,65.4,Con
E14001082,"Beaconsfield","Joy Morrissey",Con,"Conservative and Unionist Party",38.8,5455,72315,66.0,LD
E14001083,"Beckenham and Penge","Liam Conlon",Lab,"Labour Party",49.3,12905,76625,68.2,Con
E14001084,"Bedford","Mohammad Yasin",Lab,"Labour Party",45.1,9430,70068,58.0,Con
E14001085,"Bermondsey and Old Southwark","Neil Coyle",Lab,"Labour Party",44.8,7787,69473,54.1,LD
E14001086,"Bethnal Green and Stepney","Rushanara Ali",Lab,"Labour Party",34.1,1689,77000,60.6,Ind
E14001087,"Beverley and Holderness","Graham Stuart",Con,"Conservative and Unionist Party",34.5,124,71102,63.1,Lab
E14001088,"Bexhill and Battle","Kieran Mullan",Con,"Conservative and Unionist Party",33.9,2657,70869,67.4,Lab
E14001089,"Bexleyheath and Crayford","Daniel Francis",Lab,"Labour Party",36.2,2114,69948,62.1,Con
E14001090,"Bicester and Woodstock","Calum Miller",LD,"Liberal Democrats",38.7,4958,70389,71.3,Con
E14001091,"Birkenhead","Alison McGovern",Lab,"Labour Party",52.1,13798,76271,56.6,Green
E14001092,"Birmingham Edgbaston","Preet Kaur Gill",Lab,"Labour and Co-operative Party",44.3,8368,71354,52.5,Con
E14001093,"Birmingham Erdington","Paulette Hamilton",Lab,"Labour Party",43.7,7019,76856,44.0,Ref
E14001094,"Birmingham Hall Green and Moseley","Tahir Ali",Lab,"Labour Party",30.8,5656,75781,54.9,Ind
E14001095,"Birmingham Hodge Hill and Solihull North","Liam Byrne",Lab,"Labour Party",31.2,1566,76922,44.4,Ind
E14001096,"Birmingham Ladywood","Shabana Mahmood",Lab,"Labour Party",42.5,3421,76585,47.8,Ind
E14001097,"Birmingham Northfield","Laurence Turner",Lab,"Labour Party",39.6,5389,73483,51.2,Con
E14001098,"Birmingham Perry Barr","Ayoub Khan",Ind,"Independent",35.5,507,74048,50.6,Lab
E14001099,"Birmingham Selly Oak","Alistair Carns",Lab,"Labour Party",45.2,11537,76285,50.4,Con
E14001100,"Birmingham Yardley","Jess Phillips",Lab,"Labour Party",31.2,693,71912,50.3,Ind
E14001101,"Bishop Auckland","Sam Rushworth",Lab,"Labour Party",42.1,6672,70745,57.1,Con
E14001102,"Blackburn","Adnan Hussain",Ind,"Independent",27.0,132,70586,55.1,Lab
E14001103,"Blackley and Middleton South","Graham Stringer",Lab,"Labour Party",53.8,10250,71375,43.9,Ref
E14001104,"Blackpool North and Fleetwood","Lorraine Beavers",Lab,"Labour Party",40.0,4647,75396,55.5,Con
E14001105,"Blackpool South","Chris Webb",Lab,"Labour Party",48.1,6848,76071,46.2,Ref
E14001106,"Blaydon and Consett","Liz Twist",Lab,"Labour Party",50.1,11153,70487,59.9,Ref
E14001107,"Blyth and Ashington","Ian Lavery",Lab,"Labour Party",49.6,9173,75452,53.5,Ref
E14001108,"Bognor Regis and Littlehampton","Alison Griffiths",Con,"Conservative and Unionist Party",32.8,1765,76985,62.1,Lab
E14001109,"Bolsover","Natalie Fleet",Lab,"Labour Party",40.5,6323,77334,54.9,Con
E14001110,"Bolton North East","Kirith Entwistle",Lab,"Labour Party",37.3,6653,77020,56.3,Con
E14001111,"Bolton South and Walkden","Yasmin Qureshi",Lab,"Labour Party",40.9,6743,75716,48.8,Ref
E14001112,"Bolton West","Phil Brickell",Lab,"Labour Party",38.9,4945,72125,61.8,Con
E14001113,"Bootle","Peter Dowd",Lab,"Labour Party",68.7,21983,75194,51.7,Ref
E14001114,"Boston and Skegness","Richard Tice",Ref,"Reform UK",38.4,2010,75806,53.4,Con
E14001115,"Bournemouth East","Tom Hayes",Lab,"Labour Party",40.8,5479,73173,61.4,Con
E14001116,"Bournemouth West","Jessica Toale",Lab,"Labour Party",36.4,3224,72094,54.7,Con
E14001117,"Bracknell","Peter Swallow",Lab,"Labour Party",33.7,784,70247,62.4,Con
E14001118,"Bradford East","Imran Hussain",Lab,"Labour Party",37.9,6189,72150,51.6,Ind
