Constituency ID,Constituency Name,Region,A*-C % / 2011,A*-C % / 2012,A*-C % / 2013,A*-C % / 2014,A*-C % / 2015,A*-C % / 2016,A*-C % / 2017,A*-C % / 2018,A*-C % / 2019,A*-C % / 2020,A*-C % / 2021,A*-C % / 2022,KS4 Attainment 8 / 2011,KS4 Attainment 8 / 2012,KS4 Attainment 8 / 2013,KS4 Attainment 8 / 2014,KS4 Attainment 8 / 2015,KS4 Attainment 8 / 2016,KS4 Attainment 8 / 2017,KS4 Attainment 8 / 2018,KS4 Attainment 8 / 2019,KS4 Attainment 8 / 2020,KS4 Attainment 8 / 2021,KS4 Attainment 8 / 2022,KS2 met expected / 2022
E14000530,Aldershot,South East,46,46,43,48,44,53,58,51,55,63,66,55,,,,,,,41.4,39.2,40.46,,,41.70,58
E14000531,Aldridge-Brownhills,West Midlands,63,62,67,51,56,61,56,60,62,66,67,63,,,,,,,43.1,43.9,44.60,,,45.60,63
E14000532,Altrincham and Sale West,North West,78,81,78,82,79,80,83,85,86,88,89,82,,,,,,,59.1,60.3,59.65,,,61.30,73
E14000533,Amber Valley,East Midlands,50,55,56,50,50,56,58,58,60,67,68,62,,,,,,,42.9,43.0,43.91,,,44.80,50
E14000534,Arundel and South Downs,South East,62,64,68,65,64,68,71,66,70,73,80,70,,,,,,,48.0,48.2,49.25,,,50.90,54
E14000535,Ashfield,East Midlands,54,53,57,52,55,55,55,57,55,64,61,61,,,,,,,44.1,42.3,42.27,,,43.80,54
E14000536,Ashford,South East,55,54,60,59,56,59,60,61,63,68,68,70,,,,,,,44.4,44.9,45.06,,,48.30,56
E14000537,Ashton-under-Lyne,North West,55,50,52,52,55,55,59,55,61,65,66,64,,,,,,,44.3,41.3,44.33,,,45.50,55
E14000538,Aylesbury,South East,69,65,68,70,67,71,73,74,72,75,77,75,,,,,,,52.1,54.5,52.85,,,54.40,56
E14000539,Banbury,South East,56,59,56,56,59,62,65,63,63,71,70,69,,,,,,,45.6,44.2,46.34,,,47.10,61
E14000540,Barking,London,62,65,63,66,57,62,65,63,67,71,74,70,,,,,,,48.1,48.1,49.29,,,50.30,60
E14000541,Barnsley Central,Yorkshire and The Humber,43,44,44,42,46,56,58,57,62,58,59,55,,,,,,,41.7,39.1,42.28,,,39.40,58
E14000542,Barnsley East,Yorkshire and The Humber,43,46,47,42,47,50,54,59,60,67,67,62,,,,,,,41.8,40.7,42.27,,,43.60,59
E14000543,Barrow and Furness,North West,54,47,53,53,57,60,63,62,62,69,66,62,,,,,,,44.9,45.2,46.10,,,45.20,56
E14000544,Basildon and Billericay,East,52,52,61,63,58,62,66,66,62,70,65,69,,,,,,,46.1,47.0,44.74,,,46.80,61
E14000545,Basingstoke,South East,55,52,53,57,53,56,60,57,61,68,71,66,,,,,,,41.6,42.7,42.67,,,46.00,58
E14000546,Bassetlaw,East Midlands,45,58,67,65,67,72,70,70,70,77,76,69,,,,,,,48.7,47.1,46.34,,,46.90,55
E14000547,Bath,South West,64,63,66,65,63,69,56,71,73,79,80,78,,,,,,,47.8,50.5,50.40,,,54.40,55
E14000548,Batley and Spen,Yorkshire and The Humber,61,66,67,62,63,66,66,65,69,73,74,71,,,,,,,48.8,48.2,48.93,,,51.10,57
E14000549,Battersea,London,53,36,52,54,68,80,74,80,73,78,78,76,,,,,,,52.4,55.8,52.61,,,53.90,74
E14000550,Beaconsfield,South East,69,72,74,72,70,74,73,76,73,81,85,84,,,,,,,53.5,54.2,54.35,,,59.80,65
E14000551,Beckenham,London,68,67,76,70,72,72,67,69,74,79,83,81,,,,,,,46.3,48.1,50.64,,,54.10,70
E14000552,Bedford,East,49,49,52,46,48,55,53,58,52,64,64,62,,,,,,,43.1,43.7,43.20,,,44.30,48
E14000553,Bermondsey and Old Southwark,London,60,63,67,61,62,65,69,66,64,72,76,72,,,,,,,49.4,48.8,48.05,,,51.50,67
E14000554,Berwick-upon-Tweed,North East,57,56,56,53,53,56,60,54,59,66,63,56,,,,,,,43.3,40.7,42.94,,,42.10,53
E14000555,Bethnal Green and Bow,London,64,63,68,67,70,66,68,66,71,80,79,76,,,,,,,49.0,48.0,49.94,,,51.70,63
E14000556,Beverley and Holderness,Yorkshire and The Humber,59,58,63,60,53,65,66,68,65,73,76,70,,,,,,,46.7,48.0,46.74,,,48.50,55
E14000557,Bexhill and Battle,South East,66,64,66,64,63,69,67,70,70,76,79,69,,,,,,,48.9,48.1,49.64,,,48.10,59
E14000558,Bexleyheath and Crayford,London,66,69,73,66,47,68,68,72,68,78,80,76,,,,,,,49.5,51.8,50.21,,,54.70,67
E14000559,Birkenhead,North West,61,61,63,57,60,67,61,67,63,71,71,62,,,,,,,44.3,46.3,45.52,,,44.00,42
E14000560,"Birmingham, Edgbaston",West Midlands,59,59,57,59,56,62,63,67,68,71,75,73,,,,,,,49.9,50.7,51.97,,,53.50,56
E14000561,"Birmingham, Erdington",West Midlands,41,47,49,42,42,42,49,46,51,55,60,56,,,,,,,38.4,36.4,38.69,,,39.90,55
E14000562,"Birmingham, Hall Green",West Midlands,61,67,63,65,64,62,69,68,65,70,70,72,,,,,,,47.1,52.1,47.81,,,50.20,59
E14000563,"Birmingham, Hodge Hill",West Midlands,52,55,55,51,47,54,53,48,51,57,60,61,,,,,,,43.2,40.5,41.51,,,44.00,56
E14000564,"Birmingham, Ladywood",West Midlands,64,60,65,62,58,63,58,59,60,64,68,67,,,,,,,46.4,45.0,45.44,,,47.00,54
E14000565,"Birmingham, Northfield",West Midlands,52,55,56,52,55,54,52,53,57,64,67,59,,,,,,,41.4,41.3,41.17,,,41.60,52
E14000566,"Birmingham, Perry Barr",West Midlands,62,65,63,55,52,58,55,62,61,67,68,68,,,,,,,42.7,46.7,46.81,,,49.40,58
E14000567,"Birmingham, Selly Oak",West Midlands,56,55,58,60,60,65,62,59,67,75,78,75,,,,,,,49.7,45.3,51.29,,,54.30,59
E14000568,"Birmingham, Yardley",West Midlands,56,57,54,53,51,55,53,54,57,65,63,62,,,,,,,41.7,41.7,43.03,,,45.00,59
E14000569,Bishop Auckland,North East,61,65,59,56,52,60,60,62,55,64,65,63,,,,,,,43.6,44.7,41.30,,,44.20,57
E14000570,Blackburn,North West,59,60,62,61,62,67,69,69,68,75,76,71,,,,,,,47.9,47.5,47.59,,,48.70,60
E14000571,Blackley and Broughton,North West,50,48,50,48,47,57,55,55,53,62,64,62,,,,,,,43.5,42.6,42.80,,,44.00,54
E14000572,Blackpool North and Cleveleys,North West,47,50,47,49,51,53,49,49,51,53,57,52,,,,,,,40.0,39.7,40.33,,,38.10,59
E14000573,Blackpool South,North West,45,45,44,44,36,40,46,44,43,54,57,47,,,,,,,36.1,35.8,33.81,,,36.00,52
E14000574,Blaydon,North East,63,60,62,61,61,68,64,67,66,75,76,75,,,,,,,49.1,48.4,48.60,,,51.90,64
E14000575,Blyth Valley,North East,55,56,45,50,57,60,57,64,69,71,73,66,,,,,,,42.7,45.5,45.76,,,44.50,52
