Code,Parliamentary constituency,Constituency type,Total electors 2015,Total electors 2016,Total electors 2017,Total electors 2018,Electoral registrations December 2019,Electoral registrations March 2020,Electoral registrations December 2020,Electoral registrations December 2021,Electoral registrations December 2022
E14000530,Aldershot,B,69903,72769,72138,70567,70398,71997,71623,70752,70764
E14000531,Aldridge-Brownhills,B,58359,59296,59373,59382,59540,60602,59937,59203,58406
E14000532,Altrincham and Sale West,B,69719,71058,71993,71751,73900,73934,73104,72214,71782
E14000533,Amber Valley,C,64454,66639,68716,68717,70433,70556,70705,69572,69533
E14000534,Arundel and South Downs,C,75321,78196,79080,79063,81098,81937,81151,80811,81086
E14000535,Ashfield,C,76490,77290,77478,77738,78655,78508,77280,75716,75327
E14000536,Ashford,C,82527,85127,86621,87102,90380,89712,89655,89232,90039
E14000537,Ashton-under-Lyne,B,65941,67046,67364,67398,68522,68626,66520,65601,65585
E14000538,Aylesbury,C,77463,80946,82448,82897,86480,86002,86078,85449,86035
E14000539,Banbury,C,85398,89363,85795,86431,88782,90580,90750,90010,91722
E14000540,Barking,B,72314,74447,75267,77181,76861,78688,78574,78287,79628
E14000541,Barnsley Central,B,60767,62523,63374,63539,64229,65494,64768,64522,64468
E14000542,Barnsley East,C,65344,67432,68361,68109,68448,69690,68770,68424,67838
E14000543,Barrow and Furness,C,67777,69041,69078,68505,69133,68721,67905,67112,66625
E14000544,Basildon and Billericay,B,64885,67898,69274,68878,70538,70195,69697,69172,68419
E14000545,Basingstoke,B,78026,80559,81401,80504,82664,82672,82109,80827,80929
E14000546,Bassetlaw,C,76764,77546,77184,77142,79707,79164,78482,78293,78476
E14000547,Bath,B,60966,61324,59887,59722,61688,67512,63531,60446,60156
E14000548,Batley and Spen,B,75961,78979,78013,77416,80110,80162,79134,78816,78584
E14000549,Battersea,B,69924,71401,72761,69345,72115,79325,72174,71170,71301
E14000550,Beaconsfield,C,73984,76717,76582,76703,77199,78524,77587,76673,76936
E14000551,Beckenham,B,66067,67390,67524,67589,67614,68934,68253,66976,66489
E14000552,Bedford,B,70259,70465,70364,68946,70013,70533,69175,68940,68889
E14000553,Bermondsey and Old Southwark,B,80174,80084,83643,85283,93146,92678,89580,83687,83246
E14000554,Berwick-upon-Tweed,C,55548,56234,57860,57544,58962,59968,59515,59727,59756
E14000555,Bethnal Green and Bow,B,75002,75088,82056,80064,89099,89050,85581,83897,83790
E14000556,Beverley and Holderness,C,76641,78290,78817,79184,78645,79564,79657,78910,78982
E14000557,Bexhill and Battle,C,77221,79896,80474,80289,82091,82773,82348,81671,82107
E14000558,Bexleyheath and Crayford,B,63243,64731,65015,64112,64753,65875,65430,64887,64151
E14000559,Birkenhead,B,60845,62434,63062,61964,64151,64278,63013,62254,62249
E14000560,"Birmingham, Edgbaston",B,62795,63043,62185,62299,67327,67047,64439,62965,61469
E14000561,"Birmingham, Erdington",B,62552,62672,63432,62257,65355,64921,63684,62702,62353
E14000562,"Birmingham, Hall Green",B,73938,74790,76050,75061,79247,78994,77165,75890,75648
E14000563,"Birmingham, Hodge Hill",B,73173,73384,74810,73784,77716,77491,76248,75269,75177
E14000564,"Birmingham, Ladywood",B,65716,64608,65171,65359,71883,72918,70464,71460,73014
E14000565,"Birmingham, Northfield",B,69377,70001,70614,69373,72880,72306,71167,70246,69946
E14000566,"Birmingham, Perry Barr",B,67710,67895,68494,67765,71118,70995,69826,68815,68686
E14000567,"Birmingham, Selly Oak",B,68460,68514,70191,68606,80825,77277,77558,73678,71678
E14000568,"Birmingham, Yardley",B,69911,70235,70980,70207,73877,73411,72341,71537,71307
E14000569,Bishop Auckland,C,65234,66825,67151,67037,68545,68478,68026,67686,67694
E14000570,Blackburn,B,68691,70031,69954,70184,70726,72046,72410,71549,71341
E14000571,Blackley and Broughton,B,72003,70321,71059,70578,74213,73448,72337,71873,71811
E14000572,Blackpool North and Cleveleys,B,60324,61987,62697,62306,63148,63150,62498,61503,61473
E14000573,Blackpool South,B,54607,55932,56850,55510,57078,56887,56065,55497,55917
E14000574,Blaydon,B,66409,67591,67527,66815,67816,67807,67159,66548,66522
E14000575,Blyth Valley,B,59819,60990,62420,62153,63520,64593,64365,64586,65064
E14000576,Bognor Regis and Littlehampton,C,72190,74372,76852,75401,77888,77566,77116,77028,77391
E14000577,Bolsover,C,70880,72959,73034,72205,74906,74548,74586,74880,74254
E14000578,Bolton North East,B,63881,65375,65973,65094,67901,67353,67274,66730,67036
E14000579,Bolton South East,B,65610,67109,67682,66819,69585,69013,68892,68550,68975
E14000580,Bolton West,C,69720,71240,71889,71039,73685,73149,73095,72764,72941
E14000581,Bootle,B,67611,70372,73285,72790,75258,75194,74045,72641,71549
E14000582,Boston and Skegness,C,66250,67507,68494,68976,70367,70180,69750,69278,69331
E14000583,Bosworth,C,78188,79359,81097,80462,82158,82098,81728,81212,80585
E14000584,Bournemouth East,B,71748,73835,73805,72636,74557,73081,71424,70083,69938
E14000585,Bournemouth West,B,70999,71979,71920,70398,74599,72857,70874,68599,69284
E14000586,Bracknell,C,76917,78497,78709,77997,78158,79344,78483,77901,79663
E14000587,Bradford East,B,64952,68649,70315,70555,74205,73721,73431,73539,73416
E14000588,Bradford South,B,62968,66174,67401,67259,69667,69319,68768,68320,67545
E14000589,Bradford West,B,62096,65661,67719,67687,71585,71258,70798,71735,72272
E14000590,Braintree,C,72892,74932,74579,73903,75169,74835,74338,74099,74563
E14000591,Brent Central,B,74899,77078,78959,80101,79754,83605,80464,79744,82800
E14000592,Brent North,B,81364,80808,81100,81830,81228,83620,81763,81356,82894
E14000593,Brentford and Isleworth,B,80427,82482,82765,81242,82722,86728,84478,83281,83976
E14000594,Brentwood and Ongar,C,72382,74454,73780,73640,75676,75115,74567,73581,73408
E14000595,Bridgwater and West Somerset,C,79824,82507,83194,82849,83764,85448,84286,83848,83357
E14000596,Brigg and Goole,C,63859,65176,65254,66905,64365,66088,65844,65307,65399
E14000597,"Brighton, Kemptown",B,62205,63371,64496,64516,70153,68733,66823,65750,64740
E14000598,"Brighton, Pavilion",B,67700,68326,70700,69889,79502,76854,74264,72780,70255
E14000599,Bristol East,B,68199,70066,70366,70253,71127,74322,72285,70376,70086
E14000600,Bristol North West,B,71869,72784,72211,71622,72896,76823,74261,72279,70600
E14000601,Bristol South,B,78060,80750,80999,80307,81582,84564,82524,81041,80899
E14000602,Bristol West,B,82067,82955,84571,83002,87859,99859,91755,84643,81737
E14000603,Broadland,C,72897,75519,75784,75704,76965,78147,77992,78241,78199
E14000604,Bromley and Chislehurst,B,63339,64452,64702,64919,65195,66840,66176,65086,64795
E14000605,Bromsgrove,C,72042,72948,72206,71813,73943,75305,75250,74143,74376
E14000606,Broxbourne,B,70420,72358,72431,71894,72151,73032,72057,71164,70857
