Code,Parliamentary constituency,Constituency type,Total electors 2015,Total electors 2016,Total electors 2017,Total electors 2018,Electoral registrations December 2019,Electoral registrations March 2020,Electoral registrations December 2020,Electoral registrations December 2021,Electoral registrations December 2022
E14000607,Broxtowe,C,69699,71566,71464,71544,73509,74084,72320,70957,71253
E14000608,Buckingham,C,74882,78414,79515,79659,83046,82555,82907,83333,84384
E14000609,Burnley,B,63228,64147,64338,63400,63795,64982,64536,63607,63060
E14000610,Burton,C,72542,72559,73689,72803,75475,75460,75630,74852,75067
E14000611,Bury North,B,64564,66511,66842,66766,69332,68381,68066,66345,66249
E14000612,Bury South,B,70085,71954,72679,72498,75637,74539,74266,71874,74751
E14000613,Bury St Edmunds,C,83477,87213,87193,86374,89876,88238,87021,86868,87508
E14000614,Calder Valley,C,75059,76876,77674,76939,77504,78824,77971,77532,77387
E14000615,Camberwell and Peckham,B,80375,79947,82759,80554,89135,88576,85833,81425,80369
E14000616,Camborne and Redruth,C,62034,64267,66534,66928,70705,70661,69385,69009,69117
E14000617,Cambridge,B,67266,71723,74628,72837,78170,78521,74508,71581,71795
E14000618,Cannock Chase,C,73470,73801,73834,73510,73904,75582,75768,75351,75372
E14000619,Canterbury,C,68695,71009,72949,71821,80062,80061,71964,70706,70983
E14000620,Carlisle,C,60507,59942,64370,65318,63839,64354,64185,62969,63478
E14000621,Carshalton and Wallington,B,68304,70258,70937,71780,72579,72545,72949,72161,72590
E14000622,Castle Point,B,67541,68558,69147,68597,69579,69309,69088,68834,68451
E14000623,Central Devon,C,70543,72214,73818,72684,72987,75286,74361,74164,74502
E14000624,Central Suffolk and North Ipswich,C,74698,77049,77487,77283,79671,78775,78620,78722,78523
E14000625,Charnwood,C,75326,76669,78316,78237,80143,80235,80057,78876,78756
E14000626,Chatham and Aylesford,C,66381,69641,69911,70991,70117,72284,71241,72336,71188
E14000627,Cheadle,B,70529,72039,72568,72504,75099,73775,73477,72956,72776
E14000628,Chelmsford,B,78107,79124,79793,77323,81299,80793,79600,77423,76631
E14000629,Chelsea and Fulham,B,58927,61137,62448,60041,65806,65013,62717,61699,61050
E14000630,Cheltenham,B,77222,75351,76708,75535,77267,79980,77716,77920,77683
E14000631,Chesham and Amersham,C,68560,70675,71259,71646,71541,73015,72177,71723,71777
E14000632,Chesterfield,B,71297,71818,70942,69531,70681,70722,69950,69905,69522
E14000633,Chichester,C,78736,83147,83477,82305,82863,86108,84885,81721,83167
E14000634,Chingford and Woodford Green,C ,63251,64091,65308,63535,64203,65731,65187,63676,63315
E14000635,Chippenham,C,72812,74534,75179,74381,77655,77475,76077,76189,76491
E14000636,Chipping Barnet,B,72480,74356,78295,77041,77095,78388,79103,77684,76948
E14000637,Chorley,C,73323,75380,75938,77800,78579,77994,78241,76042,76878
E14000638,Christchurch,C,67600,69364,69577,68635,71915,71453,70993,70404,70219
E14000639,Cities of London and Westminster,B,58071,61222,60576,58639,62048,62570,60367,59152,58965
E14000640,City of Chester,C,70857,72255,74397,74431,75196,75149,73636,71746,69790
E14000641,City of Durham,C,66618,68508,73538,65232,71696,71482,69318,69968,69442
E14000642,Clacton,C,68209,68352,68086,68141,70303,70376,70171,71067,70771
E14000643,Cleethorpes,C,70557,72947,72556,72890,72187,73430,72597,71859,72146
E14000644,Colchester,B,72295,79607,76556,75779,79989,83181,82164,80449,79166
E14000645,Colne Valley,C,79979,82665,81997,81617,84744,84731,83781,83378,83933
E14000646,Congleton,C,71102,76465,77258,78421,81388,80874,81118,81282,82470
E14000647,Copeland,C,60785,60409,60843,60723,61347,61696,60557,59991,59844
E14000648,Corby,C,80049,81140,81941,82257,85103,85946,84647,84815,85342
E14000649,Coventry North East,B,72135,74723,74507,73590,75349,75274,74307,73392,74031
E14000650,Coventry North West,B,70716,73685,73384,72470,73539,73431,72217,70857,71520
E14000651,Coventry South,B,67180,66940,66328,65009,69159,69113,67196,65643,67677
E14000652,Crawley,B,70578,71455,72499,72199,74712,74446,73780,72980,73535
E14000653,Crewe and Nantwich,C,72239,78047,78544,78801,80813,80227,79147,79088,79853
E14000654,Croydon Central,B,74571,79802,78797,78554,79376,81481,80754,80861,80142
E14000655,Croydon North,B,80523,87301,85565,85196,85890,88530,87745,87695,87106
E14000656,Croydon South,B,79094,84080,82422,81652,82481,84274,83631,83588,83063
E14000657,Dagenham and Rainham,B,67555,68841,69758,70580,70021,71409,70815,70278,67704
E14000658,Darlington,B,63995,65342,66193,65286,65969,66729,65754,64341,64073
E14000659,Dartford,C,76911,78086,79107,80824,80970,83021,82465,82173,82964
E14000660,Daventry,C,71479,74289,74674,75331,78083,77997,77540,76936,76896
E14000661,Denton and Reddish,B,63868,65367,65533,65493,66979,66470,64748,63743,64414
E14000662,Derby North,B,69670,68999,68526,68403,72192,71876,70603,69278,69119
E14000663,Derby South,B,69735,69300,69244,69620,72698,72067,70883,69669,69440
E14000664,Derbyshire Dales,C,60909,63105,63972,64035,65339,65240,64536,64727,65211
E14000665,Devizes,C,67301,69598,70199,69682,73893,73734,72344,72597,73013
E14000666,Dewsbury,C,77065,80018,79219,78813,81912,82003,80905,80922,81290
E14000667,Don Valley,C,70730,72897,74203,73649,74456,75425,74670,74616,73421
E14000668,Doncaster Central,B,70200,70778,72242,70552,70446,71229,70187,69798,68845
E14000669,Doncaster North,C,70337,71430,72613,71202,71348,72354,71502,71326,69994
E14000670,Dover,C,72940,74600,74304,73570,75978,75230,74408,73735,73697
E14000671,Dudley North,B,61054,61719,60966,60543,62321,61333,60123,59489,59447
E14000672,Dudley South,B,60284,60957,60491,60456,61083,60301,59159,58749,58879
E14000673,Dulwich and West Norwood,B,72576,73771,74864,73866,80181,79631,76463,73910,73259
E14000674,Ealing Central and Acton,B,70798,70582,68779,68521,70947,74683,73248,70002,69996
E14000675,Ealing North,B,73703,72972,71599,71867,72820,74389,73591,71691,71478
E14000676,"Ealing, Southall",B,64475,63282,61752,61946,62816,64221,63735,62035,62258
E14000677,Easington,C,60833,61870,61851,60895,61535,61335,60681,60321,59822
E14000678,East Devon,C,76372,80326,81919,84195,86097,86803,86115,87077,86513
E14000679,East Ham,B,82810,84377,82302,81899,85365,88324,87759,88443,90231
E14000680,East Hampshire,C,70063,72808,73450,73496,74478,76943,76285,76411,76642
E14000681,East Surrey,C,77146,80583,80835,80378,81454,83728,82836,82004,81926
E14000682,East Worthing and Shoreham,C,71723,74416,74605,73700,73971,75466,74318,73071,72602
E14000683,East Yorkshire,C,77061,78344,79349,79849,79701,80713,81349,81395,82154
E14000684,Eastbourne,B,74670,76426,76443,77083,77187,79657,78201,77365,77421
E14000685,Eastleigh,B,77814,78989,80559,80493,82080,84499,84133,83866,84016
E14000686,Eddisbury,C,67635,69757,71468,71674,74357,74172,74077,74178,73286
E14000687,Edmonton,B,63360,64396,64759,62857,66135,65501,65583,64531,63661
E14000688,Ellesmere Port and Neston,C,67586,68456,69522,69529,70052,69995,69242,68298,66039
E14000689,Elmet and Rothwell,C,77287,78913,78278,78514,79316,81421,80791,80267,80236
E14000690,Eltham,B,61794,62575,62325,61794,61876,64213,62856,61425,61009
E14000691,Enfield North,B,65981,66828,67417,65699,68586,67858,67980,66744,66029
E14000692,"Enfield, Southgate",B,62915,64010,64430,62291,65413,64755,64623,63310,62670
E14000693,Epping Forest,C ,73521,74281,73817,73638,74752,74553,73013,71628,71047
E14000694,Epsom and Ewell,B,77417,78984,79289,78393,81706,80376,79602,78517,78387
E14000695,Erewash,C,70299,71476,71029,71333,71526,71986,72018,70886,70567
E14000696,Erith and Thamesmead,B,66755,67977,68381,67126,67566,69529,68562,67866,67064
E14000697,Esher and Walton,B,78545,78303,79010,77896,79275,81816,79656,78712,79860
E14000698,Exeter,B,71404,73209,74767,74955,80984,80676,76829,74931,73875
E14000699,Fareham,C,75724,77012,77881,77843,78886,78815,77913,77173,76774
E14000700,Faversham and Mid Kent,C,66647,70294,69954,70737,73165,73477,73923,74563,75746
E14000701,Feltham and Heston,B,79083,80378,80398,79102,79426,81998,80417,79348,79335
E14000702,Filton and Bradley Stoke,C,69455,70743,67062,69420,74355,74287,74294,73736,70120
E14000703,Finchley and Golders Green,B,66631,69535,74821,73033,73533,75594,76351,74332,73574
E14000704,Folkestone and Hythe,C,81416,83995,85518,85855,88958,88563,87995,86805,86835
E14000705,Forest of Dean,C,68590,71778,70562,70289,71879,71510,71011,70607,70800
E14000706,Fylde,C,63943,64782,65188,65102,66600,67977,67934,67424,68009
E14000707,Gainsborough,C,74332,74903,74980,74415,75846,76801,75692,74777,74584
E14000708,Garston and Halewood,B,71942,73524,74432,74218,76598,76406,75248,74133,73880
E14000709,Gateshead,B,62188,63769,64357,62935,64224,64154,63047,61384,60555
E14000710,Gedling,C,68900,70782,70818,70168,71839,70871,71497,70522,69828
E14000711,Gillingham and Rainham,B,68890,71819,71936,73283,71644,73951,72219,73059,71169
E14000712,Gloucester,B,79129,80427,84650,81365,78312,81509,79349,79522,79556
E14000713,Gosport,B,72357,73737,73691,72607,74104,73763,73342,72358,72246
E14000714,Grantham and Stamford,C,77983,81105,80347,79293,80822,81844,81590,81138,80831
E14000715,Gravesham,C,70477,73088,71601,71123,72423,72866,71737,70845,70836
E14000716,Great Grimsby,B,58997,61577,60928,60334,60149,60908,60149,59618,59401
E14000717,Great Yarmouth,C,69691,70816,69332,69104,69808,70077,71148,72482,69769
E14000718,Greenwich and Woolwich,B,69753,72412,73671,73514,74784,79909,78159,76409,76398
E14000719,Guildford,C,74077,74675,72932,72280,73208,77772,73879,73064,76196
E14000720,Hackney North and Stoke Newington,B,75758,77806,80424,79002,85300,86274,82868,80857,80929
E14000721,Hackney South and Shoreditch,B,72586,75477,78027,75991,81911,83684,80624,78796,78773
E14000722,Halesowen and Rowley Regis,B,67299,68130,68324,66827,68710,68128,67515,66440,66682
E14000723,Halifax,B,67805,69620,69960,69954,70413,71726,71032,71190,71012
E14000724,Haltemprice and Howden,C,68104,69345,69967,70534,70252,70736,71096,70925,71672
E14000725,Halton,C,70868,71526,72668,69917,72332,72552,71942,71606,69985
E14000726,Hammersmith,B,67526,70277,70233,68846,74105,73582,70105,68941,68955
E14000727,Hampstead and Kilburn,B,74977,79461,79689,76902,78183,83051,80104,72936,71923
E14000728,Harborough,C,74967,76542,77395,77837,80674,80639,79388,79202,79405
E14000729,Harlow,C,65971,67362,67164,66191,66990,68244,67406,67509,67557
E14000730,Harrogate and Knaresborough,C,74319,76417,76053,75034,76777,78372,77807,77605,77736
E14000731,Harrow East,B,69864,70779,71585,70662,71274,71791,71427,69818,70014
E14000732,Harrow West,B,67425,68287,69370,68876,71055,72145,72225,71111,72149
E14000733,Hartlepool,B,68201,68801,70032,69713,70235,71228,70968,70496,69903
E14000734,Harwich and North Essex,C,68440,70497,70984,71104,72664,74083,73734,73737,73787
E14000735,Hastings and Rye,C,71672,74924,76549,76063,79390,79165,78726,77501,76857
E14000736,Havant,B,69712,71493,71961,71061,71486,72766,72052,71539,71400
E14000737,Hayes and Harlington,B,69700,71756,71666,69422,70277,72896,71293,70538,68967
E14000738,Hazel Grove,C,60718,61959,62184,61903,63691,62504,62234,61996,61693
E14000739,Hemel Hempstead,C,70695,73051,73736,72667,73715,74535,73759,72854,72104
E14000740,Hemsworth,C,69319,70367,72036,71271,74001,73706,72987,72639,72540
E14000741,Hendon,B,69502,72782,78319,77481,78076,81026,82369,81027,81124
E14000742,Henley,C,72682,74006,73509,74022,76298,77213,76910,76950,77220
E14000743,Hereford and South Herefordshire,C,68299,69228,70004,69978,72054,71973,71288,71114,71447
E14000744,Hertford and Stortford,C,77196,81240,81051,79758,80496,82205,82350,81677,81672
E14000745,Hertsmere,C,69825,71816,72251,71293,72094,74114,73518,72130,72960
E14000746,Hexham,C,58198,58698,59856,59298,60437,61402,61190,61527,61500
E14000747,Heywood and Middleton,C,75880,78625,79317,78922,80822,80869,79875,78788,79053
E14000748,High Peak,C,71130,72415,71880,72126,74265,73960,72930,72559,72464
E14000749,Hitchin and Harpenden,C,73478,74928,75053,74374,76692,76593,75742,74989,74660
E14000750,Holborn and St Pancras,B,80921,85850,85057,78956,81123,86298,83016,85661,82985
E14000751,Hornchurch and Upminster,B,78064,79806,81200,80377,79631,80862,79854,78506,77561
E14000752,Hornsey and Wood Green,B,74641,77736,78887,77483,84009,84044,81109,79084,78259
E14000753,Horsham,C,77400,80984,82362,82893,85416,86973,85990,86245,86862
E14000754,Houghton and Sunderland South,B,67329,66274,67391,67247,68903,68963,68603,68269,68428
E14000755,Hove,B,68545,70557,71145,69897,74767,73726,71872,70328,69829
E14000756,Huddersfield,B,62400,65045,63751,63007,65917,66012,64052,63663,64313
E14000757,Huntingdon,C,81303,83209,83371,83328,85270,85109,85421,85296,85519
E14000758,Hyndburn,B,68093,71658,67418,69257,71267,71145,66588,66182,65895
E14000759,Ilford North,B,67980,71090,73538,70159,72027,73037,72415,71139,71295
E14000760,Ilford South,B,78212,82975,86396,80492,83398,84797,84759,83519,84590
E14000761,Ipswich,B,70702,72589,73477,72993,75018,75117,74241,73741,73200
E14000762,Isle of Wight,C,105448,108591,109938,108125,111440,111716,109891,109246,109156
E14000763,Islington North,B,69208,71596,71051,68908,70696,73970,71611,68349,67373
E14000764,Islington South and Finsbury,B,64929,67324,65852,64268,66096,69456,67562,64782,63895
E14000765,Jarrow,B,64212,64588,64777,64524,65495,65232,64840,64526,64334
E14000766,Keighley,C,67410,70090,70604,70471,73384,72954,72511,72588,72265
E14000767,Kenilworth and Southam,C,62992,64843,65349,65440,67252,69340,68242,68597,69147
E14000768,Kensington,B,55432,57221,60674,57627,62686,61761,60502,58841,58402
E14000769,Kettering,C,68279,69982,70589,70486,72839,72777,72534,71924,72921
E14000770,Kingston and Surbiton,B,77995,80379,79885,78097,79290,82037,80134,79450,79439
E14000771,Kingston upon Hull East,B,64970,66142,65032,64593,65116,65325,64949,63423,61941
E14000772,Kingston upon Hull North,B,63112,64085,62738,61400,62917,64940,64204,62415,60927
E14000773,Kingston upon Hull West and Hessle,B,58283,59568,59081,58638,59092,60079,59770,58646,57161
E14000774,Kingswood,B,67569,68625,65061,66943,69206,69058,69396,68457,65543
E14000775,Knowsley,B,77916,80748,81749,82373,84496,84513,85167,84401,84713
E14000776,Lancaster and Fleetwood,C,58789,64719,68601,66699,68243,69788,68907,67936,66842
E14000777,Leeds Central,B,73767,79095,84272,78095,82211,91069,87530,87799,85860
E14000778,Leeds East,B,62608,64655,64623,64579,65693,67883,67240,66755,66790
E14000779,Leeds North East,B,65935,67746,67590,67264,68059,71011,69398,68574,68368
E14000780,Leeds North West,B,55650,58694,60552,58553,60641,67856,65425,64723,63524
E14000781,Leeds West,B,61508,64155,65021,63954,64470,68113,66332,65316,65198
E14000782,Leicester East,B,75755,78283,78895,78176,78647,78754,77422,76018,75806
E14000783,Leicester South,B,72227,74554,75341,73097,75616,77012,73399,71008,70441
E14000784,Leicester West,B,62793,65001,65035,63542,64178,64554,62547,60867,60821
E14000785,Leigh,C,73070,74448,74941,74672,77374,77416,77198,78173,78729
E14000786,Lewes,C,65707,67483,68694,68584,71744,71826,70164,69178,69508
E14000787,Lewisham East,B,62366,65099,65970,65020,65657,70528,67627,65657,65640
E14000788,Lewisham West and Penge,B,67653,70281,71150,70426,71863,73995,73581,71835,71256
E14000789,"Lewisham, Deptford",B,67166,72220,74576,72385,75716,78547,77802,75716,73833
E14000790,Leyton and Wanstead,C ,60150,62196,63702,61375,62625,65082,63576,62554,62993
E14000791,Lichfield,C,72038,73796,73486,73876,77370,76902,76176,75657,75630
E14000792,Lincoln,B,67115,68729,68484,66987,74773,74128,69148,68336,68126
E14000793,"Liverpool, Riverside",B,67054,70950,69419,68526,80583,79956,76550,71938,73707
E14000794,"Liverpool, Walton",B,59917,60878,61318,60265,63047,62875,61260,60058,59440
E14000795,"Liverpool, Wavertree",B,58601,59901,60506,59759,63876,63568,61463,60324,59700
E14000796,"Liverpool, West Derby",B,62153,63378,64351,63902,66136,66008,64475,63306,62652
E14000797,Loughborough,C,74069,77106,73863,73927,79944,80073,79236,77161,71999
E14000798,Louth and Horncastle,C,74617,77337,78472,78101,80070,79534,79335,79103,79260
E14000799,Ludlow,C,65787,67975,67403,66675,69895,69524,67724,69007,67855
E14000800,Luton North,B,64552,66145,66272,66823,67670,68080,67369,66609,65035
E14000801,Luton South,B,64136,65777,66055,66626,68401,69450,68107,68055,66415
E14000802,Macclesfield,C,69582,74817,75098,75004,76626,75881,75110,74330,74254
E14000803,Maidenhead,C,71834,74843,74951,73784,77743,77553,75818,74907,74778
E14000804,Maidstone and The Weald,C,68787,72713,71956,73166,76495,75862,76540,76949,77327
E14000805,Makerfield,C,71857,72636,73355,72966,74400,74400,73897,73760,73409
E14000806,Maldon,C,68924,70447,70981,70782,72930,72455,72113,70770,70935
E14000807,Manchester Central,B,87339,85370,88488,86233,94937,94952,92427,94155,93642
E14000808,"Manchester, Gorton",B,74227,70873,73951,72577,77248,77230,74800,73593,71796
E14000809,"Manchester, Withington",B,74616,69707,71330,69948,77021,76993,74039,72152,70594
E14000810,Mansfield,C,74066,76353,76181,76202,76269,77409,76572,75642,75822
E14000811,Meon Valley,C,71131,72935,73491,73406,74056,75591,75220,75337,76488
E14000812,Meriden,C,78752,82268,81525,81415,83643,84545,83824,82635,82407
E14000813,Mid Bedfordshire,C,80069,82362,84212,84055,87666,88789,88349,88421,90266
E14000814,Mid Derbyshire,C,65959,66490,66957,66555,67464,67036,66880,65919,65351
E14000815,Mid Dorset and North Poole,C,62503,64316,64277,63546,65995,65428,65196,64682,65027
E14000816,Mid Norfolk,C,77627,80105,80060,78191,82723,82060,83571,82957,84720
E14000817,Mid Sussex,C,79149,83553,83395,83064,84125,85160,84915,83868,84444
E14000818,Mid Worcestershire,C,73420,75378,75796,76171,77299,78759,78668,78686,79124
E14000819,Middlesbrough,B,57532,59718,59744,58518,59456,61630,60590,60464,61100
E14000820,Middlesbrough South and East Cleveland,C,68970,71079,71264,70900,71131,73041,72337,71566,71251
E14000821,Milton Keynes North,C,83348,87756,88630,87654,91891,91730,87674,86884,86840
E14000822,Milton Keynes South,B,86585,90993,92011,92000,96671,96543,92620,92503,93207
E14000823,Mitcham and Morden,B,66320,67858,67669,67449,68492,70040,67917,66834,66850
E14000824,Mole Valley,C,72400,74224,73677,72615,74697,74922,73816,72689,72345
E14000825,Morecambe and Lunesdale,C,63283,65060,68246,65474,66382,67602,67185,66671,66600
E14000826,Morley and Outwood,C,73256,75250,75424,76337,77814,79330,78897,78350,78457
E14000827,New Forest East,C,71102,72274,72256,72167,73334,73823,72717,70686,71744
E14000828,New Forest West,C,66871,68166,68559,68765,70487,71009,70495,68783,66918
E14000829,Newark,C,71783,73752,74447,73963,76189,75628,75037,75545,76278
E14000830,Newbury,C,78963,81818,82034,81728,83878,83638,81476,81056,80587
E14000831,Newcastle upon Tyne Central,B,55483,58571,53420,53362,54057,58302,57430,57628,57985
E14000832,Newcastle upon Tyne East,B,58407,62469,58877,55459,54042,63723,61178,58955,58497
E14000833,Newcastle upon Tyne North,B,66293,68202,66064,66146,66721,69032,69405,69123,69553
E14000834,Newcastle-under-Lyme,B,62936,62879,65173,65984,67204,66658,64688,63117,62668
E14000835,Newton Abbot,C,67896,69813,70724,70252,70745,73094,72560,71879,71897
E14000836,"Normanton, Pontefract and Castleford",C,78097,79661,81589,81043,84874,84627,84078,84106,84212
E14000837,North Cornwall,C,63501,65863,67505,67603,70378,70327,69696,69554,69657
E14000838,North Devon,C,73240,75489,74101,73462,74112,76455,75960,75890,76329
E14000839,North Dorset,C,70440,74295,74687,73591,77277,76258,75754,74363,74846
E14000840,North Durham,C,64810,66404,66386,66050,67173,66994,66487,65843,65852
E14000841,North East Bedfordshire,C,83599,85543,87143,86990,89517,90468,89779,89342,90410
E14000842,North East Cambridgeshire,C,81779,83291,83286,83223,83833,83993,83916,83401,83685
E14000843,North East Derbyshire,C,70640,71630,71563,70949,72192,72476,72085,71767,71898
E14000844,North East Hampshire,C,72046,73965,74912,76152,78464,76615,78532,77293,78014
E14000845,North East Hertfordshire,C,72729,74814,75321,74535,76700,76849,76259,75339,74804
E14000846,North East Somerset,C,68441,69893,70070,70989,71452,73932,72754,72729,73273
E14000847,North Herefordshire,C,64727,66087,67081,67729,70194,70046,69606,70073,70244
E14000848,North Norfolk,C,67640,68223,68976,68440,69945,69654,69430,69629,67966
E14000849,North Shropshire,C,77768,80507,79954,80427,83881,83555,81813,83660,82911
E14000850,North Somerset,C,75979,79191,78469,78600,80898,80869,80052,79114,78945
E14000851,North Swindon,C,78158,79063,80620,82642,80239,82561,81910,81450,81478
E14000852,North Thanet,C,69780,71070,71552,71261,73920,73270,72623,72173,70214
E14000853,North Tyneside,B,76427,78191,77252,76873,77477,79033,78977,78577,77938
E14000854,North Warwickshire,C,67237,69158,69639,68909,68889,70245,69232,68531,68118
E14000855,North West Cambridgeshire,C,89991,92698,91982,91121,95690,95684,95141,95367,94902
E14000856,North West Durham,C,69094,71244,71567,70842,72560,72432,71826,71505,71223
