Westminster Parliamentary constituencies Code,Westminster Parliamentary constituencies,Does not apply,Does not apply %,Straight or Heterosexual,Straight or Heterosexual %,Gay or Lesbian,Gay or Lesbian %,Bisexual,Bisexual %,All other sexual orientations,All other sexual orientations %,Not answered,Not answered %
E14000530,Aldershot,0,0.0,81714,90.3,1162,1.3,1299,1.4,374,0.4,5931,6.6
E14000531,Aldridge-Brownhills,0,0.0,58748,92.0,593,0.9,451,0.7,101,0.2,3951,6.2
E14000532,Altrincham and Sale West,0,0.0,72942,91.8,994,1.3,641,0.8,163,0.2,4705,5.9
E14000533,Amber Valley,0,0.0,67880,90.5,1034,1.4,707,0.9,131,0.2,5258,7.0
E14000534,Arundel and South Downs,0,0.0,79652,91.4,1128,1.3,713,0.8,171,0.2,5467,6.3
E14000535,Ashfield,0,0.0,77316,90.5,1166,1.4,804,0.9,149,0.2,6007,7.0
E14000536,Ashford,0,0.0,92910,90.8,1321,1.3,1076,1.1,286,0.3,6683,6.5
E14000537,Ashton-under-Lyne,0,0.0,69473,90.7,1307,1.7,880,1.1,289,0.4,4687,6.1
E14000538,Aylesbury,0,0.0,90137,90.7,1115,1.1,1027,1.0,298,0.3,6781,6.8
E14000539,Banbury,0,0.0,99485,90.4,1537,1.4,1244,1.1,404,0.4,7359,6.7
E14000540,Barking,0,0.0,94842,88.4,925,0.9,1089,1.0,547,0.5,9895,9.2
E14000541,Barnsley Central,0,0.0,67770,91.2,1209,1.6,718,1.0,165,0.2,4444,6.0
E14000542,Barnsley East,0,0.0,70286,91.6,1132,1.5,706,0.9,141,0.2,4433,5.8
E14000543,Barrow and Furness,0,0.0,66527,91.2,864,1.2,701,1.0,205,0.3,4622,6.3
E14000544,Basildon and Billericay,0,0.0,70411,91.7,809,1.1,534,0.7,175,0.2,4863,6.3
E14000545,Basingstoke,0,0.0,86987,90.4,1358,1.4,1310,1.4,364,0.4,6170,6.4
E14000546,Bassetlaw,0,0.0,81653,91.3,1044,1.2,708,0.8,178,0.2,5836,6.5
E14000547,Bath,0,0.0,69965,86.1,1498,1.8,2322,2.9,471,0.6,6981,8.6
E14000548,Batley and Spen,0,0.0,79362,90.7,1030,1.2,768,0.9,181,0.2,6196,7.1
E14000549,Battersea,0,0.0,87375,86.6,3653,3.6,1615,1.6,379,0.4,7889,7.8
E14000550,Beaconsfield,0,0.0,77973,91.5,732,0.9,612,0.7,194,0.2,5743,6.7
E14000551,Beckenham,0,0.0,68156,90.8,993,1.3,633,0.8,161,0.2,5127,6.8
E14000552,Bedford,0,0.0,79063,88.8,1100,1.2,1207,1.4,327,0.4,7365,8.3
E14000553,Bermondsey and Old Southwark,0,0.0,98918,81.0,6824,5.6,3226,2.6,1386,1.1,11719,9.6
E14000554,Berwick-upon-Tweed,0,0.0,59451,91.4,829,1.3,506,0.8,131,0.2,4116,6.3
E14000555,Bethnal Green and Bow,0,0.0,96565,82.1,5075,4.3,3473,3.0,963,0.8,11480,9.8
E14000556,Beverley and Holderness,0,0.0,77587,91.3,890,1.0,635,0.7,152,0.2,5674,6.7
