ONSConstID,ConstituencyName,RegionID,RegionName,CountryID,CountryName,DateOfThisUpdate,DateOfDataset,Year,UK relative level,UK relative rate,Region relative level,Region relative rate,Constituency relative level,Constituency relative rate,UK absolute level,UK absolute rate,Region abssolute level,Region absolute rate,Constituency absolute level,Constituency absolute rate,0-4,5-10,11-15,In work,Not in work
E14000554,Berwick-upon-Tweed,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,2342,0.222,1887416,0.153,99079,0.212,1936,0.183,831,873,634,1778,563
E14000569,Bishop Auckland,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,4095,0.262,1887416,0.153,99079,0.212,3405,0.218,1303,1483,1304,2640,1459
E14000574,Blaydon,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,2827,0.192,1887416,0.153,99079,0.212,2294,0.156,979,999,853,2047,777
E14000575,Blyth Valley,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,3636,0.242,1887416,0.153,99079,0.212,3026,0.201,1143,1369,1120,2403,1232
E14000641,City of Durham,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,3000,0.199,1887416,0.153,99079,0.212,2541,0.168,961,1139,898,1939,1057
E14000658,Darlington,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,4606,0.264,1887416,0.153,99079,0.212,3748,0.215,1457,1695,1458,3148,1463
E14000677,Easington,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,4027,0.264,1887416,0.153,99079,0.212,3246,0.213,1259,1437,1332,2515,1515
E14000709,Gateshead,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,4872,0.282,1887416,0.153,99079,0.212,3873,0.224,1563,1804,1507,3228,1649
E14000733,Hartlepool,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,4721,0.262,1887416,0.153,99079,0.212,3826,0.213,1637,1694,1387,3057,1666
E14000746,Hexham,E12000001,North East,K02000001,United Kingdom,45069,45069,2021/22,2470678,0.201,120512,0.258,1587,0.131,1887416,0.153,99079,0.212,1294,0.107,577,567,443,1244,347
