const_id,const_name,2023,GE 2019,2019 party,2019 MP,2019 electorate,2019 turnout,Pre GE 2019,GE 2017,2017 turnout,GE 2015
E14000958,Southport,Con,Con,Conservative and Unionist Party,Damien Moore,70837,68,Con,Con,69.2,LD
E14000959,Spelthorne,Con,Con,Conservative and Unionist Party,Kwasi Kwarteng,70929,69.8,Con,Con,69.1,Con
E14000960,St Albans,LD,LD,Liberal Democrats,Daisy Cooper,73721,78.1,Con,Con,78.5,Con
E14000961,St Austell and Newquay,Con,Con,Conservative and Unionist Party,Steve Double,79930,69.8,Con,Con,69.3,Con
E14000962,St Helens North,Lab,Lab,Labour Party,Conor McGinn,75593,62.9,Lab,Lab,66.1,Lab
E14000963,St Helens South and Whiston,Lab,Lab,Labour Party,Marie Rimmer,79058,63.6,Lab,Lab,67,Lab
E14000964,St Ives,Con,Con,Conservative and Unionist Party,Derek Thomas,68795,74.7,Con,Con,76.5,Con
E14000965,Stafford,Con,Con,Conservative and Unionist Party,Theo Clarke,72572,70.5,Con,Con,76,Con
E14000966,Staffordshire Moorlands,Con,Con,Conservative and Unionist Party,Karen Bradley,,,Con,Con,70.7,Con
E14000967,Stalybridge and Hyde,Lab,Lab,Labour and Co-operative Party,Jonathan Reynolds,73064,58,Lab,Lab,59.6,Lab
E14000968,Stevenage,Con,Con,Conservative and Unionist Party,Stephen McPartland,,,Con,Con,69.9,Con
E14000969,Stockport,Lab,Lab,Labour Party,Navendu Mishra,,,Ind,Lab,64.8,Lab
E14000970,Stockton North,Lab,Lab,Labour Party,Alex Cunningham,66676,61.7,Lab,Lab,64.6,Lab
E14000971,Stockton South,Con,Con,Conservative and Unionist Party,Matt Vickers,76895,71.3,Lab,Lab,71.3,Con
E14000972,Stoke-on-Trent Central,Con,Con,Conservative and Unionist Party,Jo Gideon,,,Lab,Lab,58.3,Lab
E14000973,Stoke-on-Trent North,Con,Con,Conservative and Unionist Party,Jonathan Edward Gullis,,,Lab,Lab,58.6,Lab
E14000974,Stoke-on-Trent South,Con,Con,Conservative and Unionist Party,Jack Edgar Brereton,,,Con,Con,63.3,Lab
E14000975,Stone,Con,Con,Conservative and Unionist Party,Bill Cash,,,Con,Con,73.9,Con
E14000976,Stourbridge,Con,Con,Conservative and Unionist Party,Suzanne Webb,,,Ind,Con,67.2,Con
E14000977,Stratford-on-Avon,Con,Con,Conservative and Unionist Party,Nadhim Zahawi,,,Con,Con,74,Con
E14000978,Streatham,Lab,Lab,Labour Party,Bell Ribeiro-Addy,84763,66.7,LD,Lab,71.1,Lab
E14000979,Stretford and Urmston,Lab,Lab,Labour Party,Kate Green,72386,69.2,Lab,Lab,70,Lab
E14000980,Stroud,Con,Con,Conservative and Unionist Party,Siobhan Baillie,84536,78,Lab,Lab,77.2,Con
E14000981,Suffolk Coastal,Con,Con,Conservative and Unionist Party,Thérèse Coffey,81910,71.2,Con,Con,73.5,Con
E14000982,Sunderland Central,Lab,Lab,Labour Party,Julie Elliott,,,Lab,Lab,62.1,Lab
E14000983,Surrey Heath,Con,Con,Conservative and Unionist Party,Michael Gove,81349,72.1,Con,Con,71.9,Con
E14000984,Sutton and Cheam,Con,Con,Conservative and Unionist Party,Paul Scully,71760,70.4,Con,Con,74,Con
E14000985,Sutton Coldfield,Con,Con,Conservative and Unionist Party,Andrew Mitchell,75638,69.2,Con,Con,70.1,Con
E14000986,Tamworth,Con,Con,Conservative and Unionist Party,Christopher Pincher,71580,64.3,Con,Con,66.3,Con
E14000987,Tatton,Con,Con,Conservative and Unionist Party,Esther McVey,69018,70.9,Con,Con,72.5,Con
E14000988,Taunton Deane,Con,Con,Conservative and Unionist Party,Rebecca Pow,,,Con,Con,73.9,Con
E14000989,Telford,Con,Con,Conservative and Unionist Party,Lucy Allan,68921,62.1,Con,Con,65.8,Con
E14000990,Tewkesbury,Con,Con,Conservative and Unionist Party,Laurence Robertson,83958,72.8,Con,Con,72.7,Con
E14000991,The Cotswolds,Con,Con,Conservative and Unionist Party,Geoffrey Robert Clifton-Brown,,,Con,Con,74.4,Con
E14000992,The Wrekin,Con,Con,Conservative and Unionist Party,Mark Pritchard,70693,69.2,Con,Con,72.4,Con
E14000993,Thirsk and Malton,Con,Con,Conservative and Unionist Party,Kevin Hollinrake,80979,69.9,Con,Con,71.2,Con
E14000994,Thornbury and Yate,Con,Con,Conservative and Unionist Party,Luke Hall,69492,75.2,Con,Con,74.8,Con
E14000995,Thurrock,Con,Con,Conservative and Unionist Party,Jackie Doyle-Price,79798,59.5,Con,Con,64.5,Con
E14000996,Tiverton and Honiton,LD,Con,Conservative and Unionist Party,Neil Parish,82953,71.9,Con,Con,71.8,Con
E14000997,Tonbridge and Malling,Con,Con,Conservative and Unionist Party,Tom Tugendhat,77380,73.7,Con,Con,73.6,Con
E14000998,Tooting,Lab,Lab,Labour Party,Rosena Allin-Khan,76933,76,Lab,Lab,74.8,Lab
E14000999,Torbay,Con,Con,Conservative and Unionist Party,Kevin Foster,75054,67.2,Con,Con,67.5,Con
E14001000,Torridge and West Devon,Con,Con,Conservative and Unionist Party,Geoffrey Cox,79831,74.8,Con,Con,74,Con
E14001001,Totnes,Con,Con,Conservative and Unionist Party,Anthony Mangnall,69863,74.7,LD,Con,73.1,Con
E14001002,Tottenham,Lab,Lab,Labour Party,David Lammy,75740,61.9,Lab,Lab,67.9,Lab
E14001003,Truro and Falmouth,Con,Con,Conservative and Unionist Party,Cherilyn Mackrory,76719,77.2,Con,Con,75.9,Con
E14001004,Tunbridge Wells,Con,Con,Conservative and Unionist Party,Greg Clark,74816,73,Ind,Con,72.6,Con
E14001005,Twickenham,LD,LD,Liberal Democrats,Munira Wilson,82866,77.8,LD,LD,79.7,Con
E14001006,Tynemouth,Lab,Lab,Labour Party,Alan Campbell,77261,72.5,Lab,Lab,73.6,Lab
E14001007,Uxbridge and South Ruislip,Con,Con,Conservative and Unionist Party,Boris Johnson,70369,68.5,Con,Con,66.9,Con
E14001008,Vauxhall,Lab,Lab,Labour and Co-operative Party,Florence Eshalomi,88600,63.6,Lab,Lab,67.3,Lab
E14001009,Wakefield,Lab,Con,Conservative and Unionist Party,Imran Nasir Ahmad Khan,70192,64.1,Lab,Lab,66,Lab
E14001010,Wallasey,Lab,Lab,Labour Party,Angela Eagle,66310,70.1,Lab,Lab,71.8,Lab
E14001011,Walsall North,Con,Con,Conservative and Unionist Party,Eddie Hughes,67177,54.4,Con,Con,56.7,Lab
E14001012,Walsall South,Lab,Lab,Labour Party,Valerie Vaz,68024,62.4,Lab,Lab,65.5,Lab
E14001013,Walthamstow,Lab,Lab,Labour and Co-operative Party,Stella Creasy,70268,68.8,Lab,Lab,71.1,Lab
E14001014,Wansbeck,Lab,Lab,Labour Party,Ian Lavery,,,Lab,Lab,68.4,Lab
E14001015,Wantage,Con,Con,Conservative and Unionist Party,David Johnston,90875,73.9,Ind,Con,74.3,Con
