ONSConstID,ConstituencyName,RegNationID,RegNationName,NatComparator,Con_num→Families with dependent children,Con_num→One-person households,Con_num→Other household types,Con_num→Other single-family households,Con_pc→Families with dependent children,Con_pc→One-person households,Con_pc→Other household types,Con_pc→Other single-family households,RN_pc→Families with dependent children,RN_pc→One-person households,RN_pc→Other household types,RN_pc→Other single-family households,Nat_pc→Families with dependent children,Nat_pc→One-person households,Nat_pc→Other household types,Nat_pc→Other single-family households
E14001063,Aldershot,E12000008,South East,UK,14489,12106,2401,17174,0.313818,0.262205,0.052004,0.371974,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001064,Aldridge-Brownhills,E12000005,West Midlands,UK,10956,11100,1063,16085,0.279461,0.283135,0.027115,0.41029,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001065,Altrincham & Sale West,E12000002,North West,UK,13833,11278,1085,14570,0.339327,0.276652,0.026615,0.357405,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001066,Amber Valley,E12000004,East Midlands,UK,10132,12498,1008,16776,0.250705,0.309249,0.024942,0.415104,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001067,Arundel & South Downs,E12000008,South East,UK,9910,12033,1352,18958,0.23454,0.284784,0.031998,0.448677,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001068,Ashfield,E12000004,East Midlands,UK,11240,12001,1193,16501,0.274581,0.293172,0.029144,0.403103,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001069,Ashford,E12000008,South East,UK,14061,10758,1842,15691,0.332003,0.254014,0.043493,0.370491,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001070,Ashton-under-Lyne,E12000002,North West,UK,12980,13661,1401,14182,0.307407,0.323537,0.03318,0.335875,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001071,Aylesbury,E12000008,South East,UK,14206,12190,1807,15988,0.321469,0.275848,0.040891,0.361792,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001072,Banbury,E12000008,South East,UK,12090,11995,1903,16533,0.28433,0.282096,0.044755,0.38882,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001073,Barking,E12000007,London,UK,20697,10275,3085,10550,0.463986,0.230345,0.06916,0.23651,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001074,Barnsley North,E12000003,Yorkshire and The Humber,UK,12703,14144,1280,17867,0.276187,0.307518,0.027829,0.388464,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001075,Barnsley South,E12000003,Yorkshire and The Humber,UK,12835,14883,1300,17631,0.27514,0.319043,0.027867,0.37795,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001076,Barrow & Furness,E12000002,North West,UK,10629,15801,970,17544,0.236494,0.351571,0.021582,0.390352,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001077,Basildon & Billericay,E12000006,East of England,UK,14664,12052,1557,15262,0.336832,0.276834,0.035765,0.350569,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001078,Basingstoke,E12000008,South East,UK,13765,12626,2162,17031,0.30197,0.276984,0.047429,0.373617,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001079,Bassetlaw,E12000004,East Midlands,UK,12013,13997,1158,18508,0.263005,0.306441,0.025353,0.405202,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001080,Bath,E12000009,South West,UK,9875,13426,4572,14226,0.234567,0.318915,0.108601,0.337918,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001081,Battersea,E12000007,London,UK,10695,14998,8288,13755,0.224045,0.314186,0.173622,0.288147,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001082,Beaconsfield,E12000008,South East,UK,11766,10908,1602,15023,0.299397,0.277565,0.040765,0.382273,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001083,Beckenham & Penge,E12000007,London,UK,13739,14864,2175,15622,0.2961,0.320345,0.046875,0.336681,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001084,Bedford,E12000006,East of England,UK,13557,14348,2382,14561,0.302288,0.319925,0.053113,0.324675,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001085,Bermondsey & Old Southwark,E12000007,London,UK,9643,17176,7836,13298,0.201093,0.358184,0.16341,0.277314,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001086,Bethnal Green & Stepney,E12000007,London,UK,12886,14650,8013,10603,0.279208,0.317429,0.173622,0.229741,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001087,Beverley & Holderness,E12000003,Yorkshire and The Humber,UK,9182,12019,859,17952,0.229481,0.300385,0.021468,0.448665,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001088,Bexhill & Battle,E12000008,South East,UK,8493,12927,1387,17336,0.211569,0.322024,0.034552,0.431857,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001089,Bexleyheath & Crayford,E12000007,London,UK,13024,9481,1618,13816,0.343288,0.249901,0.042647,0.364164,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001090,Bicester & Woodstock,E12000008,South East,UK,12283,10466,1886,16724,0.296985,0.253052,0.0456,0.404362,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001091,Birkenhead,E12000002,North West,UK,13355,18121,1441,15024,0.278571,0.377986,0.030058,0.313386,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001092,Birmingham Edgbaston,E12000005,West Midlands,UK,12597,15295,2840,12349,0.292403,0.355029,0.065922,0.286646,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001093,Birmingham Erdington,E12000005,West Midlands,UK,15995,16637,2654,14109,0.323818,0.336815,0.05373,0.285636,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001094,Birmingham Hall Green & Moseley,E12000005,West Midlands,UK,14856,11212,2325,10481,0.382158,0.288419,0.059809,0.269615,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001095,Birmingham Hodge Hill & Solihull North,E12000005,West Midlands,UK,16989,11793,1820,12139,0.397487,0.275918,0.042582,0.284012,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001096,Birmingham Ladywood,E12000005,West Midlands,UK,17596,19837,4947,10947,0.329965,0.371988,0.092767,0.205281,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
