PCON10CD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E14000530,68,49,52,33,42,32,39,32,37,37,36,45,33,40,46,43,40,41,30,44,29,31
E14000531,32,24,27,23,25,21,21,27,20,17,16,17,10,14,24,18,15,23,10,19,18,22
E14000532,26,17,15,32,23,25,19,13,15,16,16,10,14,12,13,18,10,11,16,16,10,22
E14000533,61,57,70,38,42,52,44,39,39,32,27,29,37,23,33,28,31,32,39,32,15,22
E14000534,100,116,113,115,75,96,91,95,92,90,72,76,70,77,92,79,104,79,82,101,92,77
E14000535,67,59,60,69,60,58,58,56,47,49,56,48,54,37,43,40,31,41,36,55,34,30
E14000536,105,74,69,59,64,54,52,43,46,57,30,33,67,54,61,50,61,59,53,62,56,49
E14000537,27,33,35,40,26,40,25,28,19,18,25,26,26,21,24,17,20,33,20,19,22,22
E14000538,45,52,48,50,48,43,38,33,28,29,26,29,24,27,37,32,23,26,24,30,21,19
E14000539,67,80,68,79,51,46,56,68,47,59,54,63,34,63,65,54,62,40,44,36,43,32
E14000540,66,67,64,68,58,31,42,23,29,29,27,25,30,24,25,22,24,53,71,55,40,32
E14000541,33,38,46,44,34,30,38,39,34,18,17,25,32,23,24,14,33,42,51,44,32,38
E14000542,34,32,45,35,41,31,39,42,34,34,18,28,23,30,32,25,26,58,50,47,48,52
E14000543,45,50,48,39,41,37,27,27,25,29,26,21,20,28,34,27,38,30,35,44,32,28
E14000544,44,60,50,55,43,30,49,40,26,25,30,24,34,26,37,27,33,39,29,28,26,34
E14000545,58,68,70,50,36,42,36,26,17,30,38,38,35,34,46,38,41,27,25,33,33,23
E14000546,95,91,88,84,71,81,77,63,72,60,59,52,62,51,36,35,54,55,53,53,55,47
E14000547,14,22,20,36,28,28,24,17,11,9,11,8,11,20,11,16,14,11,13,14,7,12
E14000548,66,50,49,46,46,48,53,48,59,42,30,36,37,28,41,29,36,38,39,31,24,54
E14000549,88,83,74,58,62,60,66,53,32,55,55,45,50,38,38,24,44,57,69,76,66,85
E14000550,81,97,99,90,88,82,63,75,52,58,49,53,65,53,66,70,57,37,38,50,35,32
E14000551,45,56,69,40,47,38,40,31,38,32,27,30,26,17,10,17,18,30,28,28,29,31
E14000552,41,28,31,32,28,33,38,36,38,24,32,28,36,25,39,32,38,41,39,54,36,28
E14000553,120,124,99,100,53,67,65,54,80,66,80,69,66,48,30,45,44,86,102,84,77,92
E14000554,57,64,56,55,58,39,54,37,49,59,35,42,53,34,29,40,46,50,52,53,27,43
E14000555,70,75,68,56,65,47,57,73,74,51,58,61,93,41,51,33,61,107,90,75,57,98
E14000556,65,67,70,57,67,69,57,61,52,57,65,48,42,58,43,48,50,61,45,42,30,60
E14000557,77,66,82,83,67,67,91,62,85,83,73,58,69,62,79,60,79,70,76,85,59,65
E14000558,48,50,45,45,32,32,32,23,23,27,25,21,22,14,9,12,21,17,27,24,22,26
E14000559,60,43,51,53,51,65,55,45,41,38,26,41,33,39,46,39,45,43,32,30,30,27
E14000560,49,40,40,56,48,41,36,44,40,33,50,43,31,31,36,38,37,40,43,39,29,23
E14000561,61,41,54,43,35,45,33,47,36,30,40,43,29,41,38,36,38,50,49,35,43,35
E14000562,55,52,39,53,41,39,43,41,51,47,40,46,32,46,33,43,42,49,42,39,24,40
E14000563,63,49,51,49,33,37,45,38,37,38,38,33,43,32,42,29,48,40,46,45,27,35
E14000564,103,110,111,116,108,94,93,84,91,96,61,101,76,77,81,101,101,68,98,98,64,81
E14000565,49,32,29,33,47,28,24,24,20,26,27,23,28,30,27,25,30,22,30,30,24,27
E14000566,50,54,44,48,47,44,45,38,40,33,30,38,38,37,34,49,39,36,33,38,30,32
E14000567,49,44,36,35,29,30,30,40,29,28,27,36,34,26,23,22,45,31,26,30,32,23
E14000568,54,50,41,26,38,46,47,44,25,31,24,35,37,34,47,32,33,36,37,43,23,43
E14000569,32,37,52,34,41,48,35,34,27,32,32,27,38,38,32,37,34,29,31,32,29,37
E14000570,49,46,48,41,36,44,56,38,43,47,40,45,46,46,47,53,47,44,42,75,57,60
E14000571,52,57,53,52,48,48,43,42,41,33,29,40,37,32,39,32,32,40,35,26,19,42
E14000572,50,55,35,41,30,32,44,35,32,34,27,38,27,27,31,34,43,32,39,58,26,58
E14000573,49,63,62,55,33,45,55,44,38,43,40,39,28,51,30,32,47,40,40,59,31,62
E14000574,44,37,45,37,42,44,34,43,44,46,40,32,32,25,24,23,24,21,36,23,22,28
E14000575,24,23,27,28,31,35,23,23,20,23,19,25,29,23,19,17,21,26,24,34,18,31
E14000576,38,48,38,34,33,34,40,35,38,36,37,34,36,37,33,35,27,36,40,34,50,42
E14000577,77,90,60,72,73,53,45,56,51,36,32,33,39,39,45,31,31,36,33,43,29,35
E14000578,26,32,33,33,30,36,32,25,22,18,28,22,26,25,29,29,23,32,26,19,12,25
E14000579,50,34,30,43,39,46,33,32,31,27,31,28,29,25,35,24,34,32,36,33,21,38
E14000580,37,37,28,33,32,33,28,30,28,24,27,22,16,20,27,20,26,18,21,20,18,22
E14000581,48,42,36,48,42,31,20,22,29,40,24,27,29,32,36,38,35,35,28,27,19,24
E14000582,53,54,82,61,67,53,48,40,34,55,53,58,60,61,59,30,61,66,75,74,57,65
E14000583,54,39,43,35,51,40,34,36,30,25,19,29,24,33,36,27,20,21,37,17,19,24
E14000584,47,30,44,36,31,26,32,42,35,35,30,25,40,37,31,27,33,45,19,30,31,34
E14000585,51,49,58,52,51,50,41,69,49,36,50,52,67,43,48,48,42,39,29,36,31,42
E14000586,41,46,30,25,30,23,38,25,15,22,15,22,21,22,20,27,25,15,15,17,15,15
E14000587,69,75,67,64,48,55,55,73,54,49,40,58,50,43,48,49,39,39,36,40,38,72
E14000588,36,50,46,41,43,37,34,41,39,33,30,33,39,29,44,38,19,28,30,25,26,45
E14000589,59,74,67,67,63,47,65,49,59,53,46,57,48,46,36,38,45,47,47,36,31,61
E14000590,65,72,64,66,58,46,69,55,37,46,37,38,34,31,41,53,48,43,41,38,38,33
E14000591,94,74,69,93,77,46,53,53,48,42,36,39,43,38,47,36,48,65,58,59,49,41
E14000592,77,79,59,63,55,46,43,32,33,35,31,26,35,35,27,32,32,50,81,46,25,41
E14000593,95,70,102,62,46,57,58,45,42,37,51,39,40,34,26,33,41,59,55,56,33,64
E14000594,90,83,89,94,81,74,78,82,54,60,51,49,62,45,49,49,67,59,67,55,50,49
E14000595,41,51,57,54,49,79,49,55,50,69,44,42,47,44,42,37,35,31,26,34,16,32
E14000596,71,86,55,76,92,85,52,75,43,40,52,38,54,56,51,36,35,44,63,35,36,31
E14000597,42,42,33,37,37,46,45,40,26,30,29,46,51,38,45,50,35,40,52,48,39,55
E14000598,76,62,70,78,53,63,70,72,64,75,63,74,75,64,59,67,77,72,72,66,66,68
E14000599,29,28,36,36,44,25,38,40,16,22,19,25,28,13,25,20,14,14,21,19,13,10
E14000600,34,41,50,50,43,43,30,35,31,25,26,30,28,18,17,29,23,15,11,12,17,17
E14000601,38,39,48,37,48,44,38,48,24,18,38,28,32,30,29,29,24,19,22,19,11,20
E14000602,62,63,85,63,75,64,51,58,44,41,39,66,51,44,47,44,46,25,50,27,16,42
E14000603,67,85,61,64,62,60,47,49,53,40,33,29,41,53,42,40,47,50,46,59,43,36
E14000604,44,56,59,54,41,37,51,43,33,34,22,22,34,24,13,23,27,30,28,30,19,29
E14000605,55,55,53,57,48,41,33,43,42,27,14,26,25,38,25,36,43,31,37,27,28,39
E14000606,40,41,43,27,38,20,36,38,14,27,25,29,24,23,27,27,27,27,29,22,18,15
E14000607,64,75,50,56,58,38,42,54,35,45,30,38,46,27,33,21,36,31,30,24,26,24
E14000608,85,87,76,71,81,64,72,58,54,66,40,48,51,56,43,55,53,46,32,37,37,36
E14000609,52,54,51,47,62,57,70,46,45,37,49,45,45,34,49,58,46,36,46,68,39,47
E14000610,31,32,37,34,43,25,30,36,29,31,20,22,25,18,19,40,31,28,22,36,16,26
E14000611,26,27,26,22,22,33,27,26,26,38,23,26,17,25,13,10,21,22,15,17,10,20
E14000612,27,24,25,30,36,38,26,29,19,26,32,27,23,25,17,20,13,22,21,20,19,39
E14000613,63,57,52,55,48,46,39,39,46,48,48,46,52,37,29,30,35,35,35,37,37,37
E14000614,38,57,58,55,56,57,69,46,64,45,31,53,49,39,52,36,37,26,27,37,20,42
E14000615,75,78,69,65,51,45,49,57,59,45,57,42,38,28,26,33,29,53,70,58,43,56
E14000616,42,39,36,29,36,23,38,32,26,25,27,24,38,22,38,28,40,43,31,49,33,33
E14000617,53,42,51,54,53,39,51,35,33,54,40,46,54,37,55,49,57,64,58,68,45,56
E14000618,18,26,20,25,35,22,26,25,22,18,17,15,29,12,15,18,27,14,11,19,10,21
E14000619,54,53,54,55,48,36,27,46,50,40,40,42,34,47,39,38,49,49,39,38,44,54
E14000620,46,36,31,31,36,33,20,20,21,18,20,23,23,15,18,20,30,35,40,40,25,23
E14000621,60,60,46,57,31,36,34,31,30,27,16,24,23,15,18,9,18,27,33,29,28,35
E14000622,48,44,46,38,29,35,35,37,37,32,17,21,20,23,26,31,39,34,27,27,25,30
E14000623,53,68,57,55,41,43,44,56,36,29,52,34,42,46,35,55,58,52,48,48,55,50
E14000624,64,54,43,46,58,40,38,44,48,39,25,34,39,40,38,23,37,33,38,44,35,26
E14000625,30,30,34,32,37,35,32,22,21,25,24,24,22,16,25,25,18,21,22,15,25,24
E14000626,34,51,36,28,44,28,35,32,27,33,26,16,23,14,27,29,41,40,36,28,25,37
E14000627,24,15,19,19,13,30,15,22,21,20,15,17,12,12,18,11,19,9,19,12,11,15
E14000628,33,47,38,46,54,64,50,42,24,30,38,37,30,40,30,37,43,39,40,36,41,25
E14000629,110,104,95,76,67,68,77,78,71,52,57,51,71,33,49,34,47,64,64,61,51,75
E14000630,36,40,37,22,24,25,32,26,23,21,22,30,37,24,28,21,17,28,35,29,34,30
E14000631,42,52,53,48,58,43,39,32,26,25,27,23,22,21,31,28,42,27,20,21,19,15
E14000632,43,36,37,40,36,31,32,40,22,38,26,20,31,21,28,19,28,18,24,23,13,26
E14000633,73,76,72,74,68,99,78,78,68,76,54,92,49,61,61,73,84,68,73,74,80,86
E14000634,67,58,39,39,29,25,31,30,33,21,24,20,17,12,17,14,18,18,24,30,36,20
E14000635,43,45,26,38,32,26,31,25,25,22,21,23,24,20,24,26,22,23,23,34,13,10
E14000636,56,51,59,68,40,36,28,31,26,25,28,39,26,32,21,19,16,38,34,27,30,28
E14000637,59,71,72,82,72,82,70,74,63,47,54,61,48,56,56,36,51,36,40,48,54,55
E14000638,44,41,59,41,51,40,45,53,45,31,34,30,28,24,47,40,36,42,29,30,28,33
E14000639,343,337,290,281,242,228,273,255,251,234,182,175,202,193,166,150,175,263,292,254,145,185
E14000640,52,48,56,49,55,62,44,43,51,48,56,61,49,45,55,44,34,18,40,20,24,29
E14000641,31,39,40,37,36,36,36,33,37,46,27,30,24,35,23,37,20,41,30,41,22,33
E14000642,62,60,59,67,53,44,56,38,37,37,28,29,25,29,23,31,36,46,37,42,27,40
E14000643,65,78,68,64,70,74,69,62,75,50,49,54,52,44,49,34,33,46,50,40,43,35
E14000644,60,45,51,49,54,59,55,45,42,46,42,41,34,40,37,47,49,35,56,46,29,42
E14000645,50,46,43,52,45,45,34,41,37,28,29,42,31,30,34,29,30,37,27,29,20,39
E14000646,53,55,47,60,30,72,54,52,54,48,40,40,38,41,40,46,31,31,37,22,20,25
E14000647,62,60,50,60,49,57,49,51,33,36,23,31,27,31,36,34,46,46,49,38,36,30
E14000648,84,77,71,77,70,84,60,67,47,59,39,50,33,40,32,47,40,39,38,42,38,47
E14000649,71,76,67,51,38,54,37,39,30,47,26,43,37,45,36,31,55,48,54,35,32,31
E14000650,46,50,39,32,28,21,34,29,29,32,32,22,26,27,33,32,26,29,36,26,15,25
E14000651,60,49,37,44,34,28,44,31,37,32,26,58,42,24,37,44,29,38,37,33,26,17
E14000652,44,56,46,44,33,33,34,30,39,39,37,34,43,28,44,46,38,41,57,63,56,35
E14000653,45,53,48,58,69,82,60,37,57,71,60,40,59,39,47,38,34,33,35,25,20,31
E14000654,68,74,75,76,45,51,41,49,29,29,23,28,31,18,24,19,23,33,24,57,41,47
E14000655,87,83,71,68,55,46,51,55,49,31,37,41,40,28,23,24,32,45,53,63,69,79
E14000656,77,84,66,56,43,48,42,37,38,39,28,36,30,20,22,18,19,36,33,41,30,33
E14000657,60,64,63,49,45,28,45,49,38,22,33,30,30,19,20,19,25,46,35,46,24,40
E14000658,29,21,13,20,19,23,29,13,15,25,22,25,23,21,16,20,24,34,31,26,21,26
E14000659,69,64,64,58,46,48,41,49,38,36,47,33,28,42,42,41,65,67,52,49,48,50
E14000660,113,103,96,100,95,86,95,87,91,65,79,55,74,61,83,64,64,57,50,63,53,52
E14000661,23,28,33,34,32,27,25,27,17,22,13,21,21,21,17,17,19,22,17,14,12,25
E14000662,35,58,38,37,41,35,40,36,40,40,28,35,36,23,33,21,27,23,27,24,26,23
E14000663,50,53,57,37,60,48,57,48,59,56,50,44,34,40,56,37,37,36,39,25,26,48
E14000664,90,92,98,80,87,78,82,98,62,80,45,47,51,52,71,62,44,50,52,62,51,35
E14000665,60,56,54,67,57,42,51,46,54,48,41,51,47,37,53,39,38,37,46,39,18,33
E14000666,57,57,49,40,41,57,50,47,42,33,28,30,30,33,40,37,32,31,29,22,25,35
E14000667,39,48,43,52,31,40,37,39,46,41,47,39,35,27,29,34,54,61,47,70,50,52
E14000668,38,45,43,29,42,46,56,38,66,48,41,50,36,33,35,33,45,70,75,62,53,64
E14000669,25,45,43,37,44,42,39,43,39,35,43,46,40,43,34,28,39,53,55,58,51,60
E14000670,45,47,38,34,32,41,42,45,31,30,30,20,24,36,25,29,53,43,38,39,35,43
E14000671,34,22,23,25,23,30,32,39,32,30,21,25,25,24,24,27,36,22,19,25,24,15
E14000672,43,34,39,23,18,38,24,44,26,22,26,17,24,32,30,20,36,25,23,20,24,29
E14000673,92,78,86,65,46,39,54,63,59,45,56,35,26,30,29,25,28,44,51,55,38,70
E14000674,85,78,82,71,57,41,57,48,36,41,33,27,34,39,30,29,34,61,82,63,45,61
E14000675,58,48,56,61,40,52,41,40,45,44,30,22,33,23,31,22,35,53,35,46,42,42
E14000676,42,69,46,56,43,24,38,41,27,30,17,17,19,16,18,10,23,41,26,29,24,19
E14000677,26,35,35,19,25,34,31,43,30,33,25,32,30,24,25,29,29,31,22,29,23,30
E14000678,55,32,36,32,24,33,24,31,29,19,27,29,35,20,36,27,37,40,50,39,38,40
E14000679,73,64,61,50,44,29,32,43,38,38,33,31,37,19,28,27,30,58,47,56,46,55
E14000680,77,72,93,75,54,40,38,54,47,46,51,65,57,54,58,65,62,56,58,51,38,51
E14000681,71,72,64,40,44,43,61,50,43,62,51,55,53,59,82,58,65,51,88,86,62,66
E14000682,41,42,45,33,29,30,34,42,37,45,36,38,48,45,63,49,42,51,55,54,49,52
E14000683,73,88,92,92,85,72,77,82,87,53,45,56,54,48,68,52,45,55,73,49,33,45
E14000684,34,44,45,39,41,41,51,52,52,48,42,37,45,40,58,33,46,39,38,40,39,61
E14000685,47,49,38,33,45,32,42,47,42,46,38,45,44,50,42,51,41,59,46,45,39,44
E14000686,79,69,96,87,87,93,98,90,69,66,71,62,64,46,72,56,56,38,53,31,31,39
E14000687,82,67,65,69,57,36,44,34,20,25,33,31,35,24,18,33,23,44,37,43,28,28
E14000688,34,43,52,53,48,53,43,33,32,51,34,39,48,23,40,32,21,26,25,14,17,24
E14000689,54,57,64,56,53,49,35,50,43,46,31,49,35,35,44,37,42,36,34,50,25,57
E14000690,58,52,66,51,48,34,44,46,49,30,37,31,30,7,9,26,11,33,24,30,23,28
E14000691,54,86,59,56,40,42,37,30,31,33,24,33,30,24,20,17,30,35,51,43,27,29
E14000692,83,58,58,52,54,33,35,21,24,28,35,26,14,18,13,16,15,40,33,30,37,35
E14000693,84,76,77,73,86,74,74,66,66,49,62,52,47,45,65,45,68,68,64,59,37,73
E14000694,48,35,40,28,40,24,36,36,32,23,23,36,50,27,35,35,34,29,51,44,38,55
E14000695,38,41,44,46,44,41,34,30,42,46,20,34,30,23,33,27,26,21,16,26,19,21
E14000696,45,58,49,49,25,33,29,34,23,28,24,19,15,9,9,10,12,29,32,37,29,30
E14000697,38,59,41,31,39,43,37,40,21,30,46,36,47,42,54,50,43,54,77,57,52,51
E14000698,29,32,26,26,15,19,16,21,22,18,20,14,26,36,29,30,25,35,37,38,17,24
E14000699,50,38,36,38,20,24,29,38,23,28,45,51,48,37,50,51,42,55,46,37,35,44
E14000700,67,57,63,71,57,54,60,56,55,33,32,47,34,41,48,32,71,58,69,54,50,52
E14000701,82,101,76,59,67,49,75,51,52,58,40,33,32,28,33,32,35,53,60,55,46,52
E14000702,44,45,38,35,39,31,27,30,28,21,28,16,22,21,19,15,20,10,22,18,17,21
E14000703,91,73,86,72,60,47,49,55,43,40,48,39,36,45,33,31,27,47,43,56,43,38
E14000704,59,71,60,64,52,45,51,42,45,38,43,22,41,31,50,45,79,58,50,45,65,47
E14000705,61,66,41,53,51,52,51,41,41,32,21,39,32,34,32,30,26,40,37,41,30,47
E14000706,51,53,52,47,43,48,47,69,48,43,48,36,32,45,44,51,51,48,44,51,33,53
E14000707,68,81,84,81,46,59,48,66,49,63,63,65,59,62,51,44,69,88,77,53,46,56
E14000708,54,44,49,43,49,40,37,31,34,26,26,39,37,36,37,34,55,34,29,25,19,25
E14000709,36,56,38,34,27,23,29,29,30,33,30,25,36,30,28,35,30,17,24,37,20,28
E14000710,49,49,55,40,38,35,27,31,29,24,19,28,31,17,21,20,22,21,17,26,24,18
E14000711,22,28,27,27,28,21,19,12,30,20,14,24,12,18,19,18,20,33,28,34,31,29
E14000712,40,26,27,48,34,32,28,37,32,29,22,31,30,21,36,34,30,50,39,43,42,44
E14000713,36,33,28,29,35,24,36,45,22,45,30,35,39,39,50,38,54,41,36,43,31,34
E14000714,49,69,66,62,50,49,44,43,43,41,42,61,32,41,34,36,42,53,62,52,37,42
E14000715,48,50,36,42,39,38,39,24,17,31,26,19,15,27,32,34,54,36,31,44,36,42
E14000716,69,67,60,57,77,60,71,51,38,46,30,34,34,56,41,35,43,50,57,45,35,42
E14000717,46,48,40,38,31,31,37,32,34,27,10,24,24,19,31,36,22,36,31,48,29,40
E14000718,87,91,76,58,39,44,54,47,51,36,45,44,29,15,20,18,29,46,65,41,36,52
E14000719,48,65,39,42,58,41,33,48,47,49,42,69,68,58,72,58,59,46,79,55,37,61
E14000720,86,118,76,78,71,46,50,60,57,43,43,48,68,35,31,38,49,60,63,59,50,54
E14000721,85,103,86,68,64,60,57,65,88,51,54,56,71,43,27,41,43,78,86,88,54,76
E14000722,38,45,29,34,24,37,20,31,29,33,18,21,25,26,20,21,31,23,23,23,21,20
E14000723,41,64,50,44,51,46,42,47,33,63,37,32,36,41,38,43,28,32,35,28,27,41
E14000724,64,59,63,71,53,35,32,50,48,41,42,43,37,48,45,30,41,40,48,42,28,46
E14000725,82,49,46,32,46,54,34,32,39,25,27,26,37,30,38,21,29,23,22,23,18,15
E14000726,80,93,75,59,76,82,88,58,57,56,50,50,43,34,44,41,50,63,77,64,47,51
E14000727,80,72,79,72,50,48,31,33,31,37,31,21,27,29,21,29,27,54,41,42,39,38
E14000728,23,23,25,16,18,28,23,13,24,36,18,28,11,14,20,23,20,22,19,20,28,15
E14000729,45,41,56,53,43,49,36,44,28,25,44,32,29,24,20,37,42,31,46,50,26,29
E14000730,42,44,55,45,30,45,34,51,29,28,50,40,24,45,40,40,44,36,24,27,21,13
E14000731,39,44,35,40,31,41,24,22,31,20,14,19,22,18,22,29,28,37,33,25,24,18
E14000732,47,46,43,34,43,24,32,29,21,22,15,21,21,14,29,15,18,34,36,30,22,18
E14000733,33,39,41,52,40,33,35,30,24,23,27,28,24,19,24,34,34,31,18,24,19,22
E14000734,79,76,77,64,87,58,58,65,61,55,49,39,41,40,41,34,62,57,47,43,37,45
E14000735,62,46,59,71,63,74,52,67,62,63,50,53,51,63,65,72,64,60,62,80,49,61
E14000736,52,45,47,28,39,34,21,33,29,42,22,35,31,35,42,41,47,39,44,52,42,42
E14000737,83,82,81,57,61,48,49,44,49,42,33,37,43,31,35,30,37,44,54,48,40,49
E14000738,17,14,25,25,8,15,30,29,17,15,16,16,9,12,21,12,16,12,17,9,11,18
E14000739,81,73,67,59,52,43,39,33,29,27,33,34,34,26,24,28,48,26,42,27,23,34
E14000740,48,61,54,60,49,30,45,44,37,44,45,48,53,35,32,42,47,39,43,29,23,53
E14000741,69,84,76,56,52,48,55,54,47,57,41,44,40,44,35,32,23,49,43,54,36,30
E14000742,95,85,109,96,72,77,80,80,75,67,75,79,55,58,62,80,65,47,42,52,33,45
E14000743,55,59,48,46,46,45,42,50,28,46,30,24,33,24,23,32,31,23,34,41,40,39
E14000744,60,49,42,39,36,37,30,31,26,23,23,19,30,26,26,20,28,25,29,44,23,33
E14000745,92,91,99,66,68,53,51,56,52,48,39,40,46,46,32,37,51,51,40,29,35,38
E14000746,80,53,64,74,66,56,61,54,67,57,51,47,43,44,51,48,57,43,58,47,40,38
E14000747,38,27,35,37,35,31,25,24,38,22,19,27,19,21,31,24,22,27,21,21,17,20
E14000748,83,76,81,82,66,71,61,55,53,59,34,27,38,30,57,41,36,31,38,40,29,36
E14000749,90,85,68,73,93,66,54,56,59,30,35,36,44,43,46,42,40,29,48,38,33,42
E14000750,187,159,163,134,108,98,93,79,97,104,85,77,99,82,54,53,76,101,121,100,68,87
E14000751,53,51,58,67,44,31,34,49,33,35,26,26,29,21,19,21,32,31,29,34,35,29
E14000752,92,73,70,74,47,50,37,35,31,36,34,35,48,43,33,24,26,48,39,46,35,42
E14000753,74,79,69,58,41,59,61,57,69,47,56,66,62,72,66,58,67,55,57,78,67,63
E14000754,29,41,39,32,30,23,29,34,26,27,30,16,37,22,21,19,28,29,26,37,30,27
E14000755,41,35,42,38,30,52,53,53,45,43,45,49,34,40,49,31,53,47,47,51,49,55
E14000756,53,52,53,38,56,42,55,48,52,36,38,35,43,38,36,42,35,29,27,33,16,40
E14000757,70,64,75,57,65,52,56,59,48,42,39,42,33,35,30,42,43,43,45,44,29,45
E14000758,50,44,51,45,39,47,62,50,52,41,42,39,50,46,53,34,42,44,35,54,59,50
E14000759,56,52,50,59,38,29,29,37,31,23,20,23,37,22,16,21,26,27,32,30,28,23
E14000760,67,72,70,60,52,47,45,28,31,28,39,33,35,23,24,21,26,38,57,50,40,27
E14000761,43,35,27,32,41,27,29,27,44,38,33,34,43,34,36,17,35,33,52,44,29,29
E14000762,104,96,93,103,84,76,61,63,89,67,75,87,79,80,66,81,70,75,75,78,64,66
E14000763,97,89,59,64,36,31,31,40,31,35,31,36,46,23,20,29,34,43,45,54,39,46
E14000764,110,121,106,86,66,59,53,57,40,45,47,66,75,51,75,60,47,85,85,58,38,44
E14000765,33,21,23,32,32,16,35,27,19,29,19,18,16,12,18,15,22,35,20,21,23,17
E14000766,46,27,29,47,41,42,34,35,38,33,41,36,33,34,33,23,30,37,29,27,22,54
E14000767,108,111,98,91,85,72,74,76,65,53,56,55,53,51,61,66,66,55,72,48,41,39
E14000768,119,96,90,85,74,80,79,75,75,71,50,61,60,46,44,36,47,81,91,84,50,55
E14000769,49,44,50,42,46,52,56,49,45,54,36,32,43,37,34,31,28,26,36,32,33,37
E14000770,61,66,58,61,51,48,59,35,49,36,36,40,24,27,32,19,30,39,37,48,32,36
E14000771,37,40,50,54,37,39,43,37,41,28,43,48,41,45,40,33,50,43,57,44,48,50
E14000772,33,43,37,51,43,45,30,35,29,35,28,30,31,33,34,27,43,48,55,52,27,24
E14000773,69,47,71,49,49,54,61,44,45,51,51,36,56,48,39,46,57,62,72,57,45,47
E14000774,10,22,19,20,16,19,21,14,6,11,11,4,9,16,12,5,5,5,8,6,8,11
E14000775,45,40,26,32,40,42,39,36,36,35,33,27,39,43,39,29,39,30,24,23,27,17
E14000776,73,62,58,51,49,52,71,52,51,52,42,56,42,53,60,59,45,51,50,65,64,51
E14000777,100,95,135,111,100,79,88,91,87,83,81,81,88,61,102,84,87,87,90,95,57,117
E14000778,45,35,38,27,42,29,26,25,31,23,30,34,33,36,26,31,37,37,39,33,16,51
E14000779,37,31,37,30,44,22,28,19,29,25,27,14,25,24,36,27,28,31,21,22,31,28
E14000780,47,43,45,37,35,33,48,44,34,20,26,21,25,28,31,29,24,39,27,28,31,27
E14000781,79,51,54,43,47,33,42,39,42,33,37,26,29,34,34,35,48,31,38,42,24,29
E14000782,14,28,17,20,22,16,27,21,27,29,26,21,23,26,14,26,22,10,27,25,17,22
E14000783,45,34,26,30,28,30,23,35,31,29,33,38,34,34,43,39,39,26,39,42,30,34
E14000784,33,26,28,21,32,19,24,22,30,24,23,31,26,28,37,29,32,30,46,36,32,36
E14000785,33,33,40,32,28,33,26,30,25,31,19,25,23,24,23,29,23,18,31,27,22,22
E14000786,73,60,81,54,47,48,74,76,69,61,62,52,39,64,63,67,62,54,82,71,48,54
E14000787,65,70,68,65,56,52,44,39,40,42,34,41,40,25,24,17,22,50,44,43,44,33
E14000788,75,63,64,53,50,55,36,50,42,38,40,23,23,15,20,24,25,40,39,44,31,38
E14000789,82,92,91,81,61,51,53,58,47,49,43,43,49,32,29,25,28,52,42,48,48,60
E14000790,62,66,50,49,49,26,33,31,34,25,28,26,30,17,21,17,30,32,44,33,28,48
E14000791,27,36,30,28,32,26,26,22,21,19,17,15,13,17,19,20,24,19,12,28,9,12
E14000792,29,35,36,23,21,21,37,34,31,44,32,30,31,36,39,30,38,49,50,53,37,38
E14000793,80,79,91,73,74,88,73,70,41,61,72,64,90,64,79,71,78,62,57,64,32,65
E14000794,54,66,67,81,70,61,45,33,42,42,49,37,35,43,38,44,40,47,37,32,28,38
E14000795,52,52,73,61,44,51,39,28,34,37,43,32,32,34,53,33,36,39,27,38,23,35
E14000796,43,37,52,41,43,39,34,29,29,26,30,21,45,28,38,46,37,31,39,17,22,30
E14000797,36,29,27,30,20,30,26,24,25,26,29,29,17,14,33,22,19,23,34,22,30,25
E14000798,86,77,89,78,72,59,42,45,39,68,72,88,69,60,66,43,73,95,61,76,69,76
E14000799,66,66,64,56,52,64,52,60,42,42,30,41,38,43,42,41,48,36,36,38,28,39
E14000800,21,20,26,19,20,24,25,24,27,20,26,23,27,16,22,25,24,27,29,32,26,28
E14000801,51,49,40,45,44,40,38,38,49,34,44,31,36,44,27,40,47,55,51,51,39,38
