PCON10CD,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E14000802,78,71,67,57,50,51,59,63,62,59,52,55,58,43,45,38,50,27,22,29,22,8
E14000803,66,68,61,37,42,43,51,33,45,37,33,44,46,41,52,38,33,34,35,30,19,25
E14000804,51,51,45,48,46,33,33,40,30,36,33,31,30,30,38,36,60,35,41,44,33,42
E14000805,30,36,32,33,26,34,33,26,35,21,23,22,19,10,13,17,14,19,11,28,17,19
E14000806,66,78,72,85,76,80,71,51,56,44,53,43,31,40,31,32,58,45,63,42,32,44
E14000807,98,109,108,105,105,108,96,87,66,72,73,72,79,71,61,56,56,72,78,55,37,58
E14000808,49,38,38,39,39,35,40,27,45,32,31,29,31,22,23,19,27,34,22,28,16,36
E14000809,37,28,30,32,21,39,18,23,18,25,16,15,19,13,25,14,14,22,21,9,16,24
E14000810,63,55,55,67,63,49,47,43,58,50,39,56,36,38,31,38,30,37,23,24,29,31
E14000811,58,50,63,75,40,44,44,62,56,59,56,61,42,57,60,57,54,54,62,55,44,45
