ONSConstID,ConstituencyName,RegionName,1995-12-31,1996-03-31,1996-06-30,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31,1999-03-31,1999-06-30,1999-09-30,1999-12-31,2000-03-31,2000-06-30,2000-09-30,2000-12-31,2001-03-31,2001-06-30,2001-09-30,2001-12-31,2002-03-31,2002-06-30,2002-09-30,2002-12-31,2003-03-31,2003-06-30,2003-09-30,2003-12-31,2004-03-31,2004-06-30,2004-09-30,2004-12-31,2005-03-31,2005-06-30,2005-09-30,2005-12-31,2006-03-31,2006-06-30,2006-09-30,2006-12-31,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-04-01,2018-06-01,2018-09-01,2018-12-01,2019-03-01,2019-06-01,2019-09-01,2019-12-01,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01
E14000530,Aldershot,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8496,8.8496,8.8496,8.9086,8.9159,8.9594,9.1445,9.41,9.7345,9.9705,9.882,9.882,9.882,9.7345,10.2655,10.5457,10.6195
E14000531,Aldridge-Brownhills,West Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8729,6.8711,6.701,6.6323,6.6495,6.6838,6.701,7.0447,7.2165,7.732,8.0756,8.0756,7.9038,7.732,7.732,8.0756,8.1271
E14000532,Altrincham and Sale West,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5514,7.7803,7.8375,7.8375,7.8947,8.1236,8.238,8.5812,9.0389,9.1533,9.0847,9.0389,8.9645,9.1533,9.7254,9.9657,10.0858
E14000533,Amber Valley,East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4386,5.5439,5.614,5.614,5.614,5.614,5.614,5.6842,6.0702,6.3158,6.4561,6.4912,6.4728,6.4561,6.5175,6.8421,6.8421
E14000534,Arundel and South Downs,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1683,12.9455,12.8218,12.9043,13.2013,13.6962,13.9439,14.5545,15.0165,14.9827,14.9332,15.0165,14.8515,15.1815,15.8416,16.0066,16.1716
E14000535,Ashfield,East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1115,5.1673,5.1673,5.1301,5.2045,5.2045,5.2045,5.4647,5.6134,5.7621,6.0223,6.1338,6.2082,6.3197,6.3941,6.5056,6.5056
E14000536,Ashford,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6587,9.5563,9.5563,9.5563,9.7551,9.8208,10.0683,10.58,10.7509,11.0922,10.9983,11.0922,11.0068,10.9726,11.4334,11.6041,11.6041
E14000537,Ashton-under-Lyne,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4757,5.5081,5.6441,5.7258,5.7661,5.8468,6.0484,6.25,6.4516,6.6129,6.7742,6.8548,7.006,7.0968,7.2581,7.4194,7.5212
E14000538,Aylesbury,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9474,10.8772,11.0525,11.0526,11.0526,11.0526,11.0526,11.2281,11.7544,11.8421,11.7281,11.7544,11.614,11.9298,12.4912,12.6316,12.6316
E14000539,Banbury,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6222,9.6404,9.7744,9.6214,9.4637,9.4637,9.4637,9.779,10.2524,10.4101,10.3233,10.3312,10.2524,10.2524,10.4101,10.5284,10.642
E14000540,Barking,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.065,10.0976,10.0977,10.0977,10.2605,10.1792,10.3094,10.4235,10.456,10.6433,10.7492,10.9121,11.0749,11.2378,11.5635,11.873,11.9544
E14000541,Barnsley Central,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3942,5.7261,5.8091,5.8091,5.7261,5.5187,5.5187,5.7261,5.8921,6.0166,6.0996,6.0996,6.0166,6.0166,6.0166,6.3485,6.4315
E14000542,Barnsley East,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6768,4.6958,4.6578,4.7909,4.7899,4.9049,4.9905,4.943,5.1331,5.2452,5.323,5.3232,5.3232,5.3992,5.3802,5.6179,5.7034
E14000543,Barrow and Furness,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4728,4.4728,4.5687,4.4728,4.6326,4.6326,4.6326,4.8083,5.1118,5.2316,5.3355,5.2716,5.1118,5.1118,4.9911,5.2716,5.1454
E14000544,Basildon and Billericay,East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7398,10.5442,10.3741,10.5442,10.5442,10.6973,10.9855,11.5646,12.381,12.585,12.3129,12.0493,11.7347,11.5646,12.2449,12.7041,12.7551
E14000545,Basingstoke,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5044,8.0645,7.9179,7.9179,7.9177,8.2111,8.3578,8.5044,9.0909,9.0909,8.9443,8.8562,8.651,8.651,9.0616,9.2742,9.3842
E14000546,Bassetlaw,East Midlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5376,5.5556,5.6631,5.7742,5.914,6.0215,6.0932,6.2724,6.4498,6.6308,6.81,6.81,6.8099,6.6308,6.6308,6.6487,6.6308
E14000547,Bath,South West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7957,11.7647,11.37,11.4551,11.6099,11.2229,11.6099,12.0356,12.6935,13.1579,13.1579,12.9257,12.8483,12.4149,13.0031,13.243,13.3127
E14000548,Batley and Spen,Yorkshire and The Humber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6713,4.8443,5.0173,5.0865,5.1903,5.1886,5.1903,5.1471,5.1903,5.4498,5.4671,5.4671,5.4671,5.3633,5.5363,5.8642,5.8824
E14000549,Battersea,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6958,16.317,16.7832,16.69,17.2972,17.4825,18.0653,16.7832,16.317,16.1305,16.0169,16.8998,17.2844,18.4266,18.648,17.7389,17.3834
E14000550,Beaconsfield,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7514,14.6754,14.779,14.5028,14.779,14.779,15.1934,15.884,15.7459,16.1602,15.9116,15.884,16.1602,16.5746,16.5746,16.8163,16.8508
E14000551,Beckenham,London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1622,12.0393,11.9165,11.9165,11.9472,12.0393,12.2236,12.6536,12.8993,13.145,13.145,13.0221,13.0221,13.0958,13.5217,14.0049,14.226
