Parliamentary constituency Code,Parliamentary constituency Name,Oct-23,Jan-24,Apr-24,Jul-24,"Oct-24 [Note 12, 14]",Jan-25
E14001063,Aldershot (Post 2024 General Election), [x] , [x] , [x] , [x] ,90,143
E14001064,Aldridge-Brownhills (Post 2024 General Election), [x] , [x] , [x] , [x] ,23,22
E14001065,Altrincham and Sale West (Post 2024 General Election), [x] , [x] , [x] , [x] ,55,41
E14001066,Amber Valley (Post 2024 General Election), [x] , [x] , [x] , [x] ,41,47
E14001067,Arundel and South Downs (Post 2024 General Election), [x] , [x] , [x] , [x] ,87,87
E14001068,Ashfield (Post 2024 General Election), [x] , [x] , [x] , [x] ,71,48
E14001069,Ashford (Post 2024 General Election), [x] , [x] , [x] , [x] ,96,110
E14001070,Ashton-under-Lyne (Post 2024 General Election), [x] , [x] , [x] , [x] ,28,31
E14001071,Aylesbury (Post 2024 General Election), [x] , [x] , [x] , [x] ,46,52
E14001072,Banbury (Post 2024 General Election), [x] , [x] , [x] , [x] ,161,168
E14001073,Barking (Post 2024 General Election), [x] , [x] , [x] , [x] ,73,63
E14001074,Barnsley North (Post 2024 General Election), [x] , [x] , [x] , [x] ,54,70
E14001075,Barnsley South (Post 2024 General Election), [x] , [x] , [x] , [x] ,42,45
E14001076,Barrow and Furness (Post 2024 General Election), [x] , [x] , [x] , [x] ,92,98
E14001077,Basildon and Billericay (Post 2024 General Election), [x] , [x] , [x] , [x] ,62,55
E14001078,Basingstoke (Post 2024 General Election), [x] , [x] , [x] , [x] ,71,94
E14001079,Bassetlaw (Post 2024 General Election), [x] , [x] , [x] , [x] ,70,90
E14001080,Bath (Post 2024 General Election), [x] , [x] , [x] , [x] ,53,57
E14001081,Battersea (Post 2024 General Election), [x] , [x] , [x] , [x] ,599,532
E14001082,Beaconsfield (Post 2024 General Election), [x] , [x] , [x] , [x] ,112,120
E14001083,Beckenham and Penge (Post 2024 General Election), [x] , [x] , [x] , [x] ,49,57
E14001084,Bedford (Post 2024 General Election), [x] , [x] , [x] , [x] ,153,123
E14001085,Bermondsey and Old Southwark (Post 2024 General Election), [x] , [x] , [x] , [x] ,392,410
