PCON24CD,public-jan-25,workplace-jan-25,home-2022,total
E14001063,143,82,483,708
E14001064,22,116,489,627
E14001065,41,196,1007,1244
E14001066,47,78,401,526
E14001067,87,149,1565,1801
E14001068,48,126,505,679
E14001069,110,44,312,466
E14001070,31,52,219,302
E14001071,52,82,725,859
E14001072,168,227,1010,1405
E14001073,63,55,166,284
E14001074,70,60,283,413
E14001075,45,61,286,392
E14001076,98,34,156,288
E14001077,55,111,450,616
E14001078,94,24,185,303
E14001079,90,66,388,544
E14001080,57,30,275,362
E14001081,532,23,149,704
E14001082,120,69,610,799
E14001083,57,20,342,419
E14001084,123,14,72,209
E14001085,410,30,113,553
E14001086,124,16,37,177
E14001087,87,104,656,847
E14001088,31,28,525,584
E14001089,76,44,432,552
E14001090,165,220,948,1333
E14001091,37,38,329,404
E14001092,98,77,372,547
E14001093,88,66,318,472
E14001094,112,50,244,406
E14001095,19,60,301,380
E14001096,339,67,325,731
E14001097,29,65,315,409
E14001098,101,65,311,477
E14001099,70,57,274,401
E14001100,39,52,250,341
E14001101,76,310,1577,1963
E14001102,46,42,161,249
E14001103,52,90,252,394
E14001104,41,24,126,191
E14001105,95,59,219,373
E14001106,34,98,411,543
E14001107,99,5,42,146
E14001108,123,12,165,300
E14001109,107,125,528,760
E14001110,16,63,328,407
E14001111,40,72,290,402
E14001112,21,120,619,760
E14001113,14,15,226,255
E14001114,82,148,358,588
E14001115,46,36,286,368
E14001116,57,37,295,389
E14001117,135,71,383,589
E14001118,65,34,153,252
E14001119,48,54,245,347
E14001120,33,43,196,272
E14001121,100,126,746,972
E14001122,443,79,383,905
E14001123,288,81,392,761
E14001124,293,111,300,704
E14001125,45,121,1167,1333
E14001126,70,34,242,346
E14001127,57,139,876,1072
E14001128,70,174,652,896
E14001129,94,42,359,495
E14001130,242,37,324,603
E14001131,54,37,137,228
E14001132,45,77,281,403
E14001133,48,53,203,304
E14001134,45,145,529,719
E14001135,17,78,285,380
E14001136,93,155,891,1139
E14001137,59,40,699,798
E14001138,126,169,1084,1379
E14001139,68,61,574,703
E14001140,53,74,513,640
E14001141,113,194,1538,1845
E14001142,59,79,289,427
E14001143,84,130,463,677
E14001144,33,130,598,761
E14001145,22,103,458,583
E14001146,171,112,352,635
E14001147,93,254,845,1192
E14001148,104,46,172,322
E14001149,342,81,404,827
E14001150,61,130,454,645
E14001151,81,97,636,814
E14001152,134,49,251,434
E14001153,103,50,556,709
E14001154,9,62,500,571
E14001155,79,93,854,1026
E14001156,77,160,575,812
E14001157,38,41,252,331
E14001158,28,117,683,828
E14001159,61,13,128,202
E14001160,1377,60,90,1527
E14001161,170,101,570,841
E14001162,67,60,535,662
E14001163,105,56,351,512
E14001164,62,324,2423,2809
E14001165,97,113,339,549
E14001166,78,38,394,510
E14001167,190,30,366,586
E14001168,92,41,303,436
E14001169,117,68,1576,1761
E14001170,79,104,659,842
E14001171,84,78,617,779
E14001172,1556,97,189,1842
E14001173,123,50,255,428
E14001174,32,44,332,408
E14001175,195,29,118,342
E14001176,50,21,126,197
E14001177,52,181,945,1178
E14001178,35,73,710,818
E14001179,86,0,1141,1227
E14001180,645,101,313,1059
E14001181,741,136,421,1298
E14001182,886,110,342,1338
E14001183,78,196,703,977
E14001184,148,182,388,718
E14001185,74,31,302,407
E14001186,93,39,411,543
E14001187,95,56,584,735
E14001188,145,21,224,390
E14001189,71,71,401,543
E14001190,89,70,293,452
E14001191,119,125,493,737
E14001192,106,624,1738,2468
E14001193,49,100,401,550
E14001194,121,106,425,652
E14001195,85,154,911,1150
E14001196,29,57,297,383
E14001197,86,119,945,1150
E14001198,92,44,241,377
E14001199,41,111,588,740
E14001200,36,96,518,650
E14001201,86,110,1152,1348
E14001202,71,25,345,441
E14001203,115,102,739,956
E14001204,35,73,405,513
E14001205,445,54,211,710
E14001206,121,23,269,413
E14001207,583,106,304,993
E14001208,220,101,385,706
E14001209,207,71,271,549
E14001210,125,62,594,781
E14001211,36,34,173,243
E14001212,189,130,1076,1395
E14001213,77,41,36,154
E14001214,21,144,1278,1443
E14001215,41,63,884,988
E14001216,54,13,157,224
E14001217,135,251,1541,1927
E14001218,72,85,491,648
E14001219,63,27,276,366
E14001220,73,84,573,730
E14001221,100,29,305,434
E14001222,32,29,225,286
E14001223,66,56,425,547
E14001224,97,168,813,1078
E14001225,82,53,565,700
E14001226,66,45,423,534
E14001227,119,38,724,881
E14001228,32,57,299,388
E14001229,59,59,414,532
E14001230,39,77,836,952
E14001231,138,127,285,550
E14001232,207,91,364,662
E14001233,38,57,549,644
E14001234,66,48,573,687
E14001235,81,160,889,1130
E14001236,146,143,347,636
E14001237,185,36,182,403
E14001238,214,35,820,1069
E14001239,130,51,300,481
E14001240,80,78,629,787
E14001241,58,83,665,806
E14001242,62,61,545,668
E14001243,42,74,634,750
E14001244,159,61,248,468
E14001245,88,28,372,488
E14001246,116,25,157,298
E14001247,96,80,565,741
E14001248,99,120,472,691
E14001249,86,133,1500,1719
E14001250,40,105,658,803
E14001251,32,62,199,293
E14001252,47,31,396,474
E14001253,72,124,813,1009
E14001254,66,52,414,532
E14001255,40,26,82,148
E14001256,83,56,253,392
E14001257,166,38,197,401
E14001258,119,74,616,809
E14001259,554,10,37,601
E14001260,416,9,33,458
E14001261,31,82,413,526
E14001262,27,51,171,249
E14001263,108,100,842,1050
E14001264,1414,83,125,1622
