PCON24CD,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-03,2018-06,2018-09,2018-12,2019-03,2019-06,2019-09,2019-12,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03
E14001063,1.5,1.2,1.1,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.8,1.1,1.3,1.5,1.5,1.6,4.6,4.9,4.7,4.5,3.9,3.5,3.0,2.8,2.5,2.5,2.5,2.6,2.5,2.5,2.6,2.8,2.8,3.0,2.8,2.9
E14001064,2.5,2.1,1.8,1.4,1.5,1.3,1.3,1.3,1.4,1.5,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.7,2.0,2.1,2.3,2.3,2.6,5.4,5.4,5.1,5.2,4.3,3.8,3.4,3.2,2.9,2.8,2.7,2.9,2.8,2.8,2.7,2.9,2.9,3.3,3.1,3.2
E14001065,1.7,1.4,1.2,1.1,1.0,1.1,1.2,1.0,1.1,1.1,1.1,1.1,1.1,1.0,1.0,1.2,1.3,1.4,1.6,1.6,1.6,1.6,1.6,1.5,1.6,3.8,4.0,3.8,3.9,3.1,2.7,2.3,2.2,2.1,2.0,2.0,2.1,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.1
E14001066,2.4,2.0,1.7,1.5,1.7,1.4,1.5,1.3,1.6,1.7,1.5,1.4,1.5,1.4,1.4,1.4,1.6,1.7,1.8,2.1,2.4,2.4,2.5,2.7,2.7,5.3,5.3,4.7,5.1,4.3,3.8,3.3,3.0,2.8,2.8,2.9,3.1,2.9,2.8,3.0,3.1,3.0,3.1,3.0,3.1
E14001067,0.9,0.7,0.7,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.1,1.1,1.2,1.3,1.4,4.1,4.4,4.1,4.1,3.2,2.8,2.5,2.4,2.0,2.2,2.1,2.1,2.0,2.0,2.0,2.1,2.1,2.4,2.3,2.4
E14001068,3.3,2.8,2.4,2.2,2.3,2.0,2.0,1.8,2.1,2.1,2.0,1.8,2.0,1.9,1.9,1.8,2.1,2.0,1.9,1.9,2.4,2.7,2.8,3.0,3.3,6.3,6.1,5.6,5.9,5.1,4.8,4.3,4.2,3.9,3.7,3.7,3.9,3.9,3.7,3.7,4.0,4.0,4.2,3.8,4.0
E14001069,2.2,1.8,1.6,1.5,1.6,1.3,1.4,1.4,1.6,1.5,1.6,1.6,1.8,1.7,1.7,1.8,1.9,1.9,2.0,2.4,2.6,2.6,2.7,2.9,3.1,6.0,6.3,6.0,5.8,4.9,4.4,3.8,3.6,3.2,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.2,3.5,3.4,3.5
E14001070,3.9,3.6,3.2,2.7,2.8,2.7,2.6,2.6,2.8,2.7,2.7,2.6,2.8,2.8,2.7,2.7,2.9,3.1,3.6,3.7,4.1,4.2,4.3,4.3,4.7,8.5,8.6,8.5,8.5,7.4,6.7,5.9,5.7,5.4,5.4,5.3,5.4,5.4,5.3,5.4,5.7,5.9,6.3,6.1,6.0
E14001071,1.5,1.3,1.0,0.9,1.0,0.9,0.9,0.7,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,1.4,1.6,1.7,1.8,4.4,4.5,4.4,5.0,4.2,3.8,3.5,3.3,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.8,4.2,4.2,4.4
E14001072,1.1,1.0,0.8,0.8,0.8,0.7,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.9,1.1,1.3,1.3,1.4,1.5,1.6,1.6,1.9,4.5,4.7,4.4,4.3,3.6,3.2,2.7,2.5,2.4,2.2,2.3,2.4,2.3,2.3,2.3,2.4,2.5,2.7,2.6,2.8
E14001073,4.1,3.7,3.3,2.9,2.8,2.6,2.6,2.4,2.4,2.3,2.4,2.4,2.5,2.4,2.3,2.3,2.4,2.6,2.9,3.1,3.5,3.7,3.8,4.0,4.3,9.8,10.0,10.7,10.6,9.4,8.2,7.2,6.8,6.3,6.1,6.2,6.3,6.6,6.8,6.9,7.0,7.5,8.2,8.2,8.5
E14001074,3.9,3.2,2.8,2.5,2.7,2.5,2.5,2.2,2.5,2.3,2.3,2.1,2.3,2.3,2.3,2.5,3.1,3.3,3.4,3.2,3.5,3.4,3.2,3.1,3.3,6.3,6.0,6.0,6.4,5.6,5.1,4.4,4.0,3.5,3.6,3.3,3.6,3.5,3.4,3.4,3.4,3.4,3.5,3.3,3.6
E14001075,4.6,3.7,3.3,3.0,3.2,3.0,2.9,2.6,2.9,2.7,2.8,2.6,2.9,2.8,3.1,3.4,3.8,3.9,3.9,3.9,4.2,4.2,4.1,3.9,4.1,7.6,7.2,6.9,7.3,6.4,5.9,5.2,4.7,4.2,4.1,4.0,4.3,4.3,4.1,4.2,4.1,4.1,4.3,3.8,4.0
E14001076,2.9,2.6,2.5,2.5,2.6,2.4,2.4,2.4,2.5,2.3,2.2,2.3,2.4,2.2,2.1,2.1,2.2,2.0,1.9,2.0,2.3,2.4,2.5,2.6,2.6,4.7,4.7,4.6,4.7,3.8,3.5,3.3,3.2,2.8,2.7,2.9,2.9,2.6,2.7,2.6,2.8,2.7,2.9,2.6,2.7
E14001077,3.3,2.7,2.5,2.2,2.2,2.0,2.0,1.9,2.1,2.0,1.9,1.9,2.0,1.9,1.9,1.8,2.2,2.5,2.7,2.8,3.1,3.2,3.1,3.2,3.4,7.1,7.3,7.0,7.0,5.9,4.9,4.5,4.1,3.8,3.7,3.7,3.6,3.8,3.7,3.8,3.9,4.0,4.4,4.3,4.5
E14001078,1.6,1.3,1.2,0.9,1.0,0.9,1.0,0.8,1.0,0.9,0.9,0.9,1.1,1.1,1.1,1.0,1.2,1.2,1.4,1.5,1.8,2.0,2.0,2.0,2.2,4.7,5.0,4.9,4.8,4.0,3.5,3.2,3.1,2.9,2.9,2.9,3.0,3.1,3.1,2.9,3.0,2.9,3.2,3.0,3.3
E14001079,3.0,2.4,2.2,2.0,2.0,1.8,1.8,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.7,1.7,2.1,2.2,2.4,2.4,2.9,2.8,2.8,2.8,2.9,5.4,5.4,5.1,5.0,4.4,3.9,3.6,3.4,3.2,3.1,3.1,3.3,3.1,3.3,3.6,3.6,3.5,3.7,3.4,3.5
E14001080,1.6,1.3,1.3,1.1,1.1,1.0,1.0,0.9,1.0,1.0,1.0,1.3,1.5,1.7,1.8,1.7,1.8,1.7,1.8,1.8,1.8,1.8,1.9,1.8,1.7,4.0,4.2,4.0,4.3,3.4,3.0,2.6,2.4,1.9,1.7,1.7,1.9,1.9,1.8,1.9,2.0,1.9,2.1,2.0,2.2
E14001081,2.2,1.9,1.8,1.7,1.6,1.5,1.5,1.4,1.5,1.5,1.4,1.4,1.5,1.5,1.4,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2.0,2.0,2.1,5.3,5.5,5.7,5.8,4.9,4.2,3.6,3.4,3.2,3.2,3.0,3.0,3.1,3.2,3.1,3.3,3.4,3.7,3.9,4.1
E14001082,1.1,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.8,0.7,0.7,0.8,1.0,1.1,1.2,1.3,1.4,4.3,4.7,4.6,4.5,3.7,3.1,2.7,2.6,2.3,2.2,2.2,2.1,2.0,2.1,2.1,2.2,2.3,2.4,2.4,2.7
E14001083,2.1,1.8,1.7,1.5,1.3,1.1,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.6,1.7,1.9,2.1,2.1,2.2,5.5,6.0,5.8,6.3,5.0,4.5,3.8,3.4,3.1,3.1,3.0,3.0,3.1,3.3,3.3,3.5,3.5,3.8,3.8,4.0
E14001084,4.0,3.6,3.3,2.8,2.9,2.8,2.8,2.6,2.7,2.7,2.6,2.3,2.7,2.7,3.0,3.2,3.7,3.8,4.0,3.9,4.1,4.2,4.2,4.1,4.2,8.2,8.3,7.8,8.2,7.0,6.4,5.8,5.5,5.0,4.8,4.7,5.0,5.0,5.2,5.3,5.2,5.3,5.9,5.7,6.2
E14001085,3.0,2.7,2.5,2.2,2.1,2.0,1.8,1.7,1.8,1.8,2.0,2.4,2.6,2.8,2.9,2.8,2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.0,3.0,6.7,7.3,7.4,8.3,7.0,6.0,5.5,5.1,4.6,4.5,4.4,4.4,4.3,4.3,4.3,4.4,4.6,5.0,4.9,5.1
E14001086,3.8,3.5,3.2,2.8,2.7,2.6,2.6,2.5,2.4,2.3,2.4,2.3,2.3,2.6,2.8,2.9,3.0,3.0,3.1,3.1,3.3,3.4,3.5,3.6,3.7,8.3,8.9,9.3,10.2,9.2,8.1,7.2,6.7,6.0,5.8,5.8,5.8,6.0,6.2,6.3,6.5,6.8,7.9,7.9,8.3
E14001087,2.4,2.0,1.8,1.7,1.6,1.4,1.4,1.5,1.5,1.3,1.4,1.4,1.4,1.2,1.3,1.4,1.5,1.3,1.4,1.6,1.7,1.9,1.8,2.0,2.2,4.4,4.5,4.3,4.2,3.4,3.0,2.7,2.5,2.1,2.1,2.1,2.2,2.1,2.0,2.2,2.3,2.2,2.4,2.3,2.5
E14001088,2.0,1.5,1.4,1.4,1.3,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.3,1.3,1.4,1.7,2.0,2.1,2.2,2.3,2.5,2.4,2.4,2.5,2.6,5.4,5.5,5.4,5.7,4.6,4.1,3.8,3.7,3.3,3.2,3.3,3.2,3.1,3.0,3.1,3.0,3.1,3.2,3.2,3.3
