Westminster Parliamentary constituencies Code,Westminster Parliamentary constituencies,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
E14000530,Aldershot,52078,6853,8027,6536,6037,2511,1002,1386,723,17335,8784
E14000531,Aldridge-Brownhills,42170,2589,4479,6307,6370,905,361,313,332,8127,5698
E14000532,Altrincham and Sale West,53189,4008,5250,5076,5012,1198,449,504,435,21390,4413
E14000533,Amber Valley,47482,5295,5396,5984,7575,1815,456,341,539,9147,6293
E14000534,Arundel and South Downs,56120,2814,2645,4713,6229,2840,1037,772,764,18887,7473
E14000535,Ashfield,57132,6018,8487,7326,6058,2050,702,421,647,8526,7126
E14000536,Ashford,66260,7154,8962,3432,4899,3830,1755,934,2010,18104,9984
E14000537,Ashton-under-Lyne,53178,5718,7207,7662,4246,573,299,308,371,9868,6543
E14000538,Aylesbury,60713,7986,6040,3918,5434,4567,2025,2268,698,22020,9414
E14000539,Banbury,64098,11917,7894,3743,7205,4777,2450,1312,1412,22608,9045
E14000540,Barking,82915,4298,7973,7746,11571,2611,651,425,716,12932,14050
E14000541,Barnsley Central,48346,5456,6615,5996,5975,2471,293,254,427,7857,6866
E14000542,Barnsley East,52073,3907,6413,8060,5868,1720,532,244,517,7643,7382
E14000543,Barrow and Furness,46717,9249,8007,3988,3085,1195,829,329,609,8709,4723
E14000544,Basildon and Billericay,51708,4717,4679,4091,4599,1735,2042,917,374,15076,7764
E14000545,Basingstoke,55634,8510,9383,3497,4213,3255,944,1297,1076,23695,7992
E14000546,Bassetlaw,57894,7366,6397,4731,7743,4195,1525,963,871,9517,7208
E14000547,Bath,52762,7532,6043,1117,3092,779,170,330,683,18193,4342
E14000548,Batley and Spen,61272,6458,8414,7029,7155,613,342,365,355,11711,6976
E14000549,Battersea,46726,4046,8147,8520,2483,456,220,161,362,42873,5437
E14000550,Beaconsfield,54153,2874,3472,5268,4514,2189,1325,785,373,23673,6405
E14000551,Beckenham,46995,2470,4230,4333,5329,665,262,125,199,22366,5803
E14000552,Bedford,57223,9269,9655,2688,4435,2804,783,713,1329,14267,7435
E14000553,Bermondsey and Old Southwark,63134,6669,12172,8244,3031,497,279,250,560,40003,7925
E14000554,Berwick-upon-Tweed,43060,4441,1934,1815,3355,2257,1550,1556,1524,8481,5567
E14000555,Bethnal Green and Bow,73220,7859,9219,7382,2654,448,256,294,464,33767,7461
E14000556,Beverley and Holderness,55205,4790,2521,4748,9040,2604,1212,983,1158,10877,6803
E14000557,Bexhill and Battle,60102,3704,3157,4916,5282,2144,881,648,864,14419,8557
E14000558,Bexleyheath and Crayford,49058,3191,5296,5057,5662,2214,391,246,322,15604,7572
E14000559,Birkenhead,52197,4571,8452,5946,3058,1125,255,296,454,8348,5574
E14000560,"Birmingham, Edgbaston",59066,3674,7092,6655,4168,683,692,342,867,12441,4446
E14000561,"Birmingham, Erdington",62753,4445,7364,8736,4671,1045,360,356,539,8431,6157
E14000562,"Birmingham, Hall Green",77699,4543,8192,7009,2570,1244,371,327,649,12721,6589
E14000563,"Birmingham, Hodge Hill",90869,4904,8535,8233,3040,1243,324,384,652,6276,7913
E14000564,"Birmingham, Ladywood",91878,8200,8337,5703,3951,1518,776,651,1205,14814,7027
E14000565,"Birmingham, Northfield",61805,3745,6057,8000,7223,1097,608,231,591,10431,6105
E14000566,"Birmingham, Perry Barr",68650,3959,7603,9099,4111,877,563,458,636,9406,7078
E14000567,"Birmingham, Selly Oak",66160,3881,6413,7971,3820,943,443,235,797,13609,5333
E14000568,"Birmingham, Yardley",72123,4373,8596,9960,2937,1343,336,290,577,8875,7552
E14000569,Bishop Auckland,50967,4689,3411,4756,5948,3177,1528,626,533,8414,5862
E14000570,Blackburn,70303,9289,9481,3489,4936,1340,964,325,376,7901,5991
E14000571,Blackley and Broughton,80006,7953,8450,7647,4201,647,358,440,659,10853,7701
E14000572,Blackpool North and Cleveleys,47945,5210,7033,5131,1892,1116,265,344,575,7640,5722
E14000573,Blackpool South,46766,7000,8014,3300,1317,930,374,264,430,6831,5773
E14000574,Blaydon,48243,2966,4817,7531,5908,1193,223,235,423,10937,5544
E14000575,Blyth Valley,47202,3973,3163,6058,6980,1072,560,321,747,9742,5520
E14000576,Bognor Regis and Littlehampton,60230,6997,5827,7858,5512,1733,822,798,881,10414,9079
E14000577,Bolsover,52845,4753,4803,8049,8237,2920,1146,701,707,8707,7110
E14000578,Bolton North East,59327,5229,7091,5651,4891,1783,260,215,349,9560,6728
E14000579,Bolton South East,67399,6609,7973,5702,5035,1624,326,177,376,8459,7728
E14000580,Bolton West,52556,3987,6184,7377,5300,2582,505,224,456,13002,6933
E14000581,Bootle,56175,5354,7250,6545,4842,1418,343,388,410,11443,7214
E14000582,Boston and Skegness,61106,9083,5971,5323,6405,4094,1353,1419,1023,5845,7864
E14000583,Bosworth,54228,5470,4795,5438,9064,2641,970,647,612,15624,7343
E14000584,Bournemouth East,55119,6445,8821,6628,3761,434,682,485,637,15871,8058
E14000585,Bournemouth West,58481,5941,9037,8016,1970,501,476,585,840,13978,7801
E14000586,Bracknell,54396,5442,5769,5769,6038,2574,756,747,474,23613,8382
E14000587,Bradford East,76918,6730,10046,5368,4698,841,258,388,464,9150,6951
E14000588,Bradford South,62067,5292,9437,7444,4526,818,265,286,352,9199,6753
E14000589,Bradford West,78996,7268,8798,5002,3971,883,297,391,426,8861,6462
E14000590,Braintree,52395,5242,3647,3106,7195,4088,1545,1742,977,13916,9410
E14000591,Brent Central,82018,5480,9540,11907,5778,742,245,225,602,19810,13375
E14000592,Brent North,74939,6985,10705,8570,9804,1121,349,280,765,17782,13622
E14000593,Brentford and Isleworth,71525,5617,7984,9214,7292,896,345,231,517,29983,10266
E14000594,Brentwood and Ongar,50486,2784,2397,3429,5734,3176,2043,392,310,20260,7356
E14000595,Bridgwater and West Somerset,62272,8564,6301,3903,7775,2773,1614,1179,840,12163,8909
E14000596,Brigg and Goole,47517,4437,4040,4722,6477,2690,1818,1249,763,8072,5883
E14000597,"Brighton, Kemptown",50930,5611,5540,4515,2822,1035,640,383,836,14211,7137
E14000598,"Brighton, Pavilion",51410,8309,7256,1794,2322,757,691,320,1173,24463,6244
E14000599,Bristol East,50447,4857,10769,7068,3237,394,290,362,418,18466,8007
E14000600,Bristol North West,58877,6234,10825,7479,1672,446,334,369,582,17563,5665
E14000601,Bristol South,57068,7571,11005,5955,4426,469,275,330,515,21546,8982
E14000602,Bristol West,67563,12146,9926,4775,2099,518,616,669,1045,34451,6154
E14000603,Broadland,53321,3281,2622,6710,7841,2361,1090,569,636,13623,8007
E14000604,Bromley and Chislehurst,49246,2732,4157,4683,6119,857,368,134,280,21346,6171
E14000605,Bromsgrove,51896,3416,3415,5325,8348,2402,668,367,515,16436,6395
E14000606,Broxbourne,53655,4578,4146,6110,6577,3457,667,341,269,15452,9395
E14000607,Broxtowe,50807,3860,6326,7397,4218,932,491,270,672,15923,5421
E14000608,Buckingham,56164,2735,2574,3954,6636,3500,1670,1708,987,23918,7406
E14000609,Burnley,54612,7291,7492,5092,4692,1298,900,359,324,6738,5850
E14000610,Burton,58633,9094,8304,5343,6796,3190,1389,968,663,11116,7035
E14000611,Bury North,50978,5137,5536,5096,5664,1311,292,247,331,11504,5763
E14000612,Bury South,54390,4664,6323,8371,4791,947,327,336,406,15075,6364
E14000613,Bury St Edmunds,59613,7702,5867,4082,6750,4797,1838,1482,831,15928,8556
E14000614,Calder Valley,53803,4737,5864,7211,5287,1853,727,327,408,15767,6590
E14000615,Camberwell and Peckham,60381,5554,9804,10423,3208,556,296,237,529,29212,7833
E14000616,Camborne and Redruth,52630,4752,4906,4866,7450,1539,547,645,1204,9064,7840
E14000617,Cambridge,68709,9125,12108,3036,1985,1065,506,1098,1204,29813,5098
E14000618,Cannock Chase,51642,5534,6005,5248,8416,3239,1069,474,517,9529,8846
E14000619,Canterbury,66302,6896,4205,4622,3331,2925,914,702,1620,15370,6502
E14000620,Carlisle,45776,9607,10180,3810,1995,1331,677,664,925,7184,6064
E14000621,Carshalton and Wallington,53193,4481,7906,5956,5397,832,245,200,308,17742,8425
E14000622,Castle Point,48581,3558,3758,5436,3174,1929,894,1699,328,11672,8558
