Westminster Parliamentary constituencies Code,Westminster Parliamentary constituencies,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
E14000623,Central Devon,50171,4000,2235,4008,6660,2764,1649,925,593,14913,7544
E14000624,Central Suffolk and North Ipswich,54386,3820,5374,5367,5354,2601,1332,1055,973,15350,7515
E14000625,Charnwood,53402,3640,6089,9480,5842,1475,890,621,567,15883,7029
E14000626,Chatham and Aylesford,53508,4366,6477,5229,4493,2604,1347,1824,487,12399,9825
E14000627,Cheadle,50565,3580,5704,5687,4866,809,277,408,370,18535,4682
E14000628,Chelmsford,55578,6666,8073,2341,4079,2561,1403,1971,429,21970,7800
E14000629,Chelsea and Fulham,47950,4277,5702,5581,1478,258,118,105,274,31659,4353
E14000630,Cheltenham,53460,9358,7896,3066,3456,1463,605,690,849,19776,6511
E14000631,Chesham and Amersham,50743,2966,2292,3334,4618,2155,1512,896,265,22278,5628
E14000632,Chesterfield,50448,6090,8023,4401,5096,1161,880,445,523,9955,6219
E14000633,Chichester,62470,6785,4111,4171,5529,2260,1060,1102,1110,17671,8154
E14000634,Chingford and Woodford Green,49717,2969,4492,4826,6608,754,317,182,281,18124,7706
E14000635,Chippenham,51505,6086,3846,4920,5639,1935,1422,1065,783,17869,6567
E14000636,Chipping Barnet,61163,3374,4572,6145,7380,762,260,209,295,25414,7938
E14000637,Chorley,53410,5305,6321,6164,7544,2217,1369,414,457,14652,7157
E14000638,Christchurch,51856,3228,3943,4628,4096,808,737,720,630,11352,5806
E14000639,Cities of London and Westminster,47978,6212,6170,2835,1014,247,145,132,325,31419,4562
E14000640,City of Chester,52629,6787,6586,4071,4054,2828,874,911,750,15785,4992
E14000641,City of Durham,59943,3302,4051,4308,5505,3131,860,137,751,12410,4954
E14000642,Clacton,58440,5028,3803,2806,2879,2185,524,676,1164,6442,7019
E14000643,Cleethorpes,51930,4725,7239,6776,5567,1699,688,603,752,7465,6723
E14000644,Colchester,63968,9576,10214,3872,2851,3018,1397,880,1973,17120,8989
E14000645,Colne Valley,60698,4956,7278,7133,5249,2952,907,290,467,15756,7260
E14000646,Congleton,54005,4451,2203,5573,8358,2970,1363,614,608,17689,6202
E14000647,Copeland,41460,3986,3380,4024,6972,1525,525,901,580,9414,3748
E14000648,Corby,64370,7320,10651,6050,8576,4157,2001,1033,1303,15346,8658
E14000649,Coventry North East,69402,7492,12614,6584,4794,2789,862,508,789,11377,7204
E14000650,Coventry North West,57685,5169,8847,7542,4548,2263,568,384,585,13495,6205
E14000651,Coventry South,68097,4714,7480,5904,4271,2335,549,474,946,13802,5052
E14000652,Crawley,59592,6667,10717,5672,5544,1602,1379,1536,467,15903,9411
E14000653,Crewe and Nantwich,58273,8549,9999,5340,5143,2221,1723,1071,662,14279,6899
E14000654,Croydon Central,63620,4114,6353,7780,8470,1319,352,244,405,22767,9456
E14000655,Croydon North,76962,6361,8188,9775,9191,1142,306,298,458,22102,11870
E14000656,Croydon South,60730,3466,5322,6224,6527,2178,349,255,312,26107,7714
E14000657,Dagenham and Rainham,64084,3135,6159,6250,7770,3459,643,250,474,12328,11251
E14000658,Darlington,50365,7825,8216,2345,3562,3243,390,624,715,9557,5352
E14000659,Dartford,61357,5206,6948,6032,6145,5147,1282,467,475,19226,10400
E14000660,Daventry,53761,4909,3685,5765,7480,3558,1406,929,1001,17989,7097
E14000661,Denton and Reddish,45550,4627,6994,7916,3872,452,269,312,367,11133,6337
E14000662,Derby North,55237,7411,10195,4098,5147,1799,496,636,647,11978,5591
E14000663,Derby South,68909,7763,11162,4969,5664,1933,557,531,598,9673,6756
E14000664,Derbyshire Dales,43204,3483,2363,3237,5109,2682,1023,563,473,13199,5488
E14000665,Devizes,52373,6649,3115,3846,6170,3086,1888,1206,1162,16902,7421
E14000666,Dewsbury,64999,5683,6313,6749,7785,1227,531,349,440,12489,7076
E14000667,Don Valley,56545,4072,4120,8474,6804,2385,1104,854,777,9228,7351
E14000668,Doncaster Central,58653,6532,9741,7026,4196,2795,933,656,735,8580,7708
E14000669,Doncaster North,55050,4503,6063,6914,6755,2147,920,504,623,7695,7661
E14000670,Dover,57475,5936,3804,3892,6547,3489,690,486,1213,10338,8197
E14000671,Dudley North,48881,3666,7595,7691,3475,877,248,245,367,7060,6149
E14000672,Dudley South,45234,4778,7835,4806,4250,866,300,213,349,7188,5775
E14000673,Dulwich and West Norwood,52566,3745,5520,9792,3012,435,142,157,317,31657,6535
E14000674,Ealing Central and Acton,61973,4416,6714,8147,5594,599,198,232,361,32672,8306
E14000675,Ealing North,69612,4172,7642,8906,8280,1188,278,233,452,17083,12056
E14000676,"Ealing, Southall",60504,5564,6598,8017,4942,839,227,222,403,13382,7301
E14000677,Easington,48284,4305,3710,3725,5577,2984,728,237,475,6798,4691
E14000678,East Devon,61152,5871,5630,5306,7245,1554,612,502,1066,15429,7549
E14000679,East Ham,94183,6437,8321,9875,11512,1711,573,446,746,18734,14417
E14000680,East Hampshire,52374,4843,2113,4102,5785,3278,1736,955,847,19123,7897
E14000681,East Surrey,58530,3685,3830,6224,5609,2803,1433,568,287,23690,8644
E14000682,East Worthing and Shoreham,52118,6841,5376,4891,4099,1374,764,385,541,15027,8207
E14000683,East Yorkshire,59191,6395,3000,2895,5515,4318,2286,1798,1046,10950,6968
E14000684,Eastbourne,62221,8441,9748,2337,2797,2248,928,538,812,11058,8115
E14000685,Eastleigh,55712,5110,5891,9172,6269,1214,783,608,746,19783,10029
E14000686,Eddisbury,52190,3863,3347,4996,5585,3514,1574,838,608,16128,5917
E14000687,Edmonton,70643,5030,7081,5889,7252,1019,378,218,457,10476,9590
E14000688,Ellesmere Port and Neston,49439,4693,4898,6854,6379,1957,792,644,530,10451,5533
E14000689,Elmet and Rothwell,55663,2853,3049,6465,8057,2438,585,308,523,18096,6113
E14000690,Eltham,51035,2718,4994,5517,6156,541,393,177,337,18023,7254
E14000691,Enfield North,62173,4371,5817,5273,7177,1302,386,212,346,14093,7840
E14000692,"Enfield, Southgate",53304,2851,5048,5369,6342,747,284,172,270,20408,8166
E14000693,Epping Forest,52465,3191,3000,5237,6998,2695,524,266,279,19557,8401
E14000694,Epsom and Ewell,57318,4230,5321,5267,4674,2187,337,228,240,24666,7256
E14000695,Erewash,48489,6203,5425,7422,7462,1172,436,309,521,11018,6713
E14000696,Erith and Thamesmead,64706,3824,6536,7098,8659,2003,570,290,563,14113,9941
E14000697,Esher and Walton,60097,3438,4582,4961,4112,2388,374,153,258,29479,5966
E14000698,Exeter,63319,10746,10447,2743,2086,1287,393,677,969,15711,6852
E14000699,Fareham,50844,4451,6017,6305,5596,1193,360,474,698,17038,7221
E14000700,Faversham and Mid Kent,53574,3936,3957,4389,5880,2542,1208,1385,780,15335,8510
E14000701,Feltham and Heston,77856,5889,11285,11578,7303,2047,559,296,683,15064,11751
E14000702,Filton and Bradley Stoke,51690,4977,7096,9606,3294,604,499,539,596,20445,6864
E14000703,Finchley and Golders Green,65940,4141,4939,8385,4958,534,202,131,320,28772,7726
E14000704,Folkestone and Hythe,64811,6212,4730,3688,5845,3044,809,971,1464,14785,8821
E14000705,Forest of Dean,49445,3777,2607,4182,6109,3465,1330,632,645,12083,7285
E14000706,Fylde,49014,4133,4568,5496,4531,1162,633,588,562,12590,5251
E14000707,Gainsborough,54481,4464,2691,4340,6176,4127,1629,1097,905,11174,6663
E14000708,Garston and Halewood,56431,4417,6857,8313,5566,652,303,403,402,11974,5971
E14000709,Gateshead,51385,5957,8576,5843,2989,469,183,289,456,10572,4952
E14000710,Gedling,48952,4284,7392,7953,2842,1481,437,299,478,13807,6761
E14000711,Gillingham and Rainham,54384,5615,6234,4625,4400,1799,1273,1869,514,12588,9010
E14000712,Gloucester,62080,9829,11182,6926,6064,1145,486,1125,822,14402,8820
E14000713,Gosport,51506,5753,7612,7028,3139,1214,300,394,854,11033,7438
E14000714,Grantham and Stamford,58794,8881,4694,2456,6125,4378,2178,1607,1287,14627,7757
E14000715,Gravesham,57139,4899,4749,5286,6081,2681,2254,684,535,13037,9556
E14000716,Great Grimsby,48820,7786,11225,3226,1986,1153,669,316,680,4394,5892
E14000717,Great Yarmouth,58609,6941,6238,3835,3411,2592,1744,1205,942,6813,7418
E14000718,Greenwich and Woolwich,63741,4710,5789,8780,8488,872,400,318,508,34029,8159
E14000719,Guildford,58969,6710,5395,3089,3948,1720,947,1018,393,22886,6277
E14000720,Hackney North and Stoke Newington,66069,7767,7425,8447,2518,406,135,200,337,33508,7401
E14000721,Hackney South and Shoreditch,58767,5948,8909,7227,2550,436,184,170,387,33336,7019
E14000722,Halesowen and Rowley Regis,51234,4063,6787,8031,4672,778,381,275,401,9861,6099
E14000723,Halifax,59447,6697,7720,5574,4135,1429,371,265,395,11513,6509
E14000724,Haltemprice and Howden,47424,3046,4455,6698,5428,2249,1248,1088,811,12385,5635
E14000725,Halton,52754,5649,7224,6549,5609,1546,855,231,448,10639,6011
E14000726,Hammersmith,55637,6260,7514,7826,2508,357,144,140,345,30513,6586
E14000727,Hampstead and Kilburn,60791,3932,7010,8280,2379,424,109,139,317,39135,6169
E14000728,Harborough,58040,5756,5167,7085,5063,2818,927,740,811,16597,6402
E14000729,Harlow,52725,6671,8547,4119,5130,3328,1892,426,307,11770,9457
E14000730,Harrogate and Knaresborough,53135,8376,7815,3164,3758,2451,945,360,719,18002,6015
E14000731,Harrow East,58239,3561,5703,5949,7080,1418,408,331,487,17168,10841
E14000732,Harrow West,60211,4648,5753,6483,7613,1617,321,257,546,20364,9132
E14000733,Hartlepool,54589,5891,7286,3159,5623,1779,575,363,711,6570,5792
E14000734,Harwich and North Essex,52723,3868,3009,4310,5891,2291,868,667,1291,13302,7573
E14000735,Hastings and Rye,60913,7057,8535,3418,2255,1907,850,675,1000,13459,9221
E14000736,Havant,52306,4761,5692,6006,4530,1050,576,475,684,10832,8093
E14000737,Hayes and Harlington,69786,4746,9489,9289,6356,2025,520,279,556,12853,10505
E14000738,Hazel Grove,43695,3360,4688,5090,4623,508,251,266,292,12649,4953
E14000739,Hemel Hempstead,53310,5831,5622,4064,5741,2502,1940,467,315,18775,9016
E14000740,Hemsworth,55080,4338,5305,7353,8246,2528,555,291,539,9336,6662
E14000741,Hendon,76066,5162,5990,8980,9784,998,331,279,549,25442,12205
E14000742,Henley,52372,3826,2332,4395,5685,2699,1018,865,707,23109,6744
E14000743,Hereford and South Herefordshire,50474,9128,7499,3520,4119,2065,1006,788,1140,10357,7445
E14000744,Hertford and Stortford,55916,6185,3883,5011,5743,2620,2192,1178,296,24242,7820
E14000745,Hertsmere,55061,4266,3947,5725,6330,2517,449,258,319,21051,7900
E14000746,Hexham,41950,3337,1122,2101,5179,2573,1438,1188,786,11913,4813
E14000747,Heywood and Middleton,60606,5226,8261,9215,4937,1201,488,374,527,10886,7661
E14000748,High Peak,46319,6841,3637,4112,6135,2607,963,580,492,12973,6274
E14000749,Hitchin and Harpenden,52668,3792,3102,4519,3488,1610,1699,1207,309,26034,5233
E14000750,Holborn and St Pancras,68696,7050,7487,4495,1503,333,111,167,387,30370,6031
E14000751,Hornchurch and Upminster,59615,3362,4971,4866,5216,4688,831,321,328,19118,9308
E14000752,Hornsey and Wood Green,57731,3455,5173,9515,4510,634,185,176,348,34601,8275
E14000753,Horsham,58119,4778,4626,4863,6488,3169,1405,1487,419,24532,8105
E14000754,Houghton and Sunderland South,50607,2907,5690,7861,5588,935,487,94,474,9383,5695
E14000755,Hove,47946,6646,7400,3389,2759,656,798,333,953,23776,6879
E14000756,Huddersfield,56163,5845,7006,5026,3627,1581,515,242,385,9952,5598
E14000757,Huntingdon,60649,8256,4887,4170,6328,4611,1887,1101,1359,21344,7948
E14000758,Hyndburn,53137,5646,6431,7232,4533,1812,657,403,351,7503,6320
E14000759,Ilford North,60308,2982,4770,6627,8501,1796,566,298,541,19101,9771
E14000760,Ilford South,84609,5386,6490,7566,9395,2171,684,325,587,18268,11869
E14000761,Ipswich,59516,9576,10293,4263,4386,1594,1086,706,937,14088,8378
E14000762,Isle of Wight,82549,10045,5472,8772,8456,810,215,479,782,12922,9957
E14000763,Islington North,50477,3816,7489,6965,1906,430,128,112,271,32864,5371
E14000764,Islington South and Finsbury,51142,5111,7877,3670,1489,305,125,107,309,31665,4961
E14000765,Jarrow,46803,3220,6363,8537,2868,570,158,315,484,9298,5227
E14000766,Keighley,55720,5900,4448,5454,6352,1989,449,308,412,12114,6232
E14000767,Kenilworth and Southam,47592,2699,2316,5003,6016,2187,870,590,674,19121,4878
E14000768,Kensington,55412,4154,6448,4736,1255,221,79,130,317,29157,5036
E14000769,Kettering,53417,7300,6381,6063,7657,2379,1216,754,875,12357,7428
E14000770,Kingston and Surbiton,61388,5767,6914,6035,6001,1317,335,221,333,27752,8094
E14000771,Kingston upon Hull East,51559,5828,11778,7033,2554,769,380,279,640,4893,5600
E14000772,Kingston upon Hull North,56549,5817,11552,9198,2075,1004,697,737,761,6683,5892
E14000773,Kingston upon Hull West and Hessle,48696,7184,10287,6970,2420,1225,643,644,627,5703,5821
E14000774,Kingswood,44312,4383,5569,8668,4031,622,253,309,370,15231,7645
E14000775,Knowsley,61913,4936,7403,10189,6041,874,401,410,507,10353,8376
E14000776,Lancaster and Fleetwood,53232,6781,3925,3716,3226,1551,1055,419,842,10370,5361
E14000777,Leeds Central,88866,11023,12192,6647,3904,1510,522,417,1292,17470,8044
E14000778,Leeds East,60507,4991,8035,6761,4147,1010,401,226,513,10913,7387
E14000779,Leeds North East,50257,3640,7136,5193,3814,716,408,233,478,19654,4650
E14000780,Leeds North West,47871,3435,4876,4842,4742,906,290,296,641,15227,4218
E14000781,Leeds West,51738,4781,9482,8173,2847,943,256,233,476,13744,6375
E14000782,Leicester East,73042,10704,13102,6743,3927,1686,1111,613,744,9528,5940
E14000783,Leicester South,76954,10361,10526,5581,2705,1593,961,662,887,12063,5966
E14000784,Leicester West,63643,8000,12970,6215,3187,2007,1483,543,768,7942,6417
E14000785,Leigh,56827,5278,5544,7995,8328,2501,682,213,487,12558,8703
E14000786,Lewes,50787,3952,2634,3189,5875,1702,621,513,711,14629,6318
E14000787,Lewisham East,55330,3423,5717,7192,6446,517,307,142,339,21973,7757
E14000788,Lewisham West and Penge,53451,3246,5113,7409,6314,504,219,149,315,27766,7341
E14000789,"Lewisham, Deptford",58246,4270,6716,10928,5061,552,263,214,438,33343,7850
E14000790,Leyton and Wanstead,52502,3736,4750,8021,6206,808,312,189,424,21100,9639
E14000791,Lichfield,51706,4139,3051,5487,6894,3570,1001,592,541,15012,6633
E14000792,Lincoln,63709,9672,10010,5633,2367,3737,692,1103,1373,11391,7684
E14000793,"Liverpool, Riverside",72785,7771,8875,7079,3413,1320,267,826,872,16549,5589
E14000794,"Liverpool, Walton",55045,4664,8931,6266,2809,832,147,355,374,7415,6474
E14000795,"Liverpool, Wavertree",53232,4430,7610,6569,2199,679,205,494,463,11179,5054
E14000796,"Liverpool, West Derby",53802,3667,8144,8948,2870,717,202,393,400,8933,6705
E14000797,Loughborough,61286,6716,5268,4819,7054,1877,484,517,802,14450,5870
E14000798,Louth and Horncastle,61020,6378,1824,3152,5251,3491,1931,1284,895,8482,7010
E14000799,Ludlow,46964,4246,1558,2453,4582,3043,1964,1534,938,11610,6481
E14000800,Luton North,62032,6321,8606,3415,3248,2764,905,1933,484,10568,8475
E14000801,Luton South,68019,7652,7445,5627,5759,2988,1380,1763,621,11789,10461
E14000802,Macclesfield,49157,6566,4550,3485,4852,2480,850,441,447,17497,5250
E14000803,Maidenhead,54196,4191,3918,4513,4567,1498,777,961,339,26957,6032
E14000804,Maidstone and The Weald,57110,6372,6126,4678,5605,2743,1208,1651,633,17456,9583
E14000805,Makerfield,52946,4095,7432,7596,5480,2732,761,213,434,10154,7847
E14000806,Maldon,49708,4007,1790,3670,6594,2475,1052,1503,602,14992,7921
E14000807,Manchester Central,87354,10415,10635,8107,5324,877,591,791,1075,24031,7101
E14000808,"Manchester, Gorton",75201,4660,8526,7035,3242,607,326,458,687,12594,6893
E14000809,"Manchester, Withington",50385,3467,6986,8544,2631,683,397,421,521,21585,4649
E14000810,Mansfield,59115,6094,9631,8096,6410,2429,851,476,695,8757,7928
E14000811,Meon Valley,50476,2739,3569,5336,6915,2212,663,764,818,17072,7632
E14000812,Meriden,63825,3419,5918,8030,7072,1895,513,266,640,17020,6001
E14000813,Mid Bedfordshire,59896,3261,3799,6200,9546,3290,1283,1496,1243,24020,8980
E14000814,Mid Derbyshire,44128,2762,5183,6480,5408,1497,321,360,494,12450,4861
E14000815,Mid Dorset and North Poole,45335,3135,5581,6030,3694,998,806,710,533,11622,5960
E14000816,Mid Norfolk,59900,5549,2919,4121,8178,4976,2038,902,950,13197,8643
E14000817,Mid Sussex,56933,7747,4150,3785,6589,2347,711,1566,597,23699,7529
E14000818,Mid Worcestershire,55533,5446,5098,5784,5785,4117,1606,968,636,15129,7642
E14000819,Middlesbrough,60557,5984,9403,4702,2215,853,621,441,702,5629,5967
E14000820,Middlesbrough South and East Cleveland,56175,3939,4873,7275,5806,1767,577,610,834,7760,6354
E14000821,Milton Keynes North,69824,6240,10438,10414,3942,2187,699,856,1674,25336,8352
E14000822,Milton Keynes South,73858,6303,12143,10807,3039,2319,760,964,1763,26862,8285
E14000823,Mitcham and Morden,56240,4634,8131,7635,6730,789,248,211,412,17660,11281
E14000824,Mole Valley,49859,3037,2535,4202,5037,2019,957,345,260,21651,6755
E14000825,Morecambe and Lunesdale,49656,5607,6966,5683,2523,1596,1427,493,718,8149,6482
E14000826,Morley and Outwood,50879,4365,6796,9908,5442,1077,509,372,514,17533,7229
E14000827,New Forest East,48400,3820,4415,5574,5446,1659,703,498,697,12677,6891
E14000828,New Forest West,48683,4826,2348,3391,3901,2894,679,271,671,11283,6059
E14000829,Newark,56181,6032,5293,2655,6043,3787,1495,841,851,14661,6723
E14000830,Newbury,55446,6451,5642,4101,4917,2618,1122,912,859,23835,7530
E14000831,Newcastle upon Tyne Central,64564,5078,8611,4501,2770,787,160,346,629,10604,5708
E14000832,Newcastle upon Tyne East,57323,6022,8373,5106,2139,643,221,424,951,13252,4330
E14000833,Newcastle upon Tyne North,53160,3394,6442,9329,3886,1000,216,340,593,13673,5553
E14000834,Newcastle-under-Lyme,48370,5595,9169,5474,2768,1260,356,587,716,9005,5389
E14000835,Newton Abbot,50841,5353,4388,5502,5590,2222,494,565,637,10911,7016
E14000836,"Normanton, Pontefract and Castleford",62357,7055,7829,7144,9701,2906,1067,261,614,11414,7917
E14000837,North Cornwall,51813,6096,2768,3279,4210,2190,1476,1642,1620,10142,7789
E14000838,North Devon,53448,8004,4983,4355,5833,1411,498,706,932,10957,7486
E14000839,North Dorset,52747,5049,2279,3760,5834,3095,2046,1277,812,13320,8016
E14000840,North Durham,48843,3159,3639,6078,7553,1588,775,307,439,9110,5842
E14000841,North East Bedfordshire,60146,3734,5038,5868,6844,4331,2188,1575,1370,23626,9166
E14000842,North East Cambridgeshire,64280,7805,4493,4958,7262,5611,2452,1177,1127,12270,9410
E14000843,North East Derbyshire,50355,3346,4558,7243,6596,1731,636,586,549,10570,6453
E14000844,North East Hampshire,52401,3624,3126,6228,4896,1708,1008,1177,616,24935,6187
