ons_id,drought_day_change_2065,ann_rain_2019,max5day_rain_mm_change_2065,ann_rain_change_mmday_2065,warmest_dayofyear_change_oC_2065,ann_warming_oC_2065,number_heatwave_days_change_2065
E14000530,3.638911,0.105223,7.066687,-0.13719,7.148285,3.442124,24.14288
E14000531,3.037444,0.329104,3.703912,-0.13756,6.472108,3.307015,14.73432
E14000532,1.731089,0.314518,6.483709,0.007951,5.654493,3.12421,9.387861
E14000533,2.94768,0.54952,3.707779,-0.13329,6.686859,3.26616,13.85233
E14000534,2.716039,0.202569,13.32105,-0.03432,7.00645,3.393767,20.37715
E14000535,2.984486,0.256955,2.35278,-0.13096,6.603436,3.301361,15.54073
E14000536,3.322976,0.078823,8.681847,-0.12264,6.864335,3.375929,20.31976
E14000537,1.753162,0.426429,8.795093,0.045352,5.746796,3.193208,6.690165
E14000538,3.357834,0.037957,6.230839,-0.10821,6.875597,3.454801,19.5178
E14000539,3.324182,0.050403,6.228743,-0.11557,7.031926,3.374718,20.68109
E14000540,3.184135,0.090815,8.176123,-0.08763,6.047495,3.479979,20.98699
E14000541,3.077566,0.123262,3.418766,-0.11444,6.450272,3.227631,13.63062
E14000542,3.169662,0.107089,2.842661,-0.14154,6.402829,3.270064,12.25358
E14000543,0.645624,0.227178,27.05499,0.360963,5.388059,2.973985,3.80988
E14000544,3.628876,0.061206,5.842103,-0.10793,6.36064,3.429756,20.20056
E14000545,3.514656,0.133405,6.858187,-0.12386,7.228395,3.427947,22.4454
E14000546,3.198599,0.081422,1.051939,-0.11548,6.591218,3.236145,17.61376
E14000547,3.05026,0.139851,8.440238,-0.10766,7.091173,3.312749,19.40164
E14000548,3.135629,0.11524,3.09267,-0.13235,6.316886,3.212752,10.71389
E14000549,3.13213,0.042511,8.030806,-0.09377,6.216953,3.518713,22.71065
E14000550,3.353693,0.016819,6.50726,-0.10811,6.855317,3.477798,21.59754
E14000551,3.389015,0.069695,8.036095,-0.11652,6.730537,3.473095,20.97636
E14000552,3.671099,0.115284,5.800185,-0.11272,7.117518,3.428906,23.23989
E14000553,3.29532,0.096544,8.17703,-0.09819,6.269651,3.506455,21.78907
E14000554,3.121413,0.124799,2.248122,-0.16709,5.408867,2.969767,3.522042
E14000555,2.978216,0.079335,8.196966,-0.07661,5.926891,3.505979,23.01896
E14000556,3.128212,0.079012,0.609041,-0.10148,5.867665,3.117233,10.85013
E14000557,3.017148,0.192926,9.88969,-0.09334,6.812013,3.395956,19.81399
E14000558,3.564755,0.079226,7.871071,-0.11299,6.448222,3.457554,21.73372
E14000559,2.158817,0.237725,12.0616,-0.04903,4.958729,2.994506,6.607871
E14000560,3.185203,0.286974,5.886852,-0.13331,6.738371,3.345298,15.75079
E14000561,3.156581,0.232553,5.660405,-0.13417,6.732811,3.318746,16.45188
E14000562,3.177552,0.255436,6.095442,-0.12755,6.841356,3.3357,17.10964
E14000563,3.177552,0.255436,6.095442,-0.12755,6.841356,3.3357,17.10964
E14000564,3.185203,0.286974,5.886852,-0.13331,6.738371,3.345298,15.75079
