Pcon,Constituency name,MP name,Party name,Emissions from homes (%),EPC band DEFG (%),Fuel poor hhlds (UK Gov data) (%),Air pollution: LSOAs above WHO (%),Air pollution: LSOAs twice WHO (%),Air pollution: LSOAs above WHO (number),Air pollution: LSOAs twice WHO (number),Respiratory disease (%),Bustrips: 2010 to 2023 change (%),Car ownership: households without cars/vans (%),EV chargers: current number,EV chargers: target,Commuters: bicycle (%),Commuters: potential bikes/ebikes (%),Greenspace: m2 per person,Flooding: Properties at risk from rivers or seas,Flooding: Properties at risk from surface water,High heat and enhanced risk: MSOAs (number),High heat and enhanced risk: MSOA (%),High heat and enhanced risk: population,High heat 2022 max temp (°C),Tree canopy (%),Sewage overflows: number of outflows,Sewage overflows: total spills,Sewage overflows: total spill duration hours,Opinion poll: Climate change should a high priority,Opinion poll: Government should go faster on climate change,Opinion poll: Support onshore wind in local area,Opinion poll: Nature is most important issue,Green economy: jobs FTE
E14001063,Aldershot,Alex Baker,Lab,30.2,47.3,7.8,100.0,0.0,71,0,7.6,-72.9,15.3,133,524,2.0,25.8,44,1912,6396,4,28.6,28679,37,31.2,3,63,419,53.0,53.2,67.3,74.2,1675
E14001064,Aldridge-Brownhills,Wendy Morton,Con,31.0,60.6,13.1,100.0,0.0,60,0,9.1,-35.5,16.5,30,412,0.7,28.4,43,259,4894,3,21.4,19734,38,13.4,12,81,153,50.0,49.3,66.5,71.3,790
E14001065,Altrincham and Sale West,Connor Rand,Lab,20.9,60.8,8.6,100.0,0.0,59,0,8.3,-39.0,14.7,64,444,1.7,32.3,15,2512,7300,0,0.0,0,38,13.6,17,797,3518,58.0,59.2,70.4,76.0,1871
E14001066,Amber Valley,Linsey Farnsworth,Lab,24.1,58.8,12.6,100.0,0.0,57,0,10.1,-60.9,18.3,42,399,0.9,19.8,64,1008,5660,2,18.2,15478,39,14.1,82,1844,9927,49.0,47.1,65.8,72.0,772
E14001067,Arundel and South Downs,Andrew Griffith,Con,31.7,61.2,11.9,100.0,0.0,59,0,8.8,-46.4,9.3,106,431,0.8,22.9,482,2665,3947,0,0.0,0,36,28.5,34,2074,29212,55.0,52.3,68.2,76.7,825
E14001068,Ashfield,Lee Anderson,RUK,27.6,53.9,12.9,100.0,0.0,56,0,9.6,-49.8,20.2,67,418,1.2,25.5,51,136,5396,3,25.0,24177,39,18.8,34,711,4214,46.0,45.1,67.6,70.0,1297
E14001069,Ashford,Sojan Joseph,Lab,25.6,40.7,8.8,100.0,0.0,62,0,8.1,6.5,16.0,114,471,2.0,23.5,70,2484,5127,2,18.2,22146,39,17.3,23,374,3638,52.0,52.0,67.2,72.8,1144
E14001070,Ashton-under-Lyne,Angela Rayner,Lab,35.0,53.3,12.8,100.0,0.0,62,0,9.4,-40.1,29.4,36,443,1.0,27.2,23,373,9306,7,58.3,60831,38,11.7,26,864,3707,50.0,53.0,67.9,70.5,769
E14001071,Aylesbury,Laura Kyrke-Smith,Lab,25.7,42.0,8.0,100.0,0.0,69,0,8.2,-25.2,14.3,53,489,1.5,19.7,42,2419,6941,2,15.4,15013,39,9.9,10,597,7090,55.0,54.9,67.0,74.4,1189
E14001072,Banbury,Sean Woodcock,Lab,19.0,48.5,10.6,100.0,0.0,64,0,8.1,-28.9,15.6,156,455,1.7,24.0,29,1479,5378,2,15.4,21480,38,11.7,19,1391,18568,55.0,55.5,67.6,75.4,1304
E14001073,Barking,Nesil Caliskan,Lab,25.8,47.6,12.8,100.0,24.3,70,17,5.9,62.0,36.5,98,591,0.8,26.6,15,14898,28858,13,100.0,135100,40,7.5,2,49,149,53.0,61.3,68.3,68.0,763
E14001074,Barnsley North,Dan Jarvis,Lab,24.3,55.2,15.2,100.0,0.0,63,0,9.8,-42.4,22.9,68,467,0.5,20.2,43,1257,6610,6,42.9,50564,39,10.6,33,876,4000,47.0,49.2,67.9,68.0,743
E14001075,Barnsley South,Stephanie Peacock,Lab,24.1,56.8,17.5,100.0,0.0,63,0,10.6,-24.0,25.8,45,461,0.4,20.2,54,1469,5734,5,41.7,40086,39,13.2,43,1127,4588,47.0,48.0,66.0,68.2,743
E14001076,Barrow and Furness,Michelle Scrogham,Lab,12.7,68.7,13.8,50.7,0.0,34,0,10.9,-22.4,23.4,102,428,2.7,24.5,1767,4871,8524,0,0.0,0,36,7.2,46,1662,18381,51.0,52.8,68.7,71.1,1174
E14001077,Basildon and Billericay,Richard Holden,Con,20.3,49.4,7.7,100.0,0.0,63,0,8.4,-14.9,19.6,41,477,1.1,22.2,38,358,19987,3,25.0,28103,39,15.5,7,126,901,49.0,47.3,67.6,69.9,1134
E14001078,Basingstoke,Luke Murphy,Lab,23.8,38.3,7.0,100.0,0.0,68,0,8.2,-35.2,17.7,98,483,1.6,23.1,23,1170,5031,0,0.0,0,37,16.4,0,0,0,54.0,55.4,68.7,73.1,1271
E14001079,Bassetlaw,Jo White,Lab,14.5,53.5,12.8,100.0,0.0,61,0,10.0,-68.7,18.3,108,466,1.7,24.0,194,4632,7259,1,7.7,6753,40,14.8,29,714,6397,48.0,48.1,65.5,72.0,1132
E14001080,Bath,Wera Hobhouse,LD,32.0,57.5,11.7,100.0,0.0,63,0,7.5,-58.2,27.1,72,456,2.5,20.6,37,7259,7859,1,6.7,10997,35,22.4,99,2930,12612,62.0,61.0,70.9,76.0,1080
E14001081,Battersea,Marsha De Cordova,Lab,42.1,38.9,6.0,100.0,78.7,61,48,5.1,5.6,54.0,644,485,6.4,30.5,15,23810,21943,9,69.2,78876,40,13.7,0,0,0,64.0,67.9,69.0,75.0,675
E14001082,Beaconsfield,Joy Morrissey,Con,25.7,55.5,8.0,100.0,0.0,58,0,7.4,-51.7,10.5,123,429,1.0,19.7,104,4226,5935,0,0.0,0,39,30.3,5,184,3053,53.0,51.7,67.4,76.0,982
E14001083,Beckenham and Penge,Liam Conlon,Lab,45.7,55.2,7.9,100.0,0.0,65,0,6.4,57.9,29.5,89,470,1.4,20.3,29,2805,10662,5,41.7,45851,39,20.6,1,12,25,58.0,62.5,71.1,73.5,733
E14001084,Bedford,Mohammad Yasin,Lab,25.9,50.4,10.5,100.0,0.0,71,0,8.8,-46.6,24.8,151,486,3.3,29.3,32,2447,11348,6,46.2,57286,40,10.6,1,92,1292,55.0,57.1,67.6,71.0,1212
E14001085,Bermondsey and Old Southwark,Neil Coyle,Lab,28.1,27.3,6.0,100.0,100.0,63,63,5.2,3.4,67.0,404,479,4.4,37.2,7,49040,16331,12,92.3,107241,40,11.7,1,12,30,60.0,69.0,66.5,75.0,2204
E14001086,Bethnal Green and Stepney,Rushanara Ali,Lab,18.7,31.5,8.2,100.0,100.0,68,68,5.3,-13.9,68.2,130,579,5.0,37.5,4,0,19296,15,100.0,125452,40,12.4,0,0,0,62.0,72.7,66.9,72.9,2823
E14001087,Beverley and Holderness,Graham Stuart,Con,15.1,59.2,12.9,100.0,0.0,57,0,9.5,-45.9,14.4,110,397,2.3,25.3,85,12551,8436,0,0.0,0,38,4.1,52,1568,17265,51.0,51.8,69.2,73.0,825
E14001088,Bexhill and Battle,Kieran Mullan,Con,33.5,63.0,12.3,100.0,0.0,55,0,9.7,3.4,15.5,39,395,0.8,18.2,122,3569,4106,1,8.3,9321,38,28.8,43,1635,15827,53.0,49.8,70.2,74.8,544
E14001089,Bexleyheath and Crayford,Daniel Francis,Lab,35.6,62.5,8.5,100.0,0.0,61,0,7.2,29.4,21.1,90,440,0.7,21.6,22,2324,5677,2,18.2,21784,39,11.3,0,0,0,51.0,53.6,64.1,70.7,729
E14001090,Bicester and Woodstock,Calum Miller,LD,19.1,44.4,8.4,100.0,0.0,64,0,7.7,-34.8,12.3,146,453,3.0,24.0,31,1534,5915,0,0.0,0,39,11.7,18,1236,18098,56.0,55.4,68.7,76.1,1293
E14001091,Birkenhead,Alison McGovern,Lab,35.1,58.8,14.9,100.0,0.0,67,0,10.7,-36.4,32.4,31,467,0.9,27.1,24,269,7251,8,61.5,65286,36,14.4,5,127,219,54.0,58.9,69.7,71.6,606
E14001092,Birmingham Edgbaston,Preet Gill,Lab,28.6,60.5,19.0,100.0,0.0,63,0,7.2,-20.9,32.3,114,476,1.2,27.6,33,330,5000,7,53.9,60218,37,22.4,14,207,459,57.0,60.0,68.3,70.6,1036
E14001093,Birmingham Erdington,Paulette Hamilton,Lab,28.5,66.9,18.8,100.0,9.7,72,7,8.6,-24.0,32.6,134,537,0.9,27.6,17,2411,6868,12,85.7,114199,38,11.3,9,132,622,51.0,56.0,65.1,68.0,1183
E14001094,Birmingham Hall Green and Moseley,Tahir Ali,Lab,28.4,73.0,21.7,100.0,0.0,65,0,7.7,-27.3,28.4,169,507,1.3,27.6,16,733,6519,9,69.2,74988,38,18.4,7,117,322,58.0,63.7,69.8,70.0,1068
E14001095,Birmingham Hodge Hill and Solihull North,Liam Byrne,Lab,27.3,62.2,19.2,100.0,1.4,69,1,8.6,-31.3,29.0,34,541,0.7,27.1,24,1120,7071,12,85.7,106293,38,11.8,14,279,550,53.0,57.0,64.6,68.3,1288
E14001096,Birmingham Ladywood,Shabana Mahmood,Lab,28.5,35.2,20.2,100.0,36.9,84,31,6.2,-33.3,49.1,376,699,0.7,27.6,8,3981,12942,15,100.0,145105,38,8.4,79,645,760,57.0,68.8,66.7,67.2,1381
E14001097,Birmingham Northfield,Laurence Turner,Lab,28.4,56.0,16.4,100.0,0.0,68,0,9.7,-39.5,29.6,32,474,0.8,27.6,23,518,5077,7,50.0,54271,37,18.0,14,230,461,51.0,55.0,67.7,70.0,1118
E14001098,Birmingham Perry Barr,Ayoub Khan,Ind,28.5,69.8,23.7,100.0,1.4,69,1,6.8,-23.6,33.5,191,536,0.4,27.6,17,2000,6696,12,92.3,109804,38,13.5,17,293,318,55.0,62.1,67.7,67.8,1151
E14001099,Birmingham Selly Oak,Al Carns,Lab,28.7,67.0,21.4,100.0,0.0,62,0,8.2,-28.0,30.1,96,478,1.4,27.6,22,2029,4649,6,42.9,41976,37,17.7,17,396,587,58.0,59.6,68.1,72.0,1019
E14001100,Birmingham Yardley,Jess Phillips,Lab,28.6,76.9,21.0,100.0,0.0,63,0,8.6,-29.4,29.1,64,505,0.8,27.6,21,852,6319,11,84.6,101953,38,12.8,13,121,183,52.0,57.0,66.8,68.7,1052
E14001101,Bishop Auckland,Sam Rushworth,Lab,26.9,57.9,12.4,69.0,0.0,40,0,11.7,-40.1,22.5,101,408,0.4,19.5,6328,2862,6395,0,0.0,0,37,6.3,145,4500,36920,50.0,48.0,68.1,70.3,716
E14001102,Blackburn,Adnan Hussain,Ind,32.9,56.4,14.9,100.0,0.0,63,0,9.5,-63.6,29.3,44,499,0.6,23.8,36,2488,6619,9,75.0,87176,37,14.7,44,1136,3122,53.0,55.7,67.7,68.0,905
E14001103,Blackley and Middleton South,Graham Stringer,Lab,24.4,49.8,14.1,100.0,0.0,64,0,8.8,-28.8,34.3,98,495,1.0,32.8,54,860,6198,5,41.7,55094,38,19.2,45,895,2096,52.0,55.9,68.5,67.7,1488
E14001104,Blackpool North and Fleetwood,Lorraine Beavers,Lab,22.4,65.8,12.0,100.0,0.0,62,0,11.4,-71.8,24.1,31,422,2.0,32.8,23,28725,6793,2,16.7,15796,36,6.0,7,119,764,51.0,51.1,65.5,70.9,795
E14001105,Blackpool South,Chris Webb,Lab,38.3,68.6,18.6,100.0,0.0,74,0,11.8,-66.7,36.6,86,484,1.9,38.2,16,1315,10711,12,80.0,87200,37,7.6,6,143,398,49.0,49.4,64.2,69.3,688
E14001106,Blaydon and Consett,Liz Twist,Lab,26.9,56.2,10.0,98.2,0.0,56,0,10.6,-32.7,23.3,39,405,0.6,21.4,94,1597,4964,0,0.0,0,37,22.2,85,1684,7739,51.0,53.3,70.9,71.0,819
