,PCON22CD,Total Duration (hrs) all spills prior to processing through 12-24h count method
0,E14000533,1189.6
1,E14000535,462.4
2,E14000541,20437.4
3,E14000542,26892.4
4,E14000546,900.0
5,E14000547,2595.2
6,E14000548,17669.1
7,E14000556,25697.9
8,E14000559,776.4
9,E14000560,8.5
10,E14000562,25.8
11,E14000563,141.5
12,E14000564,198.9
13,E14000565,114.4
14,E14000566,132.2
15,E14000567,131.6
16,E14000577,18706.0
17,E14000578,172.9
18,E14000580,242.1
19,E14000583,246.7
20,E14000584,2131.8
21,E14000587,18592.6
22,E14000588,17376.9
23,E14000589,17154.0
24,E14000595,188.9
25,E14000596,15871.5
26,E14000599,113.8
27,E14000600,1586.9
28,E14000601,114.4
29,E14000602,1521.8
30,E14000605,414.8
31,E14000607,527.7
32,E14000610,1105.4
33,E14000611,31.6
34,E14000614,61566.0
35,E14000618,124.0
36,E14000620,67.4
37,E14000625,360.3
38,E14000632,24739.0
39,E14000638,1358.4
40,E14000645,29874.5
41,E14000647,510.5
42,E14000653,312.5
43,E14000662,54.2
44,E14000663,261.7
45,E14000664,2276.7
46,E14000665,291.8
47,E14000666,26862.2
48,E14000667,4803.5
49,E14000668,9052.2
50,E14000669,24866.9
51,E14000683,26606.8
52,E14000686,275.0
53,E14000689,37226.0
54,E14000695,184.4
55,E14000702,7111.0
56,E14000705,751.6
57,E14000707,32.8
58,E14000708,508.6
59,E14000710,47.7
60,E14000712,74.0
61,E14000723,24225.6
62,E14000724,20884.1
63,E14000728,610.1
64,E14000730,68026.5
65,E14000740,20923.3
66,E14000746,549.7
67,E14000747,303.4
68,E14000748,910.3
69,E14000756,58164.5
70,E14000766,33137.1
71,E14000767,1236.5
72,E14000771,370.0
73,E14000772,32.7
74,E14000773,109.9
75,E14000776,588.3
76,E14000777,23492.6
77,E14000778,11363.8
78,E14000779,18745.8
79,E14000780,21159.4
80,E14000781,14514.6
81,E14000785,3018.3
82,E14000791,314.2
83,E14000797,418.7
84,E14000799,628.2
85,E14000810,808.7
86,E14000814,897.0
87,E14000818,1299.3
88,E14000820,1286.1
89,E14000826,17966.6
90,E14000829,1047.0
91,E14000836,14641.3
92,E14000839,606.4
93,E14000843,21935.7
94,E14000846,611.6
95,E14000847,478.7
96,E14000849,141.3
97,E14000850,3177.7
98,E14000854,326.9
99,E14000858,3278.7
100,E14000860,2577.5
101,E14000866,105.3
102,E14000867,89.1
103,E14000870,9.3
104,E14000871,2.9
105,E14000875,3098.2
106,E14000876,43798.5
107,E14000885,110.6
108,E14000886,23657.0
109,E14000894,1575.0
110,E14000895,96642.1
111,E14000897,982.3
112,E14000902,68.1
113,E14000903,12265.1
114,E14000904,14522.1
115,E14000905,94.9
116,E14000908,587.9
117,E14000909,724.6
118,E14000912,1348.5
119,E14000913,72929.7
120,E14000917,75994.6
121,E14000919,13782.9
122,E14000920,25342.2
123,E14000921,12152.9
124,E14000922,8466.2
125,E14000923,14957.4
126,E14000924,778.1
127,E14000925,32398.9
128,E14000926,953.7
129,E14000928,108512.8
130,E14000932,2519.9
131,E14000935,960.3
132,E14000936,239.6
133,E14000940,785.1
134,E14000945,27.0
135,E14000954,403.3
136,E14000965,455.4
137,E14000966,1057.7
138,E14000972,419.8
139,E14000975,227.9
140,E14000976,23.3
141,E14000977,726.5
142,E14000979,295.6
143,E14000985,211.2
144,E14000986,196.4
145,E14000987,37.7
146,E14000988,1288.8
147,E14000990,643.4
148,E14000991,385.4
149,E14000992,621.7
150,E14000993,174660.6
151,E14000994,608.6
152,E14001009,35713.7
153,E14001028,16905.2
154,E14001030,61.2
155,E14001035,1169.4
156,E14001044,26.3
157,E14001050,689.1
158,E14001051,679.2
159,E14001053,913.9
160,E14001054,625.1
161,E14001058,13.4
162,E14001061,68770.3
163,E14001062,28127.0
