,PCON22CD,Counted spills using 12-24h count method
0,E14000533,233.0
1,E14000535,156.0
2,E14000541,3061.0
3,E14000542,4795.0
4,E14000546,111.0
5,E14000547,585.0
6,E14000548,3478.0
7,E14000556,5040.0
8,E14000559,81.0
9,E14000560,32.0
10,E14000562,39.0
11,E14000563,82.0
12,E14000564,114.0
13,E14000565,95.0
14,E14000566,113.0
15,E14000567,98.0
16,E14000577,2833.0
17,E14000578,148.0
18,E14000580,106.0
19,E14000583,141.0
20,E14000584,220.0
21,E14000587,3377.0
22,E14000588,2180.0
23,E14000589,3095.0
24,E14000595,76.0
25,E14000596,2902.0
26,E14000599,90.0
27,E14000600,321.0
28,E14000601,34.0
29,E14000602,294.0
30,E14000605,110.0
31,E14000607,118.0
32,E14000610,54.0
33,E14000611,29.0
34,E14000614,10488.0
35,E14000618,57.0
36,E14000620,27.0
37,E14000625,160.0
38,E14000632,4693.0
39,E14000638,136.0
40,E14000645,6112.0
41,E14000647,149.0
42,E14000653,27.0
43,E14000662,59.0
44,E14000663,60.0
45,E14000664,495.0
46,E14000665,78.0
47,E14000666,4359.0
48,E14000667,1271.0
49,E14000668,1854.0
50,E14000669,5359.0
51,E14000683,5545.0
52,E14000686,66.0
53,E14000689,6162.0
54,E14000695,39.0
55,E14000702,493.0
56,E14000705,154.0
57,E14000707,39.0
58,E14000708,103.0
59,E14000710,66.0
60,E14000712,34.0
61,E14000723,4800.0
62,E14000724,4259.0
63,E14000728,77.0
64,E14000730,10813.0
65,E14000740,3750.0
66,E14000746,176.0
67,E14000747,121.0
68,E14000748,231.0
69,E14000756,7639.0
70,E14000766,6413.0
71,E14000767,153.0
72,E14000771,111.0
73,E14000772,39.0
74,E14000773,93.0
75,E14000776,242.0
76,E14000777,3570.0
77,E14000778,2035.0
78,E14000779,3220.0
79,E14000780,2640.0
80,E14000781,2890.0
81,E14000785,254.0
82,E14000791,31.0
83,E14000797,157.0
84,E14000799,123.0
85,E14000810,239.0
86,E14000814,275.0
87,E14000818,215.0
88,E14000820,195.0
89,E14000826,3329.0
90,E14000829,203.0
91,E14000836,3633.0
92,E14000839,60.0
93,E14000843,4150.0
94,E14000846,161.0
95,E14000847,104.0
96,E14000849,98.0
97,E14000850,503.0
98,E14000854,96.0
99,E14000858,380.0
100,E14000860,421.0
101,E14000866,87.0
102,E14000867,45.0
103,E14000870,27.0
104,E14000871,4.0
105,E14000875,716.0
106,E14000876,6327.0
107,E14000885,41.0
108,E14000886,4312.0
109,E14000894,90.0
110,E14000895,15177.0
111,E14000897,232.0
112,E14000902,34.0
113,E14000903,2145.0
114,E14000904,3582.0
115,E14000905,57.0
116,E14000908,77.0
117,E14000909,156.0
118,E14000912,111.0
119,E14000913,11751.0
120,E14000917,12840.0
121,E14000919,2387.0
122,E14000920,5043.0
123,E14000921,2677.0
124,E14000922,1558.0
125,E14000923,2525.0
126,E14000924,168.0
127,E14000925,5567.0
128,E14000926,280.0
129,E14000928,17469.0
130,E14000932,392.0
131,E14000935,277.0
132,E14000936,92.0
133,E14000940,176.0
134,E14000945,36.0
135,E14000954,59.0
136,E14000965,37.0
137,E14000966,164.0
138,E14000972,104.0
139,E14000975,123.0
140,E14000976,68.0
141,E14000977,110.0
142,E14000979,55.0
143,E14000985,28.0
144,E14000986,72.0
145,E14000987,59.0
146,E14000988,219.0
147,E14000990,62.0
148,E14000991,130.0
149,E14000992,127.0
150,E14000993,26373.0
151,E14000994,125.0
152,E14001009,6089.0
153,E14001028,3811.0
154,E14001030,32.0
155,E14001035,138.0
156,E14001044,26.0
157,E14001050,40.0
158,E14001051,93.0
159,E14001053,168.0
160,E14001054,215.0
161,E14001058,28.0
162,E14001061,11162.0
163,E14001062,4691.0
