Code,Constituency,Slug,Region,Food banks
E14001063,Aldershot,aldershot,,1
E14001064,Aldridge-Brownhills,aldridge-brownhills,,1
E14001065,Altrincham and Sale West,altrincham-and-sale-west,,1
E14001066,Amber Valley,amber-valley,,0
E14001067,Arundel and South Downs,arundel-and-south-downs,,0
E14001068,Ashfield,ashfield,,4
E14001069,Ashford,ashford,,1
E14001070,Ashton-under-Lyne,ashton-under-lyne,,1
E14001071,Aylesbury,aylesbury,,2
E14001072,Banbury,banbury,,3
E14001073,Barking,barking,,0
E14001074,Barnsley North,barnsley-north,,0
E14001075,Barnsley South,barnsley-south,,2
E14001076,Barrow and Furness,barrow-and-furness,,1
E14001077,Basildon and Billericay,basildon-and-billericay,,3
E14001078,Basingstoke,basingstoke,,2
E14001079,Bassetlaw,bassetlaw,,1
E14001080,Bath,bath,,1
E14001081,Battersea,battersea,,1
E14001082,Beaconsfield,beaconsfield,,0
E14001083,Beckenham and Penge,beckenham-and-penge,,2
E14001084,Bedford,bedford,,2
E14001085,Bermondsey and Old Southwark,bermondsey-and-old-southwark,,0
E14001086,Bethnal Green and Stepney,bethnal-green-and-stepney,,0
E14001087,Beverley and Holderness,beverley-and-holderness,,2
E14001088,Bexhill and Battle,bexhill-and-battle,,1
E14001089,Bexleyheath and Crayford,bexleyheath-and-crayford,,0
E14001090,Bicester and Woodstock,bicester-and-woodstock,,3
E14001091,Birkenhead,birkenhead,,0
E14001092,Birmingham Edgbaston,birmingham-edgbaston,,1
E14001093,Birmingham Erdington,birmingham-erdington,,2
E14001094,Birmingham Hall Green and Moseley,birmingham-hall-green-and-moseley,,0
E14001095,Birmingham Hodge Hill and Solihull North,birmingham-hodge-hill-and-solihull-north,,1
E14001096,Birmingham Ladywood,birmingham-ladywood,,3
E14001097,Birmingham Northfield,birmingham-northfield,,2
E14001098,Birmingham Perry Barr,birmingham-perry-barr,,2
E14001099,Birmingham Selly Oak,birmingham-selly-oak,,1
E14001100,Birmingham Yardley,birmingham-yardley,,1
E14001101,Bishop Auckland,bishop-auckland,,2
E14001102,Blackburn,blackburn,,1
E14001103,Blackley and Middleton South,blackley-and-middleton-south,,2
E14001104,Blackpool North and Fleetwood,blackpool-north-and-fleetwood,,2
E14001105,Blackpool South,blackpool-south,,1
E14001106,Blaydon and Consett,blaydon-and-consett,,1
E14001107,Blyth and Ashington,blyth-and-ashington,,2
E14001108,Bognor Regis and Littlehampton,bognor-regis-and-littlehampton,,3
E14001109,Bolsover,bolsover,,3
E14001110,Bolton North East,bolton-north-east,,1
E14001111,Bolton South and Walkden,bolton-south-and-walkden,,1
E14001112,Bolton West,bolton-west,,1
E14001113,Bootle,bootle,,1
E14001114,Boston and Skegness,boston-and-skegness,,2
E14001115,Bournemouth East,bournemouth-east,,1
E14001116,Bournemouth West,bournemouth-west,,1
E14001117,Bracknell,bracknell,,2
E14001118,Bradford East,bradford-east,,1
E14001119,Bradford South,bradford-south,,2
E14001120,Bradford West,bradford-west,,3
E14001121,Braintree,braintree,,1
E14001122,Brent East,brent-east,,2
E14001123,Brent West,brent-west,,0
E14001124,Brentford and Isleworth,brentford-and-isleworth,,1
E14001125,Brentwood and Ongar,brentwood-and-ongar,,1
E14001126,Bridgwater,bridgwater,,2
E14001127,Bridlington and The Wolds,bridlington-and-the-wolds,,0
E14001128,Brigg and Immingham,brigg-and-immingham,,0
E14001129,Brighton Kemptown and Peacehaven,brighton-kemptown-and-peacehaven,,1
E14001130,Brighton Pavilion,brighton-pavilion,,2
E14001131,Bristol Central,bristol-central,,0
E14001132,Bristol East,bristol-east,,1
E14001133,Bristol North East,bristol-north-east,,1
E14001134,Bristol North West,bristol-north-west,,2
E14001135,Bristol South,bristol-south,,2
E14001136,Broadland and Fakenham,broadland-and-fakenham,,0
E14001137,Bromley and Biggin Hill,bromley-and-biggin-hill,,0
E14001138,Bromsgrove,bromsgrove,,2
E14001139,Broxbourne,broxbourne,,1
E14001140,Broxtowe,broxtowe,,5
E14001141,Buckingham and Bletchley,buckingham-and-bletchley,,1
E14001142,Burnley,burnley,,1
E14001143,Burton and Uttoxeter,burton-and-uttoxeter,,1
E14001144,Bury North,bury-north,,4
E14001145,Bury South,bury-south,,1
E14001146,Bury St Edmunds and Stowmarket,bury-st-edmunds-and-stowmarket,,3
E14001147,Calder Valley,calder-valley,,2
E14001148,Camborne and Redruth,camborne-and-redruth,,2
E14001149,Cambridge,cambridge,,1
E14001150,Cannock Chase,cannock-chase,,2
E14001151,Canterbury,canterbury,,1
E14001152,Carlisle,carlisle,,2
E14001153,Carshalton and Wallington,carshalton-and-wallington,,1
E14001154,Castle Point,castle-point,,0
E14001155,Central Devon,central-devon,,7
E14001156,Central Suffolk and North Ipswich,central-suffolk-and-north-ipswich,,1
E14001157,Chatham and Aylesford,chatham-and-aylesford,,2
E14001158,Cheadle,cheadle,,0
E14001159,Chelmsford,chelmsford,,1
E14001160,Chelsea and Fulham,chelsea-and-fulham,,3
E14001161,Cheltenham,cheltenham,,2
E14001162,Chesham and Amersham,chesham-and-amersham,,1
E14001163,Chester North and Neston,chester-north-and-neston,,1
E14001164,Chester South and Eddisbury,chester-south-and-eddisbury,,0
E14001165,Chesterfield,chesterfield,,1
E14001166,Chichester,chichester,,1
E14001167,Chingford and Woodford Green,chingford-and-woodford-green,,0
E14001168,Chippenham,chippenham,,2
E14001169,Chipping Barnet,chipping-barnet,,1
E14001170,Chorley,chorley,,2
E14001171,Christchurch,christchurch,,2
E14001172,Cities of London and Westminster,cities-of-london-and-westminster,,1
E14001173,City of Durham,city-of-durham,,0
E14001174,Clacton,clacton,,1
E14001175,Clapham and Brixton Hill,clapham-and-brixton-hill,,0
E14001176,Colchester,colchester,,0
E14001177,Colne Valley,colne-valley,,2
E14001178,Congleton,congleton,,4
E14001179,Corby and East Northamptonshire,corby-and-east-northamptonshire,,3
E14001180,Coventry East,coventry-east,,1
E14001181,Coventry North West,coventry-north-west,,0
E14001182,Coventry South,coventry-south,,1
E14001183,Cramlington and Killingworth,cramlington-and-killingworth,,1
E14001184,Crawley,crawley,,1
E14001185,Crewe and Nantwich,crewe-and-nantwich,,2
E14001186,Croydon East,croydon-east,,0
E14001187,Croydon South,croydon-south,,1
E14001188,Croydon West,croydon-west,,1
E14001189,Dagenham and Rainham,dagenham-and-rainham,,3
E14001190,Darlington,darlington,,1
E14001191,Dartford,dartford,,1
E14001192,Daventry,daventry,,2
E14001193,Derby North,derby-north,,0
E14001194,Derby South,derby-south,,2
E14001195,Derbyshire Dales,derbyshire-dales,,3
E14001196,Dewsbury and Batley,dewsbury-and-batley,,1
E14001197,Didcot and Wantage,didcot-and-wantage,,2
E14001198,Doncaster Central,doncaster-central,,1
E14001199,Doncaster East and the Isle of Axholme,doncaster-east-and-the-isle-of-axholme,,1
E14001200,Doncaster North,doncaster-north,,2
E14001201,Dorking and Horley,dorking-and-horley,,1
E14001202,Dover and Deal,dover-and-deal,,2
E14001203,Droitwich and Evesham,droitwich-and-evesham,,2
E14001204,Dudley,dudley,,0
E14001205,Dulwich and West Norwood,dulwich-and-west-norwood,,2
E14001206,Dunstable and Leighton Buzzard,dunstable-and-leighton-buzzard,,3
E14001207,Ealing Central and Acton,ealing-central-and-acton,,0
E14001208,Ealing North,ealing-north,,1
E14001209,Ealing Southall,ealing-southall,,1
E14001210,Earley and Woodley,earley-and-woodley,,1
E14001211,Easington,easington,,0
E14001212,East Grinstead and Uckfield,east-grinstead-and-uckfield,,2
E14001213,East Ham,east-ham,,0
E14001214,East Hampshire,east-hampshire,,2
E14001215,East Surrey,east-surrey,,2
E14001216,East Thanet,east-thanet,,2
E14001217,East Wiltshire,east-wiltshire,,0
E14001218,East Worthing and Shoreham,east-worthing-and-shoreham,,1
E14001219,Eastbourne,eastbourne,,1
E14001220,Eastleigh,eastleigh,,1
E14001221,Edmonton and Winchmore Hill,edmonton-and-winchmore-hill,,3
E14001222,Ellesmere Port and Bromborough,ellesmere-port-and-bromborough,,0
E14001223,Eltham and Chislehurst,eltham-and-chislehurst,,3
E14001224,Ely and East Cambridgeshire,ely-and-east-cambridgeshire,,1
E14001225,Enfield North,enfield-north,,0
E14001226,Epping Forest,epping-forest,,2
E14001227,Epsom and Ewell,epsom-and-ewell,,1
E14001228,Erewash,erewash,,3
E14001229,Erith and Thamesmead,erith-and-thamesmead,,1
E14001230,Esher and Walton,esher-and-walton,,2
E14001231,Exeter,exeter,,1
E14001232,Exmouth and Exeter East,exmouth-and-exeter-east,,1
E14001233,Fareham and Waterlooville,fareham-and-waterlooville,,3
E14001234,Farnham and Bordon,farnham-and-bordon,,4
E14001235,Faversham and Mid Kent,faversham-and-mid-kent,,1
E14001236,Feltham and Heston,feltham-and-heston,,3
E14001237,Filton and Bradley Stoke,filton-and-bradley-stoke,,0
E14001238,Finchley and Golders Green,finchley-and-golders-green,,1
E14001239,Folkestone and Hythe,folkestone-and-hythe,,1
E14001240,Forest of Dean,forest-of-dean,,2
E14001241,Frome and East Somerset,frome-and-east-somerset,,2
E14001242,Fylde,fylde,,2
E14001243,Gainsborough,gainsborough,,1
E14001244,Gateshead Central and Whickham,gateshead-central-and-whickham,,1
E14001245,Gedling,gedling,,1
E14001246,Gillingham and Rainham,gillingham-and-rainham,,0
E14001247,Glastonbury and Somerton,glastonbury-and-somerton,,2
E14001248,Gloucester,gloucester,,1
E14001249,Godalming and Ash,godalming-and-ash,,2
E14001250,Goole and Pocklington,goole-and-pocklington,,1
E14001251,Gorton and Denton,gorton-and-denton,,2
E14001252,Gosport,gosport,,0
E14001253,Grantham and Bourne,grantham-and-bourne,,2
E14001254,Gravesham,gravesham,,2
E14001255,Great Grimsby and Cleethorpes,great-grimsby-and-cleethorpes,,2
E14001256,Great Yarmouth,great-yarmouth,,5
E14001257,Greenwich and Woolwich,greenwich-and-woolwich,,0
E14001258,Guildford,guildford,,1
E14001259,Hackney North and Stoke Newington,hackney-north-and-stoke-newington,,1
E14001260,Hackney South and Shoreditch,hackney-south-and-shoreditch,,0
E14001261,Halesowen,halesowen,,0
E14001262,Halifax,halifax,,0
E14001263,Hamble Valley,hamble-valley,,3
E14001264,Hammersmith and Chiswick,hammersmith-and-chiswick,,0
