PCON24CD,PCON24NM,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 2,Scenario 3,Scenario 3,Scenario 3,Scenario 4,Scenario 4,Scenario 4,Scenario 5,Scenario 5,Scenario 5,Scenario 6,Scenario 6,Scenario 6,Scenario 7,Scenario 7,Scenario 7
,,Households,Households with access,Percentage with access,Households,Households with access,Percentage with access,Households,Households with access,Percentage with access,Households,Households with access,Percentage with access,Households,Households with access,Percentage with access,Households,Households with access,Percentage with access,Households,Households with access,Percentage with access
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
E14001063,Aldershot,49395,47952,97.1,49395,47974,97.1,49395,8279,16.8,49395,9878,20.0,49395,17514,35.5,49395,3528,7.1,49395,10729,21.7
E14001064,Aldridge-Brownhills,39175,29901,76.3,39175,32050,81.8,39175,5695,14.5,39175,5392,13.8,39175,17179,43.9,39175,2831,7.2,39175,7449,19.0
E14001065,Altrincham and Sale West,42963,40374,94.0,42963,41068,95.6,42963,5488,12.8,42963,1654,3.8,42963,0,0.0,42963,0,0.0,42963,5488,12.8
E14001066,Amber Valley,43117,39588,91.8,43117,43049,99.8,43117,7552,17.5,43117,2238,5.2,43117,4964,11.5,43117,502,1.2,43117,7799,18.1
E14001067,Arundel and South Downs,45796,40604,88.7,45796,44061,96.2,45796,6043,13.2,45796,4954,10.8,45796,14042,30.7,45796,2873,6.3,45796,7215,15.8
E14001068,Ashfield,43495,39728,91.3,43495,41356,95.1,43495,6557,15.1,43495,4225,9.7,43495,15935,36.6,43495,1886,4.3,43495,7977,18.3
E14001069,Ashford,46136,44241,95.9,46136,45919,99.5,46136,11233,24.3,46136,7751,16.8,46136,17597,38.1,46136,3098,6.7,46136,13314,28.9
E14001070,Ashton-under-Lyne,45490,42573,93.6,45490,43904,96.5,45490,8430,18.5,45490,5778,12.7,45490,11430,25.1,45490,1262,2.8,45490,9340,20.5
E14001071,Aylesbury,48004,39911,83.1,48004,44787,93.3,48004,8245,17.2,48004,3737,7.8,48004,8879,18.5,48004,975,2.0,48004,8880,18.5
E14001072,Banbury,46634,40429,86.7,46634,46129,98.9,46634,8132,17.4,46634,7775,16.7,46634,7868,16.9,46634,1272,2.7,46634,9265,19.9
E14001073,Barking,49080,46834,95.4,49080,46834,95.4,49080,7748,15.8,49080,13237,27.0,49080,34494,70.3,49080,5177,10.5,49080,12271,25.0
E14001074,Barnsley North,49233,45741,92.9,49233,47120,95.7,49233,11966,24.3,49233,7870,16.0,49233,19638,39.9,49233,3419,6.9,49233,14008,28.5
E14001075,Barnsley South,49864,49706,99.7,49864,49862,100.0,49864,9874,19.8,49864,5112,10.3,49864,21774,43.7,49864,2097,4.2,49864,11472,23.0
E14001076,Barrow and Furness,50190,42561,84.8,50190,49438,98.5,50190,6642,13.2,50190,3433,6.8,50190,17601,35.1,50190,1271,2.5,50190,7758,15.5
E14001077,Basildon and Billericay,45906,42917,93.5,45906,44770,97.5,45906,5798,12.6,45906,4718,10.3,45906,27071,59.0,45906,2642,5.8,45906,7835,17.1
E14001078,Basingstoke,48255,47128,97.7,48255,47994,99.5,48255,8360,17.3,48255,9264,19.2,48255,17554,36.4,48255,2295,4.8,48255,10762,22.3
E14001079,Bassetlaw,50441,42188,83.6,50441,47789,94.7,50441,4978,9.9,50441,2772,5.5,50441,7509,14.9,50441,523,1.0,50441,5471,10.8
E14001080,Bath,46716,46041,98.6,46716,46555,99.7,46716,9641,20.6,46716,10266,22.0,46716,16468,35.3,46716,2409,5.2,46716,12315,26.4
E14001081,Battersea,58657,56015,95.5,58657,56015,95.5,58657,10768,18.4,58657,17373,29.6,58657,41983,71.6,58657,7525,12.8,58657,16421,28.0
E14001082,Beaconsfield,42155,37082,88.0,42155,40048,95.0,42155,5453,12.9,42155,3469,8.2,42155,7598,18.0,42155,997,2.4,42155,6080,14.4
E14001083,Beckenham and Penge,49483,47273,95.5,49483,47273,95.5,49483,8738,17.7,49483,7986,16.1,49483,26196,52.9,49483,2902,5.9,49483,11054,22.3
E14001084,Bedford,48052,45107,93.9,48052,45214,94.1,48052,8065,16.8,48052,8196,17.1,48052,23098,48.1,48052,2825,5.9,48052,10339,21.5
E14001085,Bermondsey and Old Southwark,57681,45907,79.6,57681,45907,79.6,57681,11286,19.6,57681,11073,19.2,57681,21897,38.0,57681,2826,4.9,57681,14631,25.4
E14001086,Bethnal Green and Stepney,55698,43042,77.3,55698,43042,77.3,55698,13778,24.7,55698,10448,18.8,55698,11236,20.2,55698,3224,5.8,55698,15731,28.2
E14001087,Beverley and Holderness,47548,32510,68.4,47548,42072,88.5,47548,3763,7.9,47548,1431,3.0,47548,9616,20.2,47548,708,1.5,47548,4341,9.1
E14001088,Bexhill and Battle,44542,39409,88.5,44542,43984,98.7,44542,6518,14.6,44542,5219,11.7,44542,10570,23.7,44542,1483,3.3,44542,7334,16.5
E14001089,Bexleyheath and Crayford,40331,35827,88.8,40331,35832,88.8,40331,3335,8.3,40331,2667,6.6,40331,14359,35.6,40331,1167,2.9,40331,4494,11.1
E14001090,Bicester and Woodstock,45168,38037,84.2,45168,43204,95.7,45168,7588,16.8,45168,4610,10.2,45168,9395,20.8,45168,2383,5.3,45168,9020,20.0
E14001091,Birkenhead,52089,49246,94.5,52089,49426,94.9,52089,7596,14.6,52089,9252,17.8,52089,32137,61.7,52089,4726,9.1,52089,11338,21.8
E14001092,Birmingham Edgbaston,48192,44281,91.9,48192,44283,91.9,48192,7102,14.7,48192,8889,18.4,48192,24886,51.6,48192,4218,8.8,48192,9960,20.7
E14001093,Birmingham Erdington,52407,48698,92.9,52407,48698,92.9,52407,6057,11.6,52407,6064,11.6,52407,11079,21.1,52407,1035,2.0,52407,7123,13.6
E14001094,Birmingham Hall Green and Moseley,41828,38400,91.8,41828,38400,91.8,41828,6518,15.6,41828,7802,18.7,41828,18428,44.1,41828,2877,6.9,41828,8775,21.0
E14001095,Birmingham Hodge Hill and Solihull North,45093,42246,93.7,45093,42473,94.2,45093,7703,17.1,45093,9051,20.1,45093,31429,69.7,45093,5068,11.2,45093,11307,25.1
E14001096,Birmingham Ladywood,71358,49242,69.0,71358,49242,69.0,71358,10832,15.2,71358,7472,10.5,71358,14421,20.2,71358,1436,2.0,71358,12240,17.2
E14001097,Birmingham Northfield,48104,46962,97.6,48104,47231,98.2,48104,8919,18.5,48104,8139,16.9,48104,17300,36.0,48104,2045,4.3,48104,10677,22.2
E14001098,Birmingham Perry Barr,42740,34009,79.6,42740,35294,82.6,42740,3435,8.0,42740,3961,9.3,42740,15796,37.0,42740,1144,2.7,42740,4698,11.0
E14001099,Birmingham Selly Oak,46404,46199,99.6,46404,46199,99.6,46404,7491,16.1,46404,9356,20.2,46404,25597,55.2,46404,2428,5.2,46404,10007,21.6
E14001100,Birmingham Yardley,41951,41651,99.3,41951,41651,99.3,41951,8023,19.1,41951,10758,25.6,41951,24776,59.1,41951,5002,11.9,41951,11737,28.0
E14001101,Bishop Auckland,45687,41862,91.6,45687,45531,99.7,45687,9810,21.5,45687,5323,11.7,45687,9464,20.7,45687,2016,4.4,45687,10845,23.7
E14001102,Blackburn,44631,38856,87.1,44631,40020,89.7,44631,6418,14.4,44631,3208,7.2,44631,20051,44.9,44631,1167,2.6,44631,7728,17.3
E14001103,Blackley and Middleton South,47169,46663,98.9,47169,46793,99.2,47169,7545,16.0,47169,5803,12.3,47169,25654,54.4,47169,2634,5.6,47169,9554,20.3
E14001104,Blackpool North and Fleetwood,47648,40753,85.5,47648,41084,86.2,47648,5543,11.6,47648,6347,13.3,47648,7423,15.6,47648,1722,3.6,47648,6908,14.5
E14001105,Blackpool South,58636,41012,69.9,58636,41351,70.5,58636,6324,10.8,58636,2673,4.6,58636,15244,26.0,58636,1237,2.1,58636,7577,12.9
E14001106,Blaydon and Consett,44230,40973,92.6,44230,42712,96.6,44230,9830,22.2,44230,4876,11.0,44230,8223,18.6,44230,1670,3.8,44230,10773,24.4
E14001107,Blyth and Ashington,48596,47053,96.8,48596,47211,97.1,48596,9234,19.0,48596,9168,18.9,48596,25748,53.0,48596,3880,8.0,48596,12506,25.7
E14001108,Bognor Regis and Littlehampton,50639,46054,90.9,50639,48272,95.3,50639,6135,12.1,50639,4192,8.3,50639,85,0.2,50639,0,0.0,50639,6135,12.1
