PCON24CD,AIR,BCE,BCQ,BCS,BCT,BST,FBT,FER,FTD,GAT,MET,PLT,RLY,RPL,RSE,STR,TMU,TXR,area_km2,BCT_density,MET_density,RLY_density,alltypes
E14001063,,,,,323.0,,,,,,,,4.0,,4.0,,,,145.88,2.21,,0.027,
E14001064,,,,,589.0,,,,,,,,,,,,,,144.45,4.08,,,
E14001065,,2.0,2.0,5.0,414.0,1.0,,,,,3.0,6.0,3.0,,6.0,,,5.0,143.04,2.89,0.02,0.021,
E14001066,,,,4.0,838.0,,,,,,,,3.0,,4.0,,,,344.94,2.43,,0.009,
E14001067,,,,4.0,1076.0,,,,,,,,4.0,,5.0,,,,2102.72,0.51,,0.002,
E14001068,,,,7.0,616.0,,,,,,,,2.0,,3.0,,,,275.13,2.24,,0.007,
E14001069,,,,,569.0,,1.0,1.0,1.0,,,,3.0,,6.0,,,4.0,573.77,0.99,,0.005,
E14001070,,2.0,3.0,10.0,501.0,1.0,,,,,7.0,14.0,3.0,,5.0,,18.0,5.0,82.22,6.09,0.09,0.036,
E14001071,,,,13.0,618.0,,,,,,,,2.0,,2.0,,,,514.68,1.2,,0.004,
E14001072,,,1.0,9.0,641.0,,,,,,,,4.0,,4.0,,,,1350.16,0.47,,0.003,
E14001073,,,,,239.0,,,,,,3.0,7.0,3.0,,5.0,,3.0,,49.4,4.84,0.06,0.061,
E14001074,,,,24.0,569.0,,,,,,,,2.0,,3.0,,,,212.89,2.67,,0.009,
E14001075,,,,,593.0,,,,,,,,5.0,,5.0,,,,213.82,2.77,,0.023,
E14001076,,,,6.0,538.0,,,2.0,,,9.0,,12.0,,40.0,,,,1722.42,0.31,0.01,0.007,
E14001077,,,,20.0,389.0,,,,,,,,1.0,,1.0,,,,160.05,2.43,,0.006,
E14001078,,,,16.0,468.0,,,,,,,,1.0,,1.0,,,,200.56,2.33,,0.005,
E14001079,,3.0,,16.0,880.0,,,,,,,,4.0,,6.0,,,,1116.16,0.79,,0.004,
E14001080,,,1.0,17.0,624.0,,,,,,,,2.0,,3.0,,,,188.78,3.31,,0.011,
E14001081,,,,,164.0,,1.0,1.0,1.0,,2.0,1.0,8.0,,6.0,,4.0,,23.76,6.9,0.08,0.337,
E14001082,,,,,516.0,,,,,,,,7.0,,11.0,,,,428.11,1.21,,0.016,
E14001083,,,,,339.0,,,,,,5.0,6.0,15.0,,19.0,,5.0,,58.63,5.78,0.09,0.256,
E14001084,,5.0,,21.0,496.0,,,,,,,,2.0,,2.0,,,12.0,78.55,6.31,,0.025,
E14001085,,,,,228.0,,2.0,2.0,3.0,,5.0,14.0,6.0,,9.0,,8.0,,21.38,10.66,0.23,0.281,
E14001086,,,,,139.0,,,,,,6.0,10.0,7.0,,8.0,,14.0,,17.56,7.92,0.34,0.399,
E14001087,,,,1.0,566.0,,,,,,,,2.0,,5.0,,,,2028.08,0.28,,0.001,
E14001088,,,1.0,1.0,631.0,,,,,,2.0,2.0,14.0,,17.0,,2.0,,1173.08,0.54,0.0,0.012,
E14001089,,,,,278.0,,,,,,,,4.0,,8.0,,,,56.44,4.93,,0.071,
E14001090,1.0,,,,603.0,,,,,1.0,,,8.0,,11.0,,,,1176.42,0.51,,0.007,
E14001091,,2.0,,14.0,517.0,,,1.0,1.0,,,,10.0,,11.0,,,18.0,90.84,5.69,,0.11,
E14001092,,,,,516.0,,,,,,1.0,2.0,2.0,,1.0,,,,79.56,6.49,0.01,0.025,
E14001093,,,,,506.0,,,,,,,,2.0,,1.0,,,,67.88,7.45,,0.029,
E14001094,,,,,341.0,,,,,,,,3.0,,2.0,,,,52.04,6.55,,0.058,
E14001095,,,,,444.0,,,,,,,,1.0,,,,,,66.43,6.68,,0.015,
E14001096,,,,15.0,643.0,,,,,,12.0,24.0,8.0,,10.0,,5.0,,69.14,9.3,0.17,0.116,
E14001097,,,,,518.0,,,,,,,,2.0,,,,,,66.85,7.75,,0.03,
E14001098,,,,,364.0,,,,,,1.0,2.0,3.0,,1.0,,1.0,,66.74,5.45,0.01,0.045,
E14001099,,,,,378.0,,,,,,,,3.0,,2.0,,,,58.17,6.5,,0.052,
E14001100,,,,,385.0,,,,,,,,4.0,,4.0,,,,53.37,7.21,,0.075,
E14001101,,,,3.0,1207.0,,,,,,,,6.0,,5.0,,,,3983.59,0.3,,0.002,
E14001102,,,,15.0,635.0,,,,,,,,4.0,,8.0,,,,113.03,5.62,,0.035,
E14001103,,,4.0,13.0,566.0,1.0,,,,,6.0,13.0,2.0,,5.0,,10.0,2.0,81.07,6.98,0.07,0.025,
E14001104,,,,5.0,561.0,,,,,,22.0,43.0,1.0,,2.0,,41.0,1.0,98.52,5.69,0.22,0.01,
E14001105,,,,2.0,594.0,,,,,,18.0,35.0,3.0,,7.0,,32.0,9.0,74.87,7.93,0.24,0.04,
E14001106,,,,17.0,754.0,,,,,,,,1.0,,,,,,341.67,2.21,,0.003,
E14001107,,,2.0,7.0,472.0,,,,,,,,,,4.0,,,,262.08,1.8,,,
E14001108,,,,,403.0,,,,,,,,3.0,,6.0,,,8.0,115.39,3.49,,0.026,
E14001109,,,,1.0,1001.0,,,,,,,,4.0,,5.0,,,,635.53,1.58,,0.006,
E14001110,,,,,555.0,,,,,,,,2.0,,4.0,,,9.0,116.61,4.76,,0.017,
E14001111,,3.0,1.0,23.0,591.0,2.0,,,,,,,5.0,,7.0,,,7.0,94.91,6.23,,0.053,
E14001112,,,,,600.0,,,,,,,,5.0,,7.0,,,,219.4,2.73,,0.023,
E14001113,,1.0,,6.0,393.0,,,1.0,,,,,4.0,,5.0,,,21.0,72.83,5.4,,0.055,
E14001114,,,,16.0,1153.0,,,,,,,,7.0,,4.0,,,,2255.69,0.51,,0.003,
E14001115,,,,5.0,396.0,,,,,,,,2.0,,2.0,,,,63.95,6.19,,0.031,
E14001116,,,,17.0,548.0,,,,,,,,1.0,,1.0,,,,66.03,8.3,,0.015,
E14001117,,,,9.0,328.0,,,,,,,,4.0,,8.0,,,21.0,120.29,2.73,,0.033,
E14001118,,,,,579.0,,,,,,,,1.0,,,,,,79.03,7.33,,0.013,
E14001119,,,,,569.0,,,,,,,,1.0,,,,,,126.21,4.51,,0.008,
E14001120,,,,29.0,509.0,,,,,,,,2.0,,6.0,,,,100.79,5.05,,0.02,
E14001121,,,,5.0,661.0,,,,,,,,3.0,,3.0,,,,1359.43,0.49,,0.002,
E14001122,,,,,296.0,,,,,,5.0,7.0,2.0,,2.0,,6.0,,47.19,6.27,0.11,0.042,
E14001123,,,,,238.0,,,,,,10.0,19.0,8.0,,10.0,,8.0,,48.27,4.93,0.21,0.166,
E14001124,,,,,303.0,,,,,,4.0,7.0,6.0,,5.0,,5.0,,58.78,5.15,0.07,0.102,
E14001125,,,,1.0,547.0,,,,,,,,4.0,,4.0,,,,821.32,0.67,,0.005,
E14001126,,,,9.0,658.0,,1.0,1.0,1.0,,,,2.0,,2.0,,,,751.93,0.88,,0.003,
E14001127,,,,1.0,529.0,,,,,,,,5.0,,9.0,,,,2737.27,0.19,,0.002,
E14001128,1.0,1.0,,1.0,627.0,,,,,1.0,,,11.0,,11.0,,,,1391.14,0.45,,0.008,
