PCON24CD,Constituency,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care
E14001071,Aylesbury,42,40,6,27,7,0,15,68,18,0,33,83,2,2,0,2,0,0,0,100,0,0,2,100,120,75,8,67,0,0,11,89,0,0,75,100,9,6,1,5,0,0,17,83,0,0,6,100
E14001072,Banbury,48,47,9,35,3,0,19,74,6,0,44,94,1,1,0,0,1,0,0,0,100,0,0,0,92,72,10,59,2,1,14,82,3,1,69,96,7,6,2,3,1,0,33,50,17,0,5,83
W07000083,Bangor Aberconwy,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001073,Barking,35,35,5,30,0,0,14,86,0,0,35,100,3,3,0,2,1,0,0,67,33,0,2,67,105,71,5,63,3,0,7,89,4,0,68,96,8,7,1,6,0,0,14,86,0,0,7,100
E14001074,Barnsley North,36,36,4,30,2,0,11,83,6,0,34,94,8,7,1,5,1,0,14,71,14,0,6,86,89,64,10,50,3,1,16,78,5,2,60,94,14,13,4,8,0,1,31,62,0,8,12,92
E14001075,Barnsley South,39,39,4,34,1,0,10,87,3,0,38,97,0,0,0,0,0,0,,,,,0,,78,67,13,50,3,1,19,75,4,1,63,94,6,6,2,4,0,0,33,67,0,0,6,100
E14001076,Barrow and Furness,62,62,5,51,5,1,8,82,8,2,56,90,1,1,0,1,0,0,0,100,0,0,1,100,31,29,3,26,0,0,10,90,0,0,29,100,3,3,0,3,0,0,0,100,0,0,3,100
E14001077,Basildon and Billericay,31,31,8,21,2,0,26,68,6,0,29,94,2,2,0,1,1,0,0,50,50,0,1,50,102,79,10,67,2,0,13,85,3,0,77,97,0,0,0,0,0,0,,,,,0,
E14001078,Basingstoke,47,47,3,39,3,2,6,83,6,4,42,89,3,3,0,3,0,0,0,100,0,0,3,100,147,108,12,93,3,0,11,86,3,0,105,97,1,1,0,1,0,0,0,100,0,0,1,100
E14001079,Bassetlaw,45,45,2,39,3,1,4,87,7,2,41,91,2,2,1,0,1,0,50,0,50,0,1,50,62,49,3,45,1,0,6,92,2,0,48,98,15,15,5,9,1,0,33,60,7,0,14,93
E14001080,Bath,35,35,2,30,2,1,6,86,6,3,32,91,3,2,0,1,1,0,0,50,50,0,1,50,72,48,7,39,2,0,15,81,4,0,46,96,3,2,0,2,0,0,0,100,0,0,2,100
E14001081,Battersea,20,20,4,14,2,0,20,70,10,0,18,90,1,1,0,1,0,0,0,100,0,0,1,100,92,66,8,56,1,1,12,85,2,2,64,97,0,0,0,0,0,0,,,,,0,
E14001082,Beaconsfield,40,40,4,30,4,2,10,75,10,5,34,85,0,0,0,0,0,0,,,,,0,,125,92,7,79,5,1,8,86,5,1,86,93,2,1,0,1,0,0,0,100,0,0,1,100
E14001083,Beckenham and Penge,30,30,10,20,0,0,33,67,0,0,30,100,1,1,0,1,0,0,0,100,0,0,1,100,178,133,22,108,3,0,17,81,2,0,130,98,3,3,0,3,0,0,0,100,0,0,3,100
E14001084,Bedford,37,37,5,29,3,0,14,78,8,0,34,92,4,3,0,2,1,0,0,67,33,0,2,67,77,60,12,46,1,1,20,77,2,2,58,97,10,9,2,7,0,0,22,78,0,0,9,100
E14001085,Bermondsey and Old Southwark,35,35,10,23,2,0,29,66,6,0,33,94,6,4,0,4,0,0,0,100,0,0,4,100,99,66,1,62,3,0,2,94,5,0,63,95,3,3,0,3,0,0,0,100,0,0,3,100
E14001086,Bethnal Green and Stepney,48,48,16,31,1,0,33,65,2,0,47,98,9,7,0,5,2,0,0,71,29,0,5,71,66,53,4,47,2,0,8,89,4,0,51,96,2,2,0,2,0,0,0,100,0,0,2,100
E14001087,Beverley and Holderness,42,42,7,27,7,1,17,64,17,2,34,81,3,2,0,2,0,0,0,100,0,0,2,100,57,47,9,37,0,1,19,79,0,2,46,98,4,4,1,3,0,0,25,75,0,0,4,100
E14001088,Bexhill and Battle,36,36,6,24,4,2,17,67,11,6,30,83,2,2,1,0,1,0,50,0,50,0,1,50,48,42,12,30,0,0,29,71,0,0,42,100,15,13,4,8,1,0,31,62,8,0,12,92
E14001089,Bexleyheath and Crayford,35,35,5,28,1,1,14,80,3,3,33,94,2,2,0,2,0,0,0,100,0,0,2,100,137,97,7,87,2,1,7,90,2,1,94,97,4,3,0,3,0,0,0,100,0,0,3,100
E14001090,Bicester and Woodstock,43,42,2,38,2,0,5,90,5,0,40,95,6,6,1,5,0,0,17,83,0,0,6,100,110,83,11,71,1,0,13,86,1,0,82,99,8,7,1,6,0,0,14,86,0,0,7,100
E14001091,Birkenhead,44,44,7,29,7,1,16,66,16,2,36,82,8,6,1,2,3,0,17,33,50,0,3,50,70,55,7,46,2,0,13,84,4,0,53,96,10,9,1,7,1,0,11,78,11,0,8,89
E14001092,Birmingham Edgbaston,36,36,4,27,5,0,11,75,14,0,31,86,6,6,1,4,1,0,17,67,17,0,5,83,74,51,13,33,2,3,25,65,4,6,46,90,10,8,1,6,1,0,13,75,13,0,7,88
E14001093,Birmingham Erdington,52,51,7,42,2,0,14,82,4,0,49,96,4,4,2,1,1,0,50,25,25,0,3,75,75,53,3,47,1,2,6,89,2,4,50,94,17,17,1,10,5,1,6,59,29,6,11,65
E14001094,Birmingham Hall Green and Moseley,46,46,12,32,2,0,26,70,4,0,44,96,3,2,0,1,1,0,0,50,50,0,1,50,76,57,7,48,2,0,12,84,4,0,55,96,6,6,1,3,2,0,17,50,33,0,4,67
E14001095,Birmingham Hodge Hill and Solihull North,52,51,6,37,5,3,12,73,10,6,43,84,1,1,0,1,0,0,0,100,0,0,1,100,73,59,4,54,0,1,7,92,0,2,58,98,6,5,0,5,0,0,0,100,0,0,5,100
E14001096,Birmingham Ladywood,65,64,20,37,4,3,31,58,6,5,57,89,37,27,1,21,5,0,4,78,19,0,22,81,70,49,4,39,4,2,8,80,8,4,43,88,5,5,1,4,0,0,20,80,0,0,5,100
E14001097,Birmingham Northfield,47,47,5,38,3,1,11,81,6,2,43,91,2,2,0,1,1,0,0,50,50,0,1,50,73,59,9,49,1,0,15,83,2,0,58,98,7,7,1,5,1,0,14,71,14,0,6,86
E14001098,Birmingham Perry Barr,47,47,9,33,3,2,19,70,6,4,42,89,2,2,0,2,0,0,0,100,0,0,2,100,67,49,3,41,2,3,6,84,4,6,44,90,15,14,0,11,3,0,0,79,21,0,11,79
E14001099,Birmingham Selly Oak,39,39,7,25,5,2,18,64,13,5,32,82,1,1,0,1,0,0,0,100,0,0,1,100,82,63,5,57,0,1,8,90,0,2,62,98,8,8,0,6,2,0,0,75,25,0,6,75
E14001100,Birmingham Yardley,36,36,5,31,0,0,14,86,0,0,36,100,1,1,0,0,1,0,0,0,100,0,0,0,69,57,3,50,3,1,5,88,5,2,53,93,12,11,1,8,2,0,9,73,18,0,9,82
E14001101,Bishop Auckland,58,58,7,43,7,1,12,74,12,2,50,86,4,3,0,3,0,0,0,100,0,0,3,100,37,32,5,27,0,0,16,84,0,0,32,100,11,11,2,8,1,0,18,73,9,0,10,91
E14001102,Blackburn,55,54,7,43,4,0,13,80,7,0,50,93,7,4,0,3,1,0,0,75,25,0,3,75,64,51,5,45,1,0,10,88,2,0,50,98,4,4,1,3,0,0,25,75,0,0,4,100
E14001103,Blackley and Middleton South,50,50,5,36,5,4,10,72,10,8,41,82,0,0,0,0,0,0,,,,,0,,103,88,7,80,1,0,8,91,1,0,87,99,8,8,0,7,1,0,0,88,13,0,7,88
E14001104,Blackpool North and Fleetwood,31,31,2,24,5,0,6,77,16,0,26,84,1,1,0,1,0,0,0,100,0,0,1,100,56,42,9,33,0,0,21,79,0,0,42,100,18,17,2,12,3,0,12,71,18,0,14,82
E14001105,Blackpool South,33,33,4,24,3,2,12,73,9,6,28,85,3,3,1,1,1,0,33,33,33,0,2,67,59,47,3,44,0,0,6,94,0,0,47,100,30,30,1,27,2,0,3,90,7,0,28,93
E14001106,Blaydon and Consett,38,38,4,32,2,0,11,84,5,0,36,95,3,1,0,1,0,0,0,100,0,0,1,100,68,54,6,48,0,0,11,89,0,0,54,100,7,7,1,6,0,0,14,86,0,0,7,100
E14001107,Blyth and Ashington,35,32,7,21,4,0,22,66,13,0,28,88,4,3,0,1,2,0,0,33,67,0,1,33,59,44,4,40,0,0,9,91,0,0,44,100,10,9,2,6,1,0,22,67,11,0,8,89
E14001108,Bognor Regis and Littlehampton,24,24,1,22,1,0,4,92,4,0,23,96,0,0,0,0,0,0,,,,,0,,81,63,9,52,1,1,14,83,2,2,61,97,8,7,1,6,0,0,14,86,0,0,7,100
E14001109,Bolsover,53,53,2,44,6,1,4,83,11,2,46,87,0,0,0,0,0,0,,,,,0,,50,42,5,36,1,0,12,86,2,0,41,98,6,6,4,1,1,0,67,17,17,0,5,83
E14001110,Bolton North East,50,50,7,39,4,0,14,78,8,0,46,92,5,5,0,1,3,1,0,20,60,20,1,20,78,58,5,52,1,0,9,90,2,0,57,98,14,13,1,10,2,0,8,77,15,0,11,85
E14001111,Bolton South and Walkden,57,56,9,41,5,1,16,73,9,2,50,89,7,7,0,5,2,0,0,71,29,0,5,71,85,67,8,57,1,1,12,85,1,1,65,97,9,9,1,6,1,1,11,67,11,11,7,78
E14001112,Bolton West,38,38,9,26,3,0,24,68,8,0,35,92,3,3,0,3,0,0,0,100,0,0,3,100,79,61,11,48,2,0,18,79,3,0,59,97,7,7,1,5,0,1,14,71,0,14,6,86
E14001113,Bootle,37,37,4,27,2,4,11,73,5,11,31,84,11,9,0,7,2,0,0,78,22,0,7,78,49,33,3,29,1,0,9,88,3,0,32,97,5,5,1,3,1,0,20,60,20,0,4,80
E14001114,Boston and Skegness,46,46,4,31,11,0,9,67,24,0,35,76,2,2,0,2,0,0,0,100,0,0,2,100,52,42,0,41,0,1,0,98,0,2,41,98,2,2,0,2,0,0,0,100,0,0,2,100
E14001115,Bournemouth East,24,24,8,16,0,0,33,67,0,0,24,100,3,3,0,2,1,0,0,67,33,0,2,67,86,73,8,62,2,1,11,85,3,1,70,96,5,5,0,3,2,0,0,60,40,0,3,60
E14001116,Bournemouth West,25,25,5,19,1,0,20,76,4,0,24,96,2,1,1,0,0,0,100,0,0,0,1,100,67,53,10,43,0,0,19,81,0,0,53,100,5,4,1,3,0,0,25,75,0,0,4,100
E14001117,Bracknell,31,31,3,27,0,1,10,87,0,3,30,97,2,2,0,2,0,0,0,100,0,0,2,100,170,127,19,107,1,0,15,84,1,0,126,99,6,6,3,3,0,0,50,50,0,0,6,100
E14001118,Bradford East,48,48,11,31,4,2,23,65,8,4,42,88,2,2,2,0,0,0,100,0,0,0,2,100,71,62,12,50,0,0,19,81,0,0,62,100,6,4,0,3,1,0,0,75,25,0,3,75
E14001119,Bradford South,36,36,2,29,3,2,6,81,8,6,31,86,2,2,0,2,0,0,0,100,0,0,2,100,66,58,11,47,0,0,19,81,0,0,58,100,13,12,1,8,3,0,8,67,25,0,9,75
E14001120,Bradford West,53,53,9,35,9,0,17,66,17,0,44,83,5,4,0,4,0,0,0,100,0,0,4,100,69,62,12,50,0,0,19,81,0,0,62,100,8,5,0,3,2,0,0,60,40,0,3,60
E14001121,Braintree,40,40,0,37,3,0,0,93,8,0,37,93,0,0,0,0,0,0,,,,,0,,81,60,15,45,0,0,25,75,0,0,60,100,7,6,0,5,1,0,0,83,17,0,5,83
E14001122,Brent East,42,42,9,30,3,0,21,71,7,0,39,93,2,2,0,1,1,0,0,50,50,0,1,50,100,75,9,64,1,1,12,85,1,1,73,97,6,6,0,4,2,0,0,67,33,0,4,67
E14001123,Brent West,28,28,8,19,0,1,29,68,0,4,27,96,1,0,0,0,0,0,,,,,0,,84,69,3,63,3,0,4,91,4,0,66,96,6,4,0,4,0,0,0,100,0,0,4,100
E14001124,Brentford and Isleworth,35,35,6,29,0,0,17,83,0,0,35,100,3,3,1,2,0,0,33,67,0,0,3,100,138,101,8,92,1,0,8,91,1,0,100,99,3,3,0,3,0,0,0,100,0,0,3,100
E14001125,Brentwood and Ongar,40,40,5,33,2,0,13,83,5,0,38,95,0,0,0,0,0,0,,,,,0,,98,66,14,51,0,1,21,77,0,2,65,98,4,3,1,2,0,0,33,67,0,0,3,100
E14001126,Bridgwater,39,39,3,30,5,1,8,77,13,3,33,85,1,1,0,1,0,0,0,100,0,0,1,100,55,46,10,36,0,0,22,78,0,0,46,100,10,9,1,4,4,0,11,44,44,0,5,56
E14001127,Bridlington and The Wolds,44,44,4,38,2,0,9,86,5,0,42,95,1,1,0,1,0,0,0,100,0,0,1,100,56,46,3,43,0,0,7,93,0,0,46,100,5,5,0,5,0,0,0,100,0,0,5,100
E14001128,Brigg and Immingham,42,42,3,34,5,0,7,81,12,0,37,88,4,2,0,2,0,0,0,100,0,0,2,100,65,53,5,48,0,0,9,91,0,0,53,100,3,3,0,2,1,0,0,67,33,0,2,67
E14001129,Brighton Kemptown and Peacehaven,24,24,4,13,6,1,17,54,25,4,17,71,2,2,0,2,0,0,0,100,0,0,2,100,58,42,8,33,0,1,19,79,0,2,41,98,3,3,1,2,0,0,33,67,0,0,3,100
E14001130,Brighton Pavilion,26,26,1,22,2,1,4,85,8,4,23,88,6,5,0,4,1,0,0,80,20,0,4,80,72,47,7,38,1,1,15,81,2,2,45,96,5,5,2,2,1,0,40,40,20,0,4,80
E14001131,Bristol Central,24,24,6,15,1,2,25,63,4,8,21,88,6,5,0,3,2,0,0,60,40,0,3,60,77,48,13,33,2,0,27,69,4,0,46,96,1,1,1,0,0,0,100,0,0,0,1,100
E14001132,Bristol East,32,32,1,24,5,2,3,75,16,6,25,78,8,6,1,5,0,0,17,83,0,0,6,100,112,79,11,65,2,1,14,82,3,1,76,96,2,2,1,1,0,0,50,50,0,0,2,100
E14001133,Bristol North East,36,36,2,28,6,0,6,78,17,0,30,83,1,1,0,1,0,0,0,100,0,0,1,100,97,71,7,62,0,2,10,87,0,3,69,97,2,2,1,0,1,0,50,0,50,0,1,50
E14001134,Bristol North West,37,37,6,28,3,0,16,76,8,0,34,92,2,1,0,1,0,0,0,100,0,0,1,100,87,60,8,52,0,0,13,87,0,0,60,100,5,5,0,5,0,0,0,100,0,0,5,100
E14001135,Bristol South,38,36,7,22,5,2,19,61,14,6,29,81,2,2,1,1,0,0,50,50,0,0,2,100,101,72,10,61,1,0,14,85,1,0,71,99,5,5,0,4,1,0,0,80,20,0,4,80
E14001136,Broadland and Fakenham,46,46,3,39,4,0,7,85,9,0,42,91,0,0,0,0,0,0,,,,,0,,71,56,16,40,0,0,29,71,0,0,56,100,6,5,0,3,2,0,0,60,40,0,3,60
E14001137,Bromley and Biggin Hill,25,25,5,19,1,0,20,76,4,0,24,96,3,2,0,2,0,0,0,100,0,0,2,100,163,122,21,100,1,0,17,82,1,0,121,99,3,3,0,3,0,0,0,100,0,0,3,100
E14001138,Bromsgrove,38,38,6,29,3,0,16,76,8,0,35,92,1,1,1,0,0,0,100,0,0,0,1,100,108,77,16,61,0,0,21,79,0,0,77,100,9,9,3,5,1,0,33,56,11,0,8,89
E14001139,Broxbourne,46,46,7,34,4,1,15,74,9,2,41,89,1,1,0,0,0,1,0,0,0,100,0,0,115,82,8,74,0,0,10,90,0,0,82,100,1,1,0,1,0,0,0,100,0,0,1,100
E14001140,Broxtowe,35,35,2,32,1,0,6,91,3,0,34,97,4,4,0,4,0,0,0,100,0,0,4,100,66,45,3,41,1,0,7,91,2,0,44,98,4,4,0,4,0,0,0,100,0,0,4,100
E14001141,Buckingham and Bletchley,46,46,8,32,5,1,17,70,11,2,40,87,2,2,0,2,0,0,0,100,0,0,2,100,99,74,13,60,0,1,18,81,0,1,73,99,4,4,1,3,0,0,25,75,0,0,4,100
E14001142,Burnley,53,53,10,35,8,0,19,66,15,0,45,85,3,2,0,1,1,0,0,50,50,0,1,50,68,48,8,36,4,0,17,75,8,0,44,92,21,19,1,13,4,1,5,68,21,5,14,74
E14001143,Burton and Uttoxeter,49,48,3,42,3,0,6,88,6,0,45,94,5,5,1,2,0,2,20,40,0,40,3,60,67,49,8,40,0,1,16,82,0,2,48,98,21,18,2,14,2,0,11,78,11,0,16,89
E14001144,Bury North,46,46,5,33,6,2,11,72,13,4,38,83,3,3,0,3,0,0,0,100,0,0,3,100,75,61,10,51,0,0,16,84,0,0,61,100,14,14,2,10,2,0,14,71,14,0,12,86
E14001145,Bury South,43,42,5,30,3,4,12,71,7,10,35,83,3,2,0,1,1,0,0,50,50,0,1,50,94,78,9,68,1,0,12,87,1,0,77,99,4,4,0,4,0,0,0,100,0,0,4,100
E14001146,Bury St Edmunds and Stowmarket,45,43,2,37,3,1,5,86,7,2,39,91,5,3,1,2,0,0,33,67,0,0,3,100,74,58,6,50,2,0,10,86,3,0,56,97,5,5,0,1,4,0,0,20,80,0,1,20
W07000087,Caerfyrddin,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001147,Calder Valley,54,54,8,41,4,1,15,76,7,2,49,91,1,1,0,1,0,0,0,100,0,0,1,100,96,77,17,60,0,0,22,78,0,0,77,100,18,17,4,10,3,0,24,59,18,0,14,82
E14001148,Camborne and Redruth,40,40,5,32,3,0,13,80,8,0,37,93,2,2,0,2,0,0,0,100,0,0,2,100,53,37,7,30,0,0,19,81,0,0,37,100,5,5,0,4,0,1,0,80,0,20,4,80
E14001149,Cambridge,32,32,7,23,2,0,22,72,6,0,30,94,4,2,2,0,0,0,100,0,0,0,2,100,106,68,16,52,0,0,24,76,0,0,68,100,3,3,0,3,0,0,0,100,0,0,3,100
E14001150,Cannock Chase,38,38,0,34,4,0,0,89,11,0,34,89,4,4,0,2,2,0,0,50,50,0,2,50,69,53,10,43,0,0,19,81,0,0,53,100,25,23,1,17,3,2,4,74,13,9,18,78
E14001151,Canterbury,34,33,5,26,2,0,15,79,6,0,31,94,5,4,0,4,0,0,0,100,0,0,4,100,62,45,10,33,2,0,22,73,4,0,43,96,7,6,1,5,0,0,17,83,0,0,6,100
W07000089,Cardiff East,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
W07000090,Cardiff North,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
W07000091,Cardiff South and Penarth,0,0,0,0,0,0,,,,,0,,2,2,0,1,1,0,0,50,50,0,1,50,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
W07000092,Cardiff West,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001152,Carlisle,48,48,4,40,4,0,8,83,8,0,44,92,4,2,0,2,0,0,0,100,0,0,2,100,51,49,11,38,0,0,22,78,0,0,49,100,11,10,0,8,2,0,0,80,20,0,8,80
E14001153,Carshalton and Wallington,39,38,10,27,1,0,26,71,3,0,37,97,2,2,0,1,1,0,0,50,50,0,1,50,139,95,8,85,2,0,8,89,2,0,93,98,2,2,1,1,0,0,50,50,0,0,2,100
E14001154,Castle Point,31,31,3,26,1,1,10,84,3,3,29,94,3,3,0,3,0,0,0,100,0,0,3,100,49,37,7,30,0,0,19,81,0,0,37,100,6,6,0,5,1,0,0,83,17,0,5,83
E14001155,Central Devon,49,47,2,39,6,0,4,83,13,0,41,87,2,1,0,1,0,0,0,100,0,0,1,100,84,63,14,48,0,1,22,76,0,2,62,98,9,8,0,7,1,0,0,88,13,0,7,88
E14001156,Central Suffolk and North Ipswich,38,38,3,32,3,0,8,84,8,0,35,92,3,3,0,3,0,0,0,100,0,0,3,100,69,56,9,47,0,0,16,84,0,0,56,100,0,0,0,0,0,0,,,,,0,
E14001157,Chatham and Aylesford,44,44,3,38,1,2,7,86,2,5,41,93,1,0,0,0,0,0,,,,,0,,111,86,8,75,2,1,9,87,2,1,83,97,5,5,1,4,0,0,20,80,0,0,5,100
E14001158,Cheadle,41,40,10,28,2,0,25,70,5,0,38,95,2,2,0,2,0,0,0,100,0,0,2,100,102,73,7,66,0,0,10,90,0,0,73,100,12,12,2,9,1,0,17,75,8,0,11,92
E14001159,Chelmsford,38,37,10,27,0,0,27,73,0,0,37,100,6,5,1,3,1,0,20,60,20,0,4,80,100,77,17,59,1,0,22,77,1,0,76,99,0,0,0,0,0,0,,,,,0,
E14001160,Chelsea and Fulham,33,33,14,19,0,0,42,58,0,0,33,100,2,2,1,0,1,0,50,0,50,0,1,50,95,65,13,50,1,1,20,77,2,2,63,97,0,0,0,0,0,0,,,,,0,
E14001161,Cheltenham,32,32,8,22,2,0,25,69,6,0,30,94,2,2,0,2,0,0,0,100,0,0,2,100,83,62,8,51,3,0,13,82,5,0,59,95,1,1,0,1,0,0,0,100,0,0,1,100
E14001162,Chesham and Amersham,46,46,12,29,1,4,26,63,2,9,41,89,1,1,0,1,0,0,0,100,0,0,1,100,133,95,13,79,2,1,14,83,2,1,92,97,2,2,0,2,0,0,0,100,0,0,2,100
E14001163,Chester North and Neston,35,35,8,23,4,0,23,66,11,0,31,89,4,4,1,2,1,0,25,50,25,0,3,75,77,56,6,48,2,0,11,86,4,0,54,96,10,10,1,9,0,0,10,90,0,0,10,100
E14001164,Chester South and Eddisbury,50,50,6,40,3,1,12,80,6,2,46,92,3,3,0,2,1,0,0,67,33,0,2,67,68,49,4,44,1,0,8,90,2,0,48,98,4,4,0,3,1,0,0,75,25,0,3,75
E14001165,Chesterfield,41,41,2,35,4,0,5,85,10,0,37,90,9,8,0,5,1,2,0,63,13,25,5,63,61,48,1,46,0,1,2,96,0,2,47,98,8,8,3,5,0,0,38,63,0,0,8,100
E14001166,Chichester,38,38,2,35,1,0,5,92,3,0,37,97,4,1,0,1,0,0,0,100,0,0,1,100,89,63,6,57,0,0,10,90,0,0,63,100,2,2,2,0,0,0,100,0,0,0,2,100
E14001167,Chingford and Woodford Green,32,32,9,23,0,0,28,72,0,0,32,100,2,1,0,1,0,0,0,100,0,0,1,100,132,101,18,81,2,0,18,80,2,0,99,98,7,6,2,4,0,0,33,67,0,0,6,100
E14001168,Chippenham,37,37,2,28,7,0,5,76,19,0,30,81,2,2,0,2,0,0,0,100,0,0,2,100,117,96,17,77,2,0,18,80,2,0,94,98,6,6,0,4,2,0,0,67,33,0,4,67
E14001169,Chipping Barnet,47,46,12,34,0,0,26,74,0,0,46,100,4,4,0,4,0,0,0,100,0,0,4,100,124,92,17,69,5,1,18,75,5,1,86,93,2,2,0,2,0,0,0,100,0,0,2,100
E14001170,Chorley,53,53,11,40,2,0,21,75,4,0,51,96,5,4,0,3,1,0,0,75,25,0,3,75,81,69,10,58,1,0,14,84,1,0,68,99,19,18,1,12,5,0,6,67,28,0,13,72
E14001171,Christchurch,26,26,3,21,2,0,12,81,8,0,24,92,2,1,0,1,0,0,0,100,0,0,1,100,68,54,9,44,1,0,17,81,2,0,53,98,4,4,1,1,2,0,25,25,50,0,2,50
E14001172,Cities of London and Westminster,29,29,7,21,1,0,24,72,3,0,28,97,33,23,3,15,5,0,13,65,22,0,18,78,75,53,17,36,0,0,32,68,0,0,53,100,2,2,1,1,0,0,50,50,0,0,2,100
E14001173,City of Durham,47,47,3,38,6,0,6,81,13,0,41,87,4,2,1,1,0,0,50,50,0,0,2,100,53,45,11,31,1,2,24,69,2,4,42,93,16,16,5,10,1,0,31,63,6,0,15,94
E14001174,Clacton,28,28,2,21,4,1,7,75,14,4,23,82,1,1,0,1,0,0,0,100,0,0,1,100,64,51,12,38,1,0,24,75,2,0,50,98,8,8,0,6,2,0,0,75,25,0,6,75
E14001175,Clapham and Brixton Hill,34,34,12,20,2,0,35,59,6,0,32,94,5,3,0,3,0,0,0,100,0,0,3,100,99,61,6,51,2,2,10,84,3,3,57,93,0,0,0,0,0,0,,,,,0,
E14001176,Colchester,47,46,8,36,1,1,17,78,2,2,44,96,5,4,1,2,1,0,25,50,25,0,3,75,121,78,22,54,1,1,28,69,1,1,76,97,5,5,0,5,0,0,0,100,0,0,5,100
