PCON24CD,Constituency,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care
,,Number of open schools,Number of schools inspected,Outstanding,Good,Requires improvement,Inadequate,Outstanding %,Good %,Requires improvement %,Inadequate %,Good or outstanding,Good or outstanding %,Number of open providers,Number of providers inspected,Outstanding,Good,Requires improvement,Inadequate,Outstanding %,Good %,Requires improvement %,Inadequate %,Good or outstanding,Good or outstanding %,Number of open providers,Number of providers inspected,Outstanding,Good,Requires improvement,Inadequate,Outstanding %,Good %,Requires improvement %,Inadequate %,Good or outstanding,Good or outstanding %,Number of open providers,Number of providers inspected,Outstanding,Good,Requires improvement,Inadequate,Outstanding %,Good %,Requires improvement %,Inadequate %,Good or outstanding,Good or outstanding %
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
E14001063,Aldershot,42,42,9,25,4,4,21,60,10,10,34,81,3,3,2,1,0,0,67,33,0,0,3,100,146,120,11,106,2,1,9,88,2,1,117,98,2,1,0,1,0,0,0,100,0,0,1,100
E14001064,Aldridge-Brownhills,38,38,3,34,1,0,8,89,3,0,37,97,1,1,1,0,0,0,100,0,0,0,1,100,58,45,4,40,1,0,9,89,2,0,44,98,10,9,0,8,1,0,0,89,11,0,8,89
E14001065,Altrincham and Sale West,36,36,13,21,2,0,36,58,6,0,34,94,3,2,0,2,0,0,0,100,0,0,2,100,105,78,17,61,0,0,22,78,0,0,78,100,3,3,1,2,0,0,33,67,0,0,3,100
E14001066,Amber Valley,52,52,4,42,6,0,8,81,12,0,46,88,5,4,0,4,0,0,0,100,0,0,4,100,62,47,1,46,0,0,2,98,0,0,47,100,6,6,0,5,1,0,0,83,17,0,5,83
E14001067,Arundel and South Downs,43,43,3,35,5,0,7,81,12,0,38,88,0,0,0,0,0,0,,,,,0,,92,66,11,54,0,1,17,82,0,2,65,98,5,5,1,4,0,0,20,80,0,0,5,100
E14001068,Ashfield,37,37,3,27,4,3,8,73,11,8,30,81,4,4,1,2,1,0,25,50,25,0,3,75,72,57,4,51,2,0,7,89,4,0,55,96,5,5,1,4,0,0,20,80,0,0,5,100
E14001069,Ashford,41,40,4,34,2,0,10,85,5,0,38,95,3,2,0,2,0,0,0,100,0,0,2,100,110,87,15,72,0,0,17,83,0,0,87,100,11,11,2,8,1,0,18,73,9,0,10,91
E14001070,Ashton-under-Lyne,40,40,3,33,3,1,8,83,8,3,36,90,3,3,1,2,0,0,33,67,0,0,3,100,102,79,5,71,1,2,6,90,1,3,76,96,13,11,1,7,3,0,9,64,27,0,8,73
