Code,All dwellings,Detached,Semi-detached,Terraced,Flats and maisonettes,Owner-occupied,Private rent,Social rent,Pre-1929,1930 to 1982,1983 to 2011,2012 onwards,Existing dwellings,New dwellings
E14000530,70,66,66,69,75,66,70,71,60,66,73,84,68,84
E14000531,67,66,64,67,74,65,67,69,58,65,71,83,66,83
E14000532,66,63,63,64,73,64,67,68,59,65,74,83,65,82
E14000533,66,67,66,64,72,64,64,69,59,65,70,83,65,83
E14000534,68,66,66,69,73,65,62,69,53,64,71,84,65,84
E14000535,67,66,67,63,73,64,63,70,58,68,70,83,66,83
E14000536,71,69,68,70,78,67,69,70,57,66,72,84,68,84
E14000537,68,68,67,65,74,64,66,72,62,68,72,84,67,83
E14000538,71,68,69,71,75,68,68,72,58,67,71,83,69,84
E14000539,71,70,69,71,76,69,69,70,56,66,71,84,68,84
E14000540,76,70,64,66,82,71,70,69,63,66,76,85,69,85
E14000541,67,69,67,62,74,65,65,68,60,67,73,83,66,83
E14000542,67,68,67,64,74,66,66,67,59,66,74,84,66,84
E14000543,64,66,64,62,71,62,65,70,60,64,71,84,63,83
E14000544,69,67,65,68,74,67,70,70,59,66,71,83,67,83
E14000545,71,68,70,71,76,69,71,72,61,69,73,83,70,83
E14000546,68,70,67,68,72,65,65,69,57,67,70,84,67,84
E14000547,67,66,65,65,70,63,65,71,61,67,74,84,65,84
E14000548,66,66,66,63,72,64,66,70,58,66,72,83,65,83
E14000549,74,63,59,64,77,70,70,71,65,71,78,85,69,85
E14000550,68,65,65,68,75,66,67,72,58,65,73,84,66,84
E14000551,67,60,60,64,73,64,69,73,60,63,76,84,65,84
E14000552,69,66,66,69,73,66,66,73,61,69,72,83,68,83
E14000553,77,68,70,69,78,74,73,71,67,70,76,84,73,84
E14000554,66,67,66,64,71,63,56,68,51,65,70,83,63,83
E14000555,74,68,73,64,75,72,72,71,65,70,77,84,72,84
E14000556,67,66,66,67,73,64,66,71,57,65,69,84,65,84
E14000557,67,63,66,69,71,64,65,70,58,64,71,84,65,84
E14000558,67,60,61,67,75,63,66,71,61,64,72,85,64,85
E14000559,68,68,64,67,71,64,65,72,62,69,74,83,67,83
E14000560,67,64,63,66,69,65,66,68,60,66,74,84,66,84
E14000561,66,66,64,64,70,63,63,70,59,65,72,84,65,84
E14000562,62,60,59,59,69,58,62,68,58,63,73,84,61,84
E14000563,63,66,62,61,69,59,61,68,57,65,71,84,62,84
E14000564,74,73,69,64,77,70,73,71,60,70,76,83,71,83
E14000565,68,67,65,68,71,65,67,69,59,65,72,84,66,84
E14000566,62,62,60,61,70,59,61,68,59,62,72,83,62,83
E14000567,65,63,62,64,72,63,65,68,61,64,74,83,64,83
E14000568,63,64,61,62,69,61,62,69,58,63,71,82,62,82
E14000569,68,69,68,66,74,64,64,70,58,68,72,83,66,83
E14000570,67,73,66,63,73,61,64,72,58,68,71,84,65,84
E14000571,70,70,67,67,74,65,68,73,60,70,74,82,69,83
E14000572,65,65,63,66,68,63,63,70,60,63,71,83,64,83
E14000573,64,65,62,63,65,62,62,71,59,63,72,83,63,83
E14000574,68,70,67,66,71,66,67,68,62,67,73,84,67,83
E14000575,70,76,69,69,71,68,67,70,62,68,71,83,68,83
E14000576,68,65,68,69,70,66,67,71,62,65,72,83,66,83
E14000577,69,71,69,64,74,66,65,71,59,67,70,83,66,83
E14000578,68,66,66,67,73,65,68,71,63,67,72,83,67,83
E14000579,68,67,67,66,74,64,67,71,63,67,72,83,67,83
E14000580,68,68,67,67,73,66,68,71,62,66,72,84,67,84
E14000581,68,76,65,67,72,65,66,71,63,93,73,82,67,82
E14000582,67,63,67,70,71,63,65,69,56,64,70,83,65,83
E14000583,69,68,66,68,75,65,67,71,57,65,71,83,66,83
E14000584,68,62,66,69,73,65,70,73,62,64,77,82,67,82
E14000585,68,63,67,70,72,66,69,71,63,65,76,82,67,82
E14000586,70,67,68,69,75,67,70,71,58,68,72,84,69,84
E14000587,61,70,66,56,72,58,58,71,54,65,73,83,60,83
E14000588,64,67,65,60,72,62,62,70,56,65,70,83,63,83
E14000589,60,63,63,55,71,57,62,70,54,64,73,79,59,75
E14000590,69,67,67,69,75,66,67,70,55,65,71,84,67,84
E14000591,73,59,61,65,77,66,66,72,64,66,76,85,67,85
E14000592,70,59,61,66,77,65,67,72,62,64,76,85,66,85
E14000593,72,58,61,66,76,69,69,72,62,67,75,84,69,84
E14000594,68,63,63,67,73,65,67,70,58,65,74,83,66,83
E14000595,68,62,66,69,74,63,66,71,53,64,71,83,65,84
E14000596,66,66,65,64,72,64,64,70,57,65,70,83,65,83
E14000597,69,64,67,68,72,66,68,74,66,67,75,84,68,84
E14000598,67,63,64,65,69,65,66,73,65,67,75,82,66,83
E14000599,67,66,64,65,73,64,67,72,63,66,74,83,66,83
E14000600,68,64,64,68,72,64,68,72,62,65,75,84,67,84
E14000601,68,68,65,66,74,65,67,71,63,66,75,83,67,83
E14000602,68,63,57,63,71,64,66,70,63,68,77,83,66,83
E14000603,67,65,67,68,75,64,61,69,51,62,68,84,64,84
E14000604,66,61,61,65,71,63,67,70,60,65,75,83,65,83
E14000605,67,66,65,68,74,64,66,71,56,64,70,84,65,84
E14000606,69,67,64,67,74,66,69,73,60,66,72,84,68,84
E14000607,66,64,64,67,72,64,65,70,58,65,71,84,65,84
E14000608,70,68,69,70,79,64,62,71,53,65,69,84,65,84
E14000609,64,68,67,61,73,61,64,71,59,67,70,83,63,83
E14000610,69,70,68,65,74,64,65,71,58,66,71,84,66,84
E14000611,66,66,65,63,73,63,66,69,60,66,71,83,65,83
E14000612,67,66,64,66,73,64,66,71,62,66,70,84,66,84
E14000613,71,68,70,71,76,66,68,72,56,66,71,84,68,84
E14000614,64,66,65,60,73,61,62,70,56,66,72,84,63,84
E14000615,71,61,58,65,73,68,68,72,64,70,76,84,69,84
E14000616,67,62,69,66,75,60,62,71,54,62,71,83,62,83
E14000617,72,68,66,68,77,67,70,72,62,68,75,85,69,85
E14000618,68,67,66,69,72,65,67,69,59,65,70,83,66,83
E14000619,69,67,66,68,74,66,68,70,60,67,73,84,67,84
E14000620,68,72,67,65,71,66,65,69,60,66,71,83,66,83
E14000621,69,59,60,69,72,65,67,72,60,66,74,84,67,84
E14000622,64,62,61,67,72,62,65,69,56,61,69,83,63,83
E14000623,66,62,66,67,71,61,62,71,52,62,69,84,62,84
E14000624,67,65,66,70,76,64,65,71,50,64,70,84,65,84
E14000625,68,68,66,68,74,65,66,72,56,64,70,84,65,84
E14000626,68,67,66,67,73,65,66,71,61,67,72,84,67,84
E14000627,66,64,64,68,72,64,65,71,59,64,72,84,64,84
E14000628,70,66,65,68,76,66,68,72,61,66,73,84,68,84
E14000629,69,60,59,63,71,68,69,70,66,70,76,85,68,84
E14000630,68,66,65,67,71,66,67,72,62,66,73,83,67,83
E14000631,67,64,64,67,73,64,65,71,58,65,72,84,66,84
E14000632,67,67,66,65,73,64,66,69,60,67,70,84,66,84
E14000633,69,66,68,70,74,66,67,70,55,64,72,84,66,84
E14000634,67,59,60,64,72,63,69,71,61,65,75,84,66,84
E14000635,69,68,68,69,74,66,69,70,58,66,71,84,67,84
E14000636,68,61,61,65,72,64,68,68,61,65,74,84,66,84
E14000637,69,71,66,68,73,66,68,69,63,66,71,85,67,85
E14000638,68,65,67,70,74,66,68,71,61,65,72,84,67,84
E14000639,72,48,62,62,73,71,70,71,67,71,78,85,70,85
E14000640,69,67,65,68,75,67,67,71,62,67,73,84,68,84
E14000641,68,71,67,67,74,67,68,68,63,67,73,83,67,84
E14000642,65,63,65,66,70,64,64,69,57,62,70,84,64,84
E14000643,66,67,66,65,70,64,64,70,60,65,70,84,65,84
E14000644,71,68,67,70,75,67,70,73,60,69,73,83,70,83
E14000645,66,69,66,62,72,63,64,70,59,65,71,84,64,84
E14000646,70,70,67,69,77,65,66,69,59,64,69,84,65,84
E14000647,65,65,65,63,73,61,60,69,55,65,71,83,64,83
E14000648,71,72,70,69,74,68,68,70,55,66,72,84,68,84
E14000649,68,70,69,66,73,65,66,70,62,66,72,83,66,83
E14000650,66,69,66,64,73,64,66,71,62,64,74,83,65,83
E14000651,68,66,64,66,74,65,68,71,63,66,75,83,67,83
E14000652,71,66,68,69,76,68,69,72,60,68,72,84,69,83
E14000653,69,71,67,67,74,66,67,70,61,65,71,84,66,84
E14000654,69,60,62,65,74,65,67,70,62,66,74,84,66,83
E14000655,67,59,59,63,71,64,65,69,63,66,76,83,65,83
E14000656,67,61,61,65,75,63,66,71,61,63,75,84,64,84
E14000657,68,62,63,65,73,64,66,69,61,64,73,85,65,85
E14000658,67,70,66,63,74,64,64,72,60,66,72,84,65,84
E14000659,73,68,67,70,80,68,69,73,61,65,74,84,68,84
E14000660,70,70,69,70,75,65,66,70,54,65,69,84,66,84
E14000661,67,66,65,66,72,64,66,71,62,67,72,83,66,83
E14000662,67,67,65,64,74,64,65,71,60,65,73,84,65,84
E14000663,66,66,64,63,74,63,64,72,59,66,72,83,65,83
E14000664,66,65,65,65,74,63,57,70,54,65,70,83,62,83
E14000665,68,64,67,68,73,63,67,68,52,64,70,84,65,84
E14000666,67,68,66,63,73,64,65,70,58,66,71,84,66,84
E14000667,68,68,68,67,73,66,66,68,59,66,70,83,66,83
E14000668,68,68,67,65,74,66,65,69,60,66,72,84,66,84
