Code,Name,All dwellings,Detached,Semi-detached,Terraced,Flats and maisonettes,Owner-occupied,Private rent,Social rent,Pre 1930,1930 to 1982,1983 to 2011,2012 onwards,Existing dwellings,New dwellings
E14000530,Aldershot,69,65,66,68,75,65,69,71,60,66,73,84,68,84
E14000531,Aldridge-Brownhills,66,65,63,67,74,64,66,68,57,64,71,83,65,83
E14000532,Altrincham and Sale West,65,63,63,63,73,63,66,68,57,64,73,83,64,83
E14000533,Amber Valley,65,66,65,63,72,63,63,68,57,64,70,83,63,83
E14000534,Arundel and South Downs,67,65,65,68,72,64,61,69,53,63,70,84,64,84
E14000535,Ashfield,66,66,66,62,73,63,62,70,56,67,70,83,65,83
E14000536,Ashford,70,68,67,69,78,67,68,70,57,66,72,84,67,83
E14000537,Ashton-under-Lyne,67,67,66,64,74,64,65,71,61,67,71,83,66,83
E14000538,Aylesbury,71,68,69,70,75,67,68,72,58,67,71,83,68,84
E14000539,Banbury,71,70,69,71,75,68,68,70,56,66,70,84,67,84
E14000540,Barking,75,68,64,65,81,70,69,69,62,65,76,85,68,85
E14000541,Barnsley Central,67,68,67,61,74,64,65,68,59,66,72,83,65,83
E14000542,Barnsley East,66,67,67,63,74,64,65,67,58,65,73,83,65,83
E14000543,Barrow and Furness,63,65,63,62,71,61,64,70,59,64,70,83,63,83
E14000544,Basildon and Billericay,68,66,64,68,74,66,69,70,59,65,70,83,67,83
E14000545,Basingstoke,71,67,69,70,76,68,71,72,61,68,73,83,70,83
E14000546,Bassetlaw,67,68,66,67,72,64,64,69,57,66,69,84,66,84
E14000547,Bath,66,65,63,65,70,62,64,71,60,66,73,84,64,84
E14000548,Batley and Spen,66,66,65,63,72,63,65,70,57,66,71,83,65,83
E14000549,Battersea,73,61,59,63,76,69,69,70,64,70,77,85,69,85
E14000550,Beaconsfield,68,64,64,68,74,65,67,71,57,65,72,84,66,84
E14000551,Beckenham,66,59,59,64,72,63,68,73,60,63,75,84,64,83
E14000552,Bedford,68,65,65,68,72,65,65,73,60,68,72,83,67,83
E14000553,Bermondsey and Old Southwark,76,67,68,68,77,73,73,70,66,70,76,85,72,85
E14000554,Berwick-upon-Tweed,65,66,64,63,71,62,55,68,50,64,70,83,62,83
E14000555,Bethnal Green and Bow,74,69,73,64,75,71,71,71,64,70,76,84,71,84
E14000556,Beverley and Holderness,66,65,65,65,72,63,65,70,56,64,68,84,64,84
E14000557,Bexhill and Battle,66,63,65,68,70,64,65,70,57,63,71,84,64,84
E14000558,Bexleyheath and Crayford,66,60,61,67,73,63,65,70,60,63,71,85,64,85
E14000559,Birkenhead,66,67,63,65,71,63,64,71,61,68,73,83,66,83
E14000560,"Birmingham, Edgbaston",65,62,62,65,69,64,65,67,59,64,74,84,65,84
E14000561,"Birmingham, Erdington",65,65,63,64,70,62,62,70,58,63,71,84,64,84
E14000562,"Birmingham, Hall Green",60,59,58,58,68,57,61,67,56,63,73,84,60,84
E14000563,"Birmingham, Hodge Hill",61,64,61,60,69,59,60,68,56,63,71,84,61,84
E14000564,"Birmingham, Ladywood",73,71,68,62,77,67,73,70,58,69,76,82,70,82
E14000565,"Birmingham, Northfield",67,67,64,68,70,65,66,68,58,64,72,84,66,84
E14000566,"Birmingham, Perry Barr",61,60,59,59,69,58,60,67,57,61,72,83,60,83
E14000567,"Birmingham, Selly Oak",64,61,61,63,71,62,64,66,60,63,73,83,63,83
E14000568,"Birmingham, Yardley",62,62,60,61,69,59,61,68,57,62,71,83,61,83
E14000569,Bishop Auckland,67,68,67,65,74,63,63,69,57,67,72,83,66,83
E14000570,Blackburn,65,69,65,62,73,61,63,72,58,67,70,83,64,83
E14000571,Blackley and Broughton,69,69,66,66,73,64,66,73,59,70,74,82,68,82
E14000572,Blackpool North and Cleveleys,64,64,62,65,67,63,62,71,60,63,70,83,63,83
E14000573,Blackpool South,62,63,61,62,64,61,61,71,59,62,71,83,62,83
E14000574,Blaydon,67,69,66,66,71,65,66,68,61,66,72,83,66,83
E14000575,Blyth Valley,69,74,68,68,70,67,65,70,62,67,70,83,67,83
E14000576,Bognor Regis and Littlehampton,68,65,67,69,70,65,66,71,61,65,72,83,66,83
E14000577,Bolsover,68,69,68,62,74,65,63,71,58,66,70,83,65,83
E14000578,Bolton North East,67,65,65,66,72,64,66,70,62,67,71,83,66,83
E14000579,Bolton South East,67,66,66,65,73,64,66,70,62,66,71,83,66,83
E14000830,Newbury,68,63,64,68,75,65,65,70,55,64,71,83,66,83
E14000831,Newcastle upon Tyne Central,68,69,66,67,70,65,67,70,64,67,74,83,67,83
E14000832,Newcastle upon Tyne East,67,69,65,64,68,65,67,68,65,66,74,83,66,83
E14000833,Newcastle upon Tyne North,70,82,68,68,71,67,68,70,63,67,72,84,68,84
E14000834,Newcastle-under-Lyme,66,66,64,64,73,64,65,69,59,65,70,83,65,83
E14000835,Newton Abbot,67,66,67,66,70,64,64,70,60,64,70,83,65,83
E14000836,"Normanton, Pontefract and Castleford",68,73,67,66,72,65,66,68,59,67,71,83,67,84
E14000837,North Cornwall,66,61,67,67,72,60,59,70,48,60,70,83,61,83
E14000838,North Devon,67,66,67,66,70,63,64,71,55,64,70,84,64,84
E14000839,North Dorset,67,64,65,69,74,65,64,69,52,64,70,83,65,83
E14000840,North Durham,68,70,67,66,73,66,66,69,62,67,71,83,67,83
E14000841,North East Bedfordshire,71,70,70,71,78,68,67,71,57,66,71,84,67,84
E14000842,North East Cambridgeshire,68,66,67,69,73,65,67,70,56,64,70,83,66,83
E14000843,North East Derbyshire,66,66,65,65,73,64,64,67,58,64,69,84,65,83
E14000844,North East Hampshire,70,67,69,71,77,67,67,71,55,66,71,84,67,84
E14000845,North East Hertfordshire,67,65,65,67,73,65,65,68,57,65,70,84,65,84
E14000846,North East Somerset,68,66,66,67,74,64,65,70,55,64,69,84,64,84
E14000847,North Herefordshire,64,61,65,68,71,61,57,68,46,63,68,83,61,83
E14000848,North Norfolk,64,61,62,66,72,61,60,68,52,61,68,83,62,83
E14000849,North Shropshire,66,65,65,67,73,63,62,69,53,64,69,83,63,83
E14000850,North Somerset,68,65,66,70,75,65,68,74,56,65,72,84,66,84
E14000851,North Swindon,71,70,68,69,76,68,72,70,63,65,73,84,69,84
E14000852,North Thanet,67,65,65,67,70,64,64,71,60,65,73,84,65,84
E14000853,North Tyneside,70,79,67,70,71,68,68,70,64,68,72,83,68,83
E14000854,North Warwickshire,65,66,64,65,72,63,63,69,56,63,70,84,64,84
E14000855,North West Cambridgeshire,71,68,69,72,76,66,69,72,57,66,71,84,68,84
E14000856,North West Durham,66,68,66,64,73,64,64,68,58,66,71,83,65,83
E14000857,North West Hampshire,70,66,69,70,76,66,67,71,53,66,71,83,67,83
E14000858,North West Leicestershire,69,70,67,66,73,65,65,68,56,65,69,84,65,84
E14000859,North West Norfolk,65,63,63,65,72,62,63,69,54,62,69,83,63,83
E14000860,North Wiltshire,68,66,67,69,75,66,66,67,51,65,70,84,65,84
E14000861,Northampton North,66,66,64,66,73,64,66,71,60,66,71,83,65,83
E14000862,Northampton South,68,67,66,66,74,66,67,72,61,68,73,83,67,83
E14000863,Norwich North,68,66,66,67,72,65,67,70,63,66,71,84,66,84
E14000864,Norwich South,69,66,67,65,73,65,68,71,61,68,74,82,68,82
E14000865,Nottingham East,66,58,59,63,73,60,64,72,59,70,76,83,65,83
E14000866,Nottingham North,68,65,66,67,72,65,64,70,59,68,71,84,67,84
E14000867,Nottingham South,69,60,63,66,75,63,69,71,60,66,75,82,67,82
E14000868,Nuneaton,67,69,66,65,73,64,65,70,58,64,70,84,65,84
E14000869,Old Bexley and Sidcup,63,60,59,63,70,61,65,69,58,62,74,83,63,82
E14000870,Oldham East and Saddleworth,65,65,65,63,73,62,64,70,60,67,70,83,64,83
E14000871,Oldham West and Royton,66,67,66,63,73,63,63,71,60,67,71,84,65,84
E14000872,Orpington,64,61,61,67,72,63,66,72,58,63,72,83,64,83
E14000873,Oxford East,69,65,64,68,73,66,68,71,61,68,74,84,69,84
E14000874,Oxford West and Abingdon,69,65,65,68,75,66,69,71,60,66,73,83,67,83
E14000875,Pendle,61,66,64,58,71,58,60,70,57,65,71,83,60,83
E14000876,Penistone and Stocksbridge,67,66,66,64,74,65,65,70,57,66,69,84,66,84
E14000877,Penrith and The Border,63,60,63,63,73,59,55,68,45,61,67,83,59,83
E14000878,Peterborough,69,64,68,69,73,65,65,74,58,70,71,83,68,83
E14000879,"Plymouth, Moor View",70,66,67,70,72,65,69,72,60,68,72,84,68,84
E14000580,Bolton West,67,67,66,66,73,65,68,70,62,65,71,84,66,84
E14000581,Bootle,67,77,64,66,72,63,64,71,62,67,73,82,66,82
E14000582,Boston and Skegness,66,62,66,70,71,63,64,69,55,64,70,83,64,83
E14000583,Bosworth,68,67,66,67,74,64,66,70,56,65,70,83,65,83
E14000584,Bournemouth East,67,61,64,68,72,64,69,72,62,64,77,82,66,82
E14000585,Bournemouth West,67,62,66,70,71,65,69,70,62,65,76,82,66,82
E14000586,Bracknell,70,66,67,68,75,66,70,71,58,67,71,84,68,84
E14000587,Bradford East,61,68,65,55,72,57,58,71,54,64,72,83,59,83
E14000588,Bradford South,63,66,64,59,72,61,61,69,55,64,70,83,63,83
E14000589,Bradford West,59,62,62,55,71,56,60,70,54,64,72,78,59,78
E14000590,Braintree,68,66,66,69,74,65,67,70,55,64,70,84,66,84
E14000591,Brent Central,72,57,60,64,76,65,66,72,63,66,75,85,66,85
E14000592,Brent North,69,58,60,65,76,64,66,71,61,63,75,84,66,84
E14000593,Brentford and Isleworth,71,57,60,65,75,67,69,71,62,67,76,84,68,84
E14000594,Brentwood and Ongar,67,63,63,67,73,64,67,71,58,64,73,83,65,83
E14000595,Bridgwater and West Somerset,67,62,66,68,74,62,65,70,53,64,71,83,64,83
E14000596,Brigg and Goole,65,65,64,63,71,63,62,69,56,64,69,83,64,83
E14000597,"Brighton, Kemptown",68,63,66,67,72,65,67,73,65,67,75,85,67,84
E14000598,"Brighton, Pavilion",66,63,64,64,69,64,66,73,64,67,75,83,66,84
E14000599,Bristol East,67,66,64,65,73,64,67,72,62,65,74,83,66,83
E14000600,Bristol North West,67,64,63,67,72,64,67,72,61,65,75,84,66,84
E14000601,Bristol South,67,67,64,65,73,64,67,70,63,66,75,83,66,83
E14000602,Bristol West,67,64,56,63,70,64,66,70,62,68,77,83,65,82
E14000603,Broadland,66,65,66,68,74,64,61,68,51,62,68,84,64,84
E14000604,Bromley and Chislehurst,66,60,60,65,71,63,66,71,59,64,75,84,64,83
E14000605,Bromsgrove,66,65,64,68,74,64,66,70,55,63,69,83,64,83
E14000606,Broxbourne,68,66,63,67,73,65,68,73,59,65,72,83,67,84
E14000607,Broxtowe,65,63,63,66,72,63,64,70,57,63,71,84,64,84
E14000608,Buckingham,69,68,68,70,78,64,62,70,52,65,69,84,65,84
E14000609,Burnley,63,67,65,60,73,60,62,70,59,66,70,83,62,83
E14000610,Burton,68,69,67,63,74,63,64,71,57,66,70,84,65,84
E14000611,Bury North,65,65,64,62,73,63,65,69,60,65,71,83,64,83
E14000612,Bury South,66,65,63,65,72,63,64,70,60,65,70,83,65,83
E14000613,Bury St Edmunds,70,67,69,70,75,65,67,72,55,66,71,84,67,84
E14000614,Calder Valley,63,65,64,59,73,60,61,69,56,66,72,84,62,84
E14000615,Camberwell and Peckham,70,58,57,65,72,67,68,71,63,69,76,84,68,84
E14000616,Camborne and Redruth,66,61,68,66,75,60,61,71,54,61,70,83,61,83
E14000617,Cambridge,72,68,66,67,78,66,69,72,61,68,75,85,68,85
E14000618,Cannock Chase,67,66,65,68,72,64,66,68,58,64,69,83,65,83
E14000619,Canterbury,68,66,65,67,73,65,67,70,59,66,73,84,66,84
E14000620,Carlisle,67,70,67,65,71,65,65,69,60,65,71,83,65,83
E14000621,Carshalton and Wallington,68,58,59,68,72,64,66,72,58,65,73,84,66,84
E14000622,Castle Point,63,61,60,65,72,61,64,68,55,61,69,83,62,83
E14000623,Central Devon,65,62,65,67,72,61,61,71,52,62,69,83,62,83
E14000624,Central Suffolk and North Ipswich,67,65,64,69,75,64,65,70,50,64,70,83,64,83
E14000625,Charnwood,67,68,65,67,74,64,65,71,55,64,70,84,65,84
E14000626,Chatham and Aylesford,68,67,66,66,73,65,65,71,60,66,71,84,66,84
E14000627,Cheadle,65,63,63,67,72,63,64,71,58,64,72,84,64,84
E14000628,Chelmsford,69,63,63,67,76,65,67,72,60,65,74,84,67,84
E14000629,Chelsea and Fulham,69,61,59,62,70,67,68,69,65,70,76,85,67,84
E14000630,Cheltenham,68,66,65,67,71,65,67,72,61,66,73,83,66,83
E14000631,Chesham and Amersham,66,63,64,66,73,64,65,71,57,65,72,84,65,84
E14000632,Chesterfield,67,66,65,65,73,64,66,69,59,66,70,84,66,84
E14000633,Chichester,68,65,66,70,74,65,67,69,54,64,72,84,66,84
E14000634,Chingford and Woodford Green,67,58,59,64,72,62,68,71,60,65,75,84,65,84
E14000635,Chippenham,69,67,67,69,74,66,68,69,57,65,70,84,67,84
E14000636,Chipping Barnet,67,61,60,65,72,64,67,68,60,64,74,85,65,84
E14000637,Chorley,68,70,66,67,73,65,67,69,62,66,71,84,66,84
E14000638,Christchurch,68,65,67,69,74,66,67,71,60,65,72,84,66,84
E14000639,Cities of London and Westminster,72,41,62,62,72,70,70,71,67,70,78,85,69,85
E14000640,City of Chester,68,66,65,67,75,66,67,70,61,66,72,84,67,84
E14000641,City of Durham,68,70,67,67,73,66,68,68,63,66,72,83,67,83
E14000642,Clacton,64,62,64,65,69,63,63,69,57,62,69,84,63,84
E14000643,Cleethorpes,65,66,65,64,70,63,64,70,59,64,69,84,64,84
E14000644,Colchester,71,67,66,70,75,67,70,73,59,68,73,83,69,83
E14000645,Colne Valley,65,69,65,61,73,62,63,70,58,65,70,84,63,84
E14000646,Congleton,69,69,66,69,76,65,65,69,58,64,69,83,65,83
E14000647,Copeland,64,64,64,62,72,61,60,69,55,64,70,83,63,83
E14000648,Corby,70,72,69,69,73,67,68,69,54,65,72,84,67,84
E14000649,Coventry North East,67,70,68,64,72,64,64,70,60,65,72,83,65,83
E14000650,Coventry North West,65,67,64,63,71,63,65,69,61,63,73,83,64,83
E14000651,Coventry South,67,65,63,65,73,64,67,71,62,65,75,83,66,83
E14000652,Crawley,70,66,68,69,76,68,69,72,60,68,72,84,69,83
E14000653,Crewe and Nantwich,68,70,66,67,74,65,67,70,60,65,71,84,66,84
E14000654,Croydon Central,68,60,61,64,74,64,66,69,62,65,74,84,65,83
E14000655,Croydon North,66,58,58,62,70,63,64,68,62,65,76,84,64,83
E14000656,Croydon South,66,60,61,64,75,62,66,71,60,62,75,85,63,84
E14000657,Dagenham and Rainham,67,62,62,65,72,64,65,69,61,64,73,85,65,85
E14000658,Darlington,66,69,65,62,74,63,63,72,58,65,72,83,65,84
E14000659,Dartford,72,68,66,69,79,67,69,73,61,65,74,84,67,84
E14000660,Daventry,69,68,68,69,74,65,66,70,54,65,69,84,65,84
E14000661,Denton and Reddish,66,65,64,65,71,64,65,70,61,66,71,83,65,83
E14000662,Derby North,66,66,64,63,74,63,65,71,59,64,72,84,65,84
E14000663,Derby South,65,65,62,62,73,62,63,71,58,65,72,83,64,83
E14000664,Derbyshire Dales,65,64,64,64,73,62,57,69,53,64,70,83,62,83
E14000665,Devizes,67,64,67,68,73,63,66,68,52,64,70,84,64,84
E14000666,Dewsbury,66,67,66,63,73,63,65,70,57,66,71,84,65,84
E14000667,Don Valley,67,67,67,66,74,65,65,68,58,65,69,83,66,83
E14000668,Doncaster Central,67,67,66,63,74,64,64,69,59,65,72,84,65,84
E14000669,Doncaster North,65,66,65,63,72,63,62,67,58,65,69,83,63,83
E14000670,Dover,68,66,66,66,72,64,65,71,60,67,72,84,65,84
E14000671,Dudley North,66,64,65,66,71,64,64,69,58,64,70,83,65,83
E14000672,Dudley South,65,65,64,66,70,63,64,67,57,63,70,82,64,81
E14000673,Dulwich and West Norwood,66,57,55,62,68,64,66,68,62,67,75,84,65,84
E14000674,Ealing Central and Acton,69,57,58,63,72,65,67,69,63,66,76,84,66,84
E14000675,Ealing North,68,60,61,66,72,64,67,71,62,66,75,85,66,85
E14000676,"Ealing, Southall",69,59,60,63,76,64,64,70,63,64,75,85,65,85
E14000677,Easington,68,70,67,67,73,65,66,69,63,67,72,83,67,83
E14000678,East Devon,70,68,69,71,72,66,65,70,59,65,72,84,65,84
E14000679,East Ham,70,68,63,62,78,63,66,71,61,71,74,84,66,84
E14000780,Leeds North West,64,65,63,60,72,63,61,71,58,64,72,84,63,84
E14000781,Leeds West,65,65,65,61,70,63,61,69,57,65,72,83,64,83
E14000782,Leicester East,65,68,64,63,71,63,63,69,59,65,73,84,64,84
E14000783,Leicester South,64,61,62,60,71,61,62,69,60,65,73,81,63,79
E14000784,Leicester West,66,66,65,63,74,63,63,70,60,66,72,83,65,83
E14000785,Leigh,68,72,67,66,73,64,66,71,62,65,70,84,66,83
E14000786,Lewes,67,64,65,67,73,65,65,70,58,65,72,84,65,84
E14000787,Lewisham East,66,55,57,63,70,63,66,69,61,67,74,85,65,84
E14000788,Lewisham West and Penge,67,54,57,64,69,64,66,70,63,68,74,84,66,84
E14000789,"Lewisham, Deptford",71,59,56,64,74,67,69,69,63,69,75,84,68,84
E14000790,Leyton and Wanstead,65,56,57,62,69,62,64,71,62,68,75,84,65,84
E14000791,Lichfield,69,67,67,70,74,66,67,70,57,65,71,83,66,83
E14000792,Lincoln,67,66,67,64,73,66,66,70,60,67,71,83,66,83
E14000793,"Liverpool, Riverside",72,68,69,65,76,69,70,71,64,70,74,83,69,82
E14000794,"Liverpool, Walton",66,69,69,63,72,63,62,71,62,67,72,83,65,83
E14000795,"Liverpool, Wavertree",65,65,62,64,70,63,64,69,63,62,73,83,64,83
E14000796,"Liverpool, West Derby",68,69,67,66,72,66,64,71,62,65,70,83,66,83
E14000797,Loughborough,68,68,66,66,74,64,66,71,58,65,72,83,66,83
E14000798,Louth and Horncastle,65,62,67,67,71,61,63,69,53,62,68,83,63,83
E14000799,Ludlow,62,57,62,66,73,60,55,68,46,62,67,83,60,83
