Code,Name,All dwellings,Detached,Semi-detached,Terraced,Flats and maisonettes,Owner-occupied,Private rent,Social rent,Pre 1930,1930 to 1982,1983 to 2011,2012 onwards,Existing dwellings,New dwellings
E14000800,Luton North,66,64,63,67,75,63,66,72,60,64,69,84,66,84
E14000801,Luton South,66,67,63,62,72,62,64,72,59,65,72,82,64,82
E14000802,Macclesfield,66,64,65,66,74,64,65,70,60,65,71,84,65,84
E14000803,Maidenhead,68,63,64,67,74,65,67,71,57,66,72,83,66,83
E14000804,Maidstone and The Weald,69,68,65,68,76,65,67,71,59,65,74,84,66,84
E14000805,Makerfield,66,68,65,64,74,64,66,70,61,64,70,83,65,83
E14000806,Maldon,66,65,64,67,73,63,64,69,53,62,68,84,64,84
E14000807,Manchester Central,75,77,70,68,78,73,72,72,62,71,75,83,71,83
E14000808,"Manchester, Gorton",64,65,63,62,70,61,63,70,60,67,74,83,64,83
E14000809,"Manchester, Withington",67,65,63,64,70,65,65,70,62,65,74,84,66,84
E14000810,Mansfield,67,67,66,64,74,65,64,69,59,66,71,83,65,83
E14000811,Meon Valley,70,66,68,71,76,66,67,71,54,65,71,84,67,84
E14000812,Meriden,69,67,66,69,74,66,69,71,54,66,70,84,67,84
E14000813,Mid Bedfordshire,71,73,69,70,77,66,66,70,56,66,70,84,66,84
E14000814,Mid Derbyshire,65,65,64,66,72,64,65,71,57,63,68,83,65,83
E14000815,Mid Dorset and North Poole,68,65,68,69,73,66,66,72,58,65,69,84,66,84
E14000816,Mid Norfolk,68,66,67,70,75,64,63,69,51,62,69,84,64,84
E14000817,Mid Sussex,70,66,67,70,75,67,68,71,59,66,72,84,67,84
E14000818,Mid Worcestershire,69,68,69,69,74,65,68,70,55,65,69,84,66,84
E14000819,Middlesbrough,66,83,65,62,73,62,61,69,58,66,74,83,65,83
E14000820,Middlesbrough South and East Cleveland,68,69,66,66,73,64,64,71,57,67,70,83,66,83
E14000821,Milton Keynes North,71,70,69,69,78,69,70,70,57,67,72,84,69,84
E14000822,Milton Keynes South,71,71,70,70,78,69,69,70,57,67,70,84,69,84
E14000823,Mitcham and Morden,68,63,60,65,70,66,68,68,64,65,73,83,67,83
E14000824,Mole Valley,66,62,63,67,73,64,64,70,56,63,73,84,64,84
E14000825,Morecambe and Lunesdale,64,64,62,62,69,62,63,71,58,63,70,83,63,83
E14000826,Morley and Outwood,67,69,67,64,74,65,65,69,58,65,69,84,65,84
E14000827,New Forest East,67,63,65,69,73,65,66,71,56,65,71,84,66,84
E14000828,New Forest West,67,64,66,69,73,66,66,71,56,65,71,84,66,84
E14000829,Newark,66,65,65,66,72,64,65,68,55,64,69,83,64,83
E14000680,East Hampshire,70,67,68,71,74,67,66,72,55,66,71,85,67,85
E14000681,East Surrey,68,64,64,69,75,65,67,71,57,64,73,84,65,84
E14000682,East Worthing and Shoreham,65,62,63,66,69,64,64,70,61,64,73,84,64,83
E14000683,East Yorkshire,67,66,66,67,69,64,63,70,55,64,68,84,64,84
E14000880,"Plymouth, Sutton and Devonport",67,63,62,63,71,63,66,71,62,68,76,83,66,83
E14000684,Eastbourne,68,65,65,67,71,67,67,73,64,66,74,84,67,82
E14000685,Eastleigh,71,69,69,71,77,68,70,71,64,66,72,86,69,86
E14000881,Poole,69,64,66,69,75,66,70,73,61,65,76,84,68,84
E14000686,Eddisbury,69,67,66,70,75,63,60,70,51,65,68,84,64,84
E14000882,Poplar and Limehouse,80,65,70,69,81,78,76,71,65,69,78,84,74,85
E14000687,Edmonton,65,57,59,62,70,63,65,68,61,64,72,85,65,84
E14000883,Portsmouth North,66,65,64,64,72,64,66,71,63,66,73,85,66,85
E14000688,Ellesmere Port and Neston,68,67,66,69,74,65,66,72,61,66,70,84,67,84
E14000884,Portsmouth South,67,62,60,64,71,64,67,72,63,70,76,83,67,83
E14000689,Elmet and Rothwell,67,67,65,66,74,64,64,69,58,64,70,84,65,84
E14000885,Preston,67,66,67,64,73,63,65,72,61,69,72,82,67,83
E14000690,Eltham,67,58,60,65,73,64,66,71,60,65,74,84,65,84
E14000886,Pudsey,65,66,63,63,72,63,64,71,57,64,72,82,64,82
E14000691,Enfield North,66,60,60,63,70,63,66,70,60,64,73,84,65,84
E14000887,Putney,71,58,61,65,72,68,69,72,64,69,77,84,69,84
E14000692,"Enfield, Southgate",66,61,58,63,70,63,67,68,60,64,74,85,65,85
E14000888,Rayleigh and Wickford,66,65,62,70,74,64,67,72,57,62,70,84,64,84
E14000693,Epping Forest,66,62,62,66,71,64,67,69,57,64,73,84,65,84
E14000889,Reading East,68,64,64,65,75,65,67,72,62,66,74,84,66,84
E14000694,Epsom and Ewell,66,61,61,67,73,63,67,72,59,62,73,84,64,84
E14000890,Reading West,68,65,64,67,73,65,67,71,61,66,72,84,66,84
E14000695,Erewash,65,64,63,66,73,62,63,71,57,65,70,83,64,83
E14000891,Redcar,67,68,65,67,73,63,63,71,58,66,71,84,65,83
E14000696,Erith and Thamesmead,68,60,60,66,73,65,68,71,61,66,73,84,67,84
E14000892,Redditch,68,67,66,68,73,66,68,71,54,67,70,83,67,83
E14000697,Esher and Walton,68,64,63,67,74,65,67,70,59,64,73,84,66,84
E14000893,Reigate,69,62,64,69,74,65,69,72,58,66,75,84,67,84
E14000698,Exeter,68,67,67,66,73,66,67,73,63,67,73,84,67,84
E14000894,Ribble Valley,67,70,66,64,74,64,63,71,59,63,70,84,64,84
E14000699,Fareham,68,66,66,69,75,66,69,72,61,65,71,84,67,84
E14000895,Richmond (Yorks),66,63,66,66,73,62,65,69,49,64,69,83,64,83
E14000700,Faversham and Mid Kent,69,68,67,69,74,65,65,71,56,66,71,84,66,84
E14000896,Richmond Park,66,59,59,64,70,64,67,69,61,66,75,84,65,83
E14000701,Feltham and Heston,68,60,62,66,73,65,67,71,60,65,74,84,67,84
E14000897,Rochdale,67,68,67,64,74,64,64,71,61,67,71,83,66,83
E14000702,Filton and Bradley Stoke,70,68,66,70,76,66,69,70,58,63,70,84,67,84
E14000898,Rochester and Strood,69,69,66,67,77,65,66,72,60,66,73,84,67,84
E14000703,Finchley and Golders Green,68,57,59,61,71,64,67,69,62,67,75,84,66,83
E14000899,Rochford and Southend East,65,62,60,64,68,62,64,70,60,62,73,84,63,84
E14000704,Folkestone and Hythe,67,64,65,66,70,64,65,70,61,64,72,84,65,84
E14000900,Romford,65,59,59,63,74,61,67,72,58,62,76,84,64,84
E14000705,Forest of Dean,66,62,65,69,73,61,65,66,51,62,70,84,62,84
E14000901,Romsey and Southampton North,68,65,66,68,72,65,65,69,57,64,70,84,66,84
E14000706,Fylde,67,68,64,67,68,64,64,68,58,63,71,84,64,84
E14000902,Rossendale and Darwen,64,68,65,61,73,62,62,70,59,65,70,83,63,83
E14000707,Gainsborough,67,66,66,68,73,64,62,69,55,65,71,83,65,83
E14000903,Rother Valley,67,66,66,66,73,65,64,69,58,65,69,84,65,84
E14000904,Rotherham,67,67,66,64,73,64,63,70,59,67,72,84,66,84
E14000905,Rugby,69,71,67,67,74,65,67,73,60,64,73,84,66,84
E14000906,"Ruislip, Northwood and Pinner",66,60,61,67,71,63,67,69,58,63,73,84,65,84
E14000907,Runnymede and Weybridge,69,64,63,68,76,66,67,72,59,64,74,83,67,83
E14000908,Rushcliffe,68,67,66,70,74,65,65,71,57,64,70,84,65,84
E14000909,Rutland and Melton,67,66,65,67,73,64,63,68,53,64,69,84,64,84
E14000910,Saffron Walden,70,69,67,69,76,65,63,70,53,64,72,84,65,84
E14000911,Salford and Eccles,75,70,66,68,79,69,73,73,61,70,75,83,70,83
E14000912,Salisbury,69,66,68,69,76,65,67,71,59,65,71,84,66,84
E14000913,Scarborough and Whitby,65,63,64,63,68,62,62,70,58,64,71,83,63,83
E14000914,Scunthorpe,67,67,64,67,72,64,65,70,59,65,71,83,66,83
E14000915,Sedgefield,68,71,67,67,73,66,66,68,59,67,70,84,67,84
E14000916,Sefton Central,66,66,63,69,72,64,66,70,57,64,72,84,65,84
E14000917,Selby and Ainsty,68,67,66,68,74,64,63,69,55,63,69,83,64,84
E14000918,Sevenoaks,66,63,63,66,74,64,64,68,58,64,71,84,64,84
E14000919,Sheffield Central,71,61,68,58,76,63,69,71,57,69,75,81,68,81
E14000920,Sheffield South East,67,66,66,64,73,64,64,71,54,67,70,83,66,84
E14000921,"Sheffield, Brightside and Hillsborough",65,64,65,60,73,61,60,70,54,67,72,83,64,83
E14000922,"Sheffield, Hallam",64,65,64,59,71,63,61,71,57,65,72,84,64,84
E14000923,"Sheffield, Heeley",67,65,65,64,73,63,65,70,56,67,74,84,66,84
E14000924,Sherwood,69,69,67,69,75,66,66,70,56,66,71,83,66,83
E14000925,Shipley,64,66,63,61,71,63,64,69,56,63,72,84,63,83
E14000926,Shrewsbury and Atcham,68,68,67,69,74,66,65,71,57,66,69,83,66,83
E14000927,Sittingbourne and Sheppey,68,67,67,67,73,65,65,70,59,65,71,83,66,83
E14000928,Skipton and Ripon,65,64,65,64,73,62,62,70,56,64,70,84,63,84
E14000929,Sleaford and North Hykeham,67,66,67,71,75,65,66,67,52,63,69,83,65,83
E14000730,Harrogate and Knaresborough,67,67,66,64,69,64,65,71,61,65,71,84,65,84
E14000731,Harrow East,65,61,61,65,72,63,65,69,60,63,75,83,64,84
E14000732,Harrow West,69,56,60,65,74,63,67,72,61,64,76,85,66,85
E14000733,Hartlepool,67,72,66,64,74,65,62,69,55,66,72,83,66,83
E14000734,Harwich and North Essex,66,65,64,65,73,63,64,71,55,63,69,84,63,84
E14000735,Hastings and Rye,67,64,65,66,69,64,66,71,63,66,72,83,66,83
E14000736,Havant,68,65,66,68,72,65,67,70,59,65,71,84,66,84
