Parliamentary Constituency Code,"Parliamentary Constituency",Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%)
E14001039,"Wigan",North West,46925,6939,14.8
E14001040,"Wimbledon",London,42824,3970,9.3
E14001041,"Winchester",South East,42034,3224,7.7
E14001042,"Windsor",South East,44566,2716,6.1
E14001043,"Wirral South",North West,32329,3791,11.7
E14001044,"Wirral West",North West,31182,3334,10.7
E14001045,"Witham",East of England,40524,4595,11.3
E14001046,"Witney",South East,48951,3779,7.7
E14001047,"Woking",South East,44799,3041,6.8
E14001048,"Wokingham",South East,47831,2429,5.1
E14001049,"Wolverhampton North East",West Midlands,38237,8225,21.5
E14001050,"Wolverhampton South East",West Midlands,38579,8787,22.8
E14001051,"Wolverhampton South West",West Midlands,36635,7433,20.3
E14001052,"Worcester",West Midlands,45755,6866,15.0
E14001053,"Workington",North West,36789,5728,15.6
E14001054,"Worsley and Eccles South",North West,46733,6022,12.9
E14001055,"Worthing West",South East,48056,4202,8.7
E14001056,"Wycombe",South East,44940,3564,7.9
E14001057,"Wyre and Preston North",North West,42387,4223,10.0
E14001058,"Wyre Forest",West Midlands,46350,7663,16.5
E14001059,"Wythenshawe and Sale East",North West,47833,6158,12.9
E14001060,"Yeovil",South West,51783,6131,11.8
E14001061,"York Central",Yorkshire and The Humber,46732,7691,16.5
E14001062,"York Outer",Yorkshire and The Humber,41073,4154,10.1
