PCON24CD,2025-03,2025-05
E14001063,68,44
E14001064,72,41
E14001065,58,44
E14001066,164,90
E14001067,177,111
E14001068,97,58
E14001069,79,52
E14001070,55,38
E14001071,78,58
E14001072,145,90
E14001073,27,15
E14001074,141,80
E14001075,79,50
E14001076,161,94
E14001077,45,25
E14001078,60,43
E14001079,144,84
E14001080,216,114
E14001081,114,84
E14001082,146,80
E14001083,49,34
E14001084,112,76
E14001085,254,173
E14001086,179,108
E14001087,145,109
E14001088,136,77
E14001089,53,31
E14001090,133,92
E14001091,83,52
E14001092,64,35
E14001093,32,16
E14001094,70,40
E14001095,32,16
E14001096,370,240
E14001097,37,19
E14001098,50,26
E14001099,43,27
E14001100,30,16
E14001101,189,121
E14001102,72,48
E14001103,35,22
E14001104,65,45
E14001105,192,120
E14001106,107,70
E14001107,128,72
E14001108,83,56
E14001109,118,75
E14001110,112,61
E14001111,117,66
E14001112,120,61
E14001113,63,43
E14001114,232,188
E14001115,48,31
E14001116,96,55
E14001117,40,25
E14001118,52,41
E14001119,75,52
E14001120,98,69
E14001121,109,73
E14001122,22,17
E14001123,39,28
E14001124,67,46
E14001125,128,66
E14001126,131,79
E14001127,131,116
E14001128,67,52
E14001129,85,64
E14001130,217,174
E14001131,455,237
E14001132,137,72
E14001133,76,40
E14001134,75,38
E14001135,107,55
E14001136,117,62
E14001137,53,41
E14001138,121,63
E14001139,60,45
E14001140,111,60
E14001141,103,71
E14001142,45,36
E14001143,114,85
E14001144,97,68
E14001145,66,48
E14001146,111,76
E14001147,232,140
E14001148,130,87
E14001149,137,95
E14001150,70,49
E14001151,173,105
E14001152,134,86
E14001153,26,18
E14001154,19,13
E14001155,154,125
E14001156,81,52
E14001157,35,26
E14001158,64,39
E14001159,107,58
E14001160,125,83
E14001161,156,92
E14001162,92,60
E14001163,178,121
E14001164,136,88
E14001165,176,104
E14001166,100,84
E14001167,53,30
E14001168,117,72
E14001169,37,27
E14001170,118,93
E14001171,66,40
E14001172,1064,720
E14001173,174,100
E14001174,129,70
E14001175,88,70
E14001176,92,56
E14001177,150,95
E14001178,134,86
E14001179,139,85
E14001180,73,39
E14001181,81,41
E14001182,128,76
E14001183,112,58
E14001184,58,42
E14001185,96,75
E14001186,21,19
E14001187,31,20
E14001188,67,49
E14001189,25,13
E14001190,93,71
E14001191,72,42
E14001192,168,112
E14001193,87,51
E14001194,161,94
E14001195,247,171
E14001196,72,49
E14001197,147,80
E14001198,145,83
E14001199,59,49
E14001200,46,32
E14001201,118,73
E14001202,113,83
E14001203,151,86
E14001204,86,57
E14001205,102,63
E14001206,97,63
E14001207,48,42
E14001208,19,12
E14001209,42,37
E14001210,40,25
E14001211,56,35
E14001212,115,68
E14001213,18,10
E14001214,121,74
E14001215,96,63
E14001216,193,129
E14001217,139,93
E14001218,83,44
E14001219,80,44
E14001220,48,30
E14001221,27,21
E14001222,41,31
E14001223,44,29
E14001224,117,73
E14001225,46,32
E14001226,73,45
E14001227,61,39
E14001228,132,68
E14001229,37,25
E14001230,56,41
E14001231,108,74
E14001232,92,72
E14001233,65,44
E14001234,84,54
E14001235,100,77
E14001236,29,17
E14001237,59,31
E14001238,30,21
E14001239,121,88
E14001240,121,88
E14001241,141,85
E14001242,100,78
E14001243,85,67
E14001244,110,73
E14001245,88,48
E14001246,51,35
E14001247,118,93
E14001248,109,67
E14001249,129,74
E14001250,116,94
E14001251,73,50
E14001252,75,54
E14001253,110,85
E14001254,102,68
E14001255,117,96
E14001256,203,121
E14001257,104,69
E14001258,82,57
E14001259,78,50
E14001260,284,169
E14001261,99,68
E14001262,143,101
E14001263,73,49
E14001264,144,93
E14001265,104,60
E14001266,103,71
E14001267,75,49
E14001268,130,75
E14001269,109,85
E14001270,21,16
E14001271,27,20
E14001272,106,78
E14001273,139,77
E14001274,158,102
E14001275,55,40
E14001276,51,34
E14001277,98,68
E14001278,61,41
E14001279,21,14
E14001280,178,117
E14001281,175,105
E14001282,126,77
E14001283,133,86
E14001284,53,34
E14001285,211,128
E14001286,56,37
E14001287,181,123
E14001288,128,83
