PCON24CD,PCON24NM,Total,Total,Total,Total,Total,Total,Total,Total,Total,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP
E14001098,Birmingham Perry Barr,991,1009,870,1153,962,774,820,649,,4,3,6,13,9,8,11,7,,0,0,1,2,0,0,0,0,,0,0,0,2,0,0,0,0,
E14001099,Birmingham Selly Oak,1512,1503,1220,1684,1503,1181,1268,961,,24,26,38,47,85,40,66,38,,3,0,0,1,2,0,3,0,,0,0,0,1,0,0,0,0,
E14001100,Birmingham Yardley,1312,1267,1093,1516,1224,1127,1017,840,,2,4,3,3,5,11,4,2,,0,0,0,2,1,0,0,0,,0,0,0,2,1,0,0,0,
E14001101,Bishop Auckland,1650,1602,1552,2116,1873,1816,1926,1315,,11,5,17,31,29,30,30,19,,0,1,1,1,2,2,1,0,,0,0,1,1,0,1,0,0,
E14001102,Blackburn,1263,1300,1136,1550,1506,1351,1470,1010,,6,6,6,8,6,15,9,4,,0,1,0,0,0,1,1,0,,0,1,0,0,0,0,1,0,
E14001103,Blackley and Middleton South,1483,1357,1183,1659,1387,1134,1219,871,,15,3,3,17,11,10,15,5,,7,0,0,1,0,1,1,1,,7,0,0,1,0,0,1,0,
E14001104,Blackpool North and Fleetwood,1854,1748,1707,2545,2170,1711,1837,1505,,5,5,2,11,17,9,6,10,,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,
E14001105,Blackpool South,1964,1939,1689,2513,2469,1939,1970,1467,,5,4,10,6,10,5,11,10,,1,0,0,0,0,1,0,5,,0,0,0,0,0,0,0,0,
E14001106,Blaydon and Consett,1708,1712,1480,2061,1992,1583,1699,1316,,10,9,15,34,19,27,28,14,,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,
E14001107,Blyth and Ashington,1824,1847,1641,2266,2244,1780,1924,1372,,1,3,3,8,12,8,5,4,,0,0,0,0,3,0,0,0,,0,0,0,0,0,0,0,0,
E14001108,Bognor Regis and Littlehampton,2166,1965,1797,2574,2179,1724,1820,1463,,157,142,165,320,331,286,236,207,,2,6,6,16,24,16,11,10,,0,2,1,5,6,4,4,1,
E14001109,Bolsover,1823,1908,1764,2487,2168,1853,1975,1357,,9,5,19,49,41,34,27,22,,0,0,0,2,1,1,0,0,,0,0,0,0,1,1,0,0,
E14001110,Bolton North East,1727,1629,1521,2009,1762,1477,1500,1168,,9,7,16,23,35,32,31,16,,3,0,0,2,4,2,2,1,,1,0,0,0,2,0,0,0,
E14001111,Bolton South and Walkden,1545,1452,1428,1677,1588,1322,1326,983,,3,1,0,4,8,5,8,5,,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,
E14001112,Bolton West,1720,1785,1668,2304,2084,1600,1691,1321,,44,43,47,108,96,71,86,62,,8,3,4,17,12,3,6,2,,0,0,1,4,2,2,2,1,
E14001113,Bootle,1523,1376,1274,1616,1447,1294,1314,927,,6,1,1,9,8,8,5,5,,0,0,0,3,0,1,0,0,,0,0,0,1,0,0,0,0,
E14001114,Boston and Skegness,2018,1801,1546,2602,2020,1635,1769,1279,,11,10,14,38,43,24,26,21,,0,0,0,3,1,1,2,1,,0,0,0,1,0,0,1,1,
E14001115,Bournemouth East,2112,1911,1766,2457,1985,1494,1645,1293,,192,180,210,406,364,285,281,263,,2,5,9,17,20,22,22,8,,0,1,1,1,1,4,1,1,
E14001116,Bournemouth West,1979,1808,1590,2587,2005,1499,1506,1140,,96,102,103,203,181,169,142,112,,11,6,9,20,32,37,21,20,,2,1,1,3,9,7,7,7,
E14001117,Bracknell,1649,1921,1581,2148,1643,1476,1475,1098,,175,208,188,348,389,293,300,253,,3,4,4,9,9,9,4,10,,0,1,1,2,1,2,1,2,
E14001118,Bradford East,1524,1528,1242,1713,1752,1341,1400,1112,,4,3,4,6,6,10,3,6,,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,
E14001119,Bradford South,1583,1682,1392,1856,1725,1415,1535,1300,,0,2,2,4,5,7,7,3,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001120,Bradford West,1351,1182,1273,1581,1284,1067,1287,727,,1,1,6,10,10,13,5,3,,0,1,3,1,1,9,0,0,,0,1,3,1,0,0,0,0,
E14001121,Braintree,1686,1693,1608,2411,1851,1379,1580,1259,,200,160,179,375,347,231,274,209,,10,10,17,32,42,19,26,16,,2,3,5,9,7,4,6,1,
E14001122,Brent East,1150,947,925,1472,1214,777,903,605,,401,343,399,617,661,371,421,284,,64,64,64,106,134,85,100,54,,25,26,28,50,63,34,38,21,
E14001123,Brent West,755,727,703,983,1123,821,727,766,,260,238,287,450,502,412,349,404,,15,8,8,20,23,26,18,9,,1,1,1,6,2,5,2,1,
E14001124,Brentford and Isleworth,1415,1191,1034,1631,1413,1114,1232,830,,452,383,350,592,570,509,548,369,,25,22,10,18,32,22,27,15,,9,11,4,3,9,4,5,3,
E14001125,Brentwood and Ongar,1681,1604,1481,2289,2024,1603,1519,1228,,523,549,635,964,852,600,742,608,,97,80,113,182,150,116,149,100,,26,25,31,70,41,45,48,25,
E14001126,Bridgwater,1861,1764,1597,2411,1848,1523,1714,1226,,27,19,28,77,80,63,61,61,,1,0,2,9,4,2,2,4,,0,0,0,2,1,0,0,0,
E14001127,Bridlington and The Wolds,2050,1935,1812,2463,2097,1845,1860,1452,,15,12,26,58,56,58,46,33,,0,0,1,2,3,1,1,1,,0,0,0,0,0,0,0,0,
E14001128,Brigg and Immingham,1690,1758,1670,2295,2018,1512,1788,1290,,14,14,22,38,42,20,37,22,,0,0,0,0,2,0,2,1,,0,0,0,0,1,0,0,0,
E14001129,Brighton Kemptown and Peacehaven,1411,1316,1218,1881,1567,1022,1268,996,,177,193,187,390,394,253,266,212,,24,25,19,32,35,27,22,23,,3,11,6,14,9,9,7,6,
E14001130,Brighton Pavilion,1565,1552,1381,2339,1783,1315,1467,1183,,344,350,382,760,654,460,516,423,,30,21,29,57,86,52,61,48,,5,1,9,8,18,11,11,8,
E14001131,Bristol Central,1654,1422,1224,2045,1695,1305,1342,1115,,345,330,338,617,513,432,422,370,,54,46,55,112,125,72,89,64,,10,10,10,25,36,21,18,16,
E14001132,Bristol East,1888,1764,1432,2155,1714,1561,1541,1259,,19,28,18,65,105,80,90,80,,0,1,0,1,1,1,2,0,,0,0,0,0,0,0,0,0,
E14001133,Bristol North East,1558,1574,1297,1841,1595,1333,1322,1100,,8,19,19,33,54,40,37,49,,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,
E14001134,Bristol North West,1586,1516,1336,1872,1617,1244,1379,1065,,333,292,345,475,469,346,416,348,,29,32,45,43,68,40,61,42,,5,5,7,8,10,11,13,11,
E14001135,Bristol South,1856,1721,1506,2296,1754,1549,1578,1244,,41,29,46,106,157,117,135,136,,1,0,0,0,1,0,3,0,,1,0,0,0,0,0,2,0,
E14001136,Broadland and Fakenham,1621,1714,1548,2155,1757,1467,1547,1201,,94,99,125,243,249,176,184,133,,2,4,6,7,8,14,11,7,,2,0,1,2,1,2,0,3,
E14001137,Bromley and Biggin Hill,1463,1478,1442,2099,1561,1069,1355,1067,,529,518,602,992,819,560,675,568,,69,63,67,158,138,85,106,59,,27,17,24,54,48,30,33,17,
E14001138,Bromsgrove,1879,1723,1514,1988,1601,1300,1425,1041,,207,188,218,305,282,222,233,217,,17,14,10,29,28,24,20,17,,5,4,3,5,6,6,8,5,
E14001139,Broxbourne,1627,1423,1399,2168,1701,1388,1447,1172,,306,262,316,509,510,424,422,322,,29,24,25,49,60,44,35,18,,3,8,7,8,18,14,4,2,
E14001140,Broxtowe,1807,1567,1403,2040,1646,1405,1522,1175,,30,35,40,72,72,48,66,56,,2,1,0,5,6,5,7,1,,0,0,0,1,2,1,2,0,
E14001141,Buckingham and Bletchley,1819,1735,1541,2393,1948,1523,1550,1219,,218,181,215,356,389,318,307,232,,24,11,5,25,37,21,26,15,,14,2,1,9,4,6,8,2,
E14001142,Burnley,2128,2015,1803,2581,2468,2000,2009,1483,,2,8,7,10,10,8,5,5,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001143,Burton and Uttoxeter,2198,2160,1787,2581,2342,2039,1941,1401,,20,27,46,81,57,78,77,67,,0,0,3,5,1,2,0,3,,0,0,1,2,0,1,0,0,
E14001144,Bury North,1644,1605,1274,2000,1758,1299,1497,1158,,26,21,23,63,63,31,58,40,,4,0,1,3,2,1,5,4,,0,0,1,0,0,0,0,0,
E14001145,Bury South,1761,1615,1420,1897,1647,1311,1469,1103,,48,47,42,83,89,81,112,61,,4,2,3,3,6,5,6,6,,2,0,2,0,2,0,1,1,
E14001146,Bury St Edmunds and Stowmarket,1929,1775,1714,2590,2430,1838,1819,1426,,150,126,124,239,289,212,207,137,,6,1,3,19,22,15,14,13,,5,1,1,7,6,4,5,4,
E14001147,Calder Valley,1867,1745,1517,2312,1881,1582,1619,1342,,26,45,43,97,101,71,71,65,,0,1,0,2,7,2,1,2,,0,1,0,0,1,0,0,1,
E14001148,Camborne and Redruth,1834,1733,1615,1974,1718,1361,1416,1086,,93,58,112,205,197,146,157,107,,3,5,11,22,28,22,25,11,,0,1,5,3,8,7,9,1,
E14001149,Cambridge,1269,1269,1139,1607,1591,1317,1203,926,,452,453,426,635,651,574,572,413,,92,66,56,92,97,81,84,53,,21,20,17,36,37,33,32,15,
E14001150,Cannock Chase,1715,1836,1607,2141,1797,1318,1407,1167,,12,7,17,22,30,28,18,20,,0,1,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,
E14001151,Canterbury,1516,1604,1481,2274,1781,1350,1458,1106,,222,240,227,422,390,302,333,215,,10,21,22,39,43,30,41,21,,0,4,3,8,7,8,10,5,
E14001152,Carlisle,2105,1964,1803,2623,2178,1929,1868,1434,,20,10,19,39,48,42,44,22,,2,0,0,0,3,0,2,0,,2,0,0,0,2,0,0,0,
E14001153,Carshalton and Wallington,1386,1334,1296,1823,1573,1143,1147,881,,341,321,311,528,495,381,432,299,,9,6,14,18,27,16,23,12,,1,0,0,1,1,3,0,0,
E14001154,Castle Point,1439,1501,1378,2042,1436,1172,1332,1067,,94,97,135,261,230,150,179,161,,6,10,3,12,6,10,5,6,,3,1,0,1,2,3,0,1,
E14001155,Central Devon,1589,1530,1466,2087,1685,1478,1359,1081,,170,129,139,257,258,265,219,166,,7,1,7,16,29,30,22,12,,2,0,1,2,4,4,2,1,
E14001156,Central Suffolk and North Ipswich,1566,1518,1492,1971,1570,1237,1488,1072,,97,84,123,235,240,194,158,142,,3,4,6,22,18,8,10,6,,1,3,0,5,3,3,1,2,
E14001157,Chatham and Aylesford,1765,1731,1582,2300,1754,1386,1479,1254,,43,43,52,98,89,83,86,64,,0,0,0,2,2,5,5,0,,0,0,0,0,0,2,1,0,
E14001158,Cheadle,1846,1700,1591,2238,1706,1426,1519,1218,,251,199,243,419,427,364,398,301,,16,12,11,26,29,26,29,24,,4,2,2,4,3,1,3,4,
E14001159,Chelmsford,1847,1830,1461,2311,2101,1572,1629,1347,,212,199,234,407,382,271,287,286,,8,7,8,16,17,15,12,10,,0,0,1,2,3,1,1,1,
E14001160,Chelsea and Fulham,1603,1720,1732,2230,2190,2048,2059,1243,,1326,1311,1431,1851,1870,1749,1770,1001,,672,640,755,964,1000,977,949,446,,402,368,433,569,623,501,582,266,
E14001161,Cheltenham,2138,1854,1755,2701,2112,1592,1859,1529,,300,290,314,530,436,354,427,344,,39,38,50,94,87,70,106,47,,12,17,16,30,31,9,22,12,
E14001162,Chesham and Amersham,1422,1541,1366,2114,1426,1150,1297,1016,,734,771,752,1297,918,681,816,630,,201,207,239,410,351,236,265,181,,72,59,92,161,148,91,96,74,
E14001163,Chester North and Neston,1707,1589,1465,2140,1647,1393,1496,1234,,74,83,95,162,152,120,156,107,,8,1,1,11,11,11,9,8,,4,1,0,3,2,3,2,0,
E14001164,Chester South and Eddisbury,1872,1823,1654,2347,1913,1546,1596,1113,,210,211,280,453,465,368,371,266,,12,15,18,46,48,46,42,19,,4,4,4,10,6,9,4,7,
E14001165,Chesterfield,1496,1528,1403,1978,1687,1498,1579,1216,,12,9,17,26,41,36,35,24,,0,0,1,2,0,2,0,0,,0,0,0,0,0,0,0,0,
E14001166,Chichester,1887,1823,1804,2646,2196,1674,1708,1209,,332,266,377,589,583,408,431,315,,43,47,61,101,91,76,77,44,,17,18,23,42,44,38,29,12,
E14001167,Chingford and Woodford Green,1380,1298,1138,1783,1415,1133,1242,986,,507,468,461,850,744,587,654,563,,29,28,31,80,83,70,69,46,,8,6,2,19,14,17,15,11,
E14001168,Chippenham,1770,1690,1569,2264,1968,1549,1616,1274,,85,77,88,177,187,179,162,133,,5,6,5,15,14,14,8,4,,1,2,2,3,5,4,1,0,
E14001169,Chipping Barnet,1365,1240,1330,2090,1980,1235,1354,1007,,757,728,826,1358,1207,718,804,633,,82,80,134,214,213,141,160,108,,25,23,39,55,68,44,36,30,
E14001170,Chorley,2076,2055,1729,2146,1862,1421,1559,1235,,26,25,32,58,61,52,57,38,,0,1,3,3,1,2,2,0,,0,0,1,1,0,0,0,0,
E14001171,Christchurch,1808,1663,1627,2372,1706,1395,1519,1327,,348,319,388,704,662,485,492,439,,11,27,26,65,82,56,55,23,,4,10,2,14,13,14,8,4,
E14001172,Cities of London and Westminster,2219,2041,1890,2256,2419,2359,2150,1148,,1963,1769,1663,1953,2153,2089,1829,956,,1268,1143,1041,1191,1425,1409,1112,478,,886,760,729,814,1032,1029,773,328,
E14001173,City of Durham,1532,1552,1311,1887,1735,1425,1471,1093,,21,33,46,59,67,43,63,32,,2,3,3,5,2,4,3,0,,2,1,2,1,0,0,0,0,
E14001174,Clacton,2039,2059,2024,3092,2396,1632,1886,1451,,56,78,85,171,153,128,132,108,,3,5,4,9,10,5,6,0,,0,0,0,2,3,1,3,0,
E14001175,Clapham and Brixton Hill,1162,1212,1319,1814,1535,1176,1311,986,,707,671,784,1178,967,732,820,574,,132,147,174,277,230,169,214,112,,45,34,49,90,85,53,66,46,
E14001176,Colchester,2398,2119,1765,2801,2277,1681,1730,1428,,86,70,90,168,138,157,127,103,,3,3,0,11,11,8,8,7,,1,1,0,1,1,1,1,1,
E14001177,Colne Valley,1946,1938,1828,2269,1772,1460,1563,1199,,36,46,72,144,110,92,98,78,,3,4,4,6,4,9,8,1,,0,0,0,3,2,2,1,0,
E14001178,Congleton,2129,2345,2093,2634,2218,1814,1694,1417,,81,75,85,198,192,122,157,159,,5,0,3,8,15,10,13,11,,0,0,0,0,9,1,4,2,
E14001179,Corby and East Northamptonshire,2430,2252,1888,2612,2261,1517,1758,1383,,79,68,105,202,164,108,144,100,,5,3,3,22,10,4,15,7,,1,1,2,4,3,2,2,3,
E14001180,Coventry East,1637,1643,1280,1775,1520,1200,1296,920,,1,3,3,3,3,0,3,5,,0,0,1,0,0,0,1,1,,0,0,1,0,0,0,0,1,
E14001181,Coventry North West,1578,1568,1400,2073,1980,1566,1715,1256,,14,10,9,29,36,27,28,19,,0,0,0,0,1,0,2,1,,0,0,0,0,0,0,0,0,
E14001182,Coventry South,1731,1575,1357,1910,1615,1152,1323,1065,,59,46,66,100,126,73,86,81,,1,2,4,3,4,5,4,4,,0,0,1,0,0,1,0,1,
E14001183,Cramlington and Killingworth,2061,2044,1771,2324,2009,1733,1633,1194,,3,6,7,9,16,22,11,12,,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,
E14001184,Crawley,1773,1565,1172,1909,1558,1210,1344,973,,93,61,69,142,139,120,138,92,,3,0,1,3,3,2,4,2,,0,0,0,0,0,0,0,0,
E14001185,Crewe and Nantwich,2111,2187,2020,2899,2301,1771,1791,1544,,13,24,21,55,44,41,55,54,,0,0,0,3,1,3,3,2,,0,0,0,0,0,1,0,0,
E14001186,Croydon East,1326,1267,1118,1793,1441,1046,1244,987,,224,176,233,384,398,254,309,284,,10,7,10,12,13,5,4,3,,1,2,4,4,6,3,1,2,
E14001187,Croydon South,1680,1685,1648,2465,1995,1356,1492,1138,,700,724,646,979,858,574,681,506,,66,67,66,99,108,62,65,35,,9,13,12,21,18,13,14,2,
E14001188,Croydon West,1352,1379,1098,1655,1366,1141,1195,902,,69,56,63,126,140,111,107,85,,10,2,4,4,1,1,2,1,,1,0,0,1,0,1,0,1,
E14001189,Dagenham and Rainham,1426,1402,1154,1909,1473,1145,1270,909,,19,19,28,113,149,113,106,85,,2,0,0,0,1,1,0,1,,2,0,0,0,0,0,0,0,
E14001190,Darlington,1621,1709,1646,2459,2063,1811,1841,1447,,13,11,13,50,39,22,21,15,,1,1,0,2,1,1,0,0,,0,0,0,0,1,0,0,0,
E14001191,Dartford,2555,2073,1741,2385,2093,1742,1677,1207,,176,161,140,286,314,288,235,202,,8,8,5,8,8,9,10,7,,2,2,0,2,0,2,2,1,
E14001192,Daventry,2175,1900,1760,2424,2083,1725,1846,1449,,229,198,187,357,300,241,240,194,,11,11,15,26,23,24,21,17,,3,1,4,5,8,5,5,5,
E14001193,Derby North,1646,1748,1491,2139,1743,1412,1445,1111,,13,19,38,57,47,51,45,32,,1,0,3,4,2,1,2,0,,0,0,0,0,0,1,0,0,
E14001194,Derby South,1600,1400,1233,1770,1435,1634,1693,1055,,1,4,2,10,15,10,13,10,,0,0,0,0,3,0,0,1,,0,0,0,0,2,0,0,1,
E14001195,Derbyshire Dales,1672,1677,1589,2252,1862,1407,1436,1092,,126,146,192,289,276,208,219,167,,2,12,14,25,20,22,23,16,,1,4,4,7,7,4,2,4,
E14001196,Dewsbury and Batley,1166,1192,1075,1349,1152,1015,1077,808,,7,8,15,31,22,27,21,12,,1,2,0,1,1,0,3,0,,0,1,0,0,0,0,1,0,
E14001197,Didcot and Wantage,2191,2129,2044,2761,2496,1928,1970,1398,,283,279,325,566,565,461,436,328,,22,30,33,64,66,47,46,25,,5,5,9,11,21,22,17,6,
E14001198,Doncaster Central,1825,1911,1678,2432,2297,1763,1901,1351,,10,16,15,29,28,15,21,19,,0,2,0,0,3,3,1,1,,0,0,0,0,0,1,0,0,
E14001199,Doncaster East and the Isle of Axholme,1812,1668,1452,2035,1896,1555,1519,1119,,8,11,14,32,46,24,49,28,,1,0,1,1,3,2,2,2,,0,0,0,0,0,0,1,1,
E14001200,Doncaster North,1651,1621,1482,1913,1633,1380,1362,1135,,3,13,11,29,12,12,13,18,,0,0,2,0,1,0,0,0,,0,0,0,0,0,0,0,0,
E14001201,Dorking and Horley,1570,1548,1426,2100,1781,1248,1376,1046,,509,544,599,877,791,619,678,501,,61,60,97,157,172,129,121,89,,12,9,24,36,46,30,25,18,
E14001202,Dover and Deal,1888,1789,1654,2490,1923,1398,1751,1324,,87,92,118,261,190,150,174,112,,3,2,6,18,17,13,14,4,,0,0,1,4,3,2,3,0,
E14001203,Droitwich and Evesham,1963,1878,1663,2179,1714,1416,1453,1214,,149,139,163,287,247,214,230,195,,7,6,12,23,24,18,20,11,,2,0,4,5,6,6,7,1,
E14001204,Dudley,1505,1328,1132,1545,1165,1009,1186,841,,4,3,3,5,7,5,8,6,,0,0,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,
E14001205,Dulwich and West Norwood,1136,1209,1019,1685,1434,1077,1281,987,,517,605,508,953,761,573,696,523,,148,171,159,271,233,181,229,130,,59,65,79,126,117,101,109,53,
E14001206,Dunstable and Leighton Buzzard,1896,2028,1852,2793,2518,1807,1905,1524,,63,97,103,171,213,178,200,137,,4,2,3,1,9,8,8,5,,1,0,1,1,0,1,0,1,
E14001207,Ealing Central and Acton,1447,1580,1447,2371,2227,1804,1859,1040,,873,880,933,1469,1387,1139,1054,640,,205,254,281,446,367,370,383,179,,64,78,83,145,122,105,153,71,
E14001208,Ealing North,1060,908,810,1314,1169,874,981,709,,237,192,234,502,536,363,439,322,,22,20,16,49,58,33,39,27,,3,3,1,7,7,5,8,3,
E14001209,Ealing Southall,914,835,877,1592,1149,1035,1068,721,,293,325,365,586,551,465,527,395,,24,28,35,55,70,67,94,65,,4,5,7,11,8,8,20,14,
E14001210,Earley and Woodley,1829,1775,1393,2154,1811,1306,1413,1050,,340,311,263,554,554,440,450,310,,8,8,6,12,18,13,12,6,,2,2,2,3,5,4,2,1,
E14001211,Easington,1582,1780,1641,2235,2035,1759,1918,1359,,0,5,1,11,10,3,12,7,,0,0,0,0,2,0,0,0,,0,0,0,0,1,0,0,0,
