PCON24CD,PCON24NM,Total,Total,Total,Total,Total,Total,Total,Total,Total,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP
,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2018,2019,2020,2021,2022,2023,2024,2025,2026,2018,2019,2020,2021,2022,2023,2024,2025,2026,2018,2019,2020,2021,2022,2023,2024,2025,2026
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
E14001063,Aldershot,1756,1800,1549,2402,2027,1595,1707,1251,,106,139,124,285,331,254,263,193,,1,3,3,12,12,8,5,4,,0,0,1,1,3,1,0,1,
E14001064,Aldridge-Brownhills,1497,1388,1258,1709,1382,1201,1222,1013,,51,44,33,79,73,72,66,46,,6,3,1,4,6,7,4,3,,2,0,0,2,1,2,1,1,
E14001065,Altrincham and Sale West,1831,1596,1463,2241,1668,1398,1543,1208,,408,377,400,689,590,531,550,459,,91,89,70,146,144,112,112,83,,32,45,25,65,67,44,39,31,
E14001066,Amber Valley,1671,1759,1507,1927,1926,1492,1576,1180,,11,19,26,46,47,32,44,39,,0,2,0,3,3,2,0,0,,0,0,0,0,0,1,0,0,
E14001067,Arundel and South Downs,1630,1627,1568,2243,1762,1384,1451,1129,,560,564,642,968,812,614,654,501,,81,78,120,188,194,137,129,91,,19,29,46,60,69,45,44,32,
E14001068,Ashfield,1547,1863,1562,2025,1723,1238,1620,1143,,1,3,1,14,19,12,26,15,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001069,Ashford,1845,1788,1797,2596,2097,1448,1531,1354,,100,88,110,212,234,154,157,140,,1,6,3,9,10,8,6,7,,0,0,0,2,0,0,2,1,
E14001070,Ashton-under-Lyne,1572,1365,1155,1757,1614,1371,1401,917,,3,0,1,7,4,18,11,3,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001071,Aylesbury,2128,1912,1737,2568,2158,1669,1706,1462,,280,248,265,392,404,319,314,279,,7,6,11,26,28,13,25,10,,0,1,1,8,4,2,3,1,
E14001072,Banbury,1879,1834,1579,2429,1935,1367,1519,1277,,191,183,182,399,334,271,283,265,,13,25,27,53,64,49,52,29,,7,9,10,24,22,14,19,11,
E14001073,Barking,1283,1099,965,1432,1209,990,959,713,,27,32,36,73,89,81,74,52,,0,0,0,0,3,1,1,0,,0,0,0,0,2,0,0,0,
E14001074,Barnsley North,1912,2208,1607,2214,2088,1588,1688,1204,,1,2,1,7,8,9,16,9,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001075,Barnsley South,1820,1722,1517,2105,2024,1707,1797,1296,,3,5,2,4,5,5,7,4,,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001076,Barrow and Furness,1838,1820,1702,2478,2023,1803,1742,1463,,12,15,27,41,31,39,39,30,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001077,Basildon and Billericay,1640,1453,1363,2056,1666,1179,1398,1183,,202,202,242,400,387,196,278,255,,18,24,21,53,44,25,37,20,,5,5,2,12,12,10,8,4,
E14001078,Basingstoke,1831,1943,1526,2207,1747,1458,1592,1266,,142,102,114,217,229,190,202,192,,2,4,3,0,7,4,1,0,,0,1,1,0,2,1,0,0,
E14001079,Bassetlaw,1851,2087,1904,2428,2328,2005,2010,1470,,9,16,20,59,58,31,52,34,,0,0,0,3,6,2,4,2,,0,0,0,0,0,0,0,0,
E14001080,Bath,1696,1563,1367,2154,1735,1410,1598,1205,,521,465,429,767,666,532,667,459,,90,106,107,169,195,137,171,87,,28,36,29,59,81,58,64,37,
E14001081,Battersea,2037,1950,1804,2620,3149,2112,2088,1256,,1525,1501,1426,1915,2614,1684,1538,912,,576,530,463,663,1269,856,670,281,,199,166,172,270,542,381,299,135,
E14001082,Beaconsfield,1362,1367,1291,2013,1764,1215,1404,1146,,721,676,723,1137,1049,730,827,702,,191,173,179,300,309,206,248,153,,60,53,65,135,131,78,89,59,
E14001083,Beckenham and Penge,1753,1703,1510,2212,1998,1435,1635,1299,,628,615,634,963,880,633,775,615,,54,66,69,99,140,104,134,82,,1,10,12,17,22,23,21,11,
E14001084,Bedford,1587,1465,1276,1811,1472,1151,1337,1031,,62,49,44,122,123,89,112,102,,2,1,6,7,11,5,4,5,,0,0,0,1,3,1,1,0,
E14001085,Bermondsey and Old Southwark,1848,1083,763,1414,1311,1280,1231,825,,1226,621,410,812,783,803,676,458,,320,166,84,136,141,197,115,55,,142,123,21,39,34,71,40,19,
E14001086,Bethnal Green and Stepney,883,1104,884,1222,1079,897,830,628,,436,680,451,594,541,455,359,288,,102,133,53,51,66,46,53,23,,21,15,13,9,10,18,9,4,
E14001087,Beverley and Holderness,1816,1620,1378,2159,1906,1550,1832,1308,,52,50,62,99,76,57,64,46,,3,4,1,11,7,7,6,3,,1,0,0,0,0,1,0,0,
E14001088,Bexhill and Battle,1794,1721,1655,2530,1990,1381,1560,1130,,190,194,242,504,465,298,346,253,,12,12,18,48,40,35,27,20,,1,2,2,17,14,8,4,2,
E14001089,Bexleyheath and Crayford,1356,1351,1214,1879,1513,1123,1207,943,,106,108,134,283,356,230,233,245,,2,0,3,3,6,7,0,1,,0,0,0,0,0,0,0,1,
E14001090,Bicester and Woodstock,1635,1685,1613,2679,1915,1529,1462,1199,,239,275,302,569,486,373,373,276,,21,21,22,42,38,30,30,15,,6,2,4,12,11,9,8,7,
E14001091,Birkenhead,1641,1628,1602,2058,1875,1421,1500,1272,,19,16,33,69,58,38,40,48,,1,0,2,5,4,2,3,1,,0,0,2,2,0,0,0,0,
E14001092,Birmingham Edgbaston,1609,1403,1106,1499,1444,1053,1126,835,,149,125,95,163,165,129,122,91,,22,23,21,34,28,28,23,11,,11,4,2,12,9,8,9,1,
E14001093,Birmingham Erdington,1671,1643,1309,1787,1615,1409,1433,1123,,0,3,1,13,3,4,3,6,,0,1,0,7,0,0,0,1,,0,0,0,3,0,0,0,1,
E14001094,Birmingham Hall Green and Moseley,1167,1250,1085,1389,1112,868,967,755,,41,47,58,97,76,80,79,57,,0,0,1,2,5,7,6,5,,0,0,0,1,0,0,1,0,
E14001095,Birmingham Hodge Hill and Solihull North,1278,1271,947,1265,1143,937,1029,783,,1,1,5,8,15,7,4,3,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001096,Birmingham Ladywood,2470,2133,1625,1912,2166,1293,1197,718,,26,14,9,11,20,27,15,4,,1,1,0,1,3,1,1,0,,0,1,0,0,2,0,0,0,
E14001097,Birmingham Northfield,1650,1662,1375,1803,1710,1328,1396,1051,,22,17,13,27,17,30,33,27,,0,0,0,2,1,1,0,0,,0,0,0,0,1,0,0,0,
