,PCON24CD,PCON24NM,Counted spills using 12-24h count method,Counted spills using 12-24h count method,Counted spills using 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method
Year,,,2022,2023,2024,2022,2023,2024
---,---,---,---,---,---,---,---,---
1,E14001063,Aldershot,13.0,33.0,60.0,83.89,282.25,523.75
2,E14001064,Aldridge-Brownhills,81.0,91.0,93.0,90.41,295.73,160.82
3,E14001065,Altrincham and Sale West,838.0,913.0,735.0,5649.24,5185.8,3438.72
4,E14001066,Amber Valley,1798.0,2155.0,1741.0,7970.79,14474.15,9229.6
5,E14001067,Arundel and South Downs,1336.0,2282.0,2215.0,18332.4,34098.61,29790.3
6,E14001068,Ashfield,685.0,951.0,656.0,2908.94,5374.63,3213.5
7,E14001069,Ashford,171.0,365.0,422.0,1112.36,3535.82,4284.62
8,E14001070,Ashton-under-Lyne,790.0,1242.0,784.0,2839.53,6493.46,3168.14
9,E14001071,Aylesbury,166.0,352.0,597.0,1896.39,3213.92,7065.75
10,E14001072,Banbury,333.0,713.0,1391.0,2742.8,7202.56,18448.2
11,E14001073,Barking,95.0,90.0,56.0,636.54,388.25,171.0
12,E14001074,Barnsley North,631.0,949.0,821.0,2838.58,5963.42,3818.0
13,E14001075,Barnsley South,1135.0,1421.0,1118.0,4632.97,6679.0,4332.5
14,E14001076,Barrow and Furness,1395.0,2019.0,1762.0,12263.27,22683.79,17723.14
15,E14001077,Basildon and Billericay,66.0,85.0,126.0,268.0,596.63,900.73
16,E14001079,Bassetlaw,364.0,713.0,569.0,2768.8,7476.37,5371.41
17,E14001080,Bath,1520.0,2257.0,2930.0,1869.28,7088.95,12611.68
18,E14001082,Beaconsfield,66.0,139.0,184.0,1205.98,2367.02,3028.92
19,E14001083,Beckenham and Penge,9.0,13.0,12.0,15.31,25.0,25.25
20,E14001084,Bedford,21.0,91.0,92.0,140.75,1095.67,1291.57
21,E14001087,Beverley and Holderness,755.0,1575.0,1640.0,3620.15,14070.81,17489.5
22,E14001088,Bexhill and Battle,815.0,1723.0,1621.0,7241.64,19032.0,15636.89
23,E14001089,Bexleyheath and Crayford,0.0,,,0.0,,
24,E14001090,Bicester and Woodstock,402.0,949.0,1236.0,4487.25,13232.35,17977.79
25,E14001091,Birkenhead,431.0,290.0,162.0,6903.83,1597.3,292.03
26,E14001092,Birmingham Edgbaston,97.0,82.0,117.0,30.51,32.67,74.67
27,E14001093,Birmingham Erdington,98.0,160.0,146.0,268.87,714.17,627.08
28,E14001094,Birmingham Hall Green and Moseley,179.0,224.0,234.0,287.16,495.01,721.77
29,E14001095,Birmingham Hodge Hill and Solihull North,190.0,197.0,263.0,515.33,540.2,513.88
30,E14001096,Birmingham Ladywood,579.0,634.0,634.0,785.8,876.55,755.84
31,E14001097,Birmingham Northfield,235.0,285.0,269.0,317.67,437.23,518.29
32,E14001098,Birmingham Perry Barr,247.0,263.0,293.0,343.6,234.95,318.16
33,E14001099,Birmingham Selly Oak,218.0,327.0,369.0,210.05,394.27,571.02
34,E14001100,Birmingham Yardley,88.0,127.0,151.0,57.68,167.42,226.19
35,E14001101,Bishop Auckland,3001.0,5154.0,4544.0,11430.13,42255.55,36770.63
36,E14001102,Blackburn,1183.0,1997.0,1170.0,4589.71,12165.28,3175.73
37,E14001103,Blackley and Middleton South,1199.0,1562.0,1025.0,7860.77,4835.62,2402.21
38,E14001104,Blackpool North and Fleetwood,52.0,130.0,98.0,265.7,331.86,700.41
39,E14001105,Blackpool South,8.0,98.0,117.0,6.49,357.17,250.6
40,E14001106,Blaydon and Consett,1193.0,2012.0,1494.0,2534.36,7926.76,6183.1
41,E14001107,Blyth and Ashington,606.0,865.0,789.0,1650.35,4595.49,4177.71
42,E14001108,Bognor Regis and Littlehampton,42.0,80.0,113.0,248.26,584.08,407.75
43,E14001109,Bolsover,1470.0,2194.0,1673.0,10439.32,21754.99,13035.15
44,E14001110,Bolton North East,1426.0,2812.0,1466.0,5669.7,18096.04,6120.33
45,E14001111,Bolton South and Walkden,1163.0,1861.0,1539.0,4083.77,7166.78,5526.5
46,E14001112,Bolton West,721.0,1217.0,938.0,3026.04,4627.01,3777.24
47,E14001113,Bootle,0.0,7.0,2.0,0.0,2.53,0.47
48,E14001114,Boston and Skegness,213.0,514.0,486.0,1014.83,4056.16,4138.05
49,E14001115,Bournemouth East,31.0,67.0,66.0,34.34,138.86,138.36
50,E14001116,Bournemouth West,17.0,47.0,37.0,80.05,570.58,406.75
51,E14001117,Bracknell,8.0,,,32.79,,
52,E14001118,Bradford East,887.0,1264.0,925.0,4179.08,4783.42,3086.5
53,E14001119,Bradford South,442.0,486.0,262.0,838.75,1712.75,590.25
54,E14001120,Bradford West,709.0,828.0,620.0,1914.25,2139.4,1539.5
55,E14001121,Braintree,252.0,249.0,660.0,1527.5,1795.34,3916.57
56,E14001122,Brent East,29.0,75.0,113.0,62.84,207.44,276.24
57,E14001123,Brent West,3.0,20.0,13.0,1.21,17.27,22.43
58,E14001124,Brentford and Isleworth,0.0,,,0.0,,
59,E14001125,Brentwood and Ongar,359.0,655.0,739.0,3820.46,8467.51,8754.47
60,E14001126,Bridgwater,281.0,611.0,645.0,948.82,3703.54,4253.26
61,E14001127,Bridlington and The Wolds,723.0,1541.0,1764.0,2095.43,16253.3,22469.82
62,E14001128,Brigg and Immingham,323.0,519.0,446.0,1462.75,4009.8,3040.3
63,E14001131,Bristol Central,143.0,197.0,202.0,84.66,198.02,326.48
64,E14001132,Bristol East,329.0,548.0,598.0,530.54,858.15,1017.02
65,E14001133,Bristol North East,598.0,1114.0,993.0,926.42,2150.96,2270.59
66,E14001134,Bristol North West,1172.0,1802.0,1629.0,1286.03,3046.27,3101.54
67,E14001135,Bristol South,113.0,226.0,233.0,221.5,693.22,852.13
68,E14001136,Broadland and Fakenham,115.0,286.0,270.0,449.65,3533.3,3721.3
69,E14001137,Bromley and Biggin Hill,0.0,0.0,,0.0,0.0,
70,E14001138,Bromsgrove,168.0,247.0,194.0,629.64,2133.53,705.47
71,E14001139,Broxbourne,61.0,121.0,121.0,618.73,1452.75,1483.75
72,E14001140,Broxtowe,528.0,817.0,679.0,1743.61,4259.23,3777.28
73,E14001141,Buckingham and Bletchley,470.0,899.0,1472.0,5142.44,12302.82,20898.35
74,E14001142,Burnley,862.0,1418.0,836.0,5514.59,10535.8,3703.41
75,E14001143,Burton and Uttoxeter,644.0,756.0,747.0,3379.43,3639.23,3772.12
76,E14001144,Bury North,469.0,911.0,810.0,865.63,2560.57,1669.41
77,E14001145,Bury South,1127.0,1537.0,1222.0,6130.73,8466.93,4829.14
78,E14001146,Bury St Edmunds and Stowmarket,133.0,325.0,342.0,753.0,2721.83,3525.05
79,E14001147,Calder Valley,2565.0,3819.0,3117.0,13327.16,26717.21,17000.14
80,E14001148,Camborne and Redruth,470.0,767.0,766.0,2435.75,5283.58,5334.45
81,E14001149,Cambridge,2.0,0.0,0.0,0.73,0.0,0.0
82,E14001150,Cannock Chase,254.0,258.0,340.0,371.89,505.26,755.76
83,E14001151,Canterbury,52.0,102.0,90.0,139.55,807.21,642.85
84,E14001152,Carlisle,1322.0,2003.0,1495.0,5188.89,8419.53,4221.1
85,E14001153,Carshalton and Wallington,7.0,7.0,10.0,22.43,36.75,48.25
86,E14001154,Castle Point,180.0,279.0,392.0,1183.5,2181.97,3318.73
87,E14001155,Central Devon,3821.0,6226.0,6406.0,31458.45,56835.77,66655.9
88,E14001156,Central Suffolk and North Ipswich,123.0,337.0,344.0,1358.25,4856.43,3756.9
89,E14001157,Chatham and Aylesford,8.0,15.0,27.0,25.4,54.07,192.66
90,E14001158,Cheadle,488.0,750.0,491.0,1727.46,4468.57,2768.21
